{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
140E13,140AC1,140F26
1589D3,1589AB,1589AE
140F6B,140D97,140C62
1589F2,1588A5,15890E
140FF9,140FED,140DBA
1588D8,158860,1587AB
140BC3,140D69,140CC7
158899,1587B1,15886F
140C3C,140D73,140BE3
158532,158744,158510
140BD3,140BD9,140C62
158645,1586F7,158757
140BFA,140BD6,140B32
1585A1,15864E,1584A6
140B44,140AC3,140B07
158818,158639,158643
140BCA,140B3C,140A43
15868F,158402,158499
140A7D,140872,140AA5
158668,158562,158571
140C5D,140A7C,140A41
158477,15840E,15860B
140A81,140AAA,140A76
158592,15847D,158614
140BB8,140BA2,140B5D
158449,1583D3,158536
140B81,140AFE,140B8E
157918,1579E4,157AC5
140FDB,140E1A,140CDC
158768,1588DC,15893F
141003,140F31,140E39
1589F6,15896B,158B8B
14120A,140F81,140F44
1588F4,15898C,1589DC
1410B5,141141,140EC9
1588E9,158A09,158A0F
141175,140F00,140F22
158C76,1587A6,158A5D
140EB7,140F77,140FBA
1589BD,158A45,1588ED
140EC6,140D59,140CB7
1588BE,1589A1,158957
140FAF,140E29,140F1C
15894F,158CA3,158AF3
1410A8,1410AD,140FEB
15881E,158934,1587D7
140ED3,140F34,140DA9
1589DD,158BEA,1588F4
140EFC,140F40,140E5E
15892A,1588D5,15890F
140D05,140CC7,140ED3
158A2C,1587F1,15891C
140F64,141004,140F63
1588F6,1587F1,158A35
140D53,140D9C,140D5F
15898C,1589AD,15896D
140EBC,140ED2,140E66
158873,158897,1588C3
140EEE,141030,140EE9
1587B2,15886C,158847
140F65,141238,1410F2
15883A,1589BA,15894D
140E9B,140F63,141058
158A32,158A5B,158A40
141046,141097,140F32
15878E,1589C9,1587FC
140ED0,140F3E,140F2D
158A51,158B26,15896F
140DF5,140CFB,140F96
158754,158892,158981
141081,140F11,140DFA
158935,158A4B,1588D5
140E94,1410A7,140E5E
1587EF,158788,1589A9
140CFF,140EDC,140DAB
158835,1588B6,1587F0
140E09,140CCB,140C87
158968,1588CE,1587AB
140EB4,140E8E,140DAD
1588E7,1587D6,158975
140C18,140F77,140E8B
1586B4,158908,1587B6
140D02,140D2F,140E36
158897,158A9F,158816
140CFC,140E54,140DC0
15890E,15876D,1588E3
140E3B,140DD3,140E9F
1586BB,1587B6,1587C0
140DFC,140D05,140C36
158481,15869A,15865D
140B35,140C40,140D96
1585E0,158593,15877A
140BB6,140C8D,140BA7
158766,1582BD,158408
140B51,140A14,140B1D
1583CD,158578,158570
140C15,140A89,140AD4
1585A3,1585FD,1583C3
140A6D,140BE9,140B6D
