{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A9A47,-A9A4F,-A9998
-920CB,-9206B,-921A2
-A99DD,-A99DB,-A98A7
-91E66,-91EF2,-91D83
-A991F,-A9A1C,-A9AF9
-91F15,-91F9E,-91F2C
-A9A67,-A9B22,-A9A06
-92019,-91DE0,-91F07
-A9AF7,-A9B24,-A9B0C
-92134,-91FBC,-91FCC
-A98D7,-A9A18,-A9A24
-92048,-91FC4,-91E97
-A9AA1,-A97B3,-A98EB
-91E3B,-91DE3,-91F8C
-A9AAF,-A9803,-A9786
-91D6B,-91DAA,-91D23
-A988F,-A997A,-A98DD
-91E99,-91C94,-91E03
-A990E,-A979C,-A992F
-91F04,-91F22,-91E92
-A996D,-A9A6E,-A99C0
-91D88,-91D4E,-91D2B
-A97C9,-A9903,-A99DF
-91FE1,-91F04,-91EE9
-A982E,-A9891,-A992C
-91E5C,-91EB2,-91F4E
-A9927,-A9A2E,-A99C9
-92068,-91ECE,-91E4E
-A99A0,-A98CA,-A979F
-91E6B,-91D39,-91BB0
-A979E,-A96F9,-A97FC
-91CAE,-91E62,-91D56
-A977E,-A98AD,-A98DC
-91DE8,-91BB6,-91C86
-A992B,-A973C,-A976F
-91E28,-91EC7,-91E9F
-A99C1,-A96A7,-A9646
-91E25,-91F59,-91E84
-A97A5,-A974B,-A9723
-91F9D,-91C8E,-91E3C
-A98B3,-A9866,-A97DF
-91C4E,-91CF7,-91B91
-A9629,-A96EF,-A980B
-91E46,-91EDD,-91C8B
-A97F0,-A983A,-A98A7
-91E33,-91E18,-91F05
-A982D,-A9940,-A9798
-91DA2,-91DC1,-91D60
-A9621,-A9849,-A9828
-91D4D,-91DBF,-91D9B
-A9765,-A971A,-A9737
-91DFF,-91DD4,-91C85
-A96A4,-A96EA,-A97E3
-91CF5,-91C1D,-91BC3
-A9908,-A99E1,-A96F6
-91CCF,-91F05,-91D53
-A9B42,-A9991,-A994F
-91E11,-91D86,-91E7E
-A9799,-A9776,-A97D3
-91DD9,-91D45,-91DB6
-A998C,-A97B6,-A95FF
-91EBD,-91F1E,-91CC0
-A997C,-A97E8,-A9833
-91C1F,-91DF5,-91C3A
-A98B6,-A9730,-A98D9
-91BAE,-91D5F,-91D5A
-A9666,-A97AB,-A9870
-91CFE,-91B80,-91AAF
-A951A,-A97C9,-A96EF
-91C02,-91E04,-91BD2
-A9590,-A9724,-A9533
-91D87,-91EED,-91F01
-A96E3,-A97D2,-A984C
-91E67,-91BF6,-91DDB
-A9705,-A9992,-A969B
-91D10,-91B13,-91E9C
-A97D1,-A9628,-A9773
-91D89,-91D4E,-91E65
-A970B,-A990A,-A9769
-91DF2,-91E14,-91E9E
-A9544,-A9702,-A974B
-91C8B,-91BE0,-91C7D
-A952E,-A962F,-A970F
-91DCB,-91C1A,-91D0D
-A9629,-A9635,-A975D
-91D43,-91B4D,-91A94
-A965F,-A97A3,-A96B4
-91DEB,-91C6E,-91BFF
-A977F,-A96FA,-A980F
-91F15,-91E9E,-91C2B
-A968E,-A9871,-A95BF
-91D8D,-91AD6,-91ACB
-A9922,-A986C,-A96B6
-91C55,-91E0A,-91B99
-A9638,-A976A,-A97B8
-91C9B,-91DE6,-91C76
-A9819,-A985D,-A97EE
-91DAE,-91D41,-91C3B
-A96DC,-A97D0,-A96F0
-91BB7,-91BEA,-91BA0
-A965B,-A967F,-A995E
-92917,-929A9,-92968
-A9057,-A908F,-A90CB
-91533,-916BB,-916CF
-A914E,-A90C9,-A8F14
-915F1,-915DD,-91577
-A9119,-A8F12,-A8FF5
-91724,-916B2,-91684
-A8F81,-A8EC0,-A9042
-9172E,-913C8,-914D5
-A8EA8,-A8DF0,-A8E80
-915B5,-91652,-91412
-A8F2E,-A9095,-A8F4B
-9137B,-914E8,-9145B
-A8FD8,-A9003,-A8F38
-91455,-9154B,-91518
-A9087,-A8EC6,-A9046
-9147A,-91461,-91445
-A9046,-A90A2,-A8FA3
-9145B,-91654,-91401
-A8E1F,-A8EED,-A90DB
-9148F,-914BE,-915E7
-A9049,-A8EA7,-A9117
-915B7,-915F9,-9171B
-A8F10,-A91AE,-A9005
-91394,-914BD,-91753
-A8FA6,-A8E6A,-A8E82
-9166C,-91595,-9141D
-A8EEA,-A903A,-A9035
-91558,-9157C,-9153B
-A90D9,-A8F52,-A8E15
-9141B,-914B1,-91550
-A8FA2,-A8D77,-A8FFC
-9163B,-914B7,-91431
-A8E0E,-A8EA2,-A8E8E
-914F9,-914A6,-9159D
-A9077,-A8DB4,-A90EB
-9155A,-914B2,-913FC
-A8EF6,-A8E4B,-A8EF3
-9135F,-91581,-91492
-A8D9E,-A9016,-A909D
-9160D,-91427,-9159A
-A8EA2,-A8E93,-A8DE8
-91575,-91458,-91420
-A8E09,-A8EED,-A8E9C
-9149E,-9131A,-91530
-A8D3C,-A8EA6,-A9024
-915B8,-91259,-91478
-A8E19,-A8EFB,-A8F71
-913AC,-91343,-913A1
-A9000,-A8EAB,-A8DB0
-9130F,-91241,-91403
-A8F33,-A8D65,-A8D21
-91424,-914C7,-913EA
-A8DDC,-A8F14,-A8C7E
-915F2,-91345,-91651
-A8F5C,-A91C4,-A8EC4
-913C0,-914DE,-91450
-A8F71,-A91CE,-A8EB4
-91601,-914DE,-9141C
-A8D5B,-A8F9F,-A8E24
-913D2,-914C2,-91385
-A901D,-A8DE1,-A8E7D
-9148C,-913E5,-915E2
-A8EDD,-A8FE9,-A910F
-91521,-911F3,-91428
-A8F8B,-A8E66,-A8EA8
-9135E,-91441,-9142C
-A8EDD,-A8ED0,-A8DDF
-914F2,-9156E,-9131D
-A902E,-A8E64,-A8EFA
-91481,-9145F,-914FE
-A8E3A,-A8F42,-A8F78
-9151B,-9156D,-915C7
-A8FB1,-A8E55,-A8E48
-91581,-9153A,-913AB
-A9045,-A8FD6,-A8E68
-9157E,-91556,-9146C
-A8E03,-A8DAF,-A8D39
-915D8,-91329,-914B9
-A8D33,-A8F02,-A8E30
-91378,-9133E,-91455
-A9138,-A91AF,-A8EF9
-915C8,-91663,-914C9
-A8D79,-A8EB4,-A8E36
-912B5,-912F0,-9129E
-A8D52,-A8E94,-A8F40
-915AF,-9163F,-915C9
-A8EF0,-A8DEA,-A8EBD
-9137A,-9160C,-91625
-A8F88,-A9027,-A8FD4
-91450,-915AB,-916D1
-A8D60,-A9050,-A8F73
-915A8,-914D9,-913A5
-A8EE0,-A8F85,-A8CF5
-91449,-914D4,-9126C
-A8E35,-A8DA5,-A8ECD
-913A7,-91379,-91261
-A8ED1,-A8E9D,-A8F76
-91397,-914A9,-91419
-A8F46,-A8E53,-A8E6C
-913F8,-913F1,-91259
-A8E85,-A8E28,-A8FB3
-9134B,-912A5,-9137E
-A8DFE,-A8FAE,-A8C4F
-911AC,-91447,-91382
-A8D60,-A8C93,-A900B
-91324,-912E5,-911D8
-A8D30,-A8D86,-A8D45
-91354,-9137A,-91333
-A8DFA,-A8D14,-A8D03
-9120C,-91261,-91274
-A8F2A,-A8D3C,-A8E21
-91261,-9124B,-91344
-A8D0F,-A8D27,-A8D5E
-91542,-91381,-91496
-A8DB5,-A8D84,-A8E85
-912A7,-911FC,-91524
-A8CCD,-A8C53,-A8F5F
-91488,-9133C,-914CE
-A90BC,-A8F0C,-A8DFB
-91342,-912CD,-911DC
-A8DD5,-A8EC6,-A8EF8
-91401,-91352,-9140C
-A8EB1,-A8D4E,-A8E91
-91356,-9132F,-9123F
-A8BC9,-A8C33,-A8D04
-913CE,-912A2,-914EC
-A8CFE,-A8D6F,-A8CB3
-926E4,-92653,-92782
-A8EF4,-A8FE2,-A9077
-9151B,-9148F,-91398
-A8E0E,-A8E8B,-A8E31
-914C9,-9135F,-91459
-A8FDC,-A8DBA,-A8E36
-9134A,-91163,-9156B
-A8EDD,-A8FC9,-A9022
-91476,-915AE,-91574
-A8F0C,-A8CA1,-A8F2F
-91428,-9137C,-913D0
-A8F15,-A8EFA,-A8F24
-914F6,-914CD,-91178
-A8F79,-A90C6,-A8F66
-915E9,-9144B,-91347
-A8E96,-A8EDA,-A8E23
-91280,-914A1,-91241
