{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-53435,-535BC,-53386
-3B946,-3B8A7,-3BA49
-53386,-53285,-533A1
-3B8ED,-3BBD5,-3B885
-532F4,-53218,-532D3
-3B74A,-3B7E3,-3B969
-532F0,-531D2,-53300
-3B990,-3B937,-3B955
-53392,-534AA,-5337D
-3B849,-3BA7B,-3B7BB
-53329,-53254,-5353C
-3B7B6,-3BA05,-3B76F
-5344F,-53387,-53428
-3BB06,-3B8A9,-3BBD1
-5326B,-53168,-52FBB
-3B6EA,-3B6A7,-3B8EA
-5313C,-53261,-53127
-3B85B,-3B738,-3B767
-5320B,-5308D,-5308D
-3B6E7,-3B63D,-3B4F0
-52E97,-5306E,-5305D
-3B618,-3B55A,-3B4D8
-52E40,-52F99,-52FD4
-3B52C,-3B621,-3B707
-52FA8,-530E8,-52E6C
-3B5FD,-3B846,-3B5CA
-52F2D,-52FFB,-52E7C
-3B689,-3B44D,-3B3B7
-530B6,-52D4D,-52FAB
-3B3D1,-3B524,-3B508
-52FF5,-53108,-53097
-3B597,-3B848,-3B371
-52F68,-52E0C,-52F82
-3B427,-3B48D,-3B56E
-52EE5,-52EA1,-52FEF
-3B69E,-3B3BA,-3B6CC
-52E55,-52F65,-52E6C
-3B578,-3B43D,-3B53A
-52FE6,-52F3F,-53090
-3B4A4,-3B395,-3B619
-52F2B,-53136,-52FB9
-3B49E,-3B4FA,-3B48E
-53065,-52F09,-52F27
-3B50B,-3B506,-3B54E
-5307E,-53127,-52EBA
-3B6E0,-3B6CB,-3B5F1
-532BD,-53357,-5325A
-3B6BA,-3B6A8,-3B582
-530A9,-52DD0,-5301F
-3B546,-3B67D,-3B532
-5310A,-53041,-530BA
-3B64C,-3B65E,-3B598
-52FC3,-52FA2,-53037
-3B3CC,-3B6F1,-3B48B
-52E08,-52ED6,-5315D
-3B514,-3B491,-3B4A8
-52FDF,-5306A,-53042
-3B667,-3B473,-3B4DE
-52FA6,-52F98,-531F7
-3B4A4,-3B3E3,-3B3A0
-52FB1,-52FD3,-52EBC
-3B3FF,-3B471,-3B26B
-52F0D,-52E47,-52F22
-3B443,-3B501,-3B498
-53010,-52FFB,-530FA
-3B5EE,-3B54B,-3B71A
-53060,-52EE1,-5306D
-3B602,-3B5DC,-3B52A
-52FAB,-52DD1,-52F6D
-3B5C0,-3B5E9,-3B518
-52F69,-52DF0,-52DE5
-3B31F,-3B33F,-3B3F5
-52EEE,-52DB3,-52DD2
-3B4C1,-3B3E2,-3B3A5
-52F36,-52DEB,-52D46
-3B4D0,-3B1DB,-3B2D1
-52E24,-52EA5,-52D75
-3B178,-3B176,-3B1C7
-52CB3,-52CB5,-52CC1
-3B152,-3B129,-3B3BA
-52DA4,-52ADE,-52C3D
-3B193,-3B273,-3B2FD
-529A2,-52C16,-52D09
-3B1EE,-3B0A7,-3B145
-52A3A,-52ABA,-52DA9
-3B1DE,-3B22E,-3B1E9
-52C7B,-52C32,-52D52
-3B172,-3B19A,-3AFE8
-52B6C,-52CDE,-52D1D
-3B1EE,-3B1ED,-3B2C4
-52C4C,-52B5F,-52B55
-3AFEF,-3B177,-3B257
-52B84,-52C43,-52C78
-3AFBC,-3B013,-3AFEE
-52E13,-52C20,-52B57
-3B176,-3B294,-3B2D3
-52BAF,-52A4A,-52CBB
-3B269,-3AFC9,-3B071
-52AD5,-52B0D,-52C07
-3B0E2,-3B0A9,-3AFF1
-529C6,-528FB,-52A32
-3B00A,-3AFEF,-3AF10
-52BA0,-52A90,-52ABE
-3B0BC,-3B242,-3B185
-52A0D,-52B14,-52BA6
-3AF89,-3B157,-3AE56
-52952,-52953,-52966
-3AFCB,-3B125,-3AFD9
-529E6,-52A64,-52AA4
-3B017,-3B11D,-3B05B
-52BB6,-52B49,-52AB3
-3B19D,-3B149,-3B1AD
-529CB,-52A40,-529DA
-3B0C6,-3AE9A,-3B0BE
-52B5E,-52A38,-52BB0
-3B0EC,-3AFE1,-3AFD8
-52A87,-52A9F,-52BA6
-3AFAE,-3AEC9,-3AFD8
-52CE9,-52CA0,-52CE5
-3B207,-3B202,-3B28F
-52AB0,-52D91,-52BF9
-3B0EC,-3B204,-3B25A
-52C88,-52B40,-52B57
-3B0B5,-3B0BD,-3B29D
-52C97,-52BFF,-52DB6
-3B166,-3B10E,-3AFD1
-52C78,-52CB1,-52CEA
-3B0C0,-3B0A8,-3B183
-52DC7,-52C0F,-52D44
-3B091,-3B096,-3B23F
-52C6D,-52DDA,-52E19
-3B0B3,-3B190,-3B050
-52AF6,-52CED,-52A80
-3B1C4,-3AFBC,-3AF9D
-52B97,-52D97,-52A47
-3B1B9,-3B20A,-3B25E
-52C2D,-52C92,-52B78
-3B13E,-3AF83,-3B0F8
-52D94,-52A9F,-52A8F
-3AF99,-3AF4E,-3B09F
-52B0D,-52A25,-52B00
-3B80C,-3B9EA,-3B8F9
-52716,-52635,-526D1
-3ABE3,-3ACE4,-3AD5F
-52728,-525BD,-52625
-3AD27,-3AD3B,-3AA9D
-526B5,-5285D,-526CE
-3AD92,-3AC89,-3AE1D
-5272B,-5270E,-5284A
-3AC68,-3AD88,-3A9E6
-526AD,-52652,-526C7
-3ACCE,-3AC46,-3AC88
-5265E,-52787,-5258A
-3ABCF,-3AA26,-3AB99
-522FD,-524E8,-52429
-3AA3A,-3AD56,-3AB32
-526A0,-525F0,-5268C
-3AB88,-3AB72,-3AAF6
-52660,-524CB,-5264C
-3ACC1,-3AACE,-3ACAF
-52732,-526AC,-525F7
-3AC6F,-3ACAF,-3AC0A
-525D0,-525FA,-52461
-3AB87,-3AA8F,-3AA57
-5265B,-52516,-52532
-3AAF7,-3AC7F,-3AB7F
-5248A,-52619,-52657
-3AB84,-3ABE8,-3AA9D
-525E4,-524C7,-52457
-3AB26,-3ABBF,-3A98F
-52567,-52585,-52558
-3AA1B,-3AABF,-3A9E0
-5249A,-523B8,-523FF
-3ACF3,-3AC93,-3ACAF
-524F0,-5278B,-527E7
-3AD52,-3AD9D,-3AC0B
-5275D,-527A4,-527CB
-3ACC1,-3ABD3,-3AB06
-52676,-525F5,-52808
-3ACC3,-3AB39,-3ACD7
-5250A,-52785,-52737
-3AB89,-3AC40,-3AC99
-52792,-5271B,-526C1
-3AD0D,-3ABA1,-3AD53
-52642,-527BF,-52745
-3AE25,-3AE41,-3AE11
-52857,-526E4,-526DC
