{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-751F7,-7517F,-753E3
-5D97B,-5D7D2,-5D735
-75247,-75263,-751AF
-5D6EA,-5D615,-5D6EE
-75259,-7521A,-7512E
-5D876,-5D90C,-5D8F4
-754C7,-75360,-75119
-5D6D6,-5D713,-5D776
-750C0,-75239,-75212
-5D5EF,-5D764,-5D522
-75037,-750C0,-751EB
-5D6F7,-5D5B6,-5D795
-750E6,-752B0,-75244
-5D6D9,-5D689,-5D854
-75328,-752E3,-75344
-5D914,-5D816,-5D804
-753FC,-75281,-752EC
-5D7BD,-5D8AF,-5DA0F
-752E5,-75538,-752B6
-5D81D,-5D7E1,-5D727
-751C1,-753EA,-75207
-5D907,-5D62D,-5D884
-750E3,-75321,-75179
-5D5F4,-5D7E1,-5D7B3
-7527A,-75333,-7522D
-5D96E,-5D7D0,-5D7D6
-751C8,-75326,-75350
-5D9A6,-5D668,-5D8D5
-75143,-752B3,-752DA
-5D9DA,-5D982,-5D7D9
-752FD,-7545B,-7534F
-5D9B9,-5D992,-5D871
-75419,-75283,-752EA
-5D851,-5D77C,-5D964
-754B8,-7524C,-752CA
-5D920,-5D8B5,-5DA78
-750F2,-75279,-751B4
-5D62D,-5D6A2,-5D60B
-752E8,-754F3,-75284
-5D92B,-5D77C,-5D905
-752B1,-750BC,-752EF
-5D70E,-5D669,-5D673
-750AE,-7511B,-7519B
-5D66D,-5D4F4,-5D763
-7514B,-75180,-753DA
-5D5D5,-5D70D,-5D75D
-75512,-7529E,-752B1
-5D9C3,-5D91A,-5D665
-75215,-75302,-750F9
-5D6B8,-5D723,-5D873
-753AA,-75465,-7519A
-5D8F1,-5D7A0,-5D989
-751FC,-75166,-75209
-5D835,-5D624,-5D6F0
-75167,-750A5,-75139
-5D838,-5D76E,-5D612
-7520D,-75068,-751E5
-5D7EA,-5D8B4,-5D5F8
-75156,-7511E,-751FC
-5D6AF,-5D7DF,-5D69B
-75163,-75224,-751F2
-5E2BC,-5E08B,-5E0B4
-74F0D,-74FD2,-75002
-5D520,-5D31D,-5D46D
-74EE7,-74DD2,-74ECA
-5D513,-5D43A,-5D5D7
-74E86,-74EB4,-74DEA
-5D403,-5D49B,-5D28A
-74ECB,-74CF5,-74F53
-5D430,-5D2F1,-5D247
-74EE1,-74FB6,-74F48
-5D50A,-5D544,-5D411
-74D3F,-74E53,-74E19
-5D4A6,-5D358,-5D30A
-74DE2,-750F7,-74DEA
-5D30A,-5D3D3,-5D28F
-74E1B,-74DEB,-74D47
-5D38C,-5D4AD,-5D2C5
-74E15,-74E1F,-74E76
-5D31A,-5D218,-5D1DE
-74E11,-74D84,-74DE9
-5D449,-5D2A9,-5D37A
-74DFA,-74ED8,-74D36
-5D378,-5D1A4,-5D275
-74D62,-74C30,-74D29
-5D3CA,-5D1C3,-5D15E
-74E11,-74E35,-74D91
-5D159,-5D29A,-5D0B0
-74B14,-74CB6,-74C15
-5D226,-5D0B0,-5D083
-74DF5,-74BAB,-74AFE
-5D230,-5D12D,-5D292
-74D4C,-74CB0,-74C69
-5D39B,-5D272,-5D377
-74E06,-74FB3,-74DCC
-5D528,-5D4BA,-5D4B5
-74CDA,-74FF6,-74E9E
-5D488,-5D423,-5D374
-74E60,-74D45,-74CCD
-5D2D5,-5D3C7,-5D183
-74CD4,-74DE3,-74CE6
-5D151,-5D34C,-5D1B8
-74C3C,-74DD2,-74E4F
-5D48D,-5D2D6,-5D3C2
-74BF6,-74C20,-74DBC
-5D3B8,-5D372,-5D361
-74DC0,-74D99,-74EA9
-5D23E,-5D2A5,-5D175
-74C40,-74BF6,-74A34
-5D03F,-5D236,-5D012
-74C53,-74C40,-74DAE
-5D2A7,-5D2B7,-5D1E1
-74D7A,-74DAC,-74C64
-5D25D,-5D39C,-5D434
-74E59,-74E83,-74D92
-5D338,-5D36D,-5D2DB
-74E10,-74D9A,-74C5B
-5D078,-5D136,-5D29D
-74CB9,-74F0A,-74AF7
-5D336,-5D333,-5D2B7
-74E16,-74F52,-74DFB
-5D2DC,-5D31D,-5D2D2
-74C26,-74BCF,-74C48
-5D447,-5D28D,-5D198
-74D62,-74DE6,-74D2F
-5CEDC,-5D051,-5CF22
-74BAC,-74A86,-74B4A
-5D034,-5CF94,-5CF2E
-74B43,-74C1A,-74AF1
-5D039,-5D0A4,-5CFFF
-749F8,-74CD6,-74A59
-5D279,-5CFFE,-5CFAA
