{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-14E344,-14E2BD,-14E1E6
-165C65,-165BE7,-165C42
-14E108,-14E00C,-14DFF3
-165B5A,-165AC7,-165DA1
-14E105,-14E27C,-14E3D0
-165DF1,-165D36,-165D66
-14E4EE,-14E1FD,-14E167
-165CFA,-165ECE,-165E2F
-14E4B3,-14E455,-14E38C
-165E00,-165EDD,-165C30
-14E359,-14E2AC,-14E333
-165BC6,-165D26,-165CC0
-14E130,-14E31E,-14E41A
-165E08,-165E8D,-165B92
-14E30B,-14E472,-14E2AD
-165CD7,-165D6B,-165D85
-14E1EA,-14E531,-14E28D
-165D93,-165D04,-165CE9
-14E26B,-14E276,-14E244
-165F22,-165D99,-165EA9
-14E406,-14E566,-14E474
-165D4A,-165DF2,-165E6A
-14E344,-14E37B,-14E32C
-165BC3,-165E95,-165F8D
-14E574,-14E49D,-14E346
-165D7A,-165F74,-165CEE
-14E210,-14E444,-14E236
-165DAC,-165ECB,-165F82
-14E437,-14E242,-14E4C5
-165CBE,-165DDE,-165BEC
-14E358,-14E130,-14E371
-165E94,-165EF5,-165D02
-14E3AF,-14E46C,-14E476
-165CD5,-165D0A,-165DC9
-14E49D,-14E366,-14E310
-165C53,-165CE9,-165D39
-14E49E,-14E546,-14E391
-165DFF,-165E61,-165D41
-14E45E,-14E39E,-14E54D
-165E70,-165CE4,-165DD0
-14E5D7,-14E4EE,-14E525
-165ED8,-165F72,-165F1D
-14E2D2,-14E432,-14E327
-165CDA,-165E92,-165EED
-14E366,-14E072,-14E304
-165D37,-165CE8,-165E9C
-14E3D1,-14E433,-14E346
-165E3E,-165C98,-165E5C
-14E53A,-14E452,-14E4A6
-165E5A,-165E0B,-165EDB
-14E2D2,-14E235,-14E624
-165ED2,-165ED4,-165E28
-14E354,-14E45C,-14E549
-16617F,-165F17,-165F05
-14E405,-14E470,-14E5C4
-165ED9,-165F3A,-165FE8
-14E470,-14E48F,-14E452
-16607E,-165F6B,-165E5D
-14E609,-14E539,-14E590
-165E9D,-165F0A,-166056
-14E25F,-14E416,-14E442
-165F6E,-165DEB,-165D35
-14E3F6,-14E3C1,-14E3DC
-165E5E,-165D95,-165DC3
-14E4AD,-14E453,-14E401
-165E88,-165F1A,-165FFF
-14E8AE,-14E832,-14E6FC
-16642D,-1661F7,-166537
-14E997,-14EAB5,-14E9F6
-1664A1,-1663A0,-166373
-14E918,-14E89A,-14EAAB
-1662B3,-166445,-1666B5
-14E955,-14EA4C,-14EA12
-166503,-166366,-166317
-14E8FB,-14EA6B,-14E90B
-16636C,-1663A8,-1662FF
-14E93C,-14E9C4,-14EA44
-166421,-1663D2,-1664A0
-14EB25,-14E7A7,-14EA55
-1663DD,-16629C,-1663FF
-14E67E,-14EA1F,-14EA20
-16637B,-166328,-1663C2
-14E77E,-14E8D3,-14E873
-1663F3,-1663D2,-1662FD
-14EA43,-14EA2F,-14E9F3
-1664B3,-166409,-166459
-14E83A,-14E9EA,-14E7BB
-166293,-166396,-16650F
-14EA3F,-14EAD6,-14E9D7
-166544,-1664EA,-166541
-14E983,-14E8E1,-14E8A9
-16639D,-166514,-1664A2
-14EE0E,-14E9B7,-14E8FB
-166487,-166431,-16644B
-14EB66,-14EA7D,-14EA94
-1663C1,-166498,-166491
-14EC93,-14E902,-14EADD
-16664D,-1664E8,-1664C1
-14EC36,-14E9E5,-14E933
-16652C,-1664C0,-166291
-14EC16,-14E93B,-14EA99
-166559,-1664BE,-1664E2
-14EAC0,-14E9F3,-14EB39
-16642B,-1664FF,-166439
-14ECCC,-14E9CB,-14EBDB
-166599,-16649F,-166496
-14EAE6,-14E86A,-14EAA1
-16648F,-166425,-16658C
-14EC30,-14E857,-14EAAB
-16653E,-16665B,-16665D
-14EB25,-14EA7F,-14EBED
-166476,-166542,-1663C5
-14EA0A,-14EBB7,-14E8BE
-1663D0,-16664C,-166627
-14EA5D,-14E7E8,-14EA1D
-1665B9,-1665E1,-16641E
-14EB63,-14EB82,-14EB37
-16649A,-1665D4,-166593
-14E986,-14EAAD,-14E9A3
-16659F,-166423,-166513
-14EC68,-14EBC8,-14EAF5
-16649B,-16671D,-16656F
-14EB48,-14EB7D,-14EB91
-1664C6,-166658,-166623
-14EAD5,-14EBC2,-14EB6E
-1665BD,-1666C5,-1665EC
-14EB07,-14EB9D,-14EA96
-1666E2,-1666E4,-1664FF
-14EAB8,-14EAB4,-14EBDD
-16648E,-166578,-16664C
-14EB9E,-14EA39,-14EBF0
-16669E,-16657B,-166590
-14EC71,-14EC1B,-14EB09
-166570,-166690,-16676D
-14ECFD,-14EBCA,-14EAF2
-1665DA,-166612,-1667BC
-14EB47,-14EB0B,-14EADF
-166608,-16665B,-16657C
-14EC89,-14EB5D,-14ECEF
-166406,-166510,-16656F
-14EAC5,-14EB59,-14EB23
-166665,-166685,-1665AE
-14ED13,-14EBD1,-14EB61
-1667BB,-166616,-166705
-14EB42,-14EB95,-14EBD8
-166699,-166575,-166715
-14EA71,-14EBFD,-14EAD0
-1666AC,-1666ED,-1666DD
-14EB9D,-14ECAB,-14ECB9
-16681B,-166731,-1667C1
-14EA62,-14ECE5,-14EA56
-16678B,-1668C1,-16675D
-14EBE8,-14EB48,-14EB8A
-16684D,-16665E,-1664AE
-14EB5F,-14ECFC,-14EB2F
-16643C,-166490,-1665F6
-14EB12,-14EC55,-14EC56
-166512,-1665DB,-166504
-14E967,-14E98E,-14EAA9
-166470,-166632,-166644
-14EB36,-14EB26,-14EBB4
-166645,-1665BA,-166663
-14EBB0,-14EC5B,-14EC22
-1665CF,-166868,-16666A
-14ED62,-14ECCE,-14EB40
-1667AC,-166762,-16666E
-14ED05,-14ED76,-14ECCF
-1667A5,-166839,-166743
-14ECD6,-14EA61,-14EDFF
-1667D1,-16677C,-16679D
-14EC90,-14ED30,-14EC6B
-166785,-166808,-16676F
-14ECDE,-14EB2A,-14ED06
-1666E0,-16658E,-16658A
-14ED52,-14EC8F,-14EA1C
-1667D2,-166667,-166609
-14ED87,-14EF07,-14EACA
-166455,-16661B,-16674B
-14EBB7,-14EB5E,-14EC24
-1666A4,-1664AD,-166918
-14ECD9,-14EDE3,-14EF2E
-1666E4,-166896,-16678E
-14EBF1,-14EC68,-14EC88
-16679F,-1666F5,-1667C4
-14EC92,-14ECCD,-14EC0A
-166640,-16682E,-16677E
-14EC3B,-14ECE2,-14ED96
-16658C,-1666C6,-166647
-14ECB2,-14EDC9,-14EC2F
-166872,-1668B3,-1667F2
-14EE6E,-14ED23,-14EE2E
-1667A0,-1667D7,-1668D9
-14ED41,-14EE7B,-14EFF0
-1668A3,-166724,-16677B
-14F773,-14F5D0,-14F6FB
-166369,-16631F,-1663C5
-14E8CC,-14E8C7,-14E8B7
-16653F,-1663D9,-166465
-14E9E2,-14E939,-14E838
-16640C,-166558,-1663D3
-14EA36,-14E7E0,-14EB78
-166319,-1663AB,-1663E4
-14E8F8,-14E904,-14E965
-166129,-166252,-166154
-14E87D,-14E63C,-14E860
-1662D3,-16631E,-166319
-14E80F,-14E885,-14E8CE
-166388,-1663E8,-166536
-14E7AC,-14E987,-14E9A8
-16641A,-1662AD,-166437
-14E7B9,-14E8D2,-14E7E0
-16655C,-1662A8,-1664B0
-14E8FD,-14EC3B,-14E8E3
-1664BA,-1662A8,-16625F
-14EBAB,-14EA65,-14EA24
-166494,-166544,-166435
-14E9B0,-14E940,-14E9D7
-166480,-166352,-1664ED
-14EA20,-14EA04,-14E9D8
-16634C,-166466,-166393
-14E9FA,-14E9A6,-14E9D9
-16641E,-1663AF,-1663BF
-14E836,-14E8CB,-14E777
-1664F9,-1661D7,-1661EF
-14E99B,-14E8D9,-14E820
-16631B,-166379,-1662F1
-14EC27,-14EB24,-14E96F
-1663C5,-16645E,-1664A2
-14E8B3,-14EA00,-14EB3B
-166466,-1663E1,-166229
-14E98B,-14E9AD,-14E988
-166444,-1663D5,-1664CB
-14EB59,-14EA4C,-14EA85
-1663ED,-166519,-16641E
-14EB63,-14EA7E,-14EA7C
-16641B,-1664BF,-16641A
-14EA50,-14EA9B,-14EB50
-16651C,-166557,-1664AE
-14EA46,-14E9EC,-14EB40
-16646A,-166498,-16643E
-14E9BB,-14EA50,-14EAA7
-166516,-1665DB,-166707
-14E804,-14E836,-14E96D
-166437,-16660B,-1663CE
-14EA06,-14EB99,-14E951
-16666B,-1664C9,-1666C3
-14EB3E,-14E970,-14EA59
-1665DF,-166729,-166825
-14EC26,-14EB28,-14EADC
-1665DA,-166759,-16683C
-14EA42,-14ED40,-14EBE2
-1665A2,-1665D5,-16669B
-14EC38,-14ECD1,-14EB48
-16664A,-16641E,-1666F6
-14EA4A,-14EA36,-14E90A
-1664A7,-166574,-166492
-14EAB3,-14EA55,-14EB51
-16654C,-16668D,-1664D2
-14E9FF,-14EA5C,-14E99A
-1664E7,-16664F,-1665DE
-14EB4D,-14EB7C,-14EB42
-166568,-1667B5,-1666DA
-14ED6A,-14EA67,-14EBE3
-1665B9,-1667C5,-1666D6
-14ECA8,-14EBFD,-14EDD6
-166659,-16686F,-16673D
-14ECEA,-14ECEF,-14EB41
-1666F9,-166548,-166665
-14ECD3,-14EC33,-14EAC0
-166659,-166646,-1666A3
-14EBE6,-14EAA3,-14EAD5
-1665C7,-166730,-166597
-14ECC1,-14E95E,-14EB1C
-166660,-1664C4,-16669D
-14EC78,-14EAED,-14E930
-166673,-1666BE,-16671F
-14EC09,-14ED85,-14EC17
-166659,-166795,-16678D
-14EB94,-14EBB7,-14EDD3
-166596,-1667ED,-1668B4
-14EAAA,-14EC95,-14EBC9
-166819,-1668DB,-166790
-14ECEA,-14ECB3,-14ECE3
-1665EA,-166707,-16645F
-14EB17,-14EB5B,-14EC9E
-16666F,-16662F,-1667F9
-14EC37,-14ECA6,-14EDCB
-166682,-1666E2,-1668BD
-14ECAE,-14ED0F,-14EDF7
-1666DA,-16684B,-1668AB
-14EEB2,-14EDD7,-14EF02
-166894,-1667B2,-1666E5
-14EEA9,-14ECD4,-14EDE0
-16668C,-1667AD,-166927
-14EE01,-14EDD6,-14ED64
-166742,-1667FD,-16674B
-14EDAF,-14EBD4,-14ED14
-1666CC,-166867,-1667E5
-14ECB4,-14ECA3,-14EC74
-166713,-16695F,-166817
-14EBE6,-14ED58,-14EC26
-166464,-16674B,-166604
-14EC10,-14EC8A,-14EC84
-166661,-16675B,-16673E
-14ECF2,-14ED43,-14EE01
-1667E8,-166A67,-166765
-14EDF2,-14EAAF,-14EC9B
-1666A9,-166836,-1667DA
-14ED94,-14EE34,-14ECC7
-1666EE,-1666D5,-16662D
-14EBE9,-14EE83,-14EE0D
-1667C5,-166816,-166769
-14EC83,-14EE6E,-14ED05
-16686A,-166861,-166758
-14EB61,-14EAD7,-14ED23
-1665E6,-1666C0,-16684F
-14ECA2,-14EBB6,-14EB0E
-1665C0,-166792,-16666E
-14ECF2,-14ED94,-14ECAC
-16666C,-1666BE,-166808
-14EE1B,-14EC5F,-14ECB2
-16679B,-16676C,-1664FE
