{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1CF5BD,-1CF2F0,-1CF41A
-1E6D47,-1E6CAF,-1E6E4E
-1CF3C6,-1CF47D,-1CF1F4
-1E6DC3,-1E6D54,-1E6D1A
-1CF1F3,-1CF1DE,-1CF592
-1E6E29,-1E6FD0,-1E6E59
-1CF2BA,-1CF18C,-1CF27C
-1E6C0F,-1E6F92,-1E6DCB
-1CF4F4,-1CF4BB,-1CF3AB
-1E7044,-1E7060,-1E6D84
-1CF3D0,-1CF358,-1CF461
-1E6DBC,-1E6EF1,-1E706A
-1CF497,-1CF5D1,-1CF514
-1E7024,-1E6E39,-1E6FC1
-1CF650,-1CF601,-1CF711
-1E6E59,-1E6D20,-1E6ED8
-1CF39C,-1CF509,-1CF4EE
-1E6EDE,-1E7011,-1E7026
-1CF784,-1CF477,-1CF597
-1E6FD6,-1E7095,-1E6FF2
-1CF638,-1CF6A4,-1CF633
-1E70BD,-1E6FF0,-1E7170
-1CF632,-1CF637,-1CF5BD
-1E7155,-1E721F,-1E70FC
-1CF603,-1CF541,-1CF605
-1E70D5,-1E71CE,-1E71FE
-1CFB1A,-1CFA34,-1CFA92
-1E68CF,-1E6B60,-1E6A18
-1CF09C,-1CEF2C,-1CF23C
