{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-E0E9C,-E0F7B,-E0EAF
-F8865,-F8A30,-F8975
-E0F0B,-E0E8D,-E0DE7
-F887D,-F892C,-F88EC
-E0E37,-E0F17,-E0DD1
-F8899,-F882D,-F87D1
-E0C7B,-E0E33,-E0EC3
-F883F,-F88E2,-F87A6
-E0F23,-E0E7A,-E0CBE
-F8839,-F88E7,-F8885
-E0D72,-E0DD7,-E0E14
-F887B,-F88CE,-F87E9
-E0D52,-E0D73,-E0D42
-F86BE,-F868E,-F87C4
-E0C4A,-E0D67,-E0E8D
-F889F,-F87E4,-F85B9
-E0D67,-E0D67,-E0E24
-F86DA,-F8824,-F87F3
-E0CFC,-E0D9A,-E0CA7
-F87BB,-F8994,-F8780
-E0C9F,-E0DDB,-E0F29
-F8AD3,-F8945,-F8B06
-E11A6,-E1080,-E1269
-F8B3B,-F8BB3,-F8ADD
-E11E3,-E10AB,-E0EC3
-F8D0D,-F8C34,-F8A25
-E1129,-E0EA2,-E0FD5
-F8B30,-F8AEC,-F8BC6
-E1027,-E0EF0,-E0FFC
-F8B76,-F8C44,-F8953
-E1025,-E0EB7,-E0F8A
-F891F,-F8AA6,-F8B34
-E0EEA,-E101F,-E0F38
-F8ACE,-F8ACE,-F8921
-E1109,-E0FB2,-E0FB0
-F8960,-F8940,-F898B
-E0E05,-E0DB0,-E0DD6
-F88E9,-F8922,-F88B3
-E0EFD,-E0E7B,-E0FA2
-F87F6,-F8A54,-F8A08
-E0F86,-E0E99,-E0DF0
-F8803,-F89C7,-F89EB
-E0E62,-E0D27,-E0FC7
-F8B15,-F89BA,-F8AEF
-E0E45,-E0F77,-E0F0C
-F8AAF,-F8AE7,-F8A5A
-E0CC3,-E0E49,-E0F05
-F8835,-F888F,-F89D6
-E1010,-E0E3B,-E0E2C
-F885B,-F8729,-F8873
-E100C,-E0F67,-E10D2
-F8950,-F886F,-F895B
-E0D8D,-E0EFD,-E0E4F
-F85F2,-F8948,-F88D5
-E0D6F,-E0DA0,-E0D82
-F8743,-F86BE,-F8730
-E0C1F,-E0D80,-E0E5E
-F86F2,-F878C,-F8909
-E0AA8,-E0C06,-E0D82
-F8761,-F87AF,-F86DF
-E0DC0,-E0C63,-E0CE5
-F85DF,-F8678,-F84DF
-E0E54,-E0D27,-E0E5F
