{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-885C9,-8868C,-885FE
-A0112,-A00B5,-A0070
-885FC,-886A2,-88798
-A025D,-A004E,-A01AF
-88839,-885E1,-8861D
-A0195,-A0339,-A01D7
-88760,-88536,-88616
-A0045,-A000A,-A00EE
-884A3,-8858C,-88730
-A003B,-A005C,-A0113
-887AA,-88813,-88585
-9FFC4,-9FE63,-9FF80
-885E8,-882DD,-88665
-A0100,-A00EA,-A0216
-8850A,-886B2,-886C8
-A0031,-A0259,-A01B2
-8846C,-885A9,-884E8
-A018E,-A02A9,-A00A3
-88613,-885F7,-885A5
-A01CD,-A008F,-A0058
-88577,-8854F,-885E9
-9FFAA,-A0284,-A0126
-8859C,-8871C,-8876E
-A0170,-A0002,-9FFB8
-8863F,-885C6,-886C6
-A0186,-A0145,-9FF31
-88563,-88695,-884D6
-9FFF4,-A00C9,-A0185
-884F6,-8841A,-884B6
-A0017,-A012F,-9FE33
-8869A,-883D4,-884BC
-9FD92,-9FFF8,-9FE93
-88676,-886BA,-886E6
-9FF8F,-A0148,-A0238
-88846,-88702,-886A5
-9FF59,-A01AA,-A016E
-88476,-886FC,-886AF
-A016F,-A011D,-A0187
-8862F,-886BD,-88635
-A0189,-9FF78,-A0184
-885B2,-88507,-887B2
-A0063,-A02B2,-A01D3
-885E5,-887FC,-886A3
-A00B4,-A00B4,-A0086
-88629,-884A9,-8861F
-A0022,-9FFBA,-A0070
-88564,-8846C,-885A0
-9FF88,-A020D,-A0096
-88571,-8849D,-8868E
-A00B0,-A0130,-A01AD
-8843D,-8878A,-8853B
-A00AA,-A0074,-A0008
-8865F,-884FC,-88378
-A0005,-9FEF6,-9FF97
-885F0,-886CC,-8871A
-9FF43,-A011E,-A02D1
-88618,-88595,-8847C
-A0036,-9FEFD,-A01D7
-88554,-885EE,-885CD
-A0065,-A00B3,-A0037
-88640,-886AF,-8868C
-9FFAA,-9FE5B,-A011B
-8869B,-887A2,-88727
-9FF24,-A00C3,-A013B
-886A4,-885FF,-885CF
-9FC62,-9FCF8,-9FCED
-88324,-880EE,-881E4
-9FD6D,-9FD5C,-9FD28
-882DC,-88483,-88195
-9FD64,-9FC36,-9FBDE
-8816E,-881B6,-88272
-9FD39,-9FB6E,-9FD51
-881A3,-88260,-881FE
-9FB7D,-9FC80,-9FC4A
-8813C,-88162,-88218
-9FBC3,-9FC49,-9FBFC
-881C9,-8837E,-88119
-9FBA5,-9FDC1,-9FB5F
-88162,-87FC3,-88129
-9FC90,-9FB81,-9FD52
-880DA,-88094,-87FF1
-9FC80,-9FB81,-9FE4A
-8817C,-880C0,-88201
-9FC2D,-9FB9E,-9FBD5
-88168,-882B6,-881E4
-9F97F,-9FC6D,-9FADD
-883A1,-883C1,-880D6
-9F9F1,-9FA58,-9FA76
-87FB7,-880AD,-881DD
-9FC2E,-9FB8B,-9FBD9
-87FD1,-880A5,-88073
-9FB03,-9FB5F,-9FB4C
-88263,-880EE,-87FDF
-9FC0F,-9FBCC,-9FB70
-881F1,-880C3,-87F80
-9FB56,-9FC22,-9FB03
-882C2,-88261,-88258
-9FB55,-9FCE4,-9FB79
-8816A,-88455,-88244
-9FBDF,-9FB8D,-9FC48
-881E8,-87FC0,-880D3
-9FB47,-9FCE9,-9FABF
-8825A,-88047,-880B5
-9F9D3,-9FEAD,-9FDA7
-8836B,-882EF,-880DF
-9FCF6,-9FC81,-9FCF6
-881E6,-881AE,-8805D
-9F9D0,-9FBB8,-9FC8A
-88183,-8815A,-8811F
-9FB7B,-9FC3B,-9FBD4
-880CD,-88153,-880E8
-9FABA,-9FC41,-9FBE8
-880AE,-88134,-88109
-9FBDF,-9FB7C,-9FD8D
-882B0,-883A3,-88168
-9FC67,-9FBD0,-9FD59
-8824D,-88064,-881F4
-9FABB,-9FC0B,-9FBC8
-881FC,-8812A,-88049
-9FC79,-9FADA,-9FC17
-8806B,-8800E,-881D4
-9FA65,-9FB7C,-9FB82
-881B4,-88008,-8805A
-9FE0D,-9FB0C,-9FC49
-87F91,-87F59,-88066
-9FA67,-9F9BB,-9F9F2
-8802E,-8819F,-88153
-9FA96,-9FB63,-9FACA
-87DC3,-87D10,-87E6A
-9F82A,-9F8C2,-9F81E
-87F1F,-87E00,-87F30
-9F865,-9F7B5,-9F8D5
-87D04,-87E86,-87E94
-9F7E7,-9F6A6,-9F84D
-87C6C,-87D65,-87EB3
-9F928,-9F8DD,-9F847
-87E5B,-87D53,-87EE7
-9F981,-9FA00,-9F78F
-87E02,-87E00,-87E12
-9F9B4,-9F8C5,-9F7AD
-87DBF,-87C7B,-87E32
-9F776,-9F6C1,-9F90F
-87DE7,-87E36,-87D03
-9F7FC,-9F7E9,-9F7B3
-87C5A,-87C90,-87CFC
-9F739,-9F763,-9F66F
-87EFA,-87CFF,-87D0D
-9F7A3,-9F7A3,-9F829
-87B00,-87C8F,-87DB2
-9F854,-9F907,-9F802
-87E01,-87E0D,-87D0A
-9F81B,-9F5CD,-9F7E2
-87C78,-87E37,-87CAC
-9F5C9,-9F8EA,-9F827
-87E90,-87CF6,-87E28
-9F80B,-9F8AC,-9F92E
-87F11,-87E09,-87F01
-9F6EF,-9F634,-9F630
-87C7D,-87E01,-87CC2
-9F4FE,-9F75C,-9F681
-87DAD,-87E32,-87F04
-9F7CC,-9F93E,-9F808
-87EBC,-87EFB,-87DD9
-9F746,-9F773,-9F839
-87D1F,-87DB4,-87F34
-9FA20,-9F87F,-9F7B1
-87D57,-87EBB,-87C1E
-9F8DA,-9FBA3,-9F8D2
-87E1F,-87F5A,-87F55
-9F848,-9F9CD,-9F85D
-87F80,-880BD,-87FD8
-9F8C8,-9FA15,-9F937
-87E1E,-87E70,-87F7E
-9F858,-9F935,-9F86F
-87DF1,-87D86,-87EC9
-9F918,-9F6E5,-9F75B
-87E4A,-87D1D,-87D53
-9F74C,-9F7AA,-9FB36
-87DCA,-87E14,-87EBD
-9F84D,-9FA7A,-9F7DB
-87DF9,-87DD5,-87EED
-9F996,-9F785,-9F91A
-87E1C,-87C7F,-87D48
-9FA01,-9F7C4,-9F85A
-87F6B,-87F8A,-87DF9
-9F86A,-9F94C,-9FA9B
-87DD7,-87E09,-87EF7
-9F854,-9F987,-9F814
-87C3E,-87E6D,-87DB7
-9F6D7,-9F953,-9F860
-87D55,-87E76,-87C91
-9F7A8,-9F76C,-9F810
-887D5,-8880D,-8870B
-9F67B,-9F24F,-9F48C
-878EF,-8799F,-87A5A
-9F4B4,-9F5E5,-9F58F
-8792F,-87903,-87A18
-9F48A,-9F25F,-9F41C
-8798D,-87B53,-878FF
-9F18F,-9F3A5,-9F306
-877B8,-878E3,-879C5
-9F406,-9F238,-9F43C
-87A89,-87845,-878EA
-9F2F7,-9F37F,-9F4D2
-878F4,-87933,-87940
-9F427,-9F3F9,-9F4B0
-877ED,-878FB,-87955
-9F409,-9F4FB,-9F214
-879B4,-87844,-876D9
-9F4A2,-9F3C1,-9F2AD
-87756,-877CC,-879FF
-9F3CE,-9F38B,-9F3B6
-878D0,-876BF,-877B8
-9F314,-9F27E,-9F287
-876FC,-8781E,-877A1
-9F32C,-9F308,-9F319
-876C2,-87829,-8773B
-9F339,-9F163,-9F0C7
-878EB,-8769F,-8792E
-9F13E,-9F3D5,-9F1E1
-87723,-87806,-87793
-9F1F2,-9F19D,-9F4BB
-878D5,-879D3,-87A34
-9F14D,-9F302,-9F2A0
-8783E,-87920,-8795C
-9F335,-9F53E,-9F4BD
-87A76,-87961,-879B9
-9F4F2,-9F3C6,-9F3B1
-879A9,-87A9F,-879E5
-9F413,-9F363,-9F1C4
-87821,-87917,-878CD
-9F2E8,-9F423,-9F387
-8795B,-878BB,-87949
-9F4B2,-9F352,-9F48B
-87981,-87A04,-8784C
-9F194,-9F39D,-9F405
-87743,-87831,-87884
-9F1D6,-9F1FD,-9F247
-8790B,-87929,-878EE
-9F3FC,-9F20E,-9F49B
-878FE,-879D7,-877C6
-9F452,-9F435,-9F348
-8790C,-87961,-87918
-9F325,-9F44A,-9F205
-877C5,-878A8,-8789D
-9F371,-9F3BD,-9F4E7
-879AC,-8784B,-8792C
-9F5A6,-9F241,-9F3DB
-878B6,-87987,-87AE1
-9F1C0,-9F1CC,-9F22F
-87886,-87869,-87925
-9F275,-9F3D3,-9F178
-87A51,-876E8,-87822
-9F1E2,-9F39B,-9F1A1
-87864,-8795E,-8799C
-9F214,-9F40C,-9F3DC
-8766E,-875F9,-87781
-9F277,-9F276,-9F184
-87610,-87975,-87690
-9F1F5,-9F0D2,-9F205
-878DF,-87883,-8760C
-9F243,-9F03A,-9F11C
-8771E,-876F3,-876B9
-9F344,-9F38C,-9F143
-87690,-876BD,-875F0
-9F002,-9F099,-9F109
-87880,-874FB,-87612
-9F080,-9F085,-9EF90
-87714,-876AA,-87699
-9F128,-9F104,-9F163
-877D8,-875C4,-876E0
-9F0F5,-9F06B,-9F04D
-87622,-875AB,-87654
-9F0C1,-9EFCE,-9F069
-87610,-8773A,-875CF
-9F069,-9F2E9,-9F1CC
-876FA,-8758E,-875D7
-9EEC0,-9EE9D,-9F034
-8772E,-87404,-875DB
-9F0B4,-9EF45,-9F1CF
-8759C,-87740,-875B4
-9EF62,-9F1C7,-9F1AF
-874E9,-876F8,-874D6
-9F071,-9F20F,-9F051
-8758E,-87675,-873B4
-9F0E6,-9F0D3,-9EFB2
-877A6,-8757F,-87563
-9EE55,-9F13E,-9F276
-8786B,-87757,-8784A
-9F191,-9F2EA,-9F277
-87820,-8777F,-87784
