{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-D11E7,-D1029,-D1199
-E8C03,-E8B63,-E8B90
-D1148,-D11D9,-D1171
-E89CF,-E8C19,-E8AAC
-D119E,-D11F2,-D0FBA
-E8AD6,-E8B81,-E8D40
-D1208,-D11CC,-D1202
-E8AC5,-E8BAA,-E8DA7
-D1058,-D113E,-D1276
-E8B5D,-E8C36,-E8C4D
-D11E1,-D102E,-D10CF
-E8CC3,-E8BC2,-E8BEC
-D1121,-D1242,-D1284
-E8B5C,-E8D44,-E8E70
-D11E4,-D1194,-D124C
-E8D53,-E8C6B,-E8B6E
-D129E,-D110F,-D1343
-E8D11,-E8C30,-E8D7B
-D137E,-D1194,-D124C
-E8CEA,-E8CC1,-E8BEA
-D12B3,-D129A,-D12EA
-E8DF3,-E8E9F,-E8CDB
-D1145,-D11F3,-D0FD7
-E8D4E,-E8D27,-E8DB5
-D12AB,-D13A6,-D131A
-E8CF7,-E8C51,-E8BC1
-D15E8,-D15A3,-D14CA
-E8668,-E8770,-E86B0
-D0D65,-D0CF7,-D0C94
-E881C,-E86B6,-E885D
-D0D56,-D0DB9,-D0D86
-E866D,-E8683,-E85FA
-D0C79,-D0BA0,-D09FD
-E8744,-E86E6,-E863C
-D0C6D,-D09DC,-D0D7C
-E87A8,-E88B9,-E8663
-D0CAF,-D0F5D,-D0E21
-E8928,-E8744,-E8893
-D0F9A,-D0E97,-D0E13
-E888B,-E88B2,-E8866
-D0EEA,-D0F70,-D0EA9
-E89CE,-E8AD5,-E8AB8
-D0DAB,-D0E16,-D0D7E
-E881D,-E8AF4,-E8B74
-D0F2E,-D1018,-D0E54
-E89F9,-E894F,-E89AE
-D0E94,-D0D61,-D0E11
-E8A06,-E8A22,-E8986
-D0F25,-D0F9A,-D0F1E
-E89DD,-E898C,-E8992
-D0E46,-D0F83,-D1036
-E897F,-E8982,-E8A56
-D10B5,-D1136,-D1130
-E89A9,-E8939,-E8C76
-D0FF5,-D0FCC,-D1083
-E8A2C,-E8B3A,-E8A27
-D10D0,-D0ECE,-D1100
-E8B3C,-E89A6,-E899F
-D0F2E,-D0E8D,-D0E42
-E88E7,-E87E6,-E889C
-D0FA3,-D0F3F,-D0CF4
-E870D,-E85EF,-E879F
-D0D50,-D0CF3,-D0B0F
-E872C,-E88B4,-E8858
-D0EBC,-D0E2D,-D0DC1
-E88C8,-E8977,-E8A64
-D0D2A,-D0DF3,-D0DCF
-E8958,-E8812,-E8903
-D0FDD,-D1062,-D0E6B
-E89F1,-E8A40,-E8A29
-D0CA3,-D0FDD,-D0FE9
-E8904,-E8979,-E882B
-D0DB4,-D0EA0,-D0D5B
-E864E,-E8681,-E873A
-D0C73,-D0B7D,-D0C9C
-E889E,-E88F4,-E8992
-D0DB7,-D0E95,-D0E33
-E8881,-E885F,-E888E
-D0FB5,-D0F1D,-D0E51
-E89C7,-E8B59,-E8940
-D0F0E,-D0E52,-D0EC1
-E8885,-E88BF,-E8991
-D0F6D,-D10CE,-D0FC2
-E89BE,-E8A25,-E8938
-D0FE5,-D10CB,-D0E8D
-E89BF,-E8AC3,-E88D3
-D0E90,-D0F8B,-D0FFA
-E88E9,-E8B66,-E89A1
-D1018,-D1149,-D100F
-E8922,-E8992,-E897D
-D0E1C,-D1092,-D0E3B
-E8C11,-E8C1F,-E8C12
-D12C8,-D12BF,-D13E9
-E8D23,-E8D52,-E8D8F
-D138B,-D12E8,-D1291
-E8DB1,-E8D26,-E8BA4
-D1255,-D1119,-D128B
-E8DDA,-E8CF1,-E8D3A
-D14AF,-D1279,-D1390
-E8C59,-E8E61,-E8B85
-D12CD,-D134B,-D14E0
-E8DCA,-E8D28,-E8DAD
-D1418,-D15E7,-D1541
-E8F1B,-E8EB4,-E8C82
-D14A2,-D1328,-D13D6
-E8F5E,-E9079,-E90FA
-D14F5,-D134B,-D14BD
-E8D94,-E8C13,-E8CC2
-D141A,-D1155,-D1434
-E8DEB,-E8D01,-E8FF0
-D13EC,-D157E,-D13B9
-E8EB5,-E8EB3,-E8E43
-D1398,-D1549,-D148C
-E8F84,-E8D3D,-E8EE1
-D109C,-D1500,-D13B1
-E8F94,-E8ECA,-E905D
-D158B,-D1503,-D148F
-E8DC3,-E8CE0,-E8DAF
-D1457,-D15C9,-D1404
-E8F4B,-E8DF1,-E8E4F
-D157A,-D154A,-D1593
-E8F9B,-E8ED7,-E9054
-D13D6,-D14E0,-D14F2
-E8EC0,-E8D9D,-E8D98
-D13F6,-D1277,-D13CB
-E8E89,-E8E81,-E8EBB
-D11DB,-D13E0,-D11D5
-E8BC8,-E8F4C,-E8D42
-D1278,-D1467,-D13A2
-E8EF2,-E8B6A,-E8C7F
-D128A,-D11C1,-D1221
-E8B4F,-E8EC8,-E8CA2
-D12BF,-D11ED,-D123A
-E8C42,-E8DD7,-E9064
-D1346,-D132A,-D1206
-E8DF3,-E8DA5,-E8E37
-D151A,-D13B2,-D148A
-E8E39,-E8E2F,-E8D1E
-D1339,-D1229,-D1471
-E8BB1,-E8D4A,-E8EAB
-D13F3,-D14F1,-D13D4
-E8D09,-E8DE1,-E8DC9
-D12F9,-D13D7,-D15DC
-E8F2C,-E8FD6,-E8EEE
-D156C,-D152E,-D15A2
-E8FC0,-E8FD3,-E8DC2
-D15C9,-D135C,-D13E4
