{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A0C28,-A0DD8,-A0D13
-B87FE,-B8638,-B8618
-A0CC7,-A0B64,-A0CED
-B879F,-B8592,-B86B0
-A0EE1,-A0F76,-A0BF5
-B86A7,-B87AE,-B8883
-A194B,-A18FB,-A1AC5
-B81F9,-B7FB2,-B80F5
-A08AD,-A0762,-A0708
-B817F,-B81CE,-B7FE5
-A0838,-A0753,-A06A2
-B8083,-B8131,-B8024
-A0598,-A06C5,-A0599
-B818E,-B81CD,-B812A
-A04C9,-A06DF,-A0884
-B8221,-B8090,-B80DE
-A06B9,-A0673,-A0771
-B80A9,-B82BC,-B802A
-A07DE,-A04A8,-A06C6
-B80BC,-B82AB,-B80BB
-A070A,-A05CB,-A076B
-B805A,-B80A2,-B7F52
-A04EF,-A04DA,-A04F0
-B80EA,-B8175,-B80FF
-A061A,-A0569,-A05E2
-B816B,-B8132,-B80E6
-A06A2,-A05EC,-A0704
-B80A1,-B81B1,-B803E
-A054A,-A07E5,-A06CB
-B819C,-B7F36,-B8132
-A0606,-A0694,-A0563
-B7F6A,-B8020,-B7FA7
-A05E8,-A075D,-A07BA
-B819F,-B8083,-B80EF
-A0710,-A061B,-A0632
-B816D,-B81E8,-B8069
-A092E,-A0461,-A04E5
-B80D1,-B7FCA,-B7F3D
-A0688,-A06C5,-A05D9
-B8079,-B7FD1,-B8017
-A05E0,-A06D8,-A0567
-B813C,-B804A,-B816B
-A0756,-A03D3,-A0635
-B7F0E,-B8250,-B7FBF
-A06DF,-A0703,-A0695
-B7F9A,-B7F95,-B8141
-A065D,-A052B,-A0479
-B8224,-B80A7,-B80A2
-A06B3,-A0785,-A0514
-B7F14,-B7E28,-B7EB8
-A03EB,-A03EC,-A05F6
-B8230,-B7FDA,-B7F4E
-A0575,-A0607,-A0472
-B7F9A,-B7EE2,-B8102
-A04C3,-A0354,-A0391
-B7F29,-B7EDE,-B7E75
-A04E6,-A0432,-A0320
-B7FA8,-B8069,-B7EF7
-A0495,-A0533,-A0522
