{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-78302,-782DE,-781CD
-606EF,-60913,-607A4
-7833C,-783C6,-78363
-609BE,-607EF,-609E2
-783F8,-7826B,-782CD
-608DC,-608CA,-606CF
-780DD,-7822A,-781C9
-60741,-6086B,-6089D
-780EC,-78450,-78269
-6081A,-6066F,-6080E
-782E6,-7829A,-78065
-60897,-6068F,-6065A
-78118,-78303,-7824A
-60916,-605CB,-60753
-782A0,-78320,-7803B
-605BF,-60773,-606A0
-78206,-78114,-78061
-607CC,-6054F,-60688
-7826B,-783E3,-78238
-607AE,-60925,-60677
-77FBD,-780E6,-782CC
-6067E,-60759,-60881
-78300,-781E6,-7819E
-60556,-60820,-60686
-78272,-7826F,-78350
-608F2,-60924,-60763
-780FE,-78227,-78297
-6079D,-608DE,-607A3
-7822C,-782DC,-780FB
-6098D,-60832,-6088F
-782E4,-781D7,-78240
-6087E,-60915,-60709
-78211,-7818D,-782AC
-60768,-6085E,-6079E
-78311,-780EB,-78289
-60798,-60653,-60869
-78172,-780BE,-78342
-60846,-6074A,-60862
-7823C,-782C9,-781F6
-609AD,-60881,-60777
-78353,-781A0,-78444
-60913,-60691,-60737
-78106,-781CF,-780FB
-60623,-60956,-60780
-78314,-782C6,-78020
-60633,-607AE,-604EA
-77FB2,-78065,-77FDB
-606CF,-605B7,-605D6
-78111,-7812A,-77F45
-60528,-60541,-604BE
-780BD,-7814F,-78052
-606DB,-606F4,-607D6
-78056,-78023,-780D0
-60869,-60840,-6073F
-78230,-782CE,-78305
-606E2,-6062B,-607DC
-780D7,-78012,-78160
-60717,-6092A,-60742
-78212,-78023,-7810E
-60653,-6067D,-6063A
-77F39,-78296,-77F61
-60829,-608E6,-60802
-77FDE,-780FC,-780D2
-60688,-605EF,-6068D
-77FC3,-78199,-77E6F
-612C9,-611E7,-6122F
-77A3E,-77C08,-77BEE
-60152,-5FF60,-5FE39
-7791C,-779C3,-77B2A
-60191,-6025B,-6002B
-77B36,-77A0B,-77923
-60198,-601D5,-5FF9D
-77A57,-77C29,-77C96
-600B8,-6003F,-60106
-77990,-77B4A,-77A67
-60079,-6002D,-60065
-77AE1,-77AF5,-779D6
-5FECF,-6012C,-5FFD3
-77BE2,-77B40,-77BEE
-600D4,-60275,-601B1
-77B77,-77C4D,-77BB8
-6007F,-5FEE1,-6001A
-77B6D,-77C71,-77B88
-60149,-60132,-5FED3
-77AC9,-77AE5,-77C50
-6002C,-5FF10,-60031
-77A7A,-77BAE,-77B6A
