{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
136531,136724,1366A7
14E0A0,14E13F,14E024
1364DF,136478,13643D
14DEFF,14E089,14E04A
13647E,136605,136507
14E0C1,14DFCC,14DEBA
136740,136623,136738
14E020,14E028,14E006
1364D3,1365C0,136750
14E07C,14DF6A,14E02C
13688C,136555,13665A
14DE91,14E01A,14E2AC
136570,1365E4,13666E
14E02E,14E1C0,14DF74
136679,1365C8,13666A
14E04B,14E0AE,14E131
1364A9,136604,1365C8
14DF18,14E021,14DF8F
13661C,1364E2,1364B2
14E015,14DEAE,14E03A
136527,1364FB,1363E3
14DE72,14DF8D,14DED9
13634C,1364A5,1364D1
14DF4E,14DF4F,14DF85
13663E,136423,136546
14E2D4,14E0B9,14E17A
13669C,136632,13658A
14E149,14DEF7,14E31D
1366F1,1365D6,1366BA
14DFDF,14DFD6,14DFD6
1365E9,1364E6,136406
14E034,14E275,14E16D
136604,136444,1364C1
14E1B0,14E140,14DF99
1365FF,13648D,13651E
14E0D6,14E128,14DF29
13651F,13657E,13653C
14DEF7,14DEE4,14E151
13635B,1363C5,136485
14DF2E,14DF3E,14DE9C
13655A,13638B,1365BF
14DE59,14DE24,14E004
13645F,13649A,13659E
14DED3,14DE2E,14DED2
1364E6,136580,1363AE
14DFA1,14E030,14DF75
1364BB,1364B4,13638B
14DF48,14DF79,14DDE1
1363DD,1362F2,1362DD
14DEB1,14E0B3,14E104
13653E,136546,1365C5
14DDCB,14DE1D,14DC1E
136325,136382,1361E5
14DD43,14DD56,14DE9A
136425,136359,136192
14DCA5,14DD36,14DE9D
136254,1363B0,136308
14DE2A,14DD49,14DC60
13647A,13636A,13635C
14DD32,14DE35,14DD4E
1363AC,136350,1362B0
14DD8E,14DF4A,14DDE9
13647C,1363C8,1363F3
14E087,14DE31,14DFB3
13652A,13632D,136538
14DE35,14DE63,14DDFF
1363BD,13637D,136195
14DBCD,14DCB6,14DC35
136495,13626B,1362C3
14DC4B,14DD97,14DDDA
136344,1362B8,136360
14DCC8,14DDCE,14DEC8
1362C8,1362BB,13637A
14DDEE,14DD17,14DE86
136153,13639A,136236
14DDAD,14DE3C,14DE5E
1362C0,136364,1361D0
14DCDC,14DE23,14DEB5
1362A6,136283,13639F
14DD9F,14DC4F,14DCD5
136354,136198,136178
14DCB6,14DA92,14DCA8
1362F8,13636F,136327
14DE9A,14DBD9,14DDDE
136298,13630D,13650A
14DED4,14DD03,14DE09
13647D,136276,13610A
14DDD8,14DB7A,14D9FE
13620F,136108,1361C6
14DB2A,14DCE6,14DE5F
13625D,1360B5,136423
14DCFE,14DE20,14DE9E
136221,136306,1363A0
14DCDD,14E05B,14DCCA
136262,1362DB,1362EF
14DD1C,14DCE2,14DDDC
1363DB,136416,1361F8
14DF2E,14DE48,14DE9B
1361F8,136204,1361EE
14DDE6,14DD71,14DAE7
136005,136140,13612B
14DBF2,14DCD4,14DC17
1362D3,13619F,13607A
14DDAE,14DCBF,14DBF7
136072,136205,1361A1
14DD96,14DD8D,14DD09
136222,13627E,1362D9
14DAE9,14DB1C,14DB87
136083,13623F,136357
14DD4A,14DE09,14DD3E
136357,136319,13632C
14DD85,14DD99,14DBE5
136238,136059,136250
14D755,14D7CB,14D7AD
135E51,135B62,135CDA
14D718,14D7BD,14D612
135DC4,135D1B,135CC2
14D76E,14D744,14D6F4
135A84,135C96,135B39
14D6B4,14D757,14D58E
135DAF,135E01,135B6B
14D52D,14D75B,14D6CB
135D9C,135CFE,135D66
14D923,14D68E,14D5D0
135D14,135EE1,135CD8
14D847,14D864,14D792
136047,135D14,135DBF
14D78B,14D861,14D9C1
135B75,135C79,135E0A
14D902,14D6E7,14D7F6
135C36,135D15,1359FA
14D5C2,14D6C7,14D565
135CDB,135ACF,135BB2
14D586,14D744,14D5EB
135B8C,135BCA,135E80
14D6DF,14D5ED,14D822
135AD6,135C51,135B42
14D6EC,14D99B,14D89C
135C71,135C86,135C37
14D76B,14D6F0,14D60F
135B38,135AF4,135B59
14D816,14D88F,14D77F
135D79,135CAB,135C68
14D55B,14D60A,14D6B9
135D8B,135D5E,135C79
14D4F4,14D6D9,14D60F
135B2D,135C01,135BE0
14D580,14D6CB,14D6BE
135D3A,135C03,135C74
14D7D0,14D657,14D64F
135D79,135B1E,135A4F
14D6DC,14D652,14D72D
135CEE,135BF1,135AD8
14D734,14D6CE,14D5FD
135C54,135C69,135D4D
14D5EB,14D641,14D728
135C5F,135C4D,135BD7
14D59B,14D610,14D39D
135B44,135BAD,135B63
14D703,14D69C,14D69D
135D0F,135B99,135C7E
14D6AB,14D6C3,14D669
1359B6,135BC1,135AF3
14D474,14D6A8,14D46E
135BEF,135AD7,135AE5
14D5E8,14D72E,14D7E1
135BE2,135BC1,135BE3
14D5AF,14D6F8,14D704
135C96,135A2E,135C18
14D480,14D714,14D5DF
135B74,135A73,135B89
14D60D,14D682,14D55E
135A71,135ADD,135A8B
14D62A,14D546,14D4B8
135CE9,135B08,135C13
14D4B1,14D53C,14D559
135BA8,135BB1,135BB8
14D627,14D47E,14D64E
135B8C,135B72,135890
14D519,14D554,14D652
135CB0,135A7F,135B78
14D4F3,14D5A2,14D41E
13590A,135B49,1358E0
14D552,14D543,14D404
135B00,135A36,13587F
14D556,14D6B8,14D4D0
135B7B,135BD7,135B71
14D4AA,14D46E,14D57A
135BF0,1359EF,135998
14D33C,14D400,14D603
1359A8,1358DD,1358FC
14D50B,14D44F,14D5A8
135A8A,135B90,135C0D
14D58A,14D5BF,14D75A
135ABC,1359EA,135BA7
14D435,14D3B0,14D590
135A88,135ADE,13594F
14D5CD,14D41B,14D44E
135B3F,135976,135AC3
14D50B,14D41E,14D3C9
135C2C,135953,135AB9
14D599,14D4E3,14D2B2
135AF8,135AB3,13594F
14D448,14D5AE,14D2C5
13595F,13583D,135A15
14D51B,14D293,14D428
135A9F,1359FA,135A7E
14D52D,14D45E,14D3FB
135AA4,135A5A,1359DD
14D1DE,14D371,14D2BC
135947,135986,1357DE
14D0BF,14D2B0,14D39C
135A7B,13573E,13582E
14D48C,14D3F7,14D2BB
1359D9,135982,1358A4
14D449,14D54C,14D3F0
13598A,1359AC,135961
14D2D3,14D48D,14D48E
135ADA,1358E1,135B23
14D3E5,14D444,14D345
135A42,1358EB,135B28
14D49D,14D415,14D45C
1359EE,13597D,135913
14D2C8,14D355,14D4A0
1358DA,135A6A,1359F4
14D487,14D49F,14D406
1358FD,1358DA,1357B6
14D0F3,14D294,14D399
1357EC,135718,135928
14D1A9,14D2EB,14D2F0
135A31,135805,13579E
14D286,14D207,14D027
13583F,1356A6,1358B7
14D197,14D114,14D1F2
13590C,135797,1357C2
14D2A2,14D30E,14D290
13597F,135757,135700
14D1D9,14D42C,14D3FD
1358B8,135894,1359C9
14D3EF,14D292,14D105
13569F,135836,13577E
14C793,14C83C,14C9F1
135D9E,135B5A,135CAA
14D838,14D777,14D5CF
135D14,135C6E,135BBE
14D7AB,14D72D,14D7C3
135D63,135B3C,135B1C
14D73E,14D7F3,14D52C
135C5D,135C0F,135C81
14D686,14D7F4,14D58C
135D69,135C12,135CCF
14D8D1,14D5BB,14D765
135E03,135C93,135C88
14D636,14D68A,14D76E
135D97,135A37,135AD3
14D5D4,14D5A3,14D723
135BB9,135BD3,135B1D
14D617,14D734,14D7D3
135C34,135BC7,135AF4
14D7B7,14D7B6,14D7FC
135EDE,135C62,135C51
14D735,14D789,14D8ED
135C45,135B7E,135E52
14D63B,14D69E,14D671
135B6C,135B4B,135CC2
14D790,14D7C9,14D6EA
135BBF,135D23,135ED0
14D709,14D856,14D5E6
135CEE,135CA8,135C7A
14D835,14D691,14D737
135BFC,135CF2,135EB3
14D6E5,14D731,14D659
135F3D,135E18,135D96
14D5E7,14D7DA,14D739
135F14,135DCE,135DE6
14D710,14D825,14D637
135DE8,135B7A,135E04
14D6B4,14D76E,14D6C3
135C90,135A8C,135CE5
14D76B,14D868,14D76E
135BAB,135E52,135BD6
14D787,14D7DB,14D6E2
135D76,135D84,135EB3
14D762,14D726,14D776
135CDF,135C38,135CAB
14D78B,14D7A1,14D9CC
135BD8,135CD1,135D92
14D759,14D7B7,14D855
135DB5,135E27,135BCB
14D759,14D791,14D76C
135C04,135D5E,135B9F
14D6C5,14D463,14D699
135B09,135C20,135CEF
14D4B2,14D625,14D74D
135B11,135E19,135C1F
14D501,14D591,14D437
135C44,135AD6,135A2A
14D6A1,14D75C,14D645
135CBE,135B7C,135BF8
14D8C7,14D5E3,14D495
135BC5,1358CA,135DE5
14D865,14D676,14D651
135B1A,135B87,135CEA
14D64D,14D78F,14D572
135A38,1359DD,135A36
14D78F,14D732,14D5CC
135B8C,135B59,1359C8
14D603,14D38C,14D58E
135BDD,13591F,135A64
14D487,14D5A6,14D2B8
135B10,1359FB,135B18
14D482,14D3B9,14D3D1
135AF8,135BE6,135B92
14D485,14D479,14D516
135D1F,135A5F,1359F4
14D315,14D393,14D650
135A7B,135A4B,135A8A
14D45F,14D509,14D439
135A6D,1359FE,13583D
14D265,14D2EB,14D491
135AAB,135876,135895
14D40A,14D6B7,14D705
1358F4,1359C2,1357B0
14D3AE,14D4D8,14D1EC
135935,135960,135B29
14D3BC,14D2C9,14D3F5
1358C5,1359F6,135807
14D42E,14D40C,14D4AA
135807,1358C3,1358EA
14D538,14D476,14D3F0
135962,135B2A,1359F3
14D32C,14D398,14D528
135B1B,135CB7,135974
14D487,14D1F0,14D555
135929,135A2B,135ADA
14D65F,14D48F,14D3E9
135AD5,135A14,135A25
14D797,14D454,14D56A
135955,135BB2,135ADD
14D216,14D4E6,14D443
135B3A,1359CA,135B89
14D493,14D60E,14D540
1358C7,135AC2,1359D7
14D486,14D3B7,14D2F8
1359B4,135747,135919
14D36D,14D4E8,14D362
1359FF,13591F,1359A3
14D2EB,14D421,14D46D
135A40,135987,1359AF
14D516,14D360,14D4C5
1358EF,135947,135A88
14D34E,14D1D9,14D51B
135A04,135873,135929
14D55D,14D482,14D234
135916,135726,13591B
14D39D,14D409,14D3A4
135937,135A82,135747
14D2DB,14D2D0,14D328
13582D,13588D,1357DC
14D249,14D301,14D2F4
135978,135827,135A08
14D32D,14D1EE,14D2A0
135A19,1359A3,1356E2
14D27A,14D15F,14D252
13589A,13571B,1358A5
14D4E4,14D24D,14D270
135895,135899,135A9A
14D474,14D290,14D265
135902,1358B4,13580D
14C306,14C455,14C466
136271,136193,13626B
14DBA6,14DCB1,14DCDC
1361D4,135F86,1360C4
14DA03,14D92C,14D9F5
13608D,1360E8,135F69
14DABF,14DA03,14DB0D
13615D,13606A,1360BF
14DAA8,14DA84,14DC48
13611D,136363,136083
14DA41,14DB5A,14DCA1
1362B2,1362D2,1361D0
14D941,14DA9B,14DD30
1363E7,136112,13606E
14DB60,14DC4F,14DBDA
1362DE,1361BB,1364D7
14DB8B,14DD1F,14DD1A
1360EC,135DBF,135EE3
14DB55,14D9FD,14DB83
136168,1360F1,135EFC
14DABD,14DB77,14DA6F
13617C,1362EC,135F66
