{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
9AE0B,9AEC2,9AEB9
B284C,B277C,B286F
9AD4A,9AE20,9B010
B2856,B2889,B28D3
9AF2E,9AE30,9ACEA
B28EE,B2837,B284F
9AE92,9AEBA,9AE45
B288D,B2767,B27D1
9AF40,9AD5A,9ADA8
B27BC,B2851,B286D
9AD40,9AD91,9AEEB
B2691,B295B,B2903
9AE9F,9AE0D,9B001
B2962,B2A50,B28B4
9AE22,9ADA5,9ADA9
B1CFA,B1DC2,B1D84
9B5D5,9B371,9B3E4
B2F3A,B2D35,B2F02
9B555,9B531,9B48B
B2E87,B2FD3,B303B
9B37E,9B2F0,9B47E
B2E6B,B2F2C,B3007
9B428,9B5B3,9B59A
B2DE9,B2EDC,B2FCA
9B632,9B578,9B412
B2E8E,B3002,B2EBE
9B52A,9B4E8,9B64C
B30A4,B2F6F,B2F76
9B3DE,9B4AC,9B42C
B3000,B2DE2,B301A
9B544,9B446,9B5CF
B2FE0,B2FC0,B3102
9B43F,9B52E,9B435
B2F82,B2DCB,B2FF9
9B580,9B633,9B572
B3056,B2F34,B2E6F
9B4E6,9B486,9B539
B2D98,B2F0F,B2D09
9B4D9,9B50C,9B417
B2EA1,B2DA3,B3113
9B543,9B572,9B44C
B2E07,B2F86,B2E31
9B565,9B6F2,9B571
B2F41,B2FEF,B2D15
9B4F6,9B586,9B48E
B2EE3,B2FE5,B2F42
9B6EA,9B500,9B4F0
B30B1,B2F33,B2EF6
9B576,9B49B,9B2D4
B30AD,B31AA,B2DAE
9B52B,9B3CC,9B498
B2CA4,B2DD2,B2E25
9B3FC,9B2EB,9B55D
B2F06,B2FE7,B2FF3
9B46D,9B5BF,9B628
B2FB5,B2F24,B2F14
9B335,9B598,9B496
B2DF8,B2F12,B2EE9
9B595,9B67C,9B44A
B2E63,B2E57,B2D8B
9B3F5,9B554,9B3B9
B2D69,B2E7B,B2DCD
9B588,9B69F,9B4AA
B3245,B3125,B320E
9B69D,9B470,9B520
B3046,B2F57,B30D4
9B558,9B550,9B340
B2E7F,B2D43,B2E1E
9B5C6,9B540,9B699
B2F14,B30D9,B30BC
9B617,9B52E,9B49F
B2FFF,B30AB,B3103
9B5A3,9B6F0,9B6D7
B308F,B2F08,B3003
9B3E6,9B4F9,9B59F
B2F80,B304B,B3083
9B5B2,9B4F0,9B407
B2DA2,B2D98,B2F12
9B50A,9B4AD,9B4B8
B3021,B2FCA,B2E0E
9B68D,9B697,9B686
B2D6A,B2FD0,B2E8F
9B3CD,9B46E,9B359
B2E22,B2EB4,B2E05
9B435,9B4FB,9B44F
B2F8D,B3045,B2D51
9B577,9B33D,9B72A
B2D7F,B2E58,B2F61
9B557,9B62D,9B58D
B2E2B,B30AA,B2F9D
9B300,9B3BC,9B400
B2EED,B2F43,B2E68
9B6EC,9B537,9B6CA
B2FA5,B3138,B300C
9B5DA,9B505,9B4DC
B2F8F,B31BF,B306F
9B5BF,9B401,9B39A
B2F2C,B2F5C,B2FA3
9B4C4,9B3C1,9B6D4
B3046,B2ED7,B2E68
9B3AB,9B4E7,9B50E
B2E84,B3172,B2EED
9B5D5,9B523,9B6A9
B301C,B3049,B2F57
9B6AD,9B70A,9B6FE
B30DE,B308D,B3175
9B61B,9B54B,9B56C
B316F,B2F7D,B2F71
9B7B1,9B5B7,9B769
B3239,B3153,B314A
9B6F1,9B7B8,9B602
B3135,B33D8,B3091
9B79A,9B61E,9B523
B31CA,B31E0,B302D
9B761,9B654,9B7EA
B30D7,B3361,B3112
9B908,9B712,9B6AA
B32CE,B33A5,B3317
9B876,9B7FA,9B706
B3263,B32F8,B339A
9B7F1,9B914,9B765
B30EB,B31D4,B31C7
9B738,9B732,9B7AB
B3239,B30EB,B323C
9B8AA,9B7D5,9B811
B310B,B3376,B32F0
9B8C8,9B840,9B828
B340F,B331C,B32A1
9B8A6,9B9B7,9B799
B33D7,B329A,B32F1
9B840,9B833,9B8B2
B3127,B320A,B329A
9B79D,9B849,9B881
B32EB,B31EA,B326D
9B6B3,9B814,9B6D5
B3391,B32B9,B3302
9B792,9B756,9B997
B3374,B32F0,B32E2
9B8DF,9B719,9B9BA
B32CC,B32C9,B331F
9B8FE,9B951,9B9CB
B331B,B3326,B3297
9B71B,9B83D,9B858
B1E71,B1EB1,B1EA4
9B70C,9B535,9B75D
B313D,B3333,B31E5
9B568,9B680,9B8D2
B313A,B31A0,B3255
9B71D,9B83F,9B862
B3378,B32D2,B3263
9B670,9B881,9B86B
B331D,B3282,B318D
9B8DB,9B7AA,9B8A5
B31E8,B30C1,B3153
9B7C2,9B852,9B853
B3171,B30D5,B3064
9B69C,9B558,9B705
B3164,B31AA,B3224
9B687,9B659,9B655
B3327,B320D,B3278
9B5F3,9B664,9B5FD
B30D7,B3052,B314F
9B8DE,9B5EE,9B664
B3113,B32DE,B3033
9B840,9B8E5,9B69B
B31E1,B319D,B31C5
9B800,9B7E8,9B5F4
B3069,B3261,B31EC
9B744,9B7FE,9B8CC
B3297,B31E4,B3120
