{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1A7C2B,1A7B1C,1A7B9C
19029F,190284,1902F0
1A7BC9,1A7BBC,1A7C56
1902B7,1901F8,1901FE
1A7CD1,1A7D1D,1A7BAD
19021D,19013E,19003D
1A7C1F,1A7D80,1A7B5B
19029B,19027B,19022C
1A7BD1,1A7E9C,1A7DC9
190245,190200,190136
1A7B2B,1A7C87,1A7C5B
1902FD,1901BF,1901E2
1A7C07,1A7DB7,1A7B68
190121,19040B,1900BD
1A76FF,1A793F,1A7803
18FDAD,18FB4D,18FC1A
1A7480,1A770A,1A77E8
18FB52,18FE7E,18FE9A
1A7696,1A76B7,1A776E
18FB98,18FC3A,18FBD0
1A76D7,1A7761,1A752D
18FBBD,18FC3D,18FD24
1A7695,1A7638,1A7792
18FD43,18FC93,18FC8F
1A761B,1A76B0,1A760E
18FBEB,18FBC9,18FBF9
1A7684,1A772E,1A76C1
18FCAF,18FBDF,18FC97
1A7924,1A777B,1A7552
18FBF5,18FB18,18FAF2
1A7743,1A769A,1A7957
18FD10,18FD0A,18FB2D
1A7654,1A7613,1A75B8
18FC93,18FD2D,18FCED
1A75B5,1A76EB,1A7701
18FC77,18FCE7,18FBEC
1A76D7,1A76F7,1A7727
18FC58,18FA06,18FB6A
1A7643,1A75A4,1A7725
18FD06,18FCE6,18FB03
1A7789,1A775A,1A7802
18FB15,18FC05,18FC6E
1A761D,1A7657,1A768C
18FBE2,18FB53,18FA89
1A75D3,1A7727,1A7634
18FC20,18FAA0,18FCBC
1A75FC,1A7624,1A74D0
18FBE9,18FC90,18FA0E
1A7567,1A7731,1A75DF
18FB88,18FC1C,18FC3A
1A7552,1A764C,1A75C8
18FCD8,18FC6B,18FC15
1A75C9,1A7619,1A757F
18F9B6,18FAE9,18FB86
1A75F2,1A74C1,1A7797
18FAAA,18FB44,18FCE3
1A76CA,1A7654,1A7690
18FAD9,18FBA0,18FB49
1A7510,1A75FA,1A7600
18FB3A,18FBF7,18FA8D
1A7435,1A7734,1A76E4
18FBB3,18FA72,18F993
1A77A3,1A7849,1A766B
18FA18,18FADA,18F98D
1A765A,1A7607,1A75FE
18F8AF,18F9B1,18F99A
1A743A,1A751D,1A74AC
18FA5C,18FAFB,18FB13
1A7584,1A764D,1A756C
18F9ED,18FBEB,18F96F
1A7561,1A7572,1A75C9
18FA6B,18FA18,18FBA5
1A7496,1A7512,1A75F5
18FB92,18FB0F,18F9C4
1A7323,1A7476,1A763E
18FC0B,18FB57,18FA11
1A76AC,1A7544,1A74CD
18FA1E,18F9D1,18FC5B
1A7455,1A7312,1A75C1
18FCA5,18FA2F,18FA87
1A736B,1A74DB,1A7437
18FB1A,18FA73,18F9E7
1A7592,1A75C9,1A76E8
18FB35,18FB28,18FC58
1A7601,1A73F9,1A74D7
18FA8F,18FAE0,18FA43
1A761B,1A74C6,1A75F4
18FA3F,18F97B,18F93C
1A74CC,1A7621,1A755F
18FA50,18F99A,18FA0C
1A7567,1A7558,1A7544
18FB50,18F9D3,18F990
1A7459,1A75B0,1A7530
18FA1D,18FBB7,18F9E3
1A7678,1A7667,1A758C
18F93D,18FB46,18F8A1
1A749C,1A748C,1A74A7
18FD20,18F914,18FA3E
1A76E8,1A74A9,1A7616
18FA1A,18FB15,18F872
1A7402,1A7438,1A74A6
18FBBB,18F9E2,18FA21
1A75ED,1A7483,1A750E
18FAFA,18FAF0,18FB08
1A748F,1A74E8,1A7674
18FA36,18FA6E,18F9E2
1A73BB,1A7518,1A749D
18FA41,18FB3F,18FC4C
1A7541,1A7461,1A74BC
18F9DB,18F9DA,18FB06
1A7370,1A741A,1A7330
18F8F4,18F97D,18F861
1A7498,1A7308,1A74EC
18FC6B,18F8F2,18F9E2
1A73E4,1A7410,1A72E7
18FA43,18F78A,18F8F6
1A73DD,1A7259,1A7462
18F8BB,18F94F,18F917
1A7458,1A7653,1A74D7
18FA6C,18FB23,18F9AD
1A74B1,1A74ED,1A744A
18FA98,18FA56,18F7AB
1A7392,1A754A,1A7559
18F98E,18F975,18F967
1A7561,1A768F,1A7501
18FB22,18FB13,18FA81
