{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1EA2A,1EB97,1EC7E
71B8,6E27,6E8C
1EAC2,1E859,1E951
71D0,6F40,6FDE
1E844,1E933,1E9C8
7104,6EF1,6EE0
1EAEB,1EA29,1E9EA
7189,6FA1,70CF
1EC72,1EA39,1EC69
6ED5,70DA,6FAC
1EC1D,1ED66,1EDE2
70B0,7096,720A
1EDBD,1E91D,1EBFE
70A0,71C4,7087
1EE35,1EDF7,1ECEF
6FFD,71D7,7311
1EBCB,1EB8F,1EAE9
719B,7058,71D7
1F005,1ECAA,1EBFE
7264,7309,7248
1EBF4,1ECF3,1ECCC
7086,7156,71C4
1EB6B,1ECC6,1EC73
721D,71FC,724C
1EB73,1EC96,1EA79
7171,714B,7071
1DE9D,1DB4B,1DB99
717B,70E5,70F5
1EB36,1EC8A,1EC28
72E9,704C,7113
1E9FB,1EC47,1EA78
7251,7356,72A8
1EB05,1EC6D,1EE87
72DD,72EF,73A3
1ED2D,1EC9C,1ED5C
71AF,7237,6FE6
1EDD3,1ED35,1ED67
73FB,73A4,72A4
1EC8F,1EDB9,1EE0F
70E1,730F,72B3
1ED75,1EDA1,1ECA2
71D8,74AD,71B6
1EF36,1EEF7,1EF10
735E,732A,739B
1EDA4,1EF28,1F0DD
7457,7493,7443
1EE9C,1EED7,1EF01
75CD,736C,7501
1ECF8,1ED6A,1EDDA
72C8,7535,72E4
1EF33,1ECE2,1EDE8
7483,7445,72BC
1ED4D,1ED96,1EEF4
7523,73AC,71DD
1EE0F,1F07D,1F001
7569,76D4,733C
1EDD0,1EEA1,1EE75
71A5,7272,7317
1EB4B,1ED75,1EBD4
76A2,7362,7398
1EF97,1EF0E,1EF2B
767D,74FC,7379
1EF1A,1EE9D,1EF76
75DA,73E1,760F
1EE6E,1EEB0,1F07D
75E5,75E2,751B
1F173,1F152,1F0D6
7690,773D,75D1
1F11A,1F10B,1F019
760A,76B4,7718
1F0B8,1F05B,1F174
76BD,772C,75EC
1F0E5,1F001,1F135
76C1,77E0,772B
1F2A2,1F11A,1F379
7633,789A,75CE
1F147,1F1EA,1F3E0
7783,76AF,7803
1F1EF,1F2D1,1F23C
78BF,777A,76A1
1F07C,1F185,1F194
76B0,7680,7773
1F444,1F31A,1F368
78C1,77E5,773A
1F32A,1F2DC,1F25D
7886,76FD,77E1
1F10C,1F20D,1F46B
7974,78AB,78C0
1F233,1F53E,1F4A1
7A05,77FE,78DA
1F346,1F3C1,1F3CE
7586,7447,74B7
1EED2,1EEFF,1EF34
7439,7513,752B
1EFB3,1F21A,1F056
74C8,74C8,73EF
1F09E,1EE93,1EF94
772D,75AD,7409
1EE07,1EFDA,1F032
759E,758F,75D1
1F0D0,1EDAB,1F0D7
75D6,766F,75DE
1EF25,1F1BA,1F08B
75D4,76D6,75E1
1F02A,1F000,1EECA
74EE,76A2,749F
1F088,1F0F9,1F20D
7704,77C0,74D1
1EF61,1F048,1F21C
7610,7663,75BD
1F34B,1F34D,1F2EE
7668,7820,7706
1F1EF,1F182,1F092
74F0,76F6,760B
1EE2F,1F15E,1F0D8
7954,76BD,77E4
1F00E,1F369,1F2C4
76C4,7890,78CC
1F170,1F31C,1F103
7708,7787,7761
1F2AF,1F107,1F08B
761A,788A,7750
1F197,1F122,1F318
7995,7A4B,77DA
1F3C0,1F13E,1F11E
7771,7919,7A51
1F35E,1F1D1,1F206
7A42,781A,7733
1F3C6,1F346,1F376
7A4F,78E6,78D0
1F32E,1F270,1F384
77F8,7AE3,7871
1F235,1F32B,1F336
7944,780A,795D
1F264,1F3DA,1F321
78D2,7820,7861
1F355,1F4C2,1F336
7B41,79C4,7868
1F5D7,1F526,1F5B9
793E,7907,7A3F
1F36B,1F59D,1F4ED
7B68,79AA,79C5
1F4FD,1F4E6,1F44B
7B40,79EC,7A4D
1F309,1F59E,1F463
796F,7954,7964
1F5CC,1F575,1F3F2
7973,7A6D,7AE7
1F53E,1F3D1,1F362
7C94,79EB,78E9
1F53C,1F59F,1F623
7BC0,7BE9,7A06
1F465,1F68B,1F4D3
7C81,7CF8,7AB2
1D916,1D97A,1DB67
7B5A,7BD2,7AAA
1F491,1F6A6,1F5E3
7A37,79D9,7B45
1F6BB,1F540,1F477
7B05,7994,7A9B
1F499,1F4B3,1F63F
7ADF,7AC7,7919
1F5EB,1F532,1F612
7D7F,7CB7,7C8B
1F574,1F512,1F71B
7B2A,7B60,7B46
1F614,1F56D,1F741
7BEF,7BC3,7C13
1F3B8,1F5DB,1F58B
7B05,7BF2,7BA6
1F66D,1F67C,1F679
7A1D,7C37,7BAF
1F7B4,1F5CF,1F477
7B94,7C11,7BF0
1F586,1F69C,1F6EE
7B1C,7CAA,7D3D
1F5D5,1F770,1F756
7BA7,7C0D,7C7C
1F6EC,1F73B,1F7B2
7B91,7ADC,7B43
1F64B,1F8C0,1F900
7E38,7EC8,7C02
1F823,1F8EB,1F6BF
7D33,7C23,7C41
1F6EC,1F76A,1F89A
7B69,7D0E,7E05
1F7DE,1F7F4,1F892
7ECB,7EAF,7DEC
1F7FD,1F8AC,1F80F
7DAA,7ED3,7E63
1F76C,1F8D2,1F85C
7DC0,7EAB,7E87
1F87A,1FA02,1F726
7D65,7E8A,7D87
1F90C,1F8ED,1F982
7E0F,7F3A,7EDC
1F999,1F996,1F9C5
7EBD,7F52,8021
1F8DD,1F8BE,1F99C
7F8D,7F0C,7F1D
1FA14,1FB43,1FC6F
800F,807A,7F68
1FAA9,1FB51,1FA83
7F5D,7EDA,7FF6
1F9D7,1F874,1F804
8111,7FF4,7E18
1F8D9,1FA60,1FB95
8152,7F40,80C4
1FA00,1FAF5,1F960
80BB,7F37,7FAB
1FB7C,1FAFA,1FC4C
7F19,7F2D,8044
1FB81,1FAF9,1FC8C
7F2F,8007,7FED
1FACB,1F822,1FA62
7FB0,7EB7,8089
1FC10,1FA62,1FA90
819F,7FA8,7FB2
1FA97,1F9F4,1FB08
7D4B,7D28,7F44
1F7AB,1F870,1F7BC
7E64,7DAD,7CE0
1F7B7,1F7C4,1F7C9
7CB0,7E11,7C15
1F817,1F6EB,1F8DD
7EF3,7E0E,7FCA
1F685,1F86C,1F8E0
7D15,7E03,7C6A
1F712,1F5FD,1F6C6
7CA1,7C87,7DBA
1F706,1FABF,1FA18
7ECD,7D92,7D10
1FABF,1F7C0,1F721
7BEC,7E70,7EB6
1F6C8,1F8CD,1F9DC
805A,7E04,7D25
1F95C,1F899,1F9AE
7D85,7D2F,7E5A
1F8D8,1F8A8,1F83E
7F83,7E96,7E63
1F789,1F775,1F865
7D05,8047,7F74
1FA35,1F7AB,1F962
7EA5,7F2B,7F62
1FA30,1F977,1FA37
7F77,7EF8,8162
1F8C5,1FA0B,1FAE4
7E0A,8032,8066
1FA99,1FAFB,1F802
7F9A,7DA6,7CA6
1F95E,1F8A3,1FA26
80D2,80DB,818E
1FBBB,1FC14,1FB60
8016,814F,7F82
1FB36,1FAEF,1FAFD
7ECC,8156,7FD8
1F9C1,1F9EC,1F9A4
7FCF,7EF7,7FFE
1FDC8,1FCEB,1FCAC
81AE,8006,8110
1FCB5,1FCA5,1FD79
82A9,82DA,81F8
1FF0B,1FCBA,1FC55
826B,8160,81D8
1FBF1,1FD74,1FF2D
81B8,82DC,82FB
1FD19,1FC62,1FBF7
81F0,81EB,826E
1FA9A,1FAE0,1FB2A
81BB,82F4,82D5
1FC4C,1FDAE,1FBF1
8238,80FC,8159
1FC1D,1FD27,1FBBF
8128,8293,84B2
1FB45,1FCF1,1FB92
844B,835E,839B
1FD5D,1FBEA,1FF1D
81EB,82CA,81E9
1FDD3,1FDBD,1FDDA
8231,81C5,8351
1FAD4,1FCFA,1FE22
82E8,825A,80B6
1EEE6,1EE82,1F14A
831C,8141,8291
1FE88,1FD9C,1FE0A
8451,845C,8204
1FD75,1FE45,1FDFE
8288,8325,83B5
1FEF2,1FDDC,1FCC0
82E9,8376,82E3
1FF6A,1FF59,1FF3E
8484,83C8,85FA
1FE33,1FEF3,1FED2
8570,84FB,842B
1FEA6,1FD75,1FEE9
8402,8469,8448
