{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
10ECEF,10EC61,10EBA9
126532,1264F8,126608
10EAC1,10EA5D,10EB92
1263AD,1264C0,1265DA
10EA7D,10EBE3,10E9E5
12656D,126446,12655E
10EBF1,10EAB9,10EA10
126654,126623,12654E
10EB09,10EC24,10ECB2
1264A7,126438,126680
10EBFD,10ED8D,10EB53
1266B0,1265FE,1265CC
10EC5F,10ED88,10EB94
1263E5,126672,1264C1
10ECE1,10EA0C,10EB4F
12656C,1265EE,1262FB
10E7C6,10E70D,10E5DB
125F72,125F23,126098
10E7A4,10E45B,10E5DD
125EFB,125F10,125FFD
10E783,10E6DA,10E84E
125FFE,126101,1262B8
10E565,10E5C6,10E54C
126026,1260D3,126151
10E7BA,10E874,10E781
126189,12615C,126287
10E7C0,10E887,10E879
12607E,1261BC,125FFF
10E78E,10E65B,10E6A9
126261,125EDC,12606B
10E6B2,10E750,10E665
1262C3,126328,12630C
10E5BC,10E648,10E67E
125F30,126145,125F7F
10E70F,10E73F,10E62A
126095,12601B,125FD5
10E5E2,10E7A8,10E98C
126090,1261E8,1261E9
10E664,10E7B6,10E6CC
1262E2,1261D1,12633E
10E851,10E96F,10E797
1261EE,126257,12615C
10E760,10E802,10E7F9
126310,1262B6,126232
10E8B9,10E8E3,10E80F
12623F,1262A5,1262B1
10E7E2,10E933,10E6A7
125FD0,126249,1262E8
10E770,10E676,10E840
126163,126095,1260B1
10E89D,10E806,10E741
1261C4,12624C,126188
10E796,10E87D,10E700
126152,126107,12615A
10E847,10E885,10E79E
1262D1,1261D3,12629F
10E904,10EA05,10E7C6
1261D1,126227,1261F5
10E992,10EA4E,10E956
12627C,12624C,1263D9
10E934,10EA23,10EB1B
1262E4,12623D,1261E2
10E85E,10E8BA,10E736
1262FE,126266,1264B4
10E8F4,10E8C1,10E84C
12616F,12627F,1261B6
10E8CE,10E74A,10E6EF
12631C,126419,1262AB
10E8F3,10E931,10E569
1260A7,1262F6,12621D
10E781,10E7E8,10E7FB
1262AC,126523,1261B8
10E99B,10E850,10EAAF
126315,1263DF,126309
10E95A,10E8CE,10E99B
12636D,126355,1262AD
10E87C,10E85D,10E810
126305,1262BB,1263B1
10E971,10EA10,10EA6F
1265B0,126450,12630E
10E9E7,10EB7A,10E8BE
12635C,1263D8,1260B0
10E93C,10E8A1,10E9AA
126389,12629C,1262A2
10E832,10EAAA,10E7DB
126376,1263DB,126340
10EB8D,10E896,10E9F4
126445,1262E2,126297
10E9CD,10EAEF,10E948
126203,126311,126431
10E970,10E9DD,10E854
126109,1264A6,1261D7
10E88A,10E817,10EA13
126297,12636A,1262ED
10E80B,10E871,10E960
1263C3,12632B,126481
10E91C,10E6B7,10E722
126272,1262FD,1262DF
10E8BC,10E8FC,10E7E2
12635F,12610E,1261DC
10E943,10E6F3,10E7EE
1261F5,1260E8,12622E
10E910,10E8A0,10E6C6
1260EE,1261DE,126485
10E6D2,10E9D4,10E707
1261A8,1262DB,1262E2
10E95C,10E973,10EA15
1262ED,1263CA,1262B6
10E960,10E9E5,10E8BC
126427,1264CB,12630F
10E853,10E8EE,10E913
126259,12644B,126419
10E8D6,10E8CF,10EA51
1265C7,1262B4,12620E
10E870,10E928,10E932
126236,1263C5,1261BC
10E82F,10E720,10E83E
1261DF,1263A9,126204
