{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7A7A4,-7A538,-7A6D4
-92259,-92131,-921E3
-7A69B,-7A72D,-7A68C
-92151,-91FF2,-92331
-7A882,-7A7A4,-7A60F
-92205,-92069,-91F52
-7A586,-7A736,-7A689
-92313,-92247,-9219A
-7A55A,-7A603,-7A6BC
-92022,-92101,-92184
-7A786,-7A638,-7A5C9
-92093,-91F55,-91FF7
-7A491,-7A71D,-7A366
-91FFF,-92125,-92007
-7A5BF,-7A59E,-7A5F6
-92118,-9208F,-92019
-7A3E9,-7A4EC,-7A4CC
-920F8,-92226,-9223E
-7A76D,-7A786,-7A714
-91F08,-9218D,-920E2
-7A8BA,-7A78A,-7A8AB
-920F1,-921BF,-92216
-7AA3E,-7A883,-7A873
-92356,-9222D,-9231E
-7A6BE,-7A53C,-7A55F
-91F9B,-92253,-92245
-7A8BB,-7A683,-7A6AC
-920DC,-92105,-920D1
-7A983,-7A7D0,-7A5F6
-920E6,-922EB,-9214B
-7A8D8,-7A5D3,-7A562
-92339,-9224F,-9236B
-7A71C,-7A922,-7A499
-92361,-92269,-9236D
-7AA52,-7A824,-7A796
-92231,-92290,-92305
-7A6C8,-7A58A,-7A67F
-92169,-922C6,-9220C
-7AB12,-7AA4B,-7A88E
-922EE,-9222A,-92565
-7A7F4,-7A8D4,-7A7F9
-92222,-921C0,-9232B
-7A6EA,-7A8E8,-7A9D3
-922F0,-92255,-92253
-7A91C,-7A77A,-7A660
-92391,-923A0,-92243
-7A843,-7A70F,-7A83D
-920CA,-9223E,-922A8
-7A709,-7A87A,-7A6DB
-921BB,-923E3,-9222C
-7A7DA,-7A902,-7A822
-922CA,-92263,-921BF
-7A871,-7A8D5,-7A7D4
-921B7,-922F1,-921D8
-7A835,-7A891,-7A6F0
-923B8,-92423,-9237C
-7A7ED,-7A80E,-7A78F
-9217F,-922CF,-920E0
-7A5D8,-7A8AB,-7A74F
-92268,-9224E,-92248
-7A782,-7A8F8,-7A8C6
-92326,-92334,-92294
-7A7D2,-7A770,-7A80D
-922E3,-9216D,-92324
-7A993,-7A86A,-7A93B
-92469,-922A9,-922A3
-7A6DE,-7A7F5,-7A89C
-92235,-9214E,-922DA
-7A9E7,-7A82C,-7A99D
-92072,-9220B,-921D3
-7AA0B,-7A952,-7A91A
-92254,-9242C,-923C4
-7A86D,-7A922,-7AA78
-922A7,-9233B,-9247E
-7A9F0,-7A7BD,-7A78B
-9241A,-9222A,-9238A
-7A871,-7A830,-7A6CF
-922FC,-922A6,-92574
-7A912,-7A862,-7A8FC
-92456,-92249,-924EF
-7A84B,-7A85A,-7A78B
-92408,-921FE,-92131
-7AA78,-7AA55,-7ABE3
-92459,-92301,-923B6
-7A8ED,-7A8CF,-7AAB8
-924B4,-9232C,-922F2
-7AABD,-7A9AA,-7AA61
-9230F,-923B0,-922ED
-7A824,-7A816,-7A685
-92221,-921BE,-9222B
-7A9DA,-7A8A7,-7A77D
-922EB,-924D8,-92333
-7A559,-7A8B4,-7A920
-9235E,-9227C,-9230B
-7A965,-7A8CA,-7A87A
-92221,-923A1,-921E8
-7B8E1,-7B850,-7B7AE
-91A14,-91AB5,-91A90
-7A24E,-7A0C5,-79DE5
-91B3B,-91B32,-919C6
-7A00E,-7A10C,-7A0DD
-9197F,-91C8E,-91BBA
-7A250,-7A0F4,-7A1E4
-917FA,-91C7B,-91B52
-7A055,-7A19F,-7A03E
-91B00,-91B09,-91A83
-7A15A,-7A012,-7A12F
-91B88,-91B44,-919A4
-79F5F,-7A157,-79EB8
-91B98,-91A62,-91A84
-7A062,-7A080,-79E88
-91B19,-91A9A,-91A27
-79E0B,-79FC1,-7A063
-91B7C,-91B11,-9199F
-7A2A1,-7A0F7,-7A27C
-919E8,-91B72,-91C90
-7A06C,-7A069,-79FC2
-91A51,-91C6D,-91C18
-7A0F3,-7A20A,-7A03B
-91B4A,-91BD5,-91CB6
-7A134,-7A00D,-7A157
-91AF1,-91CE9,-91AC1
-7A234,-7A0BC,-7A236
-91C37,-91C4E,-91B84
