{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-163CFC,-163A1C,-163BBD
-17B70C,-17B75A,-17B4F9
-163BF3,-163C32,-163D01
-17B5E0,-17B775,-17B6C0
-163CB7,-163BEB,-163C68
-17B893,-17B752,-17B82F
-163DAE,-163D57,-163CE6
-17B625,-17B710,-17B72D
-16319D,-162FB7,-1631E1
-17A6AB,-17A93E,-17A564
-162D9E,-162DB1,-162CFC
-17A736,-17A789,-17A87F
-162DE2,-162DCC,-162CED
-17A753,-17A7CD,-17A5C7
-162E9A,-162D93,-162D70
-17A60F,-17A74B,-17A70B
-162CB3,-162BC8,-162C25
-17A820,-17A6EC,-17A761
-162D2B,-162F1C,-162CF5
-17A510,-17A72C,-17A677
-162C7B,-162D10,-162C48
-17A77D,-17A717,-17A8EA
-162F39,-162BDD,-162EFC
-17A6E9,-17A8DC,-17A738
-162C4A,-162D4F,-162D3F
-17A96A,-17A896,-17A7E1
-162E85,-162D11,-163007
-17A97F,-17A95C,-17A8BC
-162D66,-162F9B,-162E02
-17A84C,-17A878,-17A923
-162F79,-162C4E,-162DCF
-17A84E,-17A7FC,-17A956
-162C77,-162CFA,-162D45
-17A6FB,-17A8A7,-17A872
-1630BA,-162E8B,-162F81
-17A98D,-17A845,-17A8FC
-162F8A,-162E14,-162E61
-17A987,-17A96D,-17A939
-163025,-162ECA,-162FD0
-17A8C7,-17A978,-17A8DA
-163012,-162F89,-162ED2
-17A6D2,-17A775,-17A6BD
-162EBB,-162C49,-162BBA
-17A8D6,-17A8B3,-17A6FE
-162CDC,-162E25,-162D6B
-17A8F1,-17A7D1,-17A8FB
-162D56,-162D81,-162D34
-17A804,-17A855,-17A940
-163061,-162F40,-162DD0
-17A699,-17AA8D,-17A8F2
-162E09,-162DA1,-162CDE
-17A88E,-17A8DD,-17AA3E
-16303D,-162F86,-162E70
-17A8B1,-17A9C0,-17AA15
-1630ED,-162ED3,-162EC4
-17A8B3,-17A99A,-17A747
-162E92,-162D17,-162CF9
-17A6B9,-17A8F2,-17A6C7
-162CD6,-162D95,-162E61
-17A7E3,-17A7E1,-17A723
-162E1F,-162DFF,-162EED
-17A7A0,-17A87F,-17A741
-162E58,-162C79,-162C4F
-17A7FC,-17A992,-17A8C2
-163082,-162E56,-162D8C
-17A8A0,-17A695,-17A864
-162FF8,-162E95,-162F97
-17A93F,-17A9B4,-17A9C7
-162F6D,-162EA8,-162FF6
-17A93D,-17A7ED,-17A8C6
-162D6D,-162FBC,-162EDD
-17AAB5,-17A986,-17A9DD
