{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
133779,1339EA,13398B
11BD6A,11BF29,11BCEB
133910,133A6B,133786
11BFA4,11BCC1,11BE24
1339DA,1338B4,1336AF
11BEF3,11BE4F,11BE5F
133895,133811,133AA1
11BFB3,11BEBB,11BED0
1338D6,1337C0,133954
11BABD,11BC80,11BC3A
133801,133991,1336E9
11BE66,11BFE0,11C166
133BCA,1338F6,133AB2
11C042,11C0CA,11BFFA
133A77,133AD7,133B35
11C0E5,11C108,11C103
133BD1,133B9F,1339EB
11C192,11C037,11BF47
133B5E,133A8D,133B8A
11C0D1,11C153,11BF54
133ADC,1339E7,133B9B
11BF3C,11C004,11C079
133A79,133983,13380B
11BECB,11BF36,11C0A7
133932,133A08,1338AB
11BCE6,11BEB6,11BF18
133B4F,1339E0,1339BB
11BED3,11BF48,11C087
133BB5,133933,1339C9
11BF60,11BE08,11BE84
1339B0,133C7B,133A3C
11C05A,11BEAA,11BE8B
133718,133882,133988
11BDAE,11BE68,11C01C
13371D,133931,133A06
11BD17,11BF1F,11BE94
1336EF,1337B6,133634
11C033,11BEC5,11BEF3
1338D9,133B70,1339F6
11BFFA,11BE43,11BEA0
1337EB,133727,13397F
11BEDA,11BC95,11BDE7
132CFE,132E34,132DAC
11C226,11C2A0,11C3A5
133BF5,133A49,133BEC
11C2D4,11C19E,11C17A
133CFC,133D9A,133C0C
11C1FE,11C16E,11C0F2
133C3D,133B7B,133D83
11C364,11C0A2,11BFF6
133C91,133C13,133B3D
11BECE,11C0E6,11C1A6
133BEE,133B64,133C9C
11C201,11C0C1,11C008
133C2F,133C59,133C4E
11C205,11BFBA,11C163
133AEE,1339F7,133B0C
11C2B8,11BFED,11C12B
133C9B,133BEC,133C58
11C138,11BFC6,11BFBD
133A11,1339BE,1336A0
11C001,11BF09,11BF45
1339B2,133B32,133993
11BF7F,11C1E2,11BEF3
133AE8,133BD6,133B0A
11BD85,11BEC6,11BF50
133921,1338B9,133AF5
11BFDF,11BE04,11BE00
13383E,1338CC,133954
11BE54,11BE64,11BE28
133727,133959,133A72
11BDC2,11BEA8,11BFAF
1339B8,13392C,1338A5
11BDC1,11C0E8,11BDE7
133754,1338B5,133931
11BF53,11C2BD,11C08F
133B5A,133DEE,133FFE
11C1A8,11C1F6,11C207
133D3A,133C8F,133C7F
11C108,11C0DE,11C108
133C94,133CA7,133B8E
11C289,11C208,11C0D7
133BC2,133A5B,133B6A
11C346,11C00A,11C0FF
133B37,133D56,133B57
11BF9A,11C0F0,11C078
133C0C,133B3A,1339A5
11C196,11C18E,11C114
133980,133A3F,1338F2
11C005,11C11E,11BF38
133A8A,133B61,133B7E
11C138,11C0BB,11C039
133BE5,13392E,133B8F
11BFDA,11C1B1,11C030
133B5B,133947,133B39
11C01D,11C011,11BE8D
1339E5,13392A,133986
11BF58,11BE6C,11BE6B
133800,133C12,1339A7
11BFBD,11BCC4,11BCFE
1338DD,133908,133899
11BF24,11BF58,11C0A9
13389B,133928,1338F2
11BE4B,11C023,11BD25
13391F,133A24,133730
11BEE1,11BD1F,11BE63
133831,1339E6,13387C
11BCB2,11BC52,11BD87
133662,1336D8,133759
11BEA9,11BC02,11BD79
1335EF,13357A,1336EF
11BC29,11BC80,11BD83
13363F,133550,13365F
11BAE3,11BC04,11BD23
1334D5,133524,1337D4
11B9EB,11BA1B,11BB49
133609,13360A,1336A2
11BBCA,11BAEB,11BA70
