{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
B8706,B85FC,B857A
D0076,D0142,D0127
B8496,B84B4,B8407
D014A,D003B,CFF14
B8393,B8601,B8565
D0085,D0084,D0069
B84BF,B84F8,B8505
D00E6,CFFB7,D0075
B859D,B84ED,B856A
CFFA8,D0079,D0146
B86B3,B85DF,B87B8
CFE49,CFF94,CFFD4
B861D,B8565,B84C0
CFEB0,CFEF6,CFF21
B863A,B85D9,B845F
D0156,D0054,CFFB2
B85AB,B8743,B864F
D0004,D0111,CFF92
B85C7,B853B,B867C
CEFF1,CEFE4,CF35C
B8681,B840D,B852B
CFF68,D0212,D0221
B8746,B86AE,B84D4
D0033,D021A,D012E
B8712,B8633,B84B3
D0143,D003F,CFFE9
B8651,B857A,B84E9
D002D,D0105,D01F7
B858D,B8780,B8779
D01E3,D0155,D0220
B8756,B8896,B8842
D00EA,D02CA,D0268
B87DE,B867E,B8880
D017B,D02D0,D0395
B886B,B869B,B8830
D0233,D0176,D03D6
B88EF,B87D7,B89B5
D026C,D00CB,D041E
B85FD,B8833,B8746
D027F,D03D9,D028E
B89D8,B889F,B890D
D0320,D018F,D0213
B8711,B87C9,B86A4
D02AD,D036F,D02F4
B88AF,B893E,B88FE
D0153,D03E6,D02A7
B895F,B87CC,B8955
D029F,D02B0,D02D0
B8838,B87DB,B896A
D0324,D0312,D0355
B89F3,B8882,B8869
D031E,D0410,D04D7
B8A29,B8A51,B8A14
D02E2,D0219,D036C
B89CA,B8A80,B899E
D0487,D0566,D047F
B8964,B8A01,B899B
D062D,D02AC,D03EE
B8A3C,B8A0B,B8A61
D03D6,D0526,D0559
B8B4C,B8B79,B88C5
D053F,D0723,D0363
B8BD3,B8A07,B8AE2
D058E,D058A,D0509
B8A8A,B8B31,B8AA3
D063B,D04C6,D05AF
B8A0F,B8AE3,B8C6D
D0722,D080A,D078D
B8A55,B8C9B,B8AB1
D065E,D07DB,D04F3
B8B70,B8B82,B8B86
D0869,D0709,D0828
B8C33,B8BDC,B89D3
D0788,D06F4,D0554
B8A63,B8C1F,B8CDB
D0796,D075A,D06DF
B8D7D,B8CB2,B8A98
D0654,D06C1,D07A9
B8B55,B8DD7,B8CEA
D06F3,D05FC,D056E
B8C71,B8C55,B8D8D
D065A,D0770,D0834
B8D22,B8D0A,B8CBA
D0587,D067D,D0843
B8962,B8C51,B8A8C
D0498,D03B3,D0427
B8B37,B8AD5,B87D5
D0401,D04C0,D0261
B8B25,B8AF2,B882D
D0490,D0423,D0479
B8A00,B8A44,B8AC6
D036B,D0570,D04A9
B8AD4,B8AAC,B8877
D0475,D028E,D04C6
B8AE6,B8AF4,B8B71
D0534,D0464,D03B3
B8833,B89AC,B8956
D03BF,D04CF,D04BC
B88F3,B89C2,B8A62
D053A,D06A9,D06D4
B8C6B,B8AA5,B8B3A
D071C,D0559,D0641
B8BED,B8BF4,B8A67
D05AF,D061C,D05A9
B8BC1,B8A0B,B8B0C
D060B,D045E,D0534
B8BCE,B8A3C,B8B0B
D0575,D0655,D0588
B8B06,B8A66,B8BE3
D04F7,D05D0,D0508
B8DC4,B8C60,B8A4A
D0543,D0747,D0599
B8B31,B8A6E,B8A67
D05C6,D0704,D06E3
B8CDA,B8C0C,B8DD0
D0649,D06D2,D070E
B8D5E,B8D4C,B8E5F
D0811,D08F9,D0935
B8CCD,B8D8C,B8F2D
D09C7,D0814,D09C9
B8FD4,B8EA8,B8F34
D0815,D0B2C,D09B3
B8E6A,B8EAE,B8F17
D087C,D0A40,D08D5
B8F84,B8F84,B8D56
D0776,D090A,D076A
B8F26,B8F3E,B8FB5
D06ED,D0909,D0A39
B8F61,B8ED3,B8EF8
D0A19,D08BF,D089A
B8F6C,B8D8F,B8E4A
D0989,D0967,D096B
B8FCE,B9138,B90B6
D097D,D0937,D0A03
B8D43,B8E66,B8DF9
D09E9,D0934,D0984
B8DD4,B8ECC,B8DAF
D08B4,D0A20,D094F
B9008,B8EE0,B8E56
D08D1,D0A3C,D08FF
B8FB3,B8E98,B8DCB
D0918,D0A20,D0B03
B8EB1,B8FC3,B8F8B
D09FC,D0A42,D09EC
B8F59,B8FDA,B8E8D
D0812,D08BA,D0A16
B8F1F,B8FAA,B8DD4
CEDFF,CEF94,CED4F
B8FF6,B903C,B8FD2
D09D4,D09F9,D0953
B8F16,B90E5,B907D
D09D7,D0B25,D0C52
B9242,B8EC8,B8FCF
D0B03,D0ABD,D0A49
B8ECC,B918C,B9015
D09FD,D0BA3,D0BB2
B90E5,B90AC,B8F90
D08FE,D0B5A,D0A23
B9098,B8FA7,B9096
D0A17,D0CB1,D0BA5
B9030,B8FAF,B92D2
D0B98,D0BC5,D0C80
B9291,B910A,B91D3
D0C96,D0E47,D0D53
B91DC,B929D,B91DC
D0C0C,D0C78,D0A7B
B9122,B90E7,B93DB
D0C71,D0B11,D0AF8
B9196,B91CD,B9249
D0D15,D0BB2,D0C72
B93B5,B91EA,B9197
D0BBB,D0BFA,D0C5E
B9269,B916A,B9081
D0E56,D0C18,D0BA4
B9193,B9181,B929F
D0D94,D0D40,D0CA8
