{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
8AC5B,8AC08,8ACA3
A2838,A27A5,A2860
8AB45,8ABD1,8AC14
A2778,A25FF,A2731
8AD7E,8AD1A,8AD93
A274D,A27D3,A27EB
8ACDF,8ADED,8AED3
A27B7,A2782,A280C
8AD54,8ABCC,8ACE6
A25C9,A284A,A268A
8AE00,8AE6C,8AE9C
A286D,A2916,A2992
8AE3A,8AE57,8AD82
A26E0,A2886,A28B6
8ACAF,8AB84,8ADDA
A27A5,A27D2,A28A0
8ADB7,8AD8C,8AC31
A259C,A264F,A2418
8AC12,8AC1F,8AAE5
A2842,A289E,A2825
8ACB1,8AD2F,8AD19
A25B6,A2721,A2691
8AC3F,8AAF3,8ABF4
A280B,A26D8,A2744
8ADEF,8ADEF,8AE95
A283B,A28A1,A290E
8AD97,8AE21,8AD7D
A253B,A251A,A271C
8A8DD,8A6A3,8A913
A232B,A2366,A234F
8A89F,8A875,8A8D5
A2387,A23F7,A24A4
8A853,8A696,8A763
A22B7,A2270,A2346
8A914,8A838,8A80C
A20FC,A23A3,A22D2
8A8CC,8A807,8A7A6
A22B2,A222E,A24D2
8AA6A,8A7EE,8A855
A2358,A244D,A2469
8ABAA,8A81E,8A7EC
A2510,A2441,A2422
8A9B2,8A8F1,8A71E
A2348,A2425,A2526
8A829,8A846,8A871
A22D8,A23D8,A2242
8A889,8A85C,8A92A
A2286,A23D8,A2371
8A8DB,8A805,8A7BF
A2426,A2281,A21E5
8A8BC,8A788,8A8F3
A22C2,A22C4,A22C3
8A871,8A87A,8AA24
A22AE,A2379,A2310
8A9B6,8A901,8A932
A2416,A2321,A24BE
8A975,8A88E,8AA4E
A22B1,A2545,A2576
8AAE3,8AA08,8A91C
A2475,A2360,A25A5
8AA36,8A9D3,8A97F
A25F8,A2488,A241C
8AA7B,8AB03,8AA6B
A2682,A2463,A252B
8A89A,8AA34,8A97E
A265F,A25FE,A24B6
8AA39,8AB61,8AADC
A2447,A2674,A2285
8AB5A,8A7B4,8AA71
A240F,A25C9,A24F4
8ACBB,8AAA2,8A84A
A24B7,A24BB,A25B1
8ABC5,8AB7A,8AA1F
A2445,A24C0,A24BA
8AA14,8A9B2,8A981
A241A,A24F2,A24E4
8A981,8A90A,8AA21
A22E1,A2422,A245E
8A95A,8A939,8A7D0
A239E,A2383,A23D3
8A99B,8A8DF,8AA29
A25AC,A258A,A25A9
8AAAC,8AA3A,8A7A1
A2561,A2537,A255A
8AAB8,8A9DF,8AAA4
A24E4,A24A4,A24BA
8AB08,8AB3C,8A9B8
A2510,A2672,A27DF
8A96E,8A8F9,8ABB3
A23FF,A2460,A23DE
8A900,8AB8F,8AA9E
A23FB,A257B,A2459
8A8C6,8AB09,8ABBB
A2426,A251E,A2581
8AB10,8A9B7,8AAC6
A234D,A23E1,A24CF
8A955,8AA0F,8AA2C
A2476,A257F,A2435
8AAD1,8A9A5,8AB66
A2457,A26D7,A270E
8A9D3,8AB1E,8AC55
A26F7,A285C,A264B
8ACFD,8AC8B,8AC0A
A2478,A24B4,A276B
8AB97,8AC2E,8ADC4
A2674,A25F1,A26A0
8AAE3,8A8BA,8AB9A
A25D9,A2685,A25F2
8AB5C,8AD03,8AA25
A251D,A2562,A26FB
8AABE,8AABC,8ABEA
A2646,A2578,A25D6
8AD6B,8AAB8,8ABD3
A25CB,A25FF,A2377
8AAB7,8AC04,8AAB0
A260D,A27FB,A2929
8AC6B,8AC20,8ABA6
A2779,A25EE,A2676
8A9A3,8ACE7,8AA56
A244C,A2654,A2727
8ABEE,8AC1F,8AC32
A2668,A2680,A2509
8AD10,8AC07,8AB5A
A254A,A2530,A26F8
8AD13,8ACC9,8AC19
A2585,A2600,A255D
8ACB5,8AE1A,8ADCF
A2649,A28BC,A27D8
8AC69,8AC94,8AEBB
A25B7,A2637,A248E
8AAC7,8A9AA,8AA88
A278A,A26D7,A267D
8AC68,8ACAB,8AC0F
A26AA,A2665,A2731
8AD1C,8ACA6,8ADD9
A26A3,A2738,A29ED
8ACA6,8ACD8,8ACEF
A248D,A26AE,A27CC
8ABE8,8AC78,8AD11
A28F3,A29BB,A2ACB
8AD25,8AD91,8AD1D
A2700,A266A,A2833
8AC83,8AC33,8AD3F
A253B,A266D,A259A
8AC15,8AC9A,8ACDE
A26E1,A2800,A2678
8AE59,8AC48,8AD13
A2692,A25AC,A2663
8AC40,8AD6D,8AC57
A27A7,A267A,A2793
8ADB0,8ACFB,8AEF1
A2789,A27AF,A2893
8AF06,8ACE6,8AC03
A27D4,A29CC,A27AD
8AEE3,8AE8E,8AD49
A1C16,A1AEB,A1CCC
8B3D0,8B4D6,8B454
A2EB0,A2E12,A2E4E
8B3CD,8B392,8B43E
A2DA2,A2F13,A2D7E
8B39A,8B4BC,8B323
A2C36,A2F71,A2F22
8B372,8B486,8B472
A2ECF,A2F8A,A2D31
8B3CE,8B241,8B310
A2E52,A2D29,A2F23
8B505,8B632,8B48D
A2F58,A2EF6,A2F9B
8B4C7,8B3CA,8B546
A2F08,A2EDA,A2E1B
8B4A8,8B425,8B3A0
A2EEF,A2F1E,A2EB6
8B3CE,8B4ED,8B12D
A2C3F,A2F0F,A2CAF
8B396,8B2D5,8B2CA
A2E99,A2CEA,A2D6A
8B3EB,8B12E,8B189
A2CEB,A2D2C,A2CE3
8B14D,8B248,8B39C
A2D5D,A2F62,A2FC6
8B48B,8B3FD,8B466
A2E0A,A2F58,A2FD5
8B43B,8B566,8B366
A2EA5,A2EA8,A2E77
8B27A,8B2C0,8B43A
A2E81,A2DA1,A2D0C
