{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
6BC2B,6BD20,6BD88
544F0,544BA,54449
6BDDC,6BF65,6BF51
5432E,543D3,54308
6BD69,6BDFF,6BDD9
5437B,543B6,54391
6BD34,6BEFB,6BDAC
543DC,541D8,543D4
6BE69,6BF3E,6BF23
545A7,543F7,544C5
6BE39,6BDE4,6BE92
5446E,5441C,544AD
6BEA5,6BE7B,6BE8D
543BC,5458A,545A5
6BF57,6C121,6BEC3
54549,545EE,5459A
6BF2C,6C017,6BEF5
54680,545A4,54452
6C0F7,6C0E0,6C29B
54604,546D2,545CD
6BF41,6C009,6BF70
54623,5464F,54553
6C233,6C00A,6C07E
54469,545D2,543F2
6BE15,6BEE9,6BE58
5440A,5464D,543E8
6AB83,6AB8D,6AB62
53969,53703,53961
6B2EB,6B482,6B3EC
53AC5,539F8,53994
6B3CA,6B4FD,6B558
53A9D,53B94,53A32
6B45A,6B3F8,6B7A6
53AD3,53935,53B67
6B76C,6B5FD,6B4E2
53A72,53BB7,53AA8
6B390,6B3AE,6B4D1
53BC3,53AF8,53AC3
6B54D,6B5C2,6B488
53BE6,53A0F,53BB5
6B5DA,6B29B,6B5AD
53ADA,53B9A,53C2D
6B525,6B638,6B7F8
53D7B,53AA9,53BF3
6B5C0,6B5F6,6B61A
53A9A,538AF,53CA8
6B5AB,6B645,6B611
53AEE,53BB6,53AB5
6B452,6B5FA,6B42D
53D8F,53A43,53C7C
6B6F5,6B7E7,6B64F
53DD3,53BDC,53A67
6B756,6B67C,6B799
53C4F,53B89,53C91
6B6C4,6B67C,6B6E9
53A1E,53CDA,53DAA
6B65C,6B607,6B6D8
53B2E,53A1D,53B37
6B590,6B618,6B75A
53DBA,53CA2,53D8B
6B845,6B6FB,6B8A5
53D3B,53ED2,53C92
6B8EC,6B8EF,6B8D9
53F7D,53EB8,53D23
6B87C,6B8B1,6B746
53E10,53DA0,53DE7
6B9F5,6B97F,6BA65
53F37,53D2A,53E86
6B784,6B954,6BA9A
54029,53F9C,53FDE
6B7C0,6BB04,6B82A
53F4C,53F7A,53EEB
6B8C2,6BB34,6BA0D
53F63,53D4E,54091
6B9EC,6BA4C,6B8D0
53F7F,53F64,53F49
6B8FD,6B9C1,6B8FE
53F61,53FD0,53FE6
6B9F6,6BBCC,6BAC3
54160,53FE2,54064
6BA7D,6B9F3,6B89B
53F4D,53E63,53EF5
6B8FD,6B9DC,6B93B
53F74,53EB9,53EE2
6B8E3,6B9A9,6BB59
53FA8,53EBF,53FF5
6B938,6B94D,6BAB1
53FDA,53FCE,53E7C
6BB07,6BAA5,6BA5B
54004,53EC5,54081
6B935,6B9B7,6BA90
53D86,53DFC,53C8D
6B7AF,6B813,6B720
53DCC,53E36,54065
6B823,6B9C5,6B7D1
53D3B,53C63,53FCC
6B923,6B921,6B6BD
53E97,53E83,53E5C
6B954,6B839,6B8E3
53D82,53DC4,53D30
6B6DD,6B7F6,6BB2E
53DE2,53DB8,53D63
6B9AF,6B96F,6B869
53ED1,53DB9,53E3B
6B974,6B8DD,6B7E9
53E10,53D6D,53C9E
6B71F,6B880,6B976
53FDF,53F5F,53E66
6B94E,6B718,6B8EA
53E6D,53F7B,53D65
6B91E,6B9D1,6B90F
53F92,53EE3,53F12
6B9AB,6B890,6BADB
53F08,53D8F,53E3A
6BA83,6BABB,6B9BC
54052,540AA,540BD
6BA64,6BAD7,6B918
53E15,53EC5,53E71
6B9D9,6BB97,6B9B5
53FAE,54099,53EF1
6BA22,6BB01,6BB14
53EFF,53DEE,53F30
6B8A0,6B93A,6B96C
54170,54245,54283
6BBF2,6BB90,6B9F5
5423E,54115,540CC
6BC2D,6BBDB,6BCB3
54199,5426F,542A3
6BDD9,6BCB6,6BC59
5408D,540A6,541B8
6BDB4,6BE90,6BBA7
5420B,54251,540C4
6BBAA,6BC99,6BB6F
54170,54142,54044
6BADF,6BD35,6BCC2
54181,54088,54025
6BADE,6BB64,6BC3A
5411C,54197,54337
6BC37,6BB1D,6BD2D
54112,54214,540CF
6BCB6,6BD35,6BDE5
54302,5404C,5436D
6BD6A,6BBE6,6BD50
5435E,541EB,5430A
6BCA1,6BBC8,6BB8A
542F8,54295,5436D
6BCE9,6BCDA,6BEBF
54254,5436D,54202
6BE2D,6BC6C,6BDCD
543FB,543E2,54332
6BCFB,6BD9E,6BD50
54378,54355,542A0
6BF3B,6BF18,6BDE0
543DA,5428F,54271
6ADF0,6AF77,6AD2F
5422B,5438E,542DE
6BD57,6BD47,6BDBB
5439B,543F2,542E5
6BCCF,6BDAB,6BDEB
54244,543E4,544BD
6BCA1,6BD64,6BF17
543D4,542D9,542D1
6BE61,6BEE0,6BF8F
545D8,54226,5448F
6BBEF,6BE10,6BDBC
543E2,54332,54311
6BE43,6BBEC,6BE10
5446A,543DF,541F6
6BFDE,6BEF1,6BD2D
