{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
9F7B3,9F798,9F796
B6F76,B71D4,B6FBB
9F66F,9F52C,9F621
B6FEE,B7082,B704B
9F71C,9F60E,9F7BF
B706B,B70AC,B71BA
9F78F,9F833,9F5DE
B713A,B7088,B708B
9F785,9F66F,9F74F
B724A,B71CD,B712C
9F6B5,9F848,9F6DA
B71FF,B72A8,B7042
9F605,9F526,9F55A
B6C93,B6BB6,B6DAC
9F0C7,9F157,9F135
B6A64,B699E,B69E6
9EEDD,9F1A5,9F0F7
B6AD8,B6941,B691C
9F085,9EE3E,9EEF6
B6799,B6A96,B68FE
9EF8F,9ED68,9ECE2
B69AE,B6AE3,B681A
9ED92,9EF4E,9EE66
B69F3,B6A00,B67CD
9F06D,9EEA0,9EF9E
B6BFD,B6AA8,B69F8
9F1CD,9F076,9EFAC
B6AB7,B6AA2,B6A06
9F136,9F0C5,9EFC7
B6B48,B6AE4,B6B63
9F213,9F0D1,9F0A2
B6B2B,B6B11,B6C8E
9EE88,9EE65,9EFF3
B6952,B6AAD,B6929
9EF79,9F00C,9EF40
B698F,B6A3B,B674A
9EE29,9EF14,9ECC6
B67CA,B6B0F,B6853
9EEBE,9EEBE,9EDE3
B68CA,B6990,B6A1C
9EEC1,9EEF6,9EFEA
B6A2D,B6929,B69A9
9EF4A,9EE57,9F02E
B681E,B68A9,B69C1
9EFA9,9EDE9,9EEE1
B6846,B6886,B695F
9EEC1,9EE5C,9EE81
B6876,B675B,B6886
9ED31,9EE83,9EDFB
B687D,B6767,B684F
9EC51,9ECB7,9EE0B
B67BD,B693A,B64F4
9EDF3,9ED1D,9EEDC
B6A18,B6B1D,B69C9
9F018,9F083,9EEAF
B69F5,B68B6,B6B96
9F10B,9EEAF,9EEC5
B6AA5,B6A7B,B6987
9F03F,9EEBE,9F024
B68FA,B6938,B6A2E
9F0E6,9F053,9EFAD
B6BF6,B6B41,B6AD8
9F004,9EEA3,9EFA1
B6837,B69F2,B6BC7
9F044,9F04B,9EEC9
B69F5,B69CA,B69EE
9EFAD,9F01D,9EF60
B6A75,B69C8,B6972
9F0F3,9EDCF,9EE4F
B6C6F,B6B39,B6C69
9F11C,9F167,9EFC8
B6862,B67CE,B6A8F
9F0B6,9EED6,9EE79
B6A69,B6AC3,B6BB3
9EF4A,9EE98,9EF27
B69BF,B6A35,B6C33
9F0D3,9EF5D,9EFB0
B6BE4,B6C67,B6AC8
9EEEE,9EF82,9EDD7
B699F,B675D,B6A35
9F006,9EF42,9EEF6
B69BA,B699D,B67DD
9EE00,9EE6E,9EDDA
B67A4,B66E8,B68AC
9EE54,9EC87,9ED61
B6934,B6855,B68F1
9EEA8,9EEF5,9EED1
B66B1,B689F,B698D
9F068,9F055,9EE71
B6899,B69A2,B69B7
9EF5C,9EF89,9EDC9
B686C,B685B,B69B7
9EF70,9EF08,9EE50
B6997,B69B7,B67ED
9ED37,9EE56,9ED2C
B6815,B6683,B68E8
9EDEC,9EE60,9EA32
B6636,B6791,B671C
9EC89,9EB41,9EC00
B6774,B67E2,B6720
9ED5B,9ED26,9ECE6
B6901,B6894,B69CB
9ED19,9ECD6,9EE19
B671D,B66BF,B6724
9EC3E,9EBF2,9EC7E
B675E,B6838,B676F
9EE64,9EE03,9EC3A
B67A8,B68FD,B66CD
9ECDD,9EF45,9EEFD
B6766,B67EC,B6751
9ED79,9EE1A,9ED8C
B6846,B681D,B65A8
9EEB1,9EE3F,9EC8C
B6962,B67AE,B677A
9ED8C,9ED8A,9ECB1
B6628,B680B,B666C
9EBBA,9EC87,9EBE2
B6673,B6789,B67F6
9ED6E,9EC7A,9EDD6
B6907,B6749,B682F
9ECCC,9EB58,9EC98
B68A3,B6794,B672E
9EDC8,9ECBB,9ED53
B66E7,B6647,B6869
9EC3D,9EC7B,9EDC5
B6841,B697E,B66B2
9EDC2,9ED26,9EE09
B6673,B675E,B65EF
9EC80,9EC4F,9EF24
B66CB,B6790,B6815
9EC88,9ECEA,9EBE2
B6584,B681A,B69CB
9EF2B,9EC84,9EBF4
B68F4,B66B6,B6947
9ECEE,9EDD5,9EC4C
B67EC,B6819,B67DF
9ED99,9EE01,9EB82
B6683,B68D3,B691A
9EC4E,9EDB4,9ECB9
B6814,B67F7,B65E2
9EC5F,9EC5D,9EDD5
B5F19,B5DDA,B5DFD
9F08B,9F074,9F0F3
B6A9C,B6D0C,B6B31
9EF16,9F1FB,9F310
B6B7C,B6B25,B6A4E
9EFF3,9F00C,9EDFB
B6996,B6AA0,B6AD6
9F262,9F0D7,9F17E
B6A96,B6B84,B6BD6
9EF46,9EFC0,9F2C6
B6C20,B6A39,B6B25
9F002,9F0A6,9F0AB
B6BB5,B6AFE,B6B91
9F094,9F1C7,9F1FD
B69E5,B6AB0,B69D9
9F0B7,9EE45,9F05B
B6B60,B6D31,B6F2F
9F210,9F24E,9F21B
B6B1D,B6AE6,B6B77
9F07A,9F0D1,9F02B
B68EE,B6952,B6B46
9F0AD,9F106,9F149
B6B2F,B69B6,B6A76
9F182,9F111,9F031
B6992,B6AD2,B6915
9F10E,9F0EB,9EF69
B6C57,B69D7,B6C04
9F083,9F17B,9EFBB
B6B79,B6A8C,B6BF4
9EF50,9F1D1,9F004
B6BC0,B6AA3,B6AD9
9F344,9F12C,9F0B9
B6842,B6A95,B6838
9EF04,9EF33,9F0A4
B6ABE,B6B7A,B6AA9
9EE07,9F01C,9EF23
B6965,B69E6,B6939
9F04A,9EEA8,9EE08
B69A0,B6998,B69A6
9F04C,9EE9F,9F01C
B6AED,B693D,B6B05
9EFFA,9F17C,9F142
B6B1F,B6A36,B69BD
9EF13,9F074,9ED33
B694E,B6B68,B6A9F
9EE33,9EE76,9F02F
B6AB0,B6A69,B6D06
9EFBD,9EE44,9F055
B68CB,B6A54,B6C47
9EDA3,9F155,9EE9B
B6766,B6909,B6A0A
9EE3F,9EEBA,9F01E
B68F1,B68AC,B6894
9ED04,9EDCC,9ECE4
B68AC,B6A97,B6876
9ED8D,9EF32,9EE47
B688B,B685B,B67EE
9EFAA,9EE03,9EE95
B6A0B,B6AFE,B6A0A
9EF1E,9EE31,9F099
B6923,B68E7,B6957
9EED9,9EDB4,9EE64
B6916,B6728,B671D
9EF69,9EE68,9EF2D
B6C6D,B693A,B6951
9EF00,9EE48,9EDB1
B65DE,B6679,B680F
9EEF9,9ED19,9EECE
B67EA,B6645,B65C5
9EC1F,9EDDE,9ED12
B687E,B6834,B67D9
9EEA3,9EDA1,9EF81
B6A20,B692D,B67D8
9ED1D,9EF1D,9EE08
B68E9,B68EF,B67BC
9EE58,9EEA6,9EEC1
B675C,B6929,B68F0
9EFE3,9ED3D,9EF20
B68EA,B683C,B697D
9EFE5,9EE20,9F008
B6A41,B6973,B6BCE
9EDC4,9EF0A,9EF84
B69B3,B678A,B6927
9EF20,9ECC6,9ED29
B66D2,B6730,B6748
9ED1E,9EE32,9ED09
B6568,B65C2,B65FE
9ED0D,9EB30,9ECDF
B6938,B687A,B68E2
9ECA2,9EC69,9EDE2
B674D,B685A,B6942
9EC5F,9ED98,9EDFA
B683B,B6A08,B6883
9EE59,9EDFC,9ECA2
B6794,B67BF,B6757
9EF43,9ED85,9EE6E
B6826,B67CA,B6721
9ECA2,9EBE2,9EB40
B673E,B6529,B6498
9ED43,9EAD5,9ED2F
B6771,B672C,B6712
9ED8F,9ED39,9EC23
B66F9,B66FE,B6614
9EDAB,9ECD2,9EC7C
B64D5,B6796,B67ED
9EBCC,9EDFF,9ED54
B6A31,B68D8,B67A6
9EC6F,9ECD9,9EC46
B6668,B6617,B6738
9ECCE,9EDCA,9ED8C
B675B,B6884,B6862
