{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1C4B8,1C46E,1C697
4AA6,4841,4831
1C5B2,1C3B9,1C47A
4C12,49E3,4B42
1BB3F,1BD3F,1BC86
4F81,4DA1,4CCF
1C90D,1C7F7,1C8C3
4DF2,4E3C,4D8B
1C7D2,1C94B,1C8BB
4D00,4C4C,4BD5
1C60D,1C721,1C868
4E2D,4E91,4CDE
1C823,1C78C,1C82F
4E70,4E65,4F63
1C715,1C79F,1C7ED
4EA3,4DFF,4D37
1C8C7,1C88B,1C876
4F99,4FCC,4F99
1C645,1C91A,1C80B
4D51,4D77,4C24
1C8BA,1C7D2,1C873
4DA3,4E05,4D19
1C764,1C603,1C96C
4FCC,4EAF,4EC4
1C8A4,1C96C,1C933
4CF6,4C5F,4EAF
1C6BA,1C551,1C82C
4EA2,4D46,4D27
1C87C,1C7EC,1C615
4FDB,4E08,4E46
1C7F4,1CAD4,1CA59
4FE0,4D31,4C12
1C7AA,1C890,1C863
4EFD,4E4B,4F4A
1C89E,1C8CA,1C897
4EE2,4F7F,4E5A
1C6A9,1C928,1C8B1
4DA1,4C3A,4C22
1C6E7,1C85A,1C7C0
4D40,4EDE,4E7D
1C902,1C872,1C832
4E93,4CF8,4DB3
1C7A5,1C8AC,1C8D9
4ED8,4CD3,4F10
1CAE5,1C957,1C7DB
4CB4,4D6D,4CC1
1C646,1C678,1C6E9
4B5E,4C26,4BB1
1C8B2,1C91B,1C85B
4DFA,4DE0,5002
1C91D,1C74E,1C976
4E37,4BAD,4D2C
1C84F,1C863,1C845
4E9A,4D67,4EA1
1C728,1C676,1C7D7
4F8A,4E8B,4B98
1C8FE,1C890,1C644
4EF7,4F52,4D20
1C8BF,1C889,1C70F
4EDB,4C40,4AD2
1C6A1,1C91F,1CA22
4D3D,4EC1,4E15
1C98B,1C866,1C914
4D14,4DA0,4DF6
1C9CD,1C86C,1C925
4D1C,4E73,4D1A
1C9A0,1C884,1C852
4D67,4EB5,4FB1
1C999,1CAE5,1CBBA
4ED2,4F57,4F48
1C8E8,1CA22,1C86E
4FD1,4F08,5007
1CB44,1CB65,1CA84
4F41,5024,507A
1CC43,1CCCD,1CC4C
5144,4EB6,5043
1CACE,1CCC8,1CC3D
510F,4FC6,50BA
1CAB7,1CAB4,1CB71
501E,5048,4EDE
1CC78,1CD64,1CAFF
5221,519E,4FCA
1CAC4,1C9A2,1CAC1
527F,521D,5112
1CC65,1CC7A,1CCB1
5145,5107,5143
1CBF6,1CD1C,1CA67
500C,515A,5135
1CD44,1CBF6,1CAB1
4F8E,5203,523D
1CCE2,1CBCC,1CA8A
517A,50A3,512D
1CAA9,1CB7B,1CC22
5161,5227,509F
1CB1C,1CA12,1CB23
51A6,5131,51C0
1CA89,1CCB8,1CBA3
51A2,527C,5008
1CC91,1CDC9,1CCD7
5427,52F4,5210
1CA40,1CADA,1CAB5
4EA1,4EFC,504A
1CAA8,1C885,1CA0B
51DA,4F59,508F
1CB22,1CE2D,1CBBE
50A3,5111,525A
1CD71,1CA4D,1CAA8
5133,501B,51F7
1CB14,1CC51,1CBFD
5149,4F05,4FAD
1CB9C,1CB89,1CBB8
5154,5105,50E8
1CA1B,1CBF1,1CB6C
522F,4F55,4FFC
1CA8B,1C948,1CA88
5066,5166,4FA1
1CC7E,1CC7E,1CB6C
51D1,5113,5023
1CBF9,1CB09,1CC46
52AE,5236,518F
1CB36,1CB17,1CCE4
50A6,5366,4FB4
1CC24,1CB2D,1CC3D
514B,4FF5,50CE
1CE33,1CD9C,1CE1A
529B,519A,5359
1CD89,1CDF8,1CC7B
51B9,5293,52C2
1CCC6,1CC71,1CB16
5295,5231,511A
1CBA1,1CD36,1CAD2
50D2,5344,5327
1CC93,1CBB4,1CB29
560E,572E,5798
1D106,1CF57,1D02B
55E6,5678,55A3
1D058,1D048,1D0A5
5677,5509,5512
1CF89,1CEFE,1CF99
55EE,5446,56F2
1CE94,1CE4E,1D202
5753,561C,5682
1D090,1D044,1CFFD
54CF,55C8,564D
1CFD0,1D0BD,1D045
5748,5598,558D
1CF15,1CFEA,1D196
55A4,55C2,5670
1D0E0,1CEEB,1D01E
552B,56A5,5620
1CEC1,1CF2D,1CFDC
54C3,55F3,5578
1D021,1D16A,1D103
57A2,5599,567F
1D1CC,1D0C3,1D0D6
56DF,5657,56C5
1CF64,1D06D,1D110
55C6,5483,5506
1CF9E,1CF0F,1D0BC
5616,54DA,55CE
1CF9C,1D160,1CFE4
56E6,5705,562D
1D08B,1D237,1D196
5660,58B8,587B
1D180,1D1D1,1D20C
558F,57C0,5617
1D07B,1CD75,1D09F
562E,5526,5719
1D148,1D098,1D12D
557A,5380,5493
1CF06,1CF36,1CFAD
543D,5507,5620
1CF04,1CEC9,1D00D
5482,53C4,5448
1CF02,1D00B,1D080
5533,544E,569C
1D086,1D153,1D0BA
54FD,561A,5494
1D068,1D04F,1CFA6
552D,5701,5658
1D2EA,1D0B9,1D2A0
562F,54E7,56E4
1D11C,1D074,1CFD0
5487,54C4,5676
1CF33,1D05D,1CF20
5626,5723,5801
1CFD1,1D136,1D1D4
5649,55F6,5576
1D193,1D23D,1D159
574C,577F,55D1
1CF7A,1CEE5,1D0CC
5582,57ED,562C
1D036,1D0DD,1D28F
578F,5884,562C
1D1C2,1D107,1D090
53BC,5769,56A8
1D0FE,1D28E,1D27A
55FC,573C,58B9
1D2E7,1D233,1D171
58BB,576D,59C1
1D450,1D2E0,1D32F
5919,548F,584D
1D241,1D159,1D28F
