{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7ECA3,-7EEB6,-7EDC0
-968F7,-9684B,-96650
-7EC80,-7ECC9,-7EE2F
-967A3,-9677A,-9681B
-7ECCF,-7ED5B,-7EBCD
-96781,-96789,-96955
-7EEE2,-7ECB9,-7EB4E
-96A90,-96BAC,-96BC8
-7F164,-7F09B,-7F19B
-96A07,-969AC,-96AEB
-7F0A3,-7EEB4,-7F193
-96982,-96C61,-96AB0
-7F08D,-7F06D,-7F048
-96B37,-96AC3,-9695E
-7F075,-7EF77,-7EFA5
-96B14,-96B12,-96B11
-7F14B,-7EF8A,-7EEB0
-96B26,-96A8D,-96B31
-7F171,-7EF3D,-7EF4C
-9698F,-96877,-96B17
-7F13E,-7EE12,-7EF98
-96ADC,-96A54,-96A77
-7EE9E,-7EEFF,-7ED82
-96A22,-96C3B,-969D6
-7EEF1,-7F06A,-7EDAD
-96A43,-968CD,-96A20
-7EF3C,-7EDDA,-7F011
-96A99,-9686A,-969D0
-7EE31,-7EE91,-7EEF1
-96904,-96A3F,-967E2
-7EE61,-7EEE7,-7ED8C
-9685B,-96889,-96851
-7ED8A,-7EDAB,-7EC68
-9681B,-967F2,-96836
-7EE72,-7EBBC,-7EBD6
-968A5,-9685F,-968EC
-7EBF8,-7EB44,-7ED3C
-9671E,-965F4,-96820
-7EB78,-7ED97,-7EE37
-967E9,-966DF,-96682
-7EC81,-7ED35,-7ECB4
-966E9,-96713,-9661E
-7ED31,-7ED7F,-7EC5A
-966ED,-965FF,-96601
-7EC40,-7ED08,-7EC0D
-9663D,-96795,-96556
-7ED93,-7EDCF,-7EBAC
-966CC,-965AF,-96611
-7EBA7,-7EBED,-7EAA7
-963CB,-96671,-965E7
-7ECD4,-7EAAB,-7EC84
-9644F,-9657D,-96646
-7EA9C,-7EC0D,-7EC80
-9689C,-964D2,-9670B
-7EC22,-7EB69,-7E931
-96726,-96507,-966AD
-7ED60,-7EC40,-7EB7C
-965EE,-96649,-964BC
-7EA74,-7EBD6,-7EA87
-96547,-9667E,-962E4
-7EDD0,-7EA41,-7EB5A
-96560,-96568,-96576
-7EA27,-7EBD7,-7EBF7
-9673E,-966AB,-9667C
-7EAAE,-7EB36,-7EBDF
-967D2,-96589,-965E6
-7EBD2,-7EADF,-7EA82
-964F2,-96429,-96606
-7EA43,-7EA2C,-7E99B
-96544,-965E9,-96407
-8079D,-805E3,-80827
-965B2,-9643A,-965F8
-7EB64,-7EADD,-7E9D3
-9664E,-96547,-96487
-7EC19,-7EA7A,-7E8A4
-96411,-96442,-9634A
-7EAF7,-7EB99,-7E98D
-96686,-96579,-9638E
-7E9D9,-7E9DD,-7E9FF
-96369,-96446,-96478
-7E8FB,-7E9AD,-7EB1B
-9641B,-96535,-96460
-7EB25,-7E9E3,-7EA25
-9630A,-96468,-962EC
-7EA70,-7EB56,-7EBC7
-963BF,-96279,-963A4
-7E775,-7E8AA,-7E7A6
-96347,-96430,-96300
-7E9C6,-7E879,-7E9C1
-96406,-963EA,-962DB
-7E976,-7E92F,-7EA3E
-96284,-962F7,-9636E
-7E90F,-7E95C,-7E9CD
-9645A,-96136,-962D5
-7E925,-7E723,-7E793
-9621E,-96239,-962AB
-7EAD4,-7E860,-7E7B1
-962D7,-96229,-96350
-7E84C,-7E9ED,-7E876
-9630A,-96273,-96526
-7E78E,-7E6EF,-7E8FC
-962C1,-9629D,-962A2
-7E9DE,-7E7D4,-7E768
-961EA,-960C6,-95EDB
-7E5CC,-7E5E6,-7E6CC
-962F7,-9603A,-960F0
-7E689,-7E5D2,-7E794
-96149,-96258,-95EA3
-7E688,-7E653,-7E7A9
-96173,-961F9,-96068
-7E75D,-7E60E,-7E4B5
-95F30,-95EE2,-95E5F
-7E408,-7E3B8,-7E4F8
-95E5C,-96111,-95EB2
-7E460,-7E52F,-7E3C1
-95F25,-960C4,-95E14
-7E5B4,-7E69F,-7E573
-9618C,-96100,-95E89
-7E2E8,-7E314,-7E20A
-9607F,-95E89,-9610C
-7E475,-7E489,-7E4C2
-95DA0,-95F54,-96055
-7E3C9,-7E471,-7E503
-95F83,-95F8A,-95DA1
-7E497,-7E569,-7E5AD
-95DFD,-95F13,-95E1F
-7E472,-7E3A3,-7E457
-95F94,-95ED1,-95DDE
-7E614,-7E5EB,-7E45C
-95E58,-95D34,-95EA3
-7E3AD,-7E4A6,-7E3A1
-9604E,-95EDE,-95EA5
-7E45A,-7E54B,-7E281
-960EC,-95F96,-96094
