{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-46F25,-470CE,-46EC4
-2F2B2,-2F532,-2F43C
-46E38,-46FEF,-46F99
-2F44F,-2F48E,-2F59E
-46DF0,-46E55,-46FCB
-2F4CB,-2F5CD,-2F43F
-46F15,-4718C,-47133
-2F4AE,-2F61D,-2F5F5
-471D3,-47188,-47080
-2F3D8,-2F674,-2F3E2
-46EB4,-4705C,-4711A
-2F59A,-2F67D,-2F353
-46EEC,-470A7,-46F37
-2F5BA,-2F4A0,-2F533
-46DB1,-46F95,-46E82
-2F6D1,-2F6EF,-2F49A
-4720A,-470EE,-47114
-2F4F3,-2F447,-2F51E
-4703E,-46E13,-46E71
-2F4ED,-2F3A5,-2F61E
-47019,-46EA4,-46EA0
-2F5A1,-2F496,-2F794
-46EFA,-46E0F,-46FAF
-2F5C7,-2F42B,-2F4E6
-46DDF,-46F54,-46DEB
-2F40D,-2F488,-2F4D8
-46ECC,-46E6B,-46DB7
-2F63D,-2F685,-2F5F8
-47079,-46F97,-47044
-2F2AC,-2F3FD,-2F532
-46D59,-46FEB,-46EC6
-2F286,-2F17B,-2F425
-46EB9,-46E56,-46E11
-2F547,-2F389,-2F389
-46F39,-4713D,-470E0
-2F3BD,-2F51B,-2F4F3
-47186,-46EC3,-46C9B
-2F55E,-2F49C,-2F3BF
-46E54,-46DF2,-46DEF
-2F3EF,-2F500,-2F503
-46E78,-46FB0,-46F65
-2F3CF,-2F39F,-2F408
-46D95,-46F40,-46C22
-2F2F5,-2F505,-2F427
-46F01,-46EDE,-46FC4
-2F428,-2F2CC,-2F24B
-46DBA,-46E62,-46C46
-2F457,-2F4DB,-2F333
-46F8B,-46EBA,-47052
-2F50C,-2F319,-2F20C
-46D45,-46ECE,-46DF2
-2F36C,-2F3D9,-2F475
-46C83,-46E25,-46C81
-2F35E,-2F312,-2F267
-46ED4,-46FDB,-46E54
-2F411,-2F3E7,-2F589
-46EB5,-46F6F,-46F6B
-2FF83,-300B7,-2FEED
-467D2,-468C1,-466F3
-2EF63,-2EDD5,-2EE3C
-466DE,-467B0,-467E3
-2ECAA,-2ED11,-2EDED
-4669D,-46787,-4662A
