{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5B5FB,-5B494,-5B42E
-72E49,-73006,-730FB
-5B615,-5B623,-5B4F4
-72E88,-7305E,-72FAA
-5B4F2,-5B483,-5B421
-72DC6,-72C2A,-72DF3
-5B494,-5B53F,-5B5DE
-72FEA,-72EC1,-72EA7
-5B456,-5B36B,-5B567
-73103,-72FF8,-72F65
-5B626,-5B72B,-5B6C4
-72E75,-72D85,-72FB4
-5BEB0,-5BEB9,-5BF93
-72CA0,-72AF5,-72C46
-5B21E,-5B06C,-5B06A
-72B79,-72D2B,-72C93
-5B182,-5B08D,-5B0D9
-72E1D,-72B6D,-72DFB
-5B109,-5B133,-5B12D
-72B55,-72A5C,-72B0B
-5B18C,-5B0B4,-5B133
-72C0B,-72C02,-72A2A
-5AFF5,-5B0C0,-5B175
-72AC8,-72D14,-72D1E
-5B346,-5B0DC,-5B04F
-72A25,-72D31,-72A80
-5AFCA,-5AFBE,-5AE72
-72C26,-728C6,-7298B
-5AFBC,-5B0A0,-5AF54
-72A86,-72C9F,-72D12
-5B178,-5B262,-5B3B0
-72E34,-72A7E,-72B39
-5B068,-5B0D2,-5B05E
-72A8E,-72C49,-72D14
-5B1C7,-5B1EB,-5B0A3
-72C66,-72CC7,-72BF5
-5B1A9,-5B1D4,-5B259
-72D45,-72CEA,-72A94
-5AFC6,-5B0EE,-5B254
-72B26,-72B1B,-72B73
-5B0D1,-5B052,-5B343
-72BEC,-72B27,-72E3A
-5B1B4,-5B1A3,-5B0D0
-72AE1,-72A8B,-72BBF
-5B069,-5B391,-5B412
-72BF6,-72C73,-72BFE
-5B206,-5B1AE,-5B289
-72C49,-72C57,-72CA7
-5B070,-5B0E6,-5B113
-72BBA,-72C95,-72BCE
-5B14D,-5B18C,-5B1B2
-729D2,-72B54,-72C10
-5B2D7,-5B0FE,-5B1BA
-72AA9,-72C37,-72B95
-5B370,-5B367,-5B05C
-72AF7,-72C99,-72D8E
-5B146,-5B0BA,-5B08E
-72C46,-72E11,-72C4B
-5B110,-5B12D,-5B197
-72C7A,-72D8A,-72C77
-5B17A,-5B0F9,-5B146
-72EC1,-72E47,-72D07
-5B337,-5B31C,-5B15A
-72DDF,-72D8E,-72E54
-5B200,-5B226,-5B396
-72CA4,-72CAF,-72A6E
-5B2B2,-5B3AD,-5B330
-72A66,-72C06,-72C59
-5B205,-5B0FE,-5B0FB
-72B0B,-72CC4,-72CA4
-5B286,-5B2EE,-5B227
-72B32,-72E22,-72D35
-5B10A,-5B12F,-5B260
-72D44,-72B69,-72EEA
-5AFE1,-5AFFA,-5B171
-72C2A,-72C13,-72C7D
-5AFC5,-5B122,-5B068
-72CEB,-72E98,-72F66
-5B571,-5B2C4,-5B24D
-72C21,-72DD1,-72D7F
-5B2D9,-5B479,-5B2B3
-72C2F,-72E27,-72DFC
-5B31F,-5B1DD,-5B2EB
-72D54,-72CD5,-72CF8
-5B32B,-5B3DA,-5B24D
-72D52,-72F6A,-72C58
-5B22E,-5B694,-5B394
-72E3F,-72FFC,-72E84
-5B35E,-5B2CA,-5B091
-72DA8,-72DA0,-72E17
-5B161,-5B1C0,-5B321
-72D5B,-72B2B,-72DA7
-5B192,-5B187,-5B070
-72D9A,-72D47,-72DFB
-5B3CB,-5B362,-5B2F8
-72E80,-72EFF,-72C6F
-5B38F,-5B114,-5B258
-72D94,-72E0B,-72EC7
-5B244,-5B1CC,-5B211
-729CB,-72D64,-72B91
-5B390,-5B15F,-5B2D5
-72D1C,-72C21,-72DDC
-5B0C6,-5B10F,-5B255
-72C54,-72CEB,-72E24
-5B375,-5B327,-5B0A3
-72DC9,-72E91,-72E07
-5B342,-5B29D,-5B20B
-72CF0,-72CD5,-72C5B
-5B51D,-5B4AB,-5B3B7
-72E07,-72F35,-72DF4
-5B282,-5B432,-5B38E
-72D8A,-72ED2,-72FF0
-5B503,-5B2C6,-5B4B9
-72E26,-72FED,-72FAF
-5B52C,-5B502,-5B4C3
-73063,-7301E,-72F8D
-5B589,-5B4BE,-5B4D8
-72EAE,-72FCD,-72F87
-5B4A6,-5B458,-5B47F
-73069,-72F32,-72F67
-5B435,-5B3BE,-5B4D7
-730E7,-72F09,-730AC
-5B5B8,-5B508,-5B4C3
-72FF7,-72E6E,-72EBC
-5B481,-5B39A,-5B451
-72E44,-72EAC,-730B7
-5B51A,-5B563,-5B44D
-72E01,-72E3B,-730F7
-5B63B,-5B5E4,-5B429
-72F82,-7308A,-72FC9
-5B5AE,-5B567,-5B5F3
-72EBE,-72F01,-72E25
-5B4B8,-5B4A3,-5B5B0
-72C9A,-72DA8,-72FA2
-5B304,-5B34A,-5B263
-72E3F,-72E4B,-72F0F
-5B443,-5B364,-5B472
-72D9D,-72D71,-72E12
-5B524,-5B3CE,-5B4A9
-72D6B,-72E0B,-72EB8
-5B7F4,-5B92C,-5B972
-73501,-731F2,-736AF
-5BAE9,-5BBDB,-5BBD7
-73223,-7338B,-7353A
-5BAF2,-5B976,-5BA2D
-73390,-73354,-73461
-5BACE,-5B87A,-5B8D1
