{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-31CCA,-31AE8,-319AA
-4876E,-487DE,-48996
-30C80,-30D38,-30DB8
-48739,-48A53,-48876
-30F1B,-3111A,-30FF6
-488E3,-488A4,-488BE
-30DB7,-30D1A,-30D87
-486E2,-48739,-4881C
-30C10,-30BEF,-30BAE
-485E1,-48598,-485B4
-30BBD,-30C3A,-30D93
-4879D,-48467,-48839
-30C0E,-309D4,-30C7F
-4875C,-48506,-48684
-30C8D,-30B32,-30AE0
-48742,-485E8,-48653
-30AAA,-30A60,-309A7
-4867D,-486EB,-485D1
-30BE3,-30C02,-30BB2
-485C7,-486D6,-48787
-30C20,-30D4E,-309D0
-48855,-4866B,-484A5
-30C0D,-30B68,-30B34
-4838A,-4850C,-4868A
-30B63,-30B55,-30B2B
-4857B,-4858B,-4857E
-30A93,-30B18,-30A8F
-485EA,-485AF,-48667
-30A35,-30A80,-30B1B
-4855B,-486BE,-486F7
-30A4A,-30BC1,-309BE
-4852B,-485F8,-48594
-30B96,-30BD3,-30AB9
-48535,-4839D,-48345
-30AD3,-309A6,-30A19
-48385,-48425,-48387
-30C69,-30905,-3086C
-483BA,-484D2,-4842F
-30937,-30A1F,-30A0B
-482F5,-4828A,-481C4
-308F2,-308E6,-30A6A
-48227,-48207,-4831D
-30A18,-30B2A,-30979
-4841C,-484BB,-483E4
-3083F,-30977,-30A91
-481B4,-48363,-48408
-309A5,-30A50,-306F7
-483E3,-483A8,-48252
-306A7,-30792,-306DE
-48302,-483B0,-4822F
-30723,-30837,-308EC
-481B8,-483F9,-4832F
-306D9,-307EC,-30742
-48282,-48356,-48424
-30997,-30988,-30959
-483D5,-4825B,-48424
-308B6,-30719,-3066A
-48209,-481D3,-4836B
-307E8,-307F7,-30909
-483B5,-482DE,-48181
-30936,-306F5,-30950
-48221,-480BA,-48068
-306FD,-30540,-306C9
-482FA,-481A0,-4833D
-30810,-307A6,-30873
-48537,-48330,-48255
-30C3D,-308E5,-30CB5
-4874D,-485A2,-485B5
-30C55,-30BF2,-30CA5
-485A1,-48685,-48818
-30B38,-30907,-30CA5
-48428,-48456,-4849D
-30A47,-30A51,-30AC2
-482CF,-485F5,-486E6
-30C5E,-30A91,-30B2C
-484AE,-4868C,-48563
-309A5,-309D3,-30B29
-48526,-484AE,-48499
-30B2F,-30C7B,-309C8
-4854C,-48342,-48462
-308A3,-30832,-30841
-482DA,-4862B,-48503
-30B9C,-3094D,-30988
-48535,-483F2,-484D5
-309C4,-3096D,-30851
-4845B,-4840E,-48479
-30816,-308AF,-308D7
-482D9,-483C3,-48440
-307EE,-30952,-308DA
-483F8,-48329,-483A5
-308E6,-30A18,-307AF
-482D8,-4844F,-48486
-30A3D,-309E1,-3081A
-482C0,-482D8,-483CD
-308B9,-30764,-30A74
-4862E,-481F8,-4836D
-30975,-30953,-307BA
-481AE,-4836C,-4834F
-309D0,-30937,-3098B
-483D1,-483BC,-4847B
-307EA,-30944,-307AB
-482EE,-4846F,-48419
-30936,-30A50,-309F7
-482E9,-48356,-4832D
-307CA,-3083D,-30757
-48230,-48217,-48127
-30722,-3088C,-306D4
-48379,-483C3,-48103
-3094A,-308B9,-308AA
-4836D,-48379,-48231
-3098F,-30788,-30905
-482AF,-482FE,-481FA
-30717,-304FF,-30670
-481B1,-481B1,-481BA
-306D9,-307F5,-30914
-47FE2,-481D2,-480ED
-3091D,-305CB,-30881
-480C2,-480DF,-481BD
-305DA,-30560,-306F2
-48037,-48128,-47F4F
-306A0,-305B1,-30559
-48165,-47EDF,-48111
-3070A,-306BC,-30745
-481D1,-480B9,-481E6
-30687,-304E5,-3059B
-48055,-48048,-48252
-304FE,-30544,-3073C
-48076,-48029,-48045
-31A90,-318C6,-317B4
-48AA0,-48D7D,-489E3
-30FBF,-31042,-3110B
-48A1F,-48C15,-48B43
-31150,-3114B,-31063
-48AED,-4894C,-48A2A
-30FBB,-30DB6,-30EE6
-48A8F,-48C96,-48AC4
-3117F,-310D8,-30FC7
-48A93,-48BAC,-48A53
-31177,-310F0,-3104A
-48C9F,-48C39,-48C1C
-3117C,-311C6,-31278
-48BFE,-48BBD,-48A43
-3117F,-3114C,-3125C
-48AE1,-48A9D,-48BA2
-30ECB,-30D19,-30F0A
-48C9D,-48A6F,-48969
-30FDF,-31093,-30F24
-48963,-48896,-48991
-30F87,-30E72,-31001
-48A0B,-48BD7,-48BBF
-310A9,-30FD0,-3106A
-48B47,-48ADF,-489BC
-30FE4,-30EE0,-30DF8
-48837,-4898B,-48B57
-3113C,-31003,-30F79
-48961,-489A8,-48A72
-30FAA,-3109E,-31031
-48B3E,-489A0,-48A4F
-30FFA,-30FC0,-30F36
-488F7,-48B78,-48B19
-30F83,-31110,-311A8
-487E8,-489E3,-48857
-31128,-30E64,-30DBC
-4880E,-489DD,-48902
-31005,-30E68,-3100B
-488A1,-48A79,-48949
-30F54,-310CC,-310CB
-48958,-48968,-489FB
-30E03,-30E69,-30EF3
-487D6,-4896A,-48883
-30D88,-30E3D,-30E4E
-487B9,-4898C,-48841
-30E26,-30D64,-30CEF
-48911,-4878A,-4875D
-30F22,-30EF7,-30E04
-487EE,-48846,-487C3
-30DA7,-30C62,-30C44
-48726,-48622,-48630
-30C6B,-30B52,-30A70
-486B1,-484DC,-4875F
-30BA3,-30BAD,-30C4D
-487C2,-4875F,-48616
-30D20,-30BD0,-30A69
-4887B,-48679,-485B5
-30BAB,-30C1D,-30DA0
-48817,-4873A,-48735
-30B7F,-30CD5,-30DD5
-48734,-4879F,-48741
-30C1D,-30B44,-30BF8
-48676,-48567,-4847B
-30AD9,-30A4A,-30AE5
-48664,-485CF,-486BB
-30B8B,-30C50,-30CE3
-4885B,-48984,-488D6
-30F1A,-30F30,-30FCC
-489EA,-48B24,-48B76
-30F3C,-310E0,-3105A
-48A4F,-488D6,-48A0B
-30F16,-30FEE,-30F74
-486A8,-488CA,-4890E
-30CF8,-30D71,-30F96
-48952,-48B46,-487E0
-30E9D,-30BB4,-30ECC
-487DB,-48782,-487C8
-30F16,-30D17,-30D9B
-487F3,-4895D,-48723
-30E1F,-30DDB,-30D69
-48529,-48761,-488A4
-30BEE,-30D4B,-30C51
-48743,-488D1,-488F8
-30F8C,-30B6B,-31012
-4899D,-48832,-48797
-30DD2,-30E9D,-30DAB
-48770,-4876F,-487C2
-30D16,-30D3E,-30D3E
-484FE,-486F4,-486C8
-30E93,-30C5C,-30CB0
-486E4,-4867F,-488A0
-30C12,-30DE8,-30EEF
-486D3,-4876D,-48698
-30C4B,-30BFB,-30BBA
-486DC,-48994,-48657
-30DA2,-30F0D,-30C43
-48639,-488BB,-486CC
-30C24,-30D6E,-30E9C
-48630,-486A4,-486A2
-30C8D,-30B3F,-30C3E
-48717,-486A0,-487B2
-30B92,-30C6B,-30B0F
-4862B,-48775,-48895
-30C50,-30CCD,-30CFC
-4877D,-48778,-48602
-30A3E,-30AAE,-30BFF
-486DB,-4845F,-4861C
-30C05,-30BA1,-30C98
-486F8,-483F1,-485DB
-30B2C,-3090F,-30C73
-483D4,-48443,-483D8
-30B21,-30A59,-30BDA
-484B9,-48517,-484E9
-30A9F,-30B3F,-30A65
-485DE,-48337,-4845E
-30A4C,-309A6,-30879
-4841A,-48460,-482D3
-30A67,-30A96,-30931
-4868B,-484B3,-48531
-30BC4,-30AD9,-30B30
-48593,-48702,-48702
-3098F,-30B97,-3095E
-4844B,-483C2,-484B1
-30A6F,-30C0F,-30A31
-4867E,-4852B,-486C9
-309FC,-30A3B,-30942
-484B2,-4857B,-486AB
-30C60,-30C00,-30A92
-48485,-486AE,-485D6
-31B71,-31925,-31887
-484D2,-4833D,-48417
-30A70,-30933,-30959
-482FE,-484A6,-48417
-30875,-3098E,-30927
-48331,-4838B,-48347
-30943,-30A2E,-309E8
-481CF,-48295,-48358
-307B3,-308A1,-30956
-4820D,-483FB,-483C6
-30963,-3091D,-30829
-483E1,-4834A,-484DF
-309A2,-3093A,-30883
-4859C,-482DC,-482EB
-307E3,-3090F,-308AD
-4821C,-483DA,-4839A
-3077B,-306F9,-308C7
-48218,-483CA,-480FA
-3094F,-30988,-308A7
-48348,-4830A,-4831E
-30774,-306B0,-308DA
-483AD,-484B0,-48406
-309B2,-308A3,-30ABF
-481E7,-482C6,-4837E
-30889,-308E4,-30836
-4823A,-483CD,-4813E
-3094F,-306E0,-307A4
-483E1,-4829A,-480B4
-30567,-306DA,-30646
-481E4,-48324,-482E8
-3076D,-307C5,-30714
-481DE,-48144,-48033
-3065F,-3065F,-3075E
-47F56,-48139,-480AD
-30639,-30740,-304E8
-48023,-47EC6,-47F39
-30631,-30532,-30538
-4803E,-47FBF,-47FB9
-30511,-3031E,-304CA
-47FBD,-48119,-47D8C
-30389,-305D9,-305F2
-4818A,-4819A,-47F9E
-3056D,-3062D,-30591
-48164,-4809D,-481C3
-30628,-30514,-3051B
-480B5,-480D0,-48095
-30627,-304A4,-304CE
-480B1,-47F7C,-48015
-305A0,-304EA,-30399
-47F5F,-47EEF,-480D1
-3068F,-3035C,-3055B
-48023,-47E49,-47CD6
-306A8,-305D1,-30563
-47DF3,-48051,-47FC1
-304B0,-3044D,-3048F
-47EE6,-47EFA,-4819B
-30558,-30469,-302F9
-47F2D,-47EE8,-47DE8
-30415,-30307,-30254
-47E0A,-47CF4,-47F7B
-3045E,-304EE,-30316
-47ED1,-47E67,-47EBE
-30412,-3049C,-303A3
-47D56,-47E46,-47F23
-30408,-3048A,-30756
-482FC,-4825C,-48310
-307D2,-30780,-308F1
-4827C,-48314,-4820E
-30772,-307FD,-305B4
-4826A,-48160,-4824B
-304D0,-307CC,-307C5
-48196,-48236,-47EEF
-30770,-306FC,-30627
-48078,-480DD,-481E1
-30571,-304FD,-306E7
-480D1,-47F0C,-4802C
-30574,-304D3,-3047D
-48031,-47EB6,-480F4
-3055A,-3057F,-3058D
-47EDE,-47F5E,-47EBA
-302BF,-30355,-302F6
-47FE7,-47F2D,-47FD9
-30497,-30510,-30651
-47F57,-48084,-47FBD
-304AB,-3053B,-30552
-47F39,-47FEF,-47F32
-305DC,-30560,-3044A
-4814F,-48056,-481AE
-30572,-30455,-305E2
-47FF6,-47F26,-480B7
-304BB,-30563,-305F5
-47F8C,-47FA5,-47E9F
-30405,-30469,-3040A
-48150,-4810E,-47EB9
-30545,-30532,-3058C
-47CF4,-480AB,-47F04
-303DB,-30311,-30678
-47D73,-47EC4,-47E56
-303EF,-3050C,-30531
-47D55,-47E7F,-47DC4
-302DC,-303FA,-30400
-47D9C,-47F11,-47ED3
-3030D,-303B6,-30242
-47C74,-47EE9,-47D99
-30344,-30168,-30317
-47CBD,-47BFD,-47CD3
-30252,-30292,-3037B
-47E48,-47CC5,-47B41
-30410,-3024C,-301D8
-47C50,-47CD0,-47CEC
-30154,-3022A,-302DC
-47D8B,-47E5F,-47BF5
-30280,-30188,-30130
-47BEA,-47C1A,-47C0C
-30219,-302B7,-303D8
-47DA5,-47C46,-47B54
-300FC,-302ED,-30187
-47C8D,-47C3B,-47D76
-3015B,-30255,-301FF
-47C34,-47C5A,-47EF5
-3023C,-301B6,-301F8
-47BE9,-47D35,-47B67
-30295,-300ED,-301F3
-47CAA,-47C7B,-47C96
-3018C,-3004C,-301AE
-47A99,-47AD1,-47B7B
-302AF,-30200,-30037
-47BE2,-47BF6,-47B62
-31DC7,-31C03,-31C60
-47B73,-47A39,-47C8A
-301AD,-30236,-3004E
-47ACA,-47E2F,-47B08
-300FA,-301AA,-3019F
-47B68,-47CD6,-47C1C
-301A8,-301E8,-30062
-47A8E,-47C4D,-47AE2
-2FEE3,-30260,-3029A
-47991,-47A84,-47C9C
-301A4,-30010,-30126
-47BF8,-479BB,-47B7C
-2FF2D,-2FF73,-3000A
-47A56,-47A33,-47B34
-30183,-3000A,-30069
-47AD1,-47B1F,-479C3
-2FECD,-30145,-2FED2
-47AB5,-47A58,-47A97
-30022,-3013E,-2FEF1
-478BD,-478FC,-47AD7
-2FF94,-2FFE1,-2FFA4
-47BA6,-47B23,-479CF
-2FF85,-2FFF1,-2FFCD
-478FA,-47ABB,-47A85
-2FF36,-2FE97,-2FCD7
-47A7F,-47A27,-479EF
-2FED7,-2FEC0,-2FE04
-47914,-47789,-47844
-2FED8,-2FE74,-2FEC6
-47A54,-478DE,-47955
-30013,-2FBFF,-2FD34
-4783F,-4790C,-47909
-2FE43,-2FDFF,-2FD1D
-477F5,-47676,-4780E
-2FD9D,-2FEC9,-2FC11
-47655,-4799A,-47819
-2FC94,-2FD23,-2FE82
-4775C,-4773D,-47873
-2FDC2,-2FBA8,-2FD71
-47679,-4767A,-47801
-2FE30,-2FC98,-2FB83
-47724,-4784C,-478BF
-2FEBC,-2FCF4,-2FBF5
-47709,-47512,-47776
-2FCDF,-2FC6A,-2FCDA
-47769,-47686,-4790C
-2FBBE,-2FC37,-2FD84
-47796,-475B4,-4775A
-2FB9B,-2FB17,-2FB42
-47648,-47651,-47584
-2FBDF,-2FCA4,-2FD65
-47716,-47711,-477E1
-2FBA9,-2FCF5,-2FC62
-4753E,-476FC,-47729
-2FB06,-2FC6A,-2FD6B
-4766A,-47783,-47615
-2FE07,-2FC58,-2FD0E
-475D5,-477B6,-4773B
-2FC2C,-2FBF9,-2FC02
-4768D,-475B3,-4765A
-2FC16,-2FCB8,-2FA6E
-47596,-4769E,-474BC
-2FC84,-2FBB4,-2FA5A
-475C4,-47735,-475F0
-2FC32,-2FC00,-2FC23
-47961,-477EF,-4786A
-2FE56,-2FFCF,-2FECC
-479F4,-479F4,-47829
-2FE25,-2FE09,-2FDB7
-477E1,-4797B,-47B07
-2FFC7,-2FE37,-2FEB8
-4787D,-478D4,-478C0
-2FDEB,-2FEF4,-2FBDE
-478B5,-47A07,-4787A
-3003E,-2FD99,-2FDA4
-47903,-4790D,-478C3
-2FE9B,-2FE2A,-2FC68
-4780B,-47A63,-4789E
-2FD2F,-2FF46,-2FBD4
-47816,-478FF,-477F2
-2FDA0,-2FDEF,-2FCF5
-47755,-4787D,-476E1
-2FD99,-2FB03,-2FC79
-47839,-47891,-476DD
-2FC1B,-2FEF0,-2FC25
-475EF,-476FE,-47602
-2FCD3,-2FCE9,-2FC01
-47708,-47772,-478AB
-2FD13,-2FC91,-2FA9F
-47789,-476EF,-476E9
-2FBBB,-2FCB5,-2FCEF
-474B0,-474F4,-47830
-2FAAE,-2FC1F,-2FD0C
-477D1,-475EE,-4755F
-2FCE7,-2FCB4,-2FBC8
-4764F,-476FD,-478FA
-2FDBC,-2FBB1,-2FD3C
-47750,-475BB,-476DB
-2FC2A,-2FAFE,-2FAB9
-476BE,-4774A,-47799
-2FB24,-2FBDE,-2FD82
-4780A,-47710,-474A9
-2FC12,-2FB69,-2FCC7
-47561,-47575,-47553
-2FA25,-2FAB5,-2FB84
-47631,-47585,-474AC
-2F98E,-2FA87,-2FB0E
-47236,-4741B,-475B2
-2F9DB,-2FA5F,-2F99B
-4750E,-474FA,-47575
-2F8C1,-2F91C,-2F8D3
-47402,-4757B,-475CE
-2FA70,-2F97A,-2F984
-47473,-4757A,-476CF
-2FB36,-2FBE9,-2F847
-4740D,-47493,-473AC
-2FA5F,-2FA3A,-2FA76
-475A7,-4747A,-47472
-2F966,-2FA69,-2F95B
