{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1588C8,158861,1588FA
140FBD,140EB4,140F36
158879,1589D9,158AD2
140D41,140F0C,140F10
158743,158ABD,15895E
141036,140F44,140E31
15889C,158B67,1589F5
140FED,140D25,14111E
15896F,158740,158AC9
140E3E,140F14,141271
158873,158B65,158A4B
140FC1,140F3A,140FDD
158A9E,158A6C,158B2E
140DE5,140F41,140DEB
158AAB,158AC0,158994
14104A,140F67,140F3C
158B2A,158A6F,158AB5
1411FA,140FB1,1410BC
158A64,158A36,158B06
1410B1,140F8C,140EB4
158B31,158A83,158B1E
1411AA,14108E,140F52
158C2D,158A59,158AC7
1411EC,1410F5,1410E9
158B1A,158B47,1589F8
140FDF,14113C,1410E3
158C14,158BA4,158ACB
140F15,14105D,141094
158CF9,158AE1,158B5C
140F02,141050,1410DC
158BE3,158DCE,158BBE
141378,1410FD,14112D
158C07,158DCC,158CCE
14119A,1412BA,14145A
158D85,158F06,158D9B
14127C,141356,1413D7
158DF6,158DB9,158E9E
1413F1,14132C,14128D
158D1C,158DEB,158D5A
1412A4,1412C4,141382
158ECF,158C7A,158E35
1412D8,1413BD,14139D
158D55,158F08,158E45
14139C,1413FA,1413DF
158DBE,158C9F,158DB3
141413,1413AB,14142A
158E84,158E7C,158EDD
141031,14137D,141457
158E42,158DF9,158D79
141316,141230,1412A8
158D22,159026,158DC5
1412C7,141225,14124A
158D99,158E25,158E09
14118E,14123B,14120F
158CE8,158D63,158F1D
141458,1415C0,1412CA
158E95,158DEE,158D30
14135D,14149E,1414CB
158E1C,158F6F,1590E8
141497,141235,1412C6
158DBE,158CE2,158CF8
141300,1410DD,1412B6
157FFA,158083,157FAC
141453,141302,141588
158E1A,158E01,158DAF
1412DF,141513,141404
158DC2,158E5B,158FA2
14149A,141296,14125D
158C23,158F38,158E9A
1414E6,141322,141402
158F2C,158EFF,158ED3
14168D,1415D9,14156E
