{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
CB9AD,CBA2C,CBB8A
CD32F,CD4F2,CD434
E4C09,E4C8B,E4B87
CD2B6,CD38E,CD3D0
E4D09,E4E38,E4CBE
CD418,CD433,CD47E
E4E6B,E4F18,E4C07
CD487,CD1B2,CD47C
E4EEB,E4E31,E4E56
CD615,CD412,CD428
E4D94,E4F79,E4E58
CD32D,CD33B,CD31B
E4FD6,E4E1C,E4FE8
CD36B,CD498,CD3BC
E4EF6,E4E48,E4E6C
CD3E9,CD309,CD3FD
E4E60,E4ED0,E4E29
CD41D,CD506,CD46C
E4F6E,E4F6E,E4FD3
CD351,CD4F1,CD3BD
E4D07,E4E7D,E4DC2
CD623,CD38C,CD350
E4E87,E4FD5,E4DAF
CD351,CD448,CD462
E5077,E4F41,E504F
CD458,CD262,CD4B3
E4C1C,E4DFE,E4E7A
CD684,CD4E7,CD61B
E50E3,E5208,E5150
CD5C7,CD541,CD64A
E4DDE,E4EC4,E4EED
CD63A,CD49D,CD502
E4DB8,E4FCD,E4F12
CD552,CD616,CD42D
E4C2F,E4CC9,E4D8F
CD40A,CD494,CD286
E4E77,E4E87,E4F56
CD423,CD4D4,CD399
E4FA6,E5164,E4F28
CD3EB,CD4EC,CD558
E4F73,E4F8A,E4DF9
CD403,CD3EC,CD58D
E4FA8,E4FF5,E4E5B
CD478,CD311,CD48A
E4E13,E4DE1,E4E7F
CCFFA,CD1ED,CD0C5
E4ACE,E4907,E4870
CCF78,CD045,CD01E
E4B4F,E4B1D,E491F
CD0B4,CD028,CD06F
E49DA,E4AFA,E4CD6
CD232,CD1E1,CD06E
E4B7F,E4ACA,E4AB4
CD06F,CD06E,CD247
E4BCC,E4A29,E4A31
CD2AF,CD194,CD2E2
E4CD8,E4C3F,E4A2F
CD246,CD15F,CD263
E4BFC,E4A85,E4B49
CD1CC,CD147,CD248
E4BDC,E4D71,E4BDA
CD1B0,CD05E,CCEC1
E4B34,E4BAB,E4A36
CD0BC,CD0B7,CD05A
E4B84,E4A8F,E4B80
CCFE9,CCFD7,CD061
E4B39,E4B90,E4C2A
CD151,CD0C3,CCFF1
E4C9A,E4B0F,E4D1C
CD0C8,CD0BA,CCF89
E4CE0,E4A6D,E4C02
CD124,CD12E,CD064
E4AFE,E4A61,E4D75
CD1A7,CD187,CD2D1
E4C20,E4B55,E4D25
CD1DC,CD147,CD111
E4B8F,E4D2B,E4C7A
CD102,CCF3C,CD10C
E4DCA,E4CD0,E4D5C
CD262,CD207,CD121
E4D0B,E4C57,E4B49
CD02A,CCEEA,CD11D
E4C7A,E4C44,E4BFC
CD118,CD2AE,CD2A3
E4BFF,E4F2B,E4F02
CD2F3,CD05B,CD22A
E4BDE,E4DD6,E4ADE
CD0DC,CD2E3,CD27E
E4D20,E4D1E,E4E0F
CD278,CD211,CD217
E4D52,E4C59,E4B1F
CD32E,CD242,CD1BC
E4DC6,E4DC1,E4ED0
CD572,CD2B1,CD1BF
E4D9A,E4C29,E4C52
CD322,CD38C,CD11C
E4EFC,E4E63,E4FA7
CD3E1,CD295,CD30A
E4D8C,E4CFA,E4C04
CD155,CD37C,CD2E9
E4E0B,E4D90,E4C15
CD44B,CD4A9,CD2FB
E4C9B,E4CEA,E4B57
CD0C0,CD146,CD313
E4B3F,E4D6E,E4BC5
CD1F9,CD432,CD27A
E4C2A,E4DB1,E4DCF
CD076,CD111,CD23A
E4D05,E4B77,E4ABF
CD21A,CD20D,CD0B6
E4C51,E4CA4,E4D15
CD034,CD12C,CD248
E4D15,E4C5B,E4C91
CD433,CD4D0,CD4E0
E4F85,E4DE6,E4D52
CD31C,CD212,CD266
E4D11,E4D3D,E4D31
CD40F,CD3A7,CD318
E4B43,E4CF2,E4BF5
CD3B0,CD26B,CD3EB
E4DB4,E4CCA,E4C49
CD46A,CD36F,CD368
E4D9C,E4D92,E4E82
CD375,CD3A5,CD29F
E50A1,E511F,E4E67
CD289,CD0EE,CD18B
E4D4F,E4E0C,E4EA4
CD2C1,CD285,CD241
E4A9C,E4D48,E4D2D
CD208,CD178,CD3D7
E4D03,E4CE7,E4BD7
CD35C,CD33C,CD142
E4E4E,E5093,E4F38
CD4FB,CD3E9,CD43C
E4C01,E4FA9,E4E29
CD2DC,CD355,CD2FA
E4FDA,E4E19,E4E21
CD347,CD358,CD3C5
E4FBB,E4D42,E4F73
CD2E4,CD545,CD4C4
E4FFF,E4E4E,E4EA0
CD3DB,CD170,CD3F7
E4EED,E4F2B,E4DE9
CD49F,CD33E,CD409
E4D15,E4FD6,E4D7D
CD309,CD374,CD42A
E4CDC,E4DB5,E4DA5
CD286,CD2AC,CD204
E4D46,E4EE1,E4FEE
CD44A,CD487,CD34D
E4E98,E4E5F,E4D01
CD413,CD3E8,CD5AE
E4E44,E4F9F,E50CF
CD41E,CD36D,CD437
E4E6A,E4CF0,E4E0F
CD542,CD46E,CD3BC
E4F45,E4EF5,E50C5
CD48D,CD5AE,CD3A7
E504B,E4EFE,E4DA1
CD381,CD43A,CD685
E4C57,E4F13,E4C7E
CD217,CD334,CD34C
E4DDC,E4E20,E4FB3
CD4FA,CD45E,CD48C
E4EEE,E4E76,E4E26
CD537,CD467,CD370
E4F1A,E50C7,E504C
CD3BE,CD467,CD527
E4E50,E5000,E4F54
CD3D8,CD619,CD4AF
E4F8C,E4E70,E4F38
CD62F,CD443,CD430
E434A,E42C2,E436E
CDB7D,CDC81,CDC39
E55EC,E5445,E548C
CDB39,CDC18,CDA40
E54CC,E5799,E53BF
CDABF,CDA3F,CD985
E55AB,E54EA,E5537
CDCA3,CDA8B,CDB8C
E56A5,E57C2,E5762
CDA94,CDAE4,CDA08
E5673,E5535,E5636
CDC16,CDBA2,CDB5F
E5653,E55C5,E5631
CDB72,CDB33,CD9B2
E55C4,E5646,E55E0
CD9BC,CDB86,CDA98
E561B,E55C0,E572B
CDB57,CDC89,CDA8D
E5623,E55E3,E55B3
CDC39,CDC21,CDB19
E565B,E55BC,E56E3
CDA74,CDB93,CDA91
E55AA,E571D,E52A9
CDA6B,CDA1E,CDA40
E55D5,E5472,E5602
CDA10,CDA70,CDBB1
E5362,E57C8,E558F
CDBA0,CDBA1,CDD6E
E58DA,E56A6,E553F
CDB36,CDB33,CDD4B
E567B,E55D6,E54E2
CDD67,CDAD6,CDB18
E55F2,E558C,E56E1
CDBBF,CDB06,CDB31
E54F6,E5591,E53E5
CDAD5,CDC42,CDB64
E5696,E56C8,E5635
CDDFE,CDC55,CDCE7
E5649,E5901,E564C
CDC83,CDC9A,CDCA4
E59FF,E5853,E5651
CDCD8,CDC17,CDD0D
E55C3,E5705,E5598
CDB37,CDC5B,CDC41
E5801,E5767,E571B
CDE96,CDCB5,CDC05
E576E,E590A,E56C2
CDBE0,CDD35,CDD38
E57E3,E5875,E5958
CDD2A,CDDA1,CDC71
E5740,E5779,E55E7
CDDFC,CDF0A,CDF77
E5979,E58FA,E587B
CDD17,CDD2F,CDDEC
E5838,E5834,E569D
CDE1B,CDD01,CDCCE
E57CF,E58C0,E59C2
CD9BE,CDBDA,CDC82
E5881,E576E,E57FD
CDE52,CDE69,CDBC8
E575B,E58BB,E587E
CDE20,CDD4E,CDDD2
E5685,E5738,E5690
CDD1C,CDC09,CDCC3
E57F6,E5723,E58C7
CDC48,CDD32,CDB04
E56F9,E5618,E5659
CDC99,CDED8,CDD42
E591C,E585F,E57B3
