{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-C390C,-C3A38,-C3A7D
-ABE8D,-ABDE4,-AC065
-C3B22,-C3A37,-C399F
-ABD17,-ABFDB,-ABC71
-C3782,-C373A,-C3853
-ABBB1,-ABCF6,-ABCCE
-C36B9,-C3843,-C36F1
-ABCF2,-ABC40,-ABD43
-C35C9,-C3794,-C3816
-ABC90,-ABB61,-ABDB4
-C37E5,-C372A,-C3726
-ABD8B,-ABE0D,-ABCD0
-C37C1,-C37DC,-C381F
-ABE9B,-ABE19,-ABE6D
-C382C,-C39EE,-C3803
-ABE40,-ABC7E,-ABE35
-C37C8,-C376C,-C396C
-ABE76,-ABE71,-ABBDF
-C38E6,-C38E8,-C3A43
-ABEFE,-ABD41,-ABE0D
-C39EE,-C38E0,-C37B9
-ABE5D,-ABD62,-ABEEB
-C3771,-C3894,-C36FC
-ABEF8,-ABCE3,-ABF00
-C3937,-C38DC,-C388D
-ABE2C,-ABED6,-ABC6D
-C383F,-C3844,-C390A
-ABD74,-AC047,-ABE3F
-C3955,-C37E0,-C38EE
-ABD10,-ABE8A,-ABD96
-C37C9,-C396C,-C38F4
-ABF53,-ABDEB,-ABD42
-C3A60,-C39BE,-C3705
-AC09C,-ABDA9,-ABF94
-C3990,-C387F,-C3937
-ABED9,-ABDE0,-ABEB6
-C3A96,-C3B5F,-C3A67
-AC2AD,-AC0F9,-AC243
-C3B31,-C3C6A,-C3C24
-AC17E,-AC02B,-AC2B9
-C3CED,-C3BCA,-C3A90
-AC1C1,-AC2D2,-AC139
-C3CF6,-C3B88,-C3DF8
-AC29A,-AC2EE,-AC25F
-C3E3B,-C3D5A,-C3BAF
-AC404,-AC090,-AC274
-C3B54,-C3D04,-C3A90
-AC2D6,-AC1F5,-AC185
-C3BE7,-C3BD3,-C3F6F
-AC3C0,-AC3DD,-AC44A
-C3F5F,-C3DE5,-C3F9B
-AC279,-AC24C,-AC1E3
-C3C89,-C3BC3,-C3ED0
-AC35C,-AC1F1,-AC62F
-C3F02,-C3D9C,-C3F3F
-AC3A2,-AC2DD,-AC2FD
-C3EE0,-C3E92,-C3E11
-AC2D0,-AC1B6,-AC2F7
-C3D3F,-C3C8D,-C3E8E
-AC30B,-AC329,-AC1C5
-C3D90,-C3C8F,-C3BFD
-AC301,-AC338,-AC3F0
-C3DEA,-C3DD1,-C3F4C
-AC2C2,-AC32E,-AC373
-C3CBB,-C3E04,-C4073
-AC67E,-AC56F,-AC537
-C3E1B,-C3F42,-C3D4E
-AC5B2,-AC360,-AC537
-C3C61,-C3C6A,-C3D02
-AC19E,-AC305,-AC145
-C3D15,-C3D79,-C3DBE
-AC28D,-AC336,-AC342
-C3EDE,-C3D16,-C3E4A
-AC3CC,-AC38F,-AC314
-C3DD9,-C3CFA,-C3B12
-AC16A,-AC088,-AC151
-C3C59,-C3C89,-C3BA8
-AC272,-AC18B,-AC2B2
-C3C57,-C3D13,-C3D4B
-AC3C5,-AC417,-AC20A
-C3CFA,-C3CB9,-C3BEF
-AC52E,-AC530,-AC477
-C3DA4,-C3E36,-C3D76
-AC166,-AC1CB,-AC224
-C3C2F,-C3CFA,-C3D2B
-AC0AD,-AC29E,-AC2B3
-C3D91,-C3D22,-C3C61
-AC49C,-AC4D9,-AC1F2
-C3CB0,-C3CFF,-C3D0E
-AC41E,-AC32C,-AC5A6
-C3E2B,-C3E61,-C3E6F
-AC5A7,-AC569,-AC218
-C3CD1,-C3D99,-C3E0D
-AC55D,-AC447,-AC44A
-C4002,-C3FA9,-C3E7E
-AC4C7,-AC1E4,-AC20B
-C3DE8,-C3E23,-C3D6E
-AC0E6,-AC46A,-AC3E1
-C3FE3,-C3ED3,-C3E95
-AC7B7,-AC7E6,-AC8AA
-C37A6,-C3897,-C3832
-ABE7E,-ABC5A,-ABFBE
-C3847,-C38D0,-C37C7
-ABC81,-ABED5,-ABFB6
-C396F,-C3967,-C3830
-ABE34,-ABDF7,-ABE08
-C38F5,-C391C,-C3975
-ABEFB,-ABF00,-ABE82
-C3ABC,-C3B14,-C389A
-ABF5A,-ABF73,-AC009
-C3A51,-C3B15,-C3B7A
-ABE81,-AC0D3,-AC169
-C3B36,-C3A13,-C3BDC
-AC0AC,-AC142,-AC139
-C3D46,-C3BD5,-C3BA0
-ABF52,-ABFE3,-ABF76
-C3B82,-C3AD1,-C39CE
-AC10F,-AC176,-ABF88
-C3A89,-C3B7E,-C39E5
-AC1E5,-AC168,-AC0F1
-C3C29,-C3BEE,-C3AE4
-AC192,-AC238,-AC1B1
-C3B46,-C3968,-C3B90
-AC04E,-ABE9E,-AC251
-C3BBC,-C3B17,-C3AFF
-AC0C1,-AC0CA,-AC14A
-C3C9E,-C3D57,-C39AC
-AC0A9,-AC12F,-AC1CB
-C3C13,-C3BB1,-C3E26
-AC10F,-AC222,-ABF58
-C3EDF,-C3BDF,-C3973
-AC17F,-ABEA0,-ABF6A
-C3773,-C3944,-C39DB
-ABFB6,-ABEBD,-ABF31
-C38C5,-C3C10,-C3ABE
-AC005,-ABF84,-AC0CC
-C36CB,-C38F2,-C3A49
-AC16A,-ABF83,-AC06A
-C39F6,-C3B8C,-C3B15
-ABFA9,-ABEB4,-AC072
-C38E8,-C39A8,-C39D4
-AC0A8,-ABFB5,-AC1A3
-C3A5F,-C3A4B,-C3921
-AC091,-ABFA8,-ABFF8
-C3B74,-C3B0A,-C3A55
-AC19F,-AC04B,-AC127
-C3C06,-C3C33,-C3AAD
-ABF61,-ABF88,-AC142
-C39A1,-C39A2,-C393B
-AC165,-AC22B,-AC29F
-C39A7,-C3A46,-C39C4
-AC0A4,-AC142,-AC04C
