{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-98912,-98C37,-98ABE
-80F66,-80FDF,-80E5F
-987FB,-98B50,-98AC7
-80EE5,-80F50,-80EBE
-9889E,-98801,-98826
-80E06,-80DDD,-80E68
-989D5,-989FF,-98890
-80C30,-80D13,-80FAE
-986D3,-98A47,-98C3D
-817F6,-81897,-819A2
-98615,-98661,-9844F
-80BE3,-80C12,-80A6D
-98583,-98603,-98633
-80A61,-80BBB,-80AD2
-98525,-9853A,-984A1
-80BB9,-80A10,-80963
-985C1,-9863C,-986AA
-80B76,-80CDE,-80A47
-98538,-98741,-9869C
-80A48,-80A25,-80A67
-98575,-984A3,-9854B
-80A3A,-80A7E,-80B82
-98463,-985F1,-984CA
-80A93,-80AB2,-80AB6
-9847D,-985D6,-98524
-80B3E,-80841,-80A09
-987DA,-985E5,-985D9
-80AAD,-80D2B,-80AF0
-9865A,-987C3,-9860B
-80D53,-80B6D,-80881
-986AE,-985B0,-9853E
-80B85,-80848,-809BB
-98438,-98541,-98404
-80A82,-80C1A,-80B0F
-9869B,-984E8,-98607
-80939,-8096F,-80A1E
-98460,-9841C,-984C0
-80A86,-80AD4,-80818
-982A7,-985B5,-98462
-80894,-809F1,-80A93
-98387,-983E0,-98441
-80B70,-80B0C,-80ACF
-9856D,-9856E,-9864C
-80AC6,-80C25,-80CCB
-98686,-98694,-98580
-80BD6,-809FE,-80AA5
-985D9,-986AE,-985F5
-80C20,-80AE7,-80B2B
-98657,-987AD,-987F2
-80A3B,-80A94,-80BFA
-9852B,-985E0,-985ED
-80CAF,-80D0F,-80B64
-984AD,-987CA,-9842F
-80B7E,-80950,-809A9
-985ED,-984C0,-984D8
-8095C,-809A3,-80B24
-98364,-9842A,-983F6
-807E3,-80831,-807CD
-9836B,-984C2,-98508
-8086F,-80971,-80A49
-9836E,-983DE,-985E7
-80A1B,-809B4,-80ACB
-984B1,-984CB,-98427
-80AC5,-8087C,-80B0D
-984A2,-985A8,-98473
-80A61,-8092C,-80B6C
-98482,-98531,-982F2
-80A62,-80A8E,-80B67
-9859D,-9839B,-9840C
-80AE8,-80999,-80AAE
-9867D,-987BA,-9848D
-80B2F,-80924,-80A5C
-9834B,-98471,-98548
-806CE,-80659,-807CA
-982BA,-9821E,-982ED
-80987,-807F6,-8077E
-98275,-982F8,-982B3
-8060A,-80662,-80910
-983C9,-981F7,-98310
-808C7,-80963,-807D2
-9832E,-98318,-9829F
-80703,-806CA,-80797
-98404,-9826D,-98226
-8089F,-80602,-80961
-98268,-9808D,-9825A
-8077D,-80684,-808A4
-98338,-9810E,-98282
-807C0,-807CF,-80745
-9835C,-9824B,-9838C
-806CD,-80665,-806BC
-98368,-9827E,-9824D
-8090D,-808DF,-80873
-9816F,-983FF,-983C5
-80620,-8077A,-80925
-981A6,-98181,-981D4
-806BE,-80743,-8065E
-981E3,-9817A,-982BB
-807CD,-805E1,-8073D
-981CF,-9822B,-9810A
-807D6,-80653,-80801
-98264,-98041,-97F3D
-8064C,-8054F,-80795
-9826E,-97FB2,-98015
-804EF,-80670,-80783
-980B0,-982B0,-9806B
-80838,-80691,-80796
-9825B,-98196,-982C9
-8070F,-807F2,-806A7
-982BF,-9833E,-98116
-80999,-806DC,-805AF
-98234,-98316,-98235
-80719,-80750,-8066E
-98241,-980D9,-9839D
-8085D,-8073F,-807EA
-98245,-9827C,-983B5
-80758,-8083B,-806BC
-981A5,-98262,-980F6
-80748,-806D8,-807F1
-97F20,-98137,-9813C
-80672,-807F7,-805FE
-98079,-981F2,-980CB
-805AE,-804EE,-80673
-98257,-9805E,-980B9
-80719,-80821,-806FD
-980E4,-980FC,-98065
-805F2,-8067D,-80642
-98087,-98133,-981CF
-806C3,-8051E,-80583
-97FF1,-980D0,-981A6
-80610,-80720,-8068C
-97F6C,-97E71,-97F60
-8071D,-80688,-80643
-981F7,-98180,-9813D
-8053A,-80410,-80548
-98057,-9825C,-980C2
-806B5,-80433,-80771
-982EB,-9813F,-97FB7
-8075E,-8089F,-80952
-97E61,-97F04,-97EF5
-804E5,-8021A,-80358
-97EBF,-97E69,-97F37
-803D8,-804C9,-805B4
-97EA9,-97E8D,-97D66
-80287,-804CE,-803A4
-97D4A,-97E7C,-97D45
-80340,-80248,-80416
-97DAE,-97DCF,-97DA4
-801D0,-80141,-80202
-97DB5,-97CBE,-97D6B
-801EC,-80144,-8028C
-979F9,-97DA7,-97CA6
-8039B,-80331,-801C9
-97D6D,-97BC6,-97F15
-80322,-8026C,-801D4
-97D21,-97EC3,-97FCA
-804DD,-806A2,-80456
-97CE2,-97EF1,-97E19
-80455,-80417,-80363
-97E00,-97CB0,-97E3C
-80390,-80152,-80468
-97D26,-97DCA,-97D35
-804D7,-80354,-803CD
-97D2D,-97D54,-97CC7
-8031C,-80267,-80365
-97D4B,-97D49,-97CDC
-8029B,-8027C,-801F5
-97DD9,-97CBB,-97E1A
-801BB,-802C7,-80322
-97CD1,-97AFD,-97ACA
-803D3,-80384,-8036B
-97F22,-98058,-97EF1
-805D0,-8068D,-8035B
-98021,-98028,-97F63
-8015D,-80301,-8049D
-97E11,-97D36,-97F4B
-805D2,-8044A,-8036B
-97E62,-97D85,-97E60
-803EA,-805A3,-80415
-97B2F,-97C21,-97DB6
-804F4,-802D0,-803EA
-97CD8,-97BBE,-98018
-802BD,-80220,-80321
-97E62,-97DFF,-97E3A
-80314,-80381,-80312
-97D3A,-97C9E,-97DD0
-80359,-80435,-80480
-97F46,-97C52,-97D39
-8045C,-802A1,-802CA
-97FB5,-97DA4,-97D43
-80565,-80312,-80404
-97E10,-97D56,-97D1B
-80586,-803C1,-802CE
-97D6F,-97E1E,-97C55
-802C3,-80230,-8017F
-97C78,-97F08,-97D3A
-801E7,-80258,-8035B
-97CD2,-97D88,-97CCE
-802C8,-800E6,-8018E
-97B9D,-97BD4,-97C46
-80210,-8039B,-800E0
-97D48,-97D5E,-97D1E
-7FE24,-8000A,-7FEE3
-97BAB,-97BC8,-97B94
-7FFB4,-800EB,-7FEDF
-97B4D,-979B2,-97BC4
-7FEF5,-80198,-8000B
-97AE5,-979CA,-97B43
-80158,-801BF,-80017
-978C6,-97D23,-97C76
-80112,-8014F,-7FFAA
-97B3F,-97A33,-979E8
