{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
8087F,80A32,80848
68ED1,68E07,68EB5
808C2,808AD,80943
68EA1,68E99,68E31
80A5E,808C6,809BA
69038,68FEB,68DD9
80A0E,80B1D,809C4
69128,68F79,68CCA
809AE,8098E,80A10
68E17,68E90,68D22
808BD,809A3,809C7
68E62,6902F,68F38
80B6A,80CD3,80A52
68F3B,68EEE,68F40
80B49,80908,80A0D
69114,690C5,69074
80AF2,80B11,80AAE
68F8D,69054,691CA
80B02,80D48,80AF3
68FF7,68FE4,690DF
80C2E,80D6E,80B28
690D0,6902E,69307
80BE7,80C59,80BCC
690D0,691E3,691DB
80AFC,80B98,80AC2
6912E,68FB8,690EE
80B60,80BC6,80D10
692DB,691D1,69040
80C5C,80DA9,80C2C
69097,69227,69316
80CDB,80D1D,80B76
6933C,69162,69354
80CC3,80CAD,80E97
69354,69118,6930D
80BCB,80CB9,80D9C
69565,6926E,692AB
80C85,80B61,80BF1
68F57,6902A,691C7
80A1F,80C47,80AD0
68F5B,69024,68F9E
80988,808FD,80A2A
68E4E,68F59,690BF
80920,8090D,80841
68D19,68DBF,68C58
808A2,8096F,807BA
68E59,68E65,68D3E
80751,80863,809BC
68DF2,68F8D,68E65
80AFB,8081C,80A6E
68F7E,690A6,68F8E
80882,8096E,8079B
68FC1,68F8A,68D05
80A17,80CD4,80C3D
69060,690B0,68F33
80B4A,80A87,80A7B
68FE9,69225,68E6D
80A9D,80995,80A28
690DB,68F63,68FD1
80C42,80BD2,8096B
68EB7,68E74,68EEA
80997,80892,80A9D
690BA,6913A,69040
80915,80818,808BF
68DC8,68F3B,68F55
80A56,80A3D,80926
69097,68FDF,68FB2
80916,80B06,80AD0
6921C,69049,6914B
80DCE,80B4C,80D4A
69181,69176,69259
80B26,80BB2,80C7A
69267,69281,68EC5
80DDE,80DFC,80C05
69186,6902B,691C9
80A2B,80AD2,80C77
68FED,692C0,69152
80BC8,80D8F,80C9D
69083,692A5,69250
80BC3,809CD,80B3E
6906C,6913C,690E8
80B09,80B6D,80AA1
690E9,68F3F,692D1
80C5F,80B32,80BC9
690E2,69326,692D5
80CA6,80D26,80DE3
69347,692AF,691E8
80C8C,80D54,80B86
69440,69146,69360
80B33,80C21,80DEB
690F1,68F4A,69204
80CA5,80D4F,80BEC
69331,69269,69303
80D60,80F55,80B9B
6924D,69236,691B1
80EE1,80D30,80DFA
6920A,6936F,692CD
80E0C,80D7C,80D31
69524,693C9,69499
80E1D,80F2E,80F01
69370,693EF,6923C
7F2B4,7F23B,7F219
69497,692D1,6944C
80CC9,8108B,80E4B
692F5,695CD,692DA
80D2D,81097,80D87
69414,692CD,69186
80E62,80D0B,80C89
6950E,69433,69330
80E79,80DB8,80DF3
693EE,691A1,69371
80BB9,80D97,80CDD
69397,6932A,69563
81255,8114E,80E48
6944D,6951E,694EB
80D58,81036,80E7D
695D2,6955E,69340
810BC,81012,811AD
69599,6963A,69328
80E5A,81094,80F9A
69582,695DC,695EC
80F5E,81152,80F61
6948C,695B4,69495
80E9C,81081,80FB6
695CB,69610,6963F
8114B,80FDC,81048
69512,696B0,696C2
8113A,8119A,80E99
6952D,6965B,69771
81147,81170,80EF7
694C0,695E6,694E0
810A0,810A1,80F98
69843,69674,69685
80FD8,81084,81213
699CC,696C9,696A3
811D5,81217,810D9
69741,69816,6977C
81236,81208,81490
697A6,6988C,698AD
812AC,811AD,8119E
69904,699A5,698DF
812AB,81496,81417
698EF,6981E,69898
81288,81472,81497
699EE,698F8,69A5B
81330,8136C,8123B
69962,699A0,699D5
812FC,8108E,81390
6977F,6986B,697F7
8145C,814D2,814DD
697C4,6988C,699C9
8136E,8144A,8112F
699C8,698B4,69A64
81445,81415,81302
69A57,699D9,698F8
81548,813FB,81427
69A5E,69760,698E2
81459,8162C,81621
699A4,69899,699CC
8135E,8140E,81419
69A05,69909,69BD9
81321,81385,81408
69792,699A1,69908
81403,8132A,8126D
69969,69865,69985
813AF,81407,813C4
696D2,69829,69561
80F39,81106,810FF
695BA,6960D,695BE
810EA,81299,810D4
69708,696DA,695D5
81087,81088,812A4
6981A,6970F,6957A
810B3,81226,814E1
697E0,6975E,69692
