{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
ACBE8,AC85E,AC9DB
AC59E,AC78C,AC5F5
C3E5A,C401B,C419C
AC5E4,AC708,AC4F8
C3DDB,C3FD4,C3FD7
AC4BD,AC416,AC5DC
C41CD,C4048,C4202
AC597,AC5E8,AC587
C3DB8,C3E73,C3DA8
AC4CD,AC5AC,AC514
C4175,C3FC5,C3FB8
AC77F,AC65B,AC6A3
C41EA,C4334,C4130
AC6AE,AC6DB,AC4D9
C3FA7,C40B1,C408A
AC6AA,AC544,AC3F6
C4067,C4166,C4068
AC6AA,AC6A1,AC456
C3E72,C3E56,C3EEA
AC552,AC59C,AC604
C3D54,C3D8B,C3E58
AC59A,AC32F,AC480
C3AC9,C3B9B,C3A0B
ACAFF,ACB52,ACC9A
C4505,C459F,C455E
ACAC2,AC9CA,ACAB4
C44F8,C476C,C4376
ACB91,ACA8A,ACB07
C440C,C43DF,C434C
AC9D3,AC86D,AC8F3
C452E,C45D4,C4408
ACA51,AC99D,AC84D
C42D1,C452D,C4418
ACA52,AC9C0,AC9DA
C4271,C4388,C43FC
AC9AC,AC8B6,AC9FC
C4677,C4435,C4505
AC82F,AC840,AC920
C4319,C42DC,C446C
AC9A5,AC89C,AC904
C4379,C43C5,C4350
ACA17,AC8CC,ACA16
C44BC,C45A3,C43A0
AC82C,AC977,AC883
C41C6,C439D,C4195
AC9A4,AC838,AC8E3
C42EA,C4231,C430B
AC9CC,AC96D,ACB03
C4374,C4333,C435E
AC920,AC9BA,AC752
C4321,C4219,C427E
AC7F2,AC769,AC882
C4256,C4135,C4197
AC83E,AC79C,AC4B9
C3FEB,C4032,C4237
AC96B,ACA69,ACBE9
C462D,C42C5,C43C3
ACADA,ACA53,AC91C
C4399,C4699,C43A2
AC8C0,AC8F6,AC941
C4186,C424F,C439D
AC9A6,AC97F,ACC5D
C4440,C43D4,C4317
AC778,AC9EE,AC89E
C44BB,C43AE,C41FE
ACA91,AC90E,AC88C
C4352,C4355,C428D
AC861,ACA4C,AC98E
C43B9,C428B,C4210
AC924,AC85D,AC819
C4344,C431D,C438B
AC727,AC93F,AC657
C4229,C42F4,C451F
AC9B4,AC900,AC96F
C4486,C4327,C4354
AC923,AC7DA,AC950
C40FB,C4237,C417D
AC84C,AC7B7,AC5F3
C428B,C43E3,C413E
AC8B2,AC63F,AC6A4
C40A5,C4093,C429D
AC7B1,AC80B,AC93E
C42B5,C4394,C430A
AC71F,AC5C7,AC6F8
C4131,C441C,C42E6
AC948,AC8A4,AC751
C42A8,C431E,C43D0
AC805,AC5FD,AC5B0
C40B5,C3EF1,C4012
AC64C,AC59A,AC419
C3FCB,C3F94,C3EAF
AC677,AC56C,AC645
C3E85,C3E66,C3F93
AC458,AC44A,AC474
C3FA5,C4047,C4080
AC47C,AC592,AC45F
C3DD5,C3E59,C3EAC
AC4E3,AC41A,AC626
C3EB8,C3F1C,C3E4F
AC48F,AC414,AC3BD
C3EAB,C3EEF,C3DAC
AC2C7,AC3CE,AC388
C4007,C4180,C40A3
AC579,AC41C,AC373
C3DA7,C3F83,C3DB4
AC472,AC2D8,AC387
C3F74,C3F31,C3F37
AC50B,AC4E5,AC55B
C3F42,C3FBD,C3DC2
AC547,AC69E,AC389
C4083,C406D,C3FC7
AC3DA,AC59F,AC4FD
C3F18,C3F23,C3C6B
AC3CB,AC494,AC31F
C3C39,C3DEA,C3E4B
AC14D,AC28F,AC406
C3DE2,C3D23,C3D55
AC113,AC3E0,AC236
C3CFC,C3FA4,C3DB9
AC65B,AC55A,AC598
C3FAA,C3EF2,C3DFE
AC6E2,AC477,AC398
C3E27,C402C,C40B2
AC55B,AC5E3,AC46D
C3EF5,C407F,C3E9B
AC4C7,AC4F4,AC621
C401D,C3FC5,C4102
AC729,AC5B1,AC4FB
C3EA4,C3D8B,C4033
AC38C,AC65C,AC5BD
C40A3,C4018,C3F97
AC3F2,AC5A8,AC458
C3F44,C417E,C3F2C
AC64A,AC494,AC44F
C3E7F,C3E88,C3FFC
AC467,AC523,AC4E0
C3F60,C3CFD,C3E23
AC406,AC2C1,AC572
C3FA5,C40A3,C3FCB
AC631,AC415,AC5D4
C3E41,C40D1,C3E1D
AC3DE,AC4D2,AC3E3
C3BF9,C3D69,C3DD2
AC3A1,AC396,AC3D2
C3E10,C3FAE,C3D9F
AC35F,AC325,AC2F9
C3EA1,C3D5F,C3F0C
AC598,AC344,AC3BA
C3F13,C3EBB,C3FF9
AC462,AC38F,AC2A5
C31A8,C336D,C3452
AC797,AC89E,AC8CC
C411E,C416A,C436C
AC85E,AC6E4,AC73F
C4185,C4096,C409F
AC686,AC94A,AC68E
C4200,C4243,C416C
AC67C,AC9FD,AC848
C41CA,C4162,C416B
AC783,AC70A,AC682
C3FA0,C4071,C40B3
AC589,AC653,AC6D7
C4028,C402E,C3F97
AC6B0,AC660,AC5E1
C4156,C4232,C4226
AC791,AC6BB,AC592
C4047,C415E,C41CE
AC6B3,AC6BF,AC6D1
C3FD5,C3FC2,C3F1E
AC687,AC584,AC641
C3EAE,C3E7B,C40E9
AC587,AC59E,AC5BE
C3FA3,C4093,C4159
AC5B1,AC4C3,AC6D2
C3E06,C40E6,C3EA5
AC5D9,AC581,AC605
C4057,C3F93,C40E8
AC5D7,AC557,AC46D
C3E4C,C3F3B,C3F65
AC401,AC4F0,AC395
