{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7CC8A,-7CCF4,-7CC52
-6503C,-651A4,-6507C
-7CC74,-7CCA6,-7CD80
-6513F,-651A8,-65234
-7CC30,-7CCF7,-7CC5C
-65156,-65160,-64F88
-7CD8C,-7CD59,-7CBC5
-652D6,-6527D,-653BD
-7CB74,-7CB81,-7CADD
-650EC,-65277,-64F28
-7CCFF,-7CB9A,-7CB05
-651F3,-650F8,-65259
-7CBE5,-7CCA0,-7CA51
-65187,-650DF,-651A2
-7CA79,-7CD73,-7CCE3
-652D4,-65219,-6509C
-7CCAD,-7CA05,-7CC18
-6518A,-6534F,-65254
-7CD19,-7CDC1,-7CD39
-65365,-6528B,-6511B
-7CF0D,-7CE27,-7CC65
-65364,-653AD,-65449
-7CE00,-7CD90,-7CDCE
-65177,-652A7,-65303
-7CC82,-7CBA5,-7CC4C
-64F95,-65216,-651D5
-7CAC7,-7CCA9,-7CAE7
-6523B,-651E4,-65096
-7C9E4,-7CA2A,-7CBDA
-64EC7,-64F52,-6509D
-7CC04,-7C9FA,-7C9F1
-65183,-650FC,-65166
-7CC2F,-7CB48,-7CB43
-64ED3,-64FA5,-651D4
-7CC0D,-7CA8A,-7CB49
-6524F,-6506F,-65355
-7CA49,-7CD79,-7CB4D
-65019,-64FD5,-65242
-7CDBC,-7CBA2,-7CC7D
-651C4,-64FCE,-65110
-7CBA3,-7CCC0,-7CC66
-64FE5,-64EDA,-65019
-7CA97,-7CB2A,-7CC33
-651AF,-6518E,-6524A
-7CBE5,-7CCFD,-7CCEB
-64F6E,-65020,-65160
-7CC11,-7CC08,-7C9F1
-65118,-651AD,-65074
-7CB61,-7CB85,-7CB09
-64E08,-64FAD,-64F5D
-7C99D,-7C94E,-7CB03
-65102,-651EC,-64ED9
-7CABF,-7CC08,-7CB1F
-64EE5,-65075,-650BA
-7CA52,-7C9A5,-7CA13
-651A0,-650B7,-65085
-7C9DB,-7C934,-7CB42
-64E1C,-65001,-65005
-7CA3F,-7CB65,-7CA86
-64F60,-64EC7,-65067
-7CA72,-7CB15,-7CAFA
-650D8,-64F3D,-64EA2
-7C9A0,-7CA90,-7CA7D
-64EBB,-64EFC,-64E0B
-7C7A2,-7C941,-7CA24
-64DB7,-64D58,-64F55
-7CA0E,-7CB71,-7C876
-6506C,-65068,-64E6C
-7C867,-7C858,-7C85F
-64E1A,-64DEA,-64C2F
-7C895,-7C8B2,-7C8B5
-64DB0,-64C7C,-64F25
-7C901,-7C9B4,-7C995
-64D2A,-64E5E,-64EA0
-7C8E6,-7C913,-7C8D9
-64E0C,-64DA1,-64E61
-7C881,-7C97A,-7C96E
-64BA2,-64E21,-64CFA
-7C7DB,-7C719,-7C8AD
-64CF5,-64BF4,-64D9C
-7C761,-7C674,-7C807
-64FD6,-64DB1,-64DC4
-7C921,-7C6F5,-7C857
-64F9B,-64E2F,-64F57
-7CB8E,-7C927,-7CB2F
-650F8,-64EF3,-64F60
-7C9CB,-7CA37,-7C91C
-64FA2,-65037,-64F7D
-7C9FE,-7CB58,-7C897
-64E5B,-65026,-650C2
-7C9FC,-7CCC7,-7CC36
-65191,-64EEA,-650D3
-7CBC7,-7CAC8,-7C942
-64F68,-64F2B,-650D2
-7C9F8,-7CA7C,-7CB35
-65000,-650AE,-64E3E
-7CA2C,-7C86A,-7C95D
-64BA8,-64F12,-64EE7
-7C7D8,-7C9EF,-7C8A6
-65014,-64DFF,-64EF1
-7C9CB,-7C8CE,-7C9EB
-6505F,-64F5E,-64F05
-7C7F9,-7C897,-7C9BF
-64FAC,-65046,-64F4D
-7C9F4,-7C9A1,-7C83B
-64F2F,-6501B,-64F55
-7C81A,-7C94F,-7CA0E
-64F18,-64F2A,-64D11
-7C736,-7C969,-7C98A
-64DA7,-64D23,-64CC8
-7C816,-7C71C,-7C7AC
-64E5E,-64DE9,-64E52
-7C8BD,-7C888,-7C7AB
-64F70,-64FE4,-64D5B
-7C418,-7C477,-7C6D7
-64BF3,-64C99,-648A7
-7C496,-7C6BE,-7C54C
-64BC9,-64C3F,-64B02
-7C289,-7C6BA,-7C6A4
-649F2,-64ABD,-6499F
-7C352,-7C51A,-7C4B4
-649A9,-64A83,-648AF
-7C4EC,-7C4C1,-7C3FD
-64A69,-64A1E,-648FE
-7C3B3,-7C35C,-7C5BF
-64A15,-64913,-64973
-7C40F,-7C686,-7C456
-64A59,-649BD,-64A05
-7C382,-7C2A0,-7C308
-647BC,-64699,-647EE
-7C217,-7C44C,-7C490
-648BC,-649B9,-647F6
-7C37A,-7C3C3,-7C319
-64855,-647B6,-648D3
-7C1E7,-7C293,-7C2F5
-647EB,-64788,-64A67
-7C30A,-7C4BF,-7C56D
-647D1,-64729,-64782
-7C17B,-7C214,-7C213
-6468D,-64891,-6490D
-7C636,-7C444,-7C45E
-6482E,-64911,-64894
