{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5BD1D,-5B8C3,-5BA49
-43FEB,-43FC4,-43F1B
-5BA54,-5BB6E,-5B9D8
-43F60,-440D1,-43F3F
-5BA4B,-5BB56,-5BA1A
-43DF8,-440EF,-43E6D
-5BAED,-5B886,-5BA0E
-43E46,-43F44,-43CAA
-5B91B,-5B8AB,-5BA39
-43EA3,-43F46,-43F53
-5B8F2,-5B99B,-5B960
-43BEE,-43C5A,-43DAB
-5B846,-5B8EB,-5B994
-43E7D,-43FB1,-43F6A
-5B929,-5B86D,-5B971
-43E0B,-43EBB,-43DDB
-5BA4A,-5B947,-5B9D8
-43ECE,-43FB0,-44000
-5B897,-5B846,-5B940
-43E4A,-43E81,-43FCC
-5B9F9,-5B984,-5B830
-43F25,-43F4A,-440AD
-5BCE5,-5BB05,-5BBB3
-43EC1,-43E15,-43D65
-5B90D,-5BA64,-5B9AB
-43E9C,-43EAF,-43F37
-5B897,-5B8C1,-5B8F0
-4516D,-451AE,-451CC
-5C3F0,-5C414,-5C42E
-449DE,-44B28,-44AA9
-5C2A2,-5C563,-5C437
-4496E,-447A8,-44923
-5C338,-5C255,-5C4ED
-44804,-44AA0,-44AE8
-5C3B6,-5C39A,-5C3A5
-448FD,-44840,-4483E
-5C2D0,-5C341,-5C598
-449A9,-44A84,-448BB
-5C457,-5C5DE,-5C4BE
-4485A,-447BD,-449D6
-5C4A2,-5C48D,-5C381
-44966,-44943,-449BC
-5C183,-5C384,-5C31B
-44800,-4475B,-44794
-5C3FF,-5C150,-5C442
-44B34,-44996,-44A64
-5C4ED,-5C4CC,-5C3FD
-44767,-44678,-4458F
-5C2A0,-5C0BA,-5C1D7
-44936,-446B5,-4496C
-5C2FE,-5C1C5,-5C28A
-446C9,-44739,-4478D
-5C1F0,-5C2D9,-5C3B8
-44913,-44791,-447C7
-5C4C7,-5C325,-5C347
-4461A,-44724,-44681
-5C284,-5C2BC,-5C145
-449AD,-4488D,-44888
-5C1F8,-5C078,-5C3A7
-4470D,-44825,-44625
-5C040,-5BFDE,-5BE68
-44533,-44484,-44513
-5BE67,-5C0A6,-5BF59
-44608,-44690,-445BA
-5C03D,-5BF5A,-5C026
-44560,-44355,-44615
-5BFED,-5C102,-5C041
-44485,-4448F,-44524
-5BF4F,-5BFE9,-5BE85
-4443F,-445A8,-4450F
-5C001,-5BF5C,-5C12C
-4448F,-4457E,-44448
-5BDF4,-5BEBA,-5BF66
-44619,-4443D,-445FF
-5BFAB,-5BFD3,-5C012
-44437,-4449A,-443FA
-5BE42,-5BD95,-5BE86
-44609,-446DB,-44565
-5C281,-5BF60,-5C083
-4460E,-44424,-44451
-5BF83,-5BFBD,-5C126
-447C4,-44584,-4454E
-5C079,-5C00A,-5C06A
-44577,-44475,-44461
-5C0DD,-5BE32,-5BFF4
-4431D,-443A0,-444B5
-5BF94,-5BE10,-5BD10
-444AB,-442E4,-44333
-5BF3D,-5BE04,-5BE45
-4447D,-44469,-443DF
-5BE51,-5BDFE,-5BDF3
-44553,-4452F,-446F7
-5C16F,-5C18F,-5C1AB
-4464E,-44708,-4480E
-5C145,-5C198,-5C1BC
-44623,-4471E,-447AC
-5C07A,-5C16F,-5C1F0
-449E3,-4476B,-44616
-5C107,-5C2E7,-5C20D
-44716,-446F1,-446DE
-5C127,-5C1EE,-5C2C0
-44678,-445C8,-444A9
-5C34A,-5C0DB,-5BFDA
-44706,-44623,-444D4
-5C0F3,-5C0BC,-5C095
-4469C,-44450,-443E9
-5C0D0,-5C0B5,-5C16B
-44606,-445F1,-443B2
-5C0FC,-5BFEB,-5C167
-446CE,-4460F,-4469C
-5C02D,-5C0DD,-5BF6B
-444E7,-444D0,-44446
-5C134,-5C183,-5C0A8
-445EB,-44495,-444CB
-5BF7E,-5BFD4,-5BEDD
-443FA,-44468,-443C1
-5BECC,-5BDC9,-5BF35
-443A6,-44527,-444FB
-5BE85,-5C023,-5BF32
-44414,-44621,-44460
-5C0AD,-5BE2A,-5BF40
-44427,-44479,-444E4
-5BFAF,-5C123,-5BF80
-444DF,-44477,-4445D
-5BE70,-5BFC4,-5BF39
-44478,-44291,-444A9
-5BCFB,-5BDF3,-5BE5B
-443F2,-442DD,-443C5
-5BE68,-5BDAB,-5BEC4
-443CC,-44419,-443AC
-5BDDD,-5BD9A,-5BCF9
-44382,-44363,-44484
-5BD47,-5BF37,-5BF9A
-444B9,-44424,-44532
-5BE25,-5BCA3,-5BE18
-44303,-443D3,-444A6
-5BDA9,-5BDC3,-5BE7E
-44370,-4426C,-443DD
-5BECA,-5BDBF,-5BDBE
-4433E,-442EA,-44115
-5BED2,-5BDD3,-5BD3F
-443EF,-440AA,-44378
-5BC26,-5BEBF,-5BE85
-442E6,-440EA,-441F1
-5BD23,-5BDB4,-5BCC3
-441FC,-44330,-443D5
-5BF4C,-5BC1C,-5BC16
-441FC,-44261,-441DC
-5BC82,-5BD9E,-5BE4F
-44304,-442F3,-442A6
-5BD77,-5B93E,-5BC4A
-44014,-44108,-44050
-5BD20,-5BC88,-5BC73
-4417C,-441B0,-44170
-5BC1F,-5BDE8,-5BC09
-45057,-450C1,-44EF4
-5BBC5,-5BC8B,-5BBA5
-44171,-4430A,-44348
-5BCCB,-5BB93,-5BAF5
-43F56,-4417E,-43E5E
-5BB60,-5BA67,-5BB5B
-44140,-441E5,-4407C
-5BB30,-5BBA8,-5BBBB
-44114,-43DC6,-43FFC
-5BA1B,-5BB43,-5BC1E
-4426C,-441EB,-43F4C
-5BA6E,-5BBB4,-5BC23
-440E2,-43FA3,-44129
-5BAF7,-5BB8A,-5BA9E
-4407F,-44133,-44008
-5BB05,-5BC4B,-5BD48
-43F73,-44016,-43F32
-5BAAB,-5BAB6,-5BA44
-44083,-43FB7,-43FD9
-5B93B,-5B8AF,-5BA5B
-4406E,-43FF7,-43E95
-5BB22,-5B9BC,-5BB20
-43FF0,-44173,-440E4
-5B824,-5BBB1,-5BC9C
-43FC2,-43E89,-44044
-5BA8A,-5BA60,-5BBF7
-4401F,-43F16,-43FE7
-5B90D,-5BAFE,-5BB20
-43E3D,-43CE7,-43FC5
-5B9C8,-5BAF9,-5B9AF
-44025,-43E7F,-43E90
-5BA88,-5B99D,-5B90E
-440AF,-43F4B,-43FC9
-5BA15,-5B7D4,-5B7EF
-43EB1,-43E75,-43F4F
