{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-ED152,-ED134,-ECFF5
-D561B,-D54C2,-D558D
-ECF99,-ECE42,-ED0C2
-D56B3,-D54A7,-D568C
-ED063,-ED102,-ED162
-D5596,-D5433,-D56AF
-ED1DC,-ECF29,-ED139
-D560E,-D54CC,-D5563
-ED041,-ED0B3,-ED1B4
-D5642,-D5721,-D55E1
-ED0AD,-ECEA1,-ED0EA
-D5727,-D572F,-D5767
-ECFA7,-ED05D,-ED34E
-D5673,-D56DE,-D5863
-ECFCC,-ED191,-ED05F
-D57F6,-D56DE,-D54AB
-ED0A4,-ED100,-ED058
-D564B,-D5587,-D54AC
-ED21D,-ED1E3,-ED02A
-D554F,-D5630,-D55E3
-ED1D5,-ED20B,-ECF98
-D5776,-D56F1,-D571D
-ED0ED,-ED1C1,-ED1BF
-D5707,-D56A4,-D5690
-ED1D6,-ED293,-ED05B
-D56D1,-D5726,-D57FB
-ED1AC,-ED0A5,-ED27D
-D5760,-D57D7,-D57EA
-ED10D,-ED08C,-ED06B
-D591B,-D572A,-D56C3
-ED166,-ED425,-ED28A
-D5910,-D5644,-D57CB
-ED226,-ED172,-ED018
-D5641,-D54FD,-D56D5
-ED1E6,-ED235,-ED036
-D53DD,-D565C,-D56A6
-ED0F5,-ED140,-ECEC9
-D5645,-D5794,-D53E0
-ECE04,-ED1CD,-ED09A
-D5723,-D5638,-D5804
-ECF50,-ECFB1,-ECF42
-D55E1,-D570E,-D54E7
-ED1C4,-ED346,-ED1B8
-D57AB,-D5702,-D5937
-ED19B,-ED142,-ED329
-D5729,-D591B,-D5927
-ED1B4,-ED3E9,-ED228
-D578F,-D56AF,-D57A8
-ED3B3,-ED285,-ED0AA
