{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-186957,-1869B2,-186B5D
-19E522,-19E579,-19E46B
-186B38,-1869E0,-186954
-19E468,-19E3C6,-19E4B2
-186A83,-186AAD,-186A79
-19E466,-19E62A,-19E4F3
-186B24,-1869C3,-186B86
-19E427,-19E3C5,-19E55E
-186A8F,-186B0A,-186A00
-19E4BB,-19E44C,-19E643
-186AB6,-1869AB,-186C1F
-19E630,-19E61F,-19E4D6
-186AAF,-186BBF,-186BBF
-19E63E,-19E4EA,-19E6C0
-186B4E,-186C3C,-186C54
-19E5FD,-19E723,-19E71C
-18698D,-186D3F,-186B99
-19E35C,-19E357,-19E401
-186943,-186A7A,-186915
-19E460,-19E4BB,-19E332
-186AEE,-186994,-186900
-19E4DD,-19E471,-19E495
-1869EC,-1869A2,-186892
-19E473,-19E2C7,-19E3AF
-186A18,-1868F9,-1868EC
-19E27F,-19E33C,-19E43F
-186B0C,-186977,-186A0C
-19E496,-19E4A9,-19E61B
-186AB3,-186A95,-1869B4
-19E277,-19E337,-19E3F1
-186953,-186959,-186AC8
-19E37B,-19E4B5,-19E532
-186B33,-186AAE,-186909
-19E2E8,-19E35B,-19E36A
-18670F,-186B0E,-186A29
-19E4CE,-19E39C,-19E643
-186C92,-186AF0,-186879
-19E4C1,-19E4BD,-19E563
-186C53,-186AD0,-186A4F
-19E575,-19E462,-19E57F
-186987,-186988,-186A5A
-19E320,-19E59C,-19E358
-186AAC,-186AB9,-186919
-19E61C,-19E4F2,-19E29F
-186B85,-186A5C,-186B5D
-19E5E4,-19E6AB,-19E53C
-186B42,-186AD8,-186AC5
-19E642,-19E671,-19E51D
-186BEA,-186AB2,-186ADE
-19E811,-19E75A,-19E789
-186E8C,-186D2C,-186E29
-19E6F9,-19E88F,-19E97A
-186F9E,-186F1C,-186EF5
-19EABD,-19E827,-19E8D0
-186DBE,-186E0D,-186E47
-19E6AA,-19E977,-19EA92
-186E9F,-186C9F,-186FB7
-19E926,-19E835,-19E96A
-186EE3,-186E4D,-186F9F
-19E7EA,-19E788,-19E82E
-186F3E,-186E8A,-186E9A
-19EAA5,-19EAEB,-19E873
-186D20,-186EE5,-186EC6
-19E9A8,-19EB4D,-19E813
-186E33,-186EBF,-186D2A
-19E854,-19E6F0,-19E815
-186F18,-1870B3,-186FD7
-19E8C7,-19E999,-19E849
-186FE0,-186EA6,-186F73
-19E887,-19E70C,-19E853
-186D8B,-186E28,-186CC5
-19E9DD,-19EB11,-19EA94
-186E13,-186D8A,-186F8D
-19EA05,-19E831,-19E8A9
-186D2C,-186E43,-187020
-19E9B1,-19EA33,-19E7DC
-186FC2,-186EAC,-186FB2
-19E7DC,-19E8E1,-19EA51
-187040,-18713F,-1870B6
-19E9D9,-19EC8A,-19EAE0
-186FF8,-186FCA,-18702C
-19E80D,-19E7E8,-19E863
-186F4B,-186DA3,-186C9A
-19E83D,-19E936,-19E80A
-186DD6,-186EB8,-186D64
-19E86D,-19E9E2,-19E9E3
-186FC6,-186EDD,-186E60
-19E867,-19E97C,-19E892
-186DB6,-186DD3,-186F28
-19E938,-19E799,-19E8AE
-186F8C,-186FE2,-186FF6
-19E9BF,-19E939,-19E9FE
-187066,-186F21,-187015
-19E948,-19E9B5,-19EAB3
-186F82,-187116,-186F85
-19EAF2,-19EB8E,-19EA1A
-186DD0,-186EE9,-186F34
-19EA91,-19E8CF,-19E977
-186FDF,-186EA8,-186FE7
-19EB00,-19E9DC,-19EA02
-186E13,-186E82,-18719E
-19EB4C,-19EA01,-19E97B
-187167,-18700F,-186FEF
-19E8A9,-19E9B4,-19E9DB
-186E33,-186CF6,-186C6E
-19E9D7,-19E861,-19E91D
-186DFB,-186EB7,-186DC1
-19E9CB,-19EB51,-19E98C
-186FC1,-186E87,-1870C6
-19EAE5,-19E8B1,-19EC68
-187001,-186EE7,-187123
-19E93C,-19EAC6,-19EAF7
-1862A0,-1862CB,-186266
-19D767,-19D717,-19D8AF
-185FE6,-185F51,-1860A0
-19D8C4,-19DA4B,-19DA61
-185F37,-185DD7,-185E25
-19D91B,-19D9FE,-19DAC5
-186012,-185E5E,-185F07
-19D9A9,-19DA26,-19D9B6
-185F6D,-185FA0,-185ED6
