{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
90C27,90B26,90BD0
A85A8,A84F5,A85DD
908D6,90B24,90B7D
A865B,A86EC,A872A
90B20,90AD4,90AF5
A8562,A84A3,A8553
90BF4,90D04,90A6C
A83E7,A84BE,A8583
90BB3,90A89,90B9D
A86A1,A84D9,A8683
909F2,90AEE,90CBA
A8686,A85B7,A8557
90C43,90B0A,9099F
A7020,A70DA,A71B7
8FEFC,8FF64,8FDD5
A7A39,A79F2,A7AF8
8FECD,9008C,9015D
A78C6,A7C98,A7AE1
8FFD0,901B5,9020E
A79E5,A7AF9,A7B87
900A2,8FFC6,90069
A7AFC,A7AC5,A79A8
90100,8FE47,8FFB4
A7A08,A79AE,A7C61
90102,8FFAA,90081
A7A53,A7C30,A7A2E
901EF,8FFBE,900B8
A7BDD,A7C7D,A7AC5
9016C,9010C,8FFBC
A7BE0,A7C34,A7CCC
8FFD4,900B1,8FEF2
A7C9C,A7C8A,A7BBE
90250,8FFCD,8FFC6
A7ADA,A795A,A7AB5
9000A,901C3,8FE3A
A7B44,A7A29,A799A
8FFF5,8FEF6,8FFF5
A7883,A7C0F,A79E0
900D2,8FFDD,9012F
A7AF0,A7AA3,A7C54
90309,9025B,90261
A7BA5,A7B99,A7CCA
9020E,901E9,90052
A7C2D,A7D62,A7B6C
90257,90454,9016F
A7C1B,A7B68,A7B5A
902BE,90305,902EA
A7D26,A7D93,A7C25
90201,90230,901C6
A7D48,A7F08,A7F54
901B1,90278,90267
A7DEF,A7D30,A7E57
90353,9042C,90326
A7F3E,A7E62,A7F77
90401,9035F,902EB
A7E87,A7C15,A7F63
9021B,90297,903D5
A7C32,A7E2C,A7E20
905B1,904C0,902B0
A7FE7,A80C4,A7EAA
904A7,9037C,90191
A80A6,A8118,A7F4A
90563,904C3,902F6
A7F57,A7EE1,A7E40
903C9,90423,9044A
A80C5,A8145,A7DDD
904A1,90414,904DB
A7D1F,A7E36,A7D15
9053D,90537,903D0
A8005,A7E7C,A7F35
903E3,90424,90559
A7FD0,A810B,A7D90
9066E,907FE,90755
A8112,A80E8,A8057
906DF,90615,905B6
A8170,A7F20,A7E92
90625,906C3,9061E
A8114,A8023,A7F2E
902DA,9035E,9023D
A7B74,A7E24,A7D41
903AF,90461,90271
A7C00,A7CD3,A7C5A
90477,9021C,901BB
A7E45,A7BE6,A7D62
90525,905A5,9023F
A7D97,A7E21,A7DAC
903CE,902BA,90401
A7D4D,A7EF5,A7C6F
902CF,903B5,9020A
A7D18,A7A69,A7C80
90297,901FC,90154
A7D63,A7DC7,A7DA8
90670,90509,904F1
A7ECF,A7E4B,A7ECF
90458,90566,903F4
A7F8B,A7FAB,A7F45
9028E,90345,9043C
A7ECA,A7DEE,A7E02
9038B,903DB,90475
A7E80,A7CEC,A7E7B
9047B,90471,904A0
A7E2E,A7E74,A7F83
905BF,90645,90424
A7F34,A7FD0,A7E7B
90574,90440,90383
A7EBC,A7CD0,A8002
9050D,90360,902FD
A7F3E,A7DDB,A7F00
90479,90464,9030F
A7EDA,A7F1E,A7E72
90481,905C1,90565
A7FC9,A806D,A7E9C
90702,90657,905D2
A7FD0,A7D97,A7E84
90419,90418,9062D
A8097,A7EE0,A7E37
904F1,90606,90723
A80A2,A816E,A80AE
90506,9054A,905CB
A8122,A80A5,A8074
90589,906B8,90595
A8193,A807B,A8336
90996,905EF,9067C
A80AD,A8299,A80ED
9084E,90944,909A7
A83F9,A8280,A8453
90A35,9098E,90740
A8316,A8271,A81DA
9071B,906D7,909DB
A8133,A836A,A8321
9083F,90576,9076F
A8292,A8276,A821A
9091B,905E4,905F0
A8111,A8236,A8320
908B8,90815,90961
A8247,A8253,A8330
907D7,908DA,908A9
A82A1,A81D8,A8182
907F7,90848,90719
A81BE,A8344,A837D
906CD,9058D,9074B
A7251,A720F,A725E
907F8,908AD,906BD
A806B,A827F,A826B
9090A,908FB,90752
A82DF,A8395,A81BC
90852,90745,9090C
A81C8,A829C,A822F
907E9,907EB,90883
A826C,A82B8,A839D
90994,908C7,908E5
A82E6,A8369,A8452
90796,907C7,90940
A82C4,A8444,A83C1
90884,9073D,90786
A81C5,A8293,A82AB
90A35,908CA,90A0C
A860D,A84A7,A83E5
909EC,908D5,909E5
A83CC,A8402,A8579
909F6,90AB3,90974
A84C1,A85EE,A86AB
90C16,90A02,90B3E
A8288,A8345,A8270
90956,90780,909A3
A84A9,A8354,A83CF
9099F,90932,90956
A84E9,A8355,A853E
908CE,90AFB,90B21
A85AE,A83EA,A83A3
90A83,90B4C,90B5E
A834C,A8420,A8366
90AEF,90857,909AB
A82E7,A8577,A83DD
90B90,90B61,90A65
A8505,A84B7,A867A
90C29,90D08,90A5C
A8799,A86F7,A85AE
90AE3,90B49,90B37
A848C,A8659,A8629
90A71,90A7B,90B5F
A8811,A86C9,A869B
90A93,90A9F,90A70
A8657,A85CC,A85F0
90BA4,90AE3,90B1B
A87C3,A8612,A8608
90C0D,90C44,90BC2
