{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A5E80,-A5E25,-A5DCA
-8E43F,-8E3E6,-8E4B5
-A5D75,-A5F2D,-A5D02
-8E2B3,-8E3D8,-8E37B
-A5B6A,-A5E9D,-A5E55
-8E280,-8E202,-8E3C3
-A5C40,-A5DCE,-A5F43
-8E548,-8E54F,-8E2E3
-A5E77,-A60E4,-A606D
-8E502,-8E44F,-8E495
-A60FB,-A6021,-A5F99
-8E490,-8E28F,-8E56C
-A5E34,-A5F77,-A5F28
-8E404,-8E2E8,-8E49E
-A5FB2,-A60A5,-A5DAB
-8E34E,-8E260,-8E1FA
-A5C9E,-A5DA4,-A5F90
-8E4B6,-8E394,-8E4FE
-A5D7A,-A5D30,-A5CDC
-8E586,-8E285,-8E34A
-A5E37,-A5F4E,-A5E6C
-8E336,-8E262,-8E431
-A5EA4,-A5CD2,-A5DDF
-8E19A,-8E191,-8E2DB
-A5F25,-A5EE2,-A5D34
-8E279,-8E37D,-8E389
-A5E3D,-A5DE4,-A6086
-8E22F,-8E338,-8E3C9
-A6034,-A5EFC,-A5E05
-8E4FB,-8E412,-8E11B
-A5F5A,-A5F20,-A5E5A
-8E348,-8E4A5,-8E40D
-A5D0F,-A5F11,-A5E97
-8E405,-8E377,-8E29A
-A5DEF,-A5E57,-A5CFA
-8E418,-8E288,-8E44E
-A5E78,-A5D62,-A5D7B
-8E24A,-8E31C,-8E290
-A5ED8,-A5E69,-A5FA8
-8E5E2,-8E5B1,-8E4A6
-A5C19,-A5A6D,-A5C27
-8E326,-8E0CB,-8E28A
-A5B47,-A5C41,-A5B5B
-8E196,-8DF6F,-8E1A5
-A5A72,-A5BD8,-A5A09
-8E266,-8DFA5,-8E0C8
-A5AF6,-A5A3A,-A5C2D
-8E0E0,-8DDA2,-8DEFB
-A5A33,-A5982,-A5AAE
-8DED8,-8DF3C,-8E0B1
-A5ABE,-A59E0,-A5855
-8E0D2,-8DDF8,-8DFB7
-A599B,-A5982,-A58CF
-8DF8B,-8DF1A,-8DE87
-A5A93,-A5A9D,-A593E
-8DF83,-8DD6F,-8DF6A
-A5B4F,-A5BA6,-A5876
-8E047,-8E1A5,-8E026
-A5C15,-A5A99,-A5A82
-8DF43,-8DF78,-8E08F
-A5B55,-A5B9D,-A5A7B
-8E098,-8E04D,-8E25C
-A598A,-A597C,-A592F
-8DFC9,-8DFAE,-8DFC3
-A5A22,-A597E,-A5999
-8E03D,-8DE37,-8DF10
-A58E5,-A57D6,-A5953
-8E0F3,-8E00C,-8DE39
-A5993,-A5AA7,-A58A9
-8E07D,-8DEAF,-8DD9C
-A5A42,-A5C2C,-A5877
-8E024,-8E15E,-8E08B
-A5B02,-A5C37,-A5A04
-8E152,-8E0BB,-8DF9E
-A59A7,-A5B0C,-A596F
-8E10A,-8E135,-8E131
-A5A13,-A5995,-A5AF3
-8E30C,-8E140,-8DFDF
-A5AAB,-A5A4B,-A5B99
-8DFB2,-8E217,-8E067
-A5B4C,-A5A82,-A5C7E
-8DE32,-8DED6,-8DEE4
-A5914,-A5BEC,-A5A61
-8DF76,-8DFF5,-8E05D
-A5BC7,-A5AE6,-A5ADB
-8DF31,-8E038,-8DF8E
-A5A93,-A5BA9,-A5A2F
-8DFFE,-8DF12,-8E00B
-A5B45,-A59C6,-A5C99
-8E02A,-8E0A8,-8E0FF
-A5BA3,-A5ADE,-A5AC5
-8E1AF,-8E0D0,-8E05B
-A5B13,-A5B28,-A5BE5
-8DF0F,-8E085,-8E000
-A5A03,-A5A4E,-A5B05
-8E0AD,-8DE9D,-8DFF9
-A5904,-A5838,-A5A3D
-8E034,-8DEE7,-8E1F1
-A5C14,-A5B3A,-A5B63
-8E0DF,-8DFB9,-8DF25
-A5A3B,-A58AF,-A59EA
-8DFC7,-8DDC5,-8E107
-A57C0,-A585D,-A595E
-8DE70,-8DE58,-8DE92
-A5770,-A5885,-A56FF
-8DF03,-8DDBD,-8DCFE
-A57F5,-A57D6,-A5896
-8DB16,-8DCBB,-8DE26
-A567E,-A570C,-A5895
-8DD18,-8DCD0,-8DD88
-A57F7,-A589B,-A5982
-8DD70,-8DE57,-8DBB6
-A56BB,-A58E2,-A5718
-8DD35,-8DD75,-8DC63
-A5734,-A56BF,-A5803
-8DBDA,-8DB69,-8DC41
-A578C,-A57EF,-A563A
-8DD12,-8DE27,-8DCF8
-A5765,-A56B9,-A5753
-8DC2A,-8DB06,-8DBDB
-A5673,-A57E2,-A57B4
-8DD68,-8DB0D,-8DB82
-A57C2,-A56B8,-A57F0
-8DDAF,-8DD69,-8DCA7
-A552F,-A5815,-A580D
-8DBEB,-8DB7E,-8DC08
-A57E9,-A56B8,-A5840
-8DCE2,-8DDE4,-8DC35
-A56BF,-A558F,-A56A4
-8DDFE,-8DCB9,-8DCF4
-A5723,-A58EA,-A5741
-8D925,-8DB81,-8DA41
-A55A7,-A54DE,-A5497
-8D9E0,-8DD5A,-8DC80
-A54B5,-A556E,-A5545
-8DF87,-8DB8A,-8DB8C
-A5872,-A57AF,-A5594
