{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1AB386,-1AB582,-1AB40C
-1C2DC9,-1C2FA8,-1C2F30
-1AB60E,-1AB38A,-1AB1FA
-1C2E04,-1C2E06,-1C2F8F
-1AB35F,-1AB3CD,-1AB488
-1C2CF4,-1C2E50,-1C2EAC
-1AB47D,-1AB32B,-1AB425
-1C2F8A,-1C2F89,-1C30A5
-1AB6A5,-1AB55E,-1AB56D
-1C30EA,-1C2E0D,-1C2E1D
-1AB3CA,-1AB49A,-1AB378
-1C2F2E,-1C2E03,-1C2DE1
-1AB63B,-1AB3DF,-1AB62C
-1C3059,-1C2FA6,-1C2EFD
-1AB72F,-1AB514,-1AB5EB
-1C3118,-1C32D8,-1C3200
-1AB830,-1AB94C,-1AB657
-1C31AF,-1C331E,-1C31AB
-1AB7E7,-1ABA1F,-1AB87B
-1C3295,-1C326C,-1C31E9
-1AB9F9,-1AB8E9,-1AB7BE
-1C3374,-1C331A,-1C3298
-1AB8C4,-1AB7EC,-1AB7FF
-1C327A,-1C32DA,-1C326B
-1AB860,-1AB878,-1AB954
-1C3305,-1C340E,-1C3403
-1AB8FD,-1AB8CE,-1AB885
-1C331D,-1C334A,-1C334B
-1ABAE1,-1AB8BF,-1ABA13
-1C3344,-1C32CA,-1C3397
-1AB998,-1AB61F,-1AB612
-1C330D,-1C3373,-1C3239
-1AB9A7,-1AB81E,-1AB867
-1C3268,-1C3389,-1C3312
-1AB82B,-1AB6DE,-1AB9FD
-1C33C1,-1C3477,-1C3439
-1ABB45,-1AB8F3,-1ABA63
-1C33FB,-1C33FD,-1C34BC
-1AB9B6,-1AB78A,-1AB8F5
-1C33E6,-1C321D,-1C32ED
-1AB951,-1AB99F,-1AB8C1
-1C3416,-1C33FB,-1C3366
-1ABB27,-1AB9A9,-1ABA1B
-1C33D0,-1C3416,-1C33E3
-1AB8C8,-1ABAF3,-1ABB7C
-1C3364,-1C3393,-1C3363
-1AB9EE,-1AB84A,-1AB8C1
-1C3157,-1C3239,-1C2F19
-1AB91B,-1AB960,-1AB787
-1C3159,-1C32B4,-1C33B5
-1AB920,-1AB7FB,-1AB766
-1C3241,-1C3180,-1C33F2
-1AB721,-1AB803,-1AB85E
-1C3059,-1C32F8,-1C34C2
-1AB79B,-1AB7D2,-1AB7A0
-1C3043,-1C31CF,-1C32B7
-1AB848,-1AB821,-1AB8F3
-1C3252,-1C33D3,-1C349C
-1AB7E0,-1AB7DB,-1AB885
-1C3234,-1C32C2,-1C32B2
-1AB84B,-1AB742,-1AB840
-1C32E3,-1C32C4,-1C333C
-1AB79B,-1AB7C9,-1AB9FD
-1C32F4,-1C336D,-1C32E8
-1AB8FE,-1AB848,-1AB9A0
-1C3488,-1C3278,-1C33A1
-1AB91E,-1ABAA2,-1AB83A
-1C3373,-1C330F,-1C33CC
-1AB7F0,-1AB862,-1AB7ED
-1C323B,-1C3196,-1C32A0
-1AB894,-1AB9A9,-1AB9A6
-1C330A,-1C338D,-1C3387
-1AB9D3,-1ABA3D,-1ABA19
-1C349B,-1C33AE,-1C32CB
-1AB867,-1AB873,-1AB86C
-1C334F,-1C3446,-1C3309
-1AB91F,-1AB940,-1AB82B
-1C3211,-1C333F,-1C322E
-1ABD0C,-1ABCEE,-1ABF00
