{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-CCAB3,-CCBD7,-CCC67
-E4448,-E4540,-E4494
-CCBCA,-CCAC7,-CC955
-E4564,-E452E,-E4598
-CCB25,-CC8C2,-CC9E2
-E43B6,-E43D3,-E4518
-CCBC2,-CC9EC,-CC983
-E44CC,-E4280,-E441D
-CC8C4,-CCA7D,-CCA85
-E44A3,-E452D,-E45C9
-CC985,-CCBB4,-CCA27
-E46B9,-E440F,-E42B1
-CC825,-CC7DC,-CC8F8
-E41FF,-E439C,-E4395
-CC809,-CC8EE,-CC9CD
-E42FD,-E438A,-E420C
-CC859,-CC902,-CC82F
-E4359,-E433F,-E4589
-CCB42,-CC790,-CC75F
-E4186,-E433E,-E42E2
-CC879,-CC912,-CC8BB
-E4380,-E437C,-E4193
-CC766,-CC803,-CC883
-E452E,-E42D6,-E4421
-CC776,-CC972,-CC702
-E40CF,-E414C,-E41E8
-CC7DF,-CC9D1,-CC8EF
-E4292,-E41AC,-E419E
-CC7E0,-CC7BA,-CC7BF
-E412E,-E4142,-E4332
-CC93D,-CC62C,-CC8E3
-E4067,-E4099,-E4074
-CC611,-CC5C6,-CC64D
-E412B,-E4096,-E4078
-CC6FF,-CC4FC,-CC561
-E417B,-E412D,-E3FF0
-CC6A9,-CC57A,-CC709
-E4075,-E403F,-E3F02
-CC555,-CC4EF,-CC5A9
-E3EC6,-E3F9D,-E3F18
-CC548,-CC4E5,-CC598
-E4074,-E3FDE,-E4049
-CC377,-CC5E2,-CC416
-E40B5,-E40ED,-E3FE8
-CC617,-CC60C,-CC5D8
-E3FAB,-E41BE,-E41F4
-CC771,-CC4C7,-CC68F
-E3FE6,-E3EA1,-E3F5B
-CC4ED,-CC557,-CC517
-E3EBB,-E3FAC,-E3E6B
-CD736,-CD8A4,-CD6AD
-E4B48,-E4C59,-E4B1A
-CCFC2,-CCFDE,-CD2CD
-E4AAF,-E4AAE,-E4878
-CD07B,-CCF84,-CD1EC
-E4AA1,-E4AC1,-E4A3D
-CCEED,-CD0A0,-CD128
-E4B6B,-E4A1B,-E4B3E
-CD0A0,-CD059,-CD041
-E49FC,-E4B76,-E4BC6
-CD0AC,-CD103,-CD0F5
-E4AC9,-E4B20,-E49DC
-CD156,-CD0DD,-CD1F1
-E4A25,-E4B6B,-E4AF9
-CCF28,-CD027,-CCFDF
-E4874,-E4B1B,-E4A9B
-CCFBD,-CD016,-CCE4F
-E4AE1,-E4999,-E49D1
-CCFA1,-CD153,-CD07E
-E4A6D,-E49FB,-E49B0
-CCF5F,-CD0A3,-CCE1E
-E49B3,-E4835,-E496A
-CCFF3,-CD031,-CD0CB
-E490D,-E4A3E,-E495E
-CD00C,-CCF44,-CCE82
-E4ACC,-E4B11,-E4A04
-CD094,-CD067,-CCF63
-E47B3,-E48CE,-E4911
-CCF5E,-CD073,-CCF01
-E495E,-E4849,-E48DA
-CCDDA,-CCD47,-CCEA3
-E4998,-E4906,-E48BD
-CCF62,-CCD3F,-CCF20
-E482E,-E4726,-E498D
-CCE9B,-CCEE2,-CCCD7
-E47B3,-E4852,-E4A58
-CCE11,-CCF40,-CCEDD
-E49B3,-E4750,-E479E
