{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-9EF24,-9EE65,-9EE7D
-87572,-87535,-874F8
-9EEED,-9EEBA,-9F03B
-87669,-874B5,-87597
-9EF82,-9EECE,-9F014
-87487,-87493,-87475
-9EE71,-9EEBD,-9EF1A
-87583,-874B0,-87677
-9EEF0,-9EF90,-9F104
-874B0,-873E4,-874F6
-9EFC8,-9F097,-9EF79
-8727C,-87616,-876F7
-9F0F7,-9EE73,-9F0E9
-873B4,-87550,-876D4
-9EDFC,-9ED51,-9ED38
-8730A,-872DA,-87358
-9ECEA,-9EDD6,-9ED0A
-873E6,-8742B,-871F7
-9ED82,-9EEB1,-9EEF8
-87385,-875C0,-874B8
-9EF45,-9EE8F,-9ED54
-873F4,-87336,-873F5
-9EC98,-9ECB0,-9EF2E
-874B1,-87404,-874CA
-9EE18,-9ED5C,-9EC0E
-8732D,-8744B,-871C4
-9EC9A,-9EC99,-9ECF1
-87391,-871FC,-8742A
-9EEBA,-9EDA0,-9EDFD
-87392,-872AC,-8731F
-9EF72,-9EE87,-9EC66
-87562,-8744C,-873F8
-9EDE9,-9EC87,-9EF15
-8745F,-87567,-87303
-9EEF5,-9EF46,-9EF05
-8753B,-87452,-87439
-9EEFC,-9EF6D,-9F0EF
-876D5,-8745D,-87574
-9EFCB,-9EFB8,-9EE83
-8743B,-873DD,-873EA
-9EEF6,-9EECB,-9EE14
-8761E,-875FD,-875CE
-9EFA6,-9EF82,-9F00E
-874C3,-87406,-873CE
-9EF54,-9EFF2,-9EEF4
-87507,-875C1,-874A5
-9F112,-9F118,-9F281
-878CC,-87671,-876A3
-9F16F,-9F2B9,-9F376
-87927,-8765F,-877A1
-9F1EF,-9F36D,-9F2A4
-876ED,-8785D,-878E6
-9F0C6,-9F131,-9F33C
-8768A,-87725,-878B0
-9F18B,-9F134,-9F038
-8789A,-877E9,-877AD
-9F149,-9F137,-9F376
-876AA,-87679,-8769E
-9F03D,-9F159,-9F1B5
-878D0,-8796D,-876CE
-9F108,-9F431,-9F3A6
-87693,-876D5,-876A6
-9F2E3,-9F3E2,-9F22E
-87854,-87706,-87818
-9F1E0,-9F338,-9F27A
-87849,-87774,-87761
-9F123,-9F307,-9F40D
-87931,-87849,-8782D
-9F333,-9F23A,-9F1D9
-8788B,-877F3,-8774D
-9F21B,-9F264,-9F356
-879E0,-8777D,-8799C
-9F45B,-9F5F9,-9F380
-87A8C,-879A3,-8798A
-9F483,-9F5D1,-9F3A0
-87BFC,-878BC,-879B6
-9F49C,-9F4BB,-9F4BD
-87B7A,-87C45,-87A14
-9F0DA,-9F165,-9F211
-8789D,-878BE,-877FE
-9F247,-9F0C7,-9F1DD
-87944,-876DE,-8773D
-9F171,-9F222,-9F2B1
-877E0,-87796,-877F8
-9F3A5,-9F3B5,-9F514
-878EE,-8786B,-877F2
-9F2FD,-9F472,-9F55B
-87870,-879A3,-87A75
-9F407,-9F136,-9F389
-87956,-876C3,-877C3
-9F274,-9F368,-9F3CC
-87972,-87890,-8776A
-9F426,-9F242,-9F412
-87856,-877D5,-87732
-9F1E5,-9F19F,-9F1E1
-879B8,-877A3,-879A1
-9F28E,-9F443,-9F38F
-87711,-8794C,-8795A
-9F342,-9F4C2,-9F43B
-879C7,-87920,-87ADF
-9F340,-9F544,-9F3A8
-879D0,-878D6,-8794E
-9F5E8,-9F57A,-9F597
-87A5B,-87B30,-879B9
-9F47C,-9F430,-9F4A1
-87A49,-87C68,-87A86
-9F533,-9F501,-9F725
-87A56,-87C95,-87A68
-9F588,-9F579,-9F5C5
-883A7,-884B8,-886A1
-9F133,-9F0E2,-9F216
-87581,-876C4,-8778B
-9F093,-9F093,-9F10C
-8769A,-87821,-876EC
-9F22A,-9F0D4,-9F17F
-8765C,-87730,-878B4
-9F2BE,-9F2DF,-9F103
-875D9,-876F5,-87644
-9F27B,-9F004,-9F28F
-87839,-877EF,-87950
-9F1B3,-9F27D,-9F2B6
-87A49,-87636,-876D2
-9F25E,-9F2B4,-9F115
-8777B,-87774,-87809
-9F0EC,-9F1E3,-9F175
-87639,-87587,-87613
-9F0CA,-9EFB2,-9F1A9
-875BF,-8779B,-8775A
-9EFE2,-9EF45,-9F2B4
-878B5,-87745,-877FB
-9F241,-9F1F1,-9F2C1
-87848,-878F0,-877CD
-9F14C,-9F257,-9F116
-87681,-87863,-87674
-9F101,-9F1D2,-9F23D
