{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1545EC,154712,15457A
13DFAB,13E052,13DE2C
1557D5,155A03,15598D
13E08D,13DF58,13DE45
155989,155970,155A80
13E01F,13DE65,13DEBB
155935,15586C,155A63
13E026,13DE31,13DE99
155994,155A42,155B1E
13DFC3,13E052,13E07A
155906,155953,155A05
13DEAF,13DF1B,13DCFA
155A18,155985,155B18
13E162,13DF40,13E026
1559A3,15599A,155B6D
13E074,13DD9B,13DFC2
15592E,1558ED,155A3D
13DFE2,13DE36,13DDCF
155940,1558AC,155963
13DE8E,13DF02,13E0EC
155AB8,155A5D,15596A
13DDFA,13DF08,13E1D0
155933,1559A8,155942
13DE76,13E1DF,13DFE0
155ADA,155A35,155AFF
13DF03,13E107,13E058
155A42,155A3C,1559D1
13E05B,13E1A8,13E026
15596C,155B10,155AD6
13E225,13DF0F,13E03B
1558EE,1558FA,155A8E
13E0A2,13DEE3,13DF7D
155836,155A74,155819
13E033,13E01B,13E00A
155844,155B2C,155B84
13DFB8,13DF35,13E0F2
155A08,155C9D,1559D9
13E234,13DE04,13DF87
15596A,155A63,1558FB
13DF2C,13E126,13E15E
1557EC,155AE0,155C98
13DFED,13DFE6,13E05D
155A7C,155AAA,155B69
13E03D,13DF92,13DE07
155A45,155B40,15599A
13E1BC,13DFEC,13E0AD
155975,155A2F,155A99
13E157,13E233,13E0C2
155DD5,155D01,155B08
13E03C,13E0FC,13E15A
155B40,155AE1,155BCC
13E298,13E179,13E0A6
155C25,155A20,155BCC
13E02E,13E0D6,13E147
155BD7,155D2C,155AA9
13E243,13DF60,13DF22
155A66,155A7A,155B74
13E0D7,13E06F,13E19A
155A93,155B76,155B81
13E0B1,13E06F,13E086
155A68,155BAF,155BB3
13E111,13DF69,13E1CB
155BDB,155C1B,155B41
13E0E7,13E181,13E20C
155B9A,155D34,155ACB
13E146,13E104,13E1B0
155999,155B41,155CAE
13E0E3,13E0E7,13DF58
155B01,1558D4,155BDD
13E0E1,13E062,13E028
155BA3,155BD2,1558A3
13E116,13E1FD,13DE4D
155AB0,1559D0,155C16
13E0D8,13E086,13E1A4
155C83,155C20,155AFD
13E1CD,13DEB5,13E22B
155C25,155C50,155932
13DFF5,13E17A,13E217
155B60,155B7D,155BE6
13E194,13E04E,13E0E3
155D4D,155BE7,155BF1
13E157,13E123,13E0C3
155C7C,155CFB,155AF3
13E188,13E123,13E189
155BED,155B56,155B30
13E20D,13E2FF,13DEE3
155B95,155BC0,155C5C
13E01A,13E0B1,13E20F
155B4A,155C21,155CBB
13E2E5,13E331,13E1F4
155B64,155B64,155B4C
13E29F,13E13B,13E27D
155CCB,155A20,155AF5
13E138,13E0C4,13E1EB
155A98,155C21,155D36
13E438,13E2A9,13E1D2
155C47,155DD6,155CC4
13E58D,13E41A,13E3E0
155C3C,155BD2,155C5B
13E234,13E288,13E0EA
155BD8,155C31,155BDA
13E2F4,13E1EC,13E2F6
155BDB,155DE2,155D30
13E347,13E32B,13E3C6
155CCE,155B72,155DD9
