{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
A2EA1,A2C71,A2D14
BA739,BA765,BA6F3
A2D58,A2D35,A2C24
BA89D,BA82F,BA900
A2D5B,A2CF5,A2D43
BA7F3,BA88A,BA6A3
A2C2B,A2CF5,A2B62
BA713,BA574,BA76D
A2C34,A2D4D,A2DA6
BA6C0,BA607,BA6EA
A2DA0,A2B30,A2C4C
B982B,B9855,B991C
A2C6F,A2E9D,A2CC6
BA5C3,BA686,BA5CA
A2DBD,A2B91,A2B95
BA89C,BA6C5,BA783
A2C36,A2CB3,A2C7D
BA870,BA74E,BA7E9
A2E7D,A2EB4,A2BBA
BA82B,BA7C3,BA72F
A2D03,A2E78,A2C85
BA7D1,BA88B,BA869
A2F04,A2F02,A2ED7
BAAEB,BAAC7,BA912
A2E5F,A2F43,A2D3E
BA9F1,BA95D,BABD3
A2ECD,A2F29,A2DAA
BA8FD,BA984,BA967
A2F6E,A2E96,A2E35
BA8D7,BA903,BAA38
A2CAC,A2E81,A2E8C
BA6F1,BA89A,BA980
A2CF1,A2E07,A2D2B
BA81F,BA868,BA94F
A2EBA,A2DFF,A2EB7
BA9AB,BA8BD,BA8E7
A2EEF,A2F17,A2E8B
BA848,BA883,BA806
A2E2C,A2EA6,A2D36
BA7F5,BA82D,BA998
A2DE2,A2D3F,A2E56
BA867,BA6EB,BA8D2
A2E47,A2E03,A2FD8
BA9E7,BA84C,BA86C
A2F8C,A2EEC,A302D
BAAC3,BA868,BAAB2
A2E74,A2F05,A2FBC
BAB2F,BAB41,BAA7D
A2E17,A3003,A2FC9
BAA21,BAC78,BAB2D
A2F0D,A303A,A2FE3
BAB5E,BAB95,BAA43
A3026,A2F6B,A3016
BA955,BA961,BA852
A3035,A2F24,A2E8F
BAC07,BAB3C,BAA09
A3053,A302B,A2E6E
BAB25,BA9F4,BA951
A3001,A2EA9,A2EC2
BAA4E,BAB95,BAABC
A308F,A3118,A31ED
BAC2B,BAB30,BAA7F
A3196,A3310,A3032
BAA01,BAACB,BABEE
A3011,A3152,A2F24
BA9FE,BAA01,BA930
A30CC,A308C,A3050
BAB32,BAAC0,BAC3F
A2FFF,A3113,A3077
BA93C,BABC5,BAACB
A30EF,A3020,A306D
BA91D,BAAE1,BAD8F
A326B,A3223,A31CE
BACBA,BADBC,BAD95
A32E2,A3234,A32EC
BABDA,BAC50,BAC5D
A2F5B,A2DDE,A2DC0
BA975,BA980,BAA11
A2E9D,A2F92,A2F48
BAB42,BA9F5,BAAF1
A30AF,A302F,A3021
BAAF9,BAAB5,BAAEF
A30AD,A31FA,A2F61
BA9C6,BA95D,BA9F8
A2ED9,A2EF0,A2FF1
BA9D9,BA9B7,BAA12
A3202,A2EA0,A2F4B
BA8B2,BA881,BA9DE
A2D68,A2F65,A30A7
BAAAB,BA9C3,BA8F0
A2FE0,A2E59,A2E9B
BAADD,BAC84,BAA6F
A2FC4,A314B,A32E3
BA93A,BAA47,BA7EE
A317F,A2EB7,A2FE4
BAB89,BA9D4,BAAF6
A3074,A314B,A2FB4
BAB2F,BAA1C,BAB65
A3226,A3142,A3115
BABF1,BAC53,BAC15
A310D,A3070,A31AA
BACBD,BAA39,BAA60
A32BA,A3177,A3048
BACD4,BAB97,BAB97
A3152,A3194,A3046
BAA83,BAB11,BACA9
A30F7,A32A0,A308E
BAAAA,BAA76,BAB71
A32CE,A2F1B,A309D
BAD19,BADE1,BAD49
A326E,A323E,A3321
BAD25,BAC8C,BAA82
A31F1,A32CC,A3312
BAB76,BAD52,BACB1
A32F4,A3258,A3106
BAE5C,BABBC,BAB66
A33E2,A337B,A32D2
BAD0B,BAC5C,BAF89
A3239,A33D6,A33B4
BAE16,BAB00,BACE0
A32DF,A2FC2,A324B
BABD9,BAD56,BABD9
A32A1,A34AF,A3172
BAD8E,BAD59,BAC06
A33D5,A340B,A3201
BADDA,BAE25,BAE16
A35D9,A3480,A33B8
BAFA0,BB005,BAD8B
A3423,A35F6,A346C
BAEFC,BAF42,BAE69
A35A0,A34BA,A34EA
BAE39,BAF64,BAE30
A34F9,A33D0,A3556
BAE0B,BADDD,BAF7F
A353D,A3672,A32ED
BB005,BAEB4,BAEC1
A362C,A3506,A3494
BB092,BADFF,BB084
A3509,A35C2,A34E9
B9B2D,B9B45,B9D2A
A27EC,A2A24,A28B5
BA457,BA2DC,BA33A
A2910,A2B3B,A29D1
BA347,BA447,BA271
A285F,A2916,A2858
BA27C,BA3A9,BA43C
A2B52,A2ABB,A28DD
BA438,BA33E,BA25A
A28C6,A2767,A29FC
BA1FF,BA339,BA306
A28F1,A2899,A2AE5
BA4C3,BA33C,BA2AD
A28E8,A29AD,A28B8
BA30E,BA26F,BA268
A2BB6,A28E4,A279B
BA46F,BA4A2,BA2BD
A2A81,A286A,A2AAF
BA326,BA4FF,BA49D
A29C2,A2900,A28BC
BA291,BA34E,BA431
A2AA4,A28A6,A2A69
BA50E,BA4F0,BA441
A2B2C,A2A8C,A2B27
BA3A0,BA2D2,BA4FA
A2A4E,A294C,A2A66
BA3A6,BA363,BA498
A2A97,A2B53,A29CB
BA3D2,BA44D,BA341
A2877,A2B26,A29C9
BA464,BA441,BA5A6
A2A5F,A2A04,A2A93
BA5AD,BA406,BA516
A2A81,A2A41,A2B39
BA68D,BA618,BA722
A2CCC,A2D55,A2B56
BA58D,BA70E,BA620
A2C42,A2A9B,A2D1D
BA565,BA666,BA533
A2C9E,A2C2B,A2A31
BA7E7,BA56D,BA676
A2C94,A2D2D,A2BEF
BA67C,BA6F2,BA66D
A2F13,A2D68,A2C35
BA754,BA722,BA937
A2D48,A2DE1,A2E78
BA896,BA945,BA7EC
A2C75,A2CC5,A2C52
BA821,BAA1A,BA924
A2EBF,A2D05,A2CF6
BA841,BA80E,BA984
A2D61,A2FD3,A2DD8
BA65F,BA8CA,BA937
A2D2F,A2DF1,A2DDA
BA94C,BA759,BA8BB
A2E0F,A2DF2,A2DD7
BA7B2,BA766,BA8AA
A2F76,A2D0D,A2EE7
BA8E1,BA84F,BA747
A2DC4,A2C31,A2D16
BA87E,BA71B,BAA40
A2D50,A2D39,A2ED5
BA855,BA85C,BA89C
A2E8F,A2F4A,A2D76
BA7F7,BA886,BA8D8
A2BA2,A2B4A,A2B74
BA74A,BA5D5,BA717
A2D6C,A2B5D,A2BAA
BA682,BA58B,BA61B
A2CDE,A2B75,A2B57
BA542,BA578,BA5F9
