{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12F2FE,12F4E6,12F4C4
117812,117A71,11786A
12F3CD,12F288,12F4C4
117A66,117A47,117A2A
12F472,12F488,12F4BC
11770F,117821,1178FD
12F506,12F3C6,12F33E
1179A1,117911,11798F
12F4B0,12F43D,12F5D4
11796F,117931,117AB5
12F60D,12F45D,12F4EE
117B2F,117718,117A0B
12F0E2,12F249,12F2E7
1178CD,11793A,117963
12F243,12F408,12F1A8
117874,117892,117992
12F235,12F2AE,12F31C
1178BE,11783B,11793E
12F426,12F3A5,12F3DB
117996,11791E,117A0F
12F364,12F4D7,12F20C
117836,1177A3,117810
12F262,12F430,12F2EA
117994,117943,117848
12F531,12F157,12F24D
1178EF,11783A,117923
12F29D,12F4BA,12F43A
117642,11779B,117857
12F425,12F467,12F373
117905,117AD4,11781F
12F1D8,12F2CC,12F3D6
1177AA,117894,117868
12F440,12F3D2,12F288
117810,11798C,1176C3
12F150,12F1A9,12F252
1178BE,1178BB,117841
12F242,12F23A,12F348
117930,117A2A,1177F6
12F1F8,12F389,12F4A5
117A79,117B9C,1178A5
12F345,12F206,12F222
117830,11783A,11799D
12F2F8,12F31D,12F44D
1178DF,117697,11797C
12F08E,12F1FC,12F351
117951,1178BC,1176E8
12F1AA,12F28B,12F301
117744,117944,117858
12F28E,12F1AE,12F354
117834,1178B2,11777E
12F24F,12F0DF,12F215
11786B,1179F4,117720
12F208,12F3EF,12F1CE
1178C4,117989,1177EE
12F2B1,12F1CA,12F459
1179A7,117AC3,1179ED
12F401,12F275,12F60E
1178B0,11769B,11773A
12F150,12F265,12F1CB
11789B,11764D,117827
12F222,12EFD6,12F0CE
1177D0,1177FA,117795
12F1D9,12F14D,12F197
117828,11758B,117712
12F0A5,12F067,12F320
1177C9,117729,1177D8
12EFBB,12F2FD,12EFE6
117992,11771E,11774B
12F1D6,12F293,12F250
117824,1175E8,1175DB
12F153,12F224,12F1E0
11764F,1175C5,117766
12F160,12F3F1,12F11C
117763,11754A,117734
12F276,12F312,12F1E7
1175F1,11794E,1175DE
12F20D,12F1F1,12F322
117723,117645,117875
12F224,12F1C2,12F16B
117858,1177DC,117854
