{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A6511,-A6325,-A6392
-BDE01,-BDFDE,-BDEB0
-A6470,-A63DB,-A64E9
-BDF24,-BDE87,-BDF6B
-A63B2,-A63CE,-A619E
-BDCF3,-BDEB6,-BDE70
-A6237,-A61A0,-A631B
-BDD44,-BDCA1,-BDCC6
-A6192,-A61C3,-A63A5
-BDDCE,-BDB7A,-BDCE8
-A6263,-A620C,-A6209
-BDD0E,-BDD23,-BDD16
-A638B,-A636D,-A6276
-BDC15,-BDCB9,-BDCA7
-A6241,-A6252,-A6114
-BDDBE,-BDBCB,-BDDA8
-A6358,-A62B4,-A6249
-BDDFD,-BDBE6,-BDBDD
-A60F3,-A612A,-A644E
-BDC8E,-BDC5E,-BDE3D
-A6130,-A62C3,-A63A3
-BDC14,-BE077,-BDD98
-A75E6,-A75D8,-A7650
-BE8A8,-BE859,-BE823
-A6E95,-A6F93,-A6D27
-BE7F5,-BEA28,-BE914
-A6DB8,-A6E2F,-A6DFC
-BE90B,-BE8C0,-BE92D
-A6E83,-A6EF7,-A6DFD
-BE6FE,-BE899,-BE884
-A6E7D,-A6D9A,-A6D51
-BE8C4,-BE909,-BE995
-A6C71,-A6C24,-A6EA4
-BE90C,-BE616,-BE733
-A6E40,-A6B1F,-A6A9A
-BE61E,-BE429,-BE6DE
-A6C35,-A6B9C,-A6A97
-BE643,-BE5AB,-BE633
-A6A8B,-A69B9,-A6A52
-BE71A,-BE6F9,-BE76A
-A6DA8,-A69AB,-A6CA1
-BE5B3,-BE621,-BE87F
-A6B7D,-A6AB7,-A6C2E
-BE5B2,-BE769,-BE456
-A6AE1,-A6B6C,-A6BCB
-BE647,-BE93B,-BE3C1
-A6E33,-A6BD6,-A6B55
-BE544,-BE38C,-BE5CF
-A6A9C,-A6C17,-A6B5E
-BE5A3,-BE29B,-BE7A9
-A6C11,-A6C31,-A6AA6
