{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
C3424,C3303,C32BD
AB94A,AB8A1,AB922
C34CC,C349E,C36B0
ABA7E,ABA2F,AB7DD
C3635,C34BF,C34FB
AB9F8,AB858,ABA9B
C3501,C3453,C3520
AB861,ABA19,ABA0F
C3321,C3326,C3598
AB9B8,AB9A6,ABA1C
C3396,C34E5,C344C
AB937,AB9D5,AB90F
C3504,C341B,C33B2
AB8AC,ABB00,AB9A0
C35CA,C3463,C3502
AB867,ABA75,AB92C
C34EF,C36B4,C3635
ABB57,ABACF,ABAD4
C3604,C35DD,C33F4
ABB78,ABA4B,ABB18
C3510,C34FC,C34E9
ABAA8,ABC7B,ABB6B
C34CB,C337B,C3520
ABB6A,ABACB,ABBE1
C33BC,C357A,C34B4
ABB39,ABA89,AB96C
C36DD,C35ED,C37F0
ABBBE,ABB80,ABB0D
C351B,C334E,C3557
ABBEC,ABB04,ABA56
C34EF,C347D,C3319
ABAD0,AB9F2,ABB4A
C33E2,C35C1,C36D5
ABC13,ABCCB,ABBCF
C36C0,C3703,C358C
ABC08,ABBEC,ABB4D
C3602,C35E3,C366A
ABB41,ABA9A,ABB18
C34A8,C35D6,C3688
ABD18,ABB40,ABB9A
C342D,C35F4,C3674
ABD9D,ABB30,ABC5D
C3754,C34FB,C3641
ABB1E,ABB47,ABB81
C37B1,C33B3,C3657
ABCF3,ABC56,ABC87
C36FF,C3558,C34CC
ABC48,ABC64,ABCC3
C37FC,C3858,C3614
ABD5C,ABE5E,ABC02
C37DC,C3A46,C35C9
ABD99,ABCD1,ABD46
C3607,C38EB,C362A
ABCA3,ABC2A,ABDFA
C368A,C378C,C3560
ABAEF,ABCB4,ABBDC
C3598,C358C,C36BC
ABC04,AB8B0,ABB8D
C36B2,C35CE,C36AF
ABB8C,ABBEB,ABBC2
C3550,C3612,C370A
ABC04,ABBBA,ABDD3
C35DC,C3603,C37EE
ABF1B,ABCCF,ABD82
C38EC,C3818,C353B
ABDAC,ABD26,ABC75
C3607,C37B1,C3838
ABC49,ABC7C,ABBAE
C3866,C3B6B,C376C
ABD0A,ABD8C,ABD96
C3841,C386D,C351C
ABC2C,ABE42,ABCD2
C3771,C383D,C3837
ABD70,ABEC1,ABD3D
C38FD,C39B6,C37B4
ABC8C,ABDFD,ABD39
C368B,C366B,C3910
ABC1B,ABED2,ABCC1
C374F,C3912,C3742
ABDC5,ABDA8,ABD9B
C3887,C386B,C3772
ABBFB,ABC90,ABD07
C374C,C3811,C388C
ABEB9,ABEBB,ABD0A
C37CA,C37A0,C3957
ABE11,ABDD6,ABD4D
C371C,C379C,C3755
ABF4D,ABD38,ABEA3
C3981,C3866,C375F
ABCC9,ABD85,ABCE4
C3725,C3775,C3861
ABE38,ABCAD,ABB6E
C37BE,C36CC,C37BF
ABCB0,ABC30,ABC76
C36C1,C375F,C372F
ABD53,ABECD,ABDD5
C371E,C3967,C36C0
ABC1B,ABDF9,ABCDE
C385E,C37D2,C37D1
ABE29,ABF2A,ABE43
C3751,C379D,C3790
ABBB5,ABCFF,ABD49
C3871,C3947,C381C
ABEB6,ABEFB,ABDAC
C37FF,C3922,C3845
ABF50,ABE99,ABF88
C2E6C,C2D64,C2CD4
AC595,AC586,AC4CB
C3D85,C3EEF,C3E6B
AC523,AC554,AC420
C3E10,C3E3D,C3EBB
AC418,AC3AA,AC5CE
C4024,C4022,C40AA
