{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
7C42F,7C51A,7C42B
94032,93F87,93F19
7C3EF,7C35E,7C58D
93F65,94139,93EBB
7C482,7C5ED,7C75E
94025,94014,9422C
7C469,7C517,7C549
93EEB,93E7B,94040
7C62D,7C4A0,7C5DC
9412A,94130,940D0
7C5A5,7C65B,7C5F1
93FBB,93FDE,93FF1
7C6F7,7C687,7C6F0
93F0F,94219,94020
7C526,7C7FF,7C79D
93FC7,940CB,94071
7C734,7C689,7C7C3
94053,94322,941C8
7C850,7C7C2,7C730
941BA,94186,941C5
7C63A,7C6DE,7C5AA
92AEB,92DA7,92CC1
7BB61,7BAF9,7BAAA
93434,934FF,933AB
7BA34,7BA0B,7B977
9346D,935C1,93664
7BB0A,7BAC2,7B9BA
93490,93334,9341F
7B983,7B92F,7BB3B
93518,9320F,93682
7BA7A,7BB6E,7BB92
93676,936BF,93513
7BA89,7BBCB,7BC0B
934BB,93726,93764
7BB9E,7BA1E,7BB08
933B8,93541,93432
7BB70,7BBD6,7BB14
936F7,9388B,93716
7BAD4,7BCFF,7BB9B
9372A,93658,935C4
7BA78,7BA7A,7BA1B
93860,9380D,9358C
7BB69,7BB72,7B9F6
93789,9366E,93524
7BC94,7BBF1,7BAEC
936E9,935BD,93635
7BC82,7BA23,7BCCD
937B2,9367B,93645
7BC0D,7BD73,7BB4E
93777,935AB,93625
7BC68,7BBDD,7BCF4
9364A,936E3,9353B
7BCFB,7BBA7,7BCB5
935A7,9375E,937AD
7BC18,7BDB0,7BD55
935E7,9369A,93648
7BB41,7BCF2,7BD1C
935E1,93709,93737
7BC4F,7BE24,7BEC7
937E7,9387F,936AB
7BDCC,7BDB9,7BCF5
935EC,93A82,93822
