{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
49BB8,49AC1,49BC1
616A3,61621,615A1
49D12,49D42,49A6A
61744,61800,6174E
49CD1,49DC9,49D99
61718,61877,617DD
49B52,49BEF,49DB0
6164C,61676,616AA
49C09,49CA0,49B20
61440,61733,616A4
49ADC,49B59,49AF5
61685,618C9,6175D
49C12,49C30,49BFC
616E8,61715,616FE
49D94,49C1A,49B90
618DD,6176F,61725
49AF9,49CDD,49CC6
616FD,619F5,619CC
49C37,49E28,49DA5
615CE,61873,616F4
49D1E,49D58,49C79
61753,6168B,616DC
49CDD,49C70,49B42
61694,617AA,616BC
49B4B,49C90,49D16
61650,6169F,61670
49D6A,49D1D,49E0C
6133C,613D9,61607
497FD,49580,49581
6102E,60F71,6114A
4974F,4961D,4985C
6101C,611E5,6104F
495E8,49420,4974E
612A9,61245,61206
4963F,497EF,49725
613D5,6124E,613DD
49870,49895,4970A
6128C,611FA,610B9
497F5,49839,498AC
612F4,61380,611EF
498A9,498E7,496EE
61112,61156,61265
497B0,496F3,4951B
6146F,61277,613B1
497BA,497B2,49888
61212,61241,61175
497E2,49847,49972
610BE,61213,6108C
495D5,498ED,497C1
61350,61190,61192
4990F,498A8,49797
6130C,61140,61117
49BA2,498FB,49869
613A5,6100B,61385
49764,4974A,49777
61257,6133C,611BA
4973E,49795,495CF
61108,6126D,61228
49779,49806,498C4
611E5,611C5,61249
4988B,49A14,497F2
613B0,61395,6128D
49820,4982D,4974A
6127C,612C0,611B7
496B1,4986D,49779
6134C,6110E,61295
49924,4970A,498F3
614A6,612A8,611A6
499D1,4981E,49921
6125F,6130F,61389
49882,4988B,498AC
612EC,6164C,61345
499B9,49915,49A8F
6130B,61302,6155E
49801,49AE5,49744
6140F,61426,615BE
4995B,499DC,4992F
61335,612B3,612CA
4990C,4999A,498E0
613B0,61378,613D7
498DC,49971,49A0C
6118E,6133E,614BD
49A79,4980C,49954
614D0,613E0,6129F
49967,498ED,49A8A
612B1,6132B,613C2
49805,49871,498E5
610AA,61442,61303
4998F,49772,49801
611AE,6139C,6145B
499A5,498CD,49839
61357,61314,613A7
49764,499EC,49999
6141C,61205,6138E
49A61,4989F,497F1
61531,614B4,614BD
49912,4997B,498F3
61527,613CA,6157B
49C4D,49AFA,499FC
61361,614B1,613FA
4979A,49736,49676
613CB,6128E,61315
497CB,49A5B,499EE
6160F,61499,613ED
49881,49AEC,49964
613DA,6132A,6154A
49A69,49A40,49A31
61492,6175A,61501
4998B,49984,499AF
61285,61205,6140E
49A59,49981,49A18
614DF,614C7,616B8
49C2F,49ADC,49AC6
6141D,61364,61674
49ABE,49AA2,49AF2
614D6,615A0,6121E
499E5,49B77,49A21
6130E,61434,612E6
49802,499FC,498D6
615F3,613DA,61422
49A14,4993C,49986
6142F,61427,615C7
49AF8,499EF,49B55
61363,61440,6150D
498C8,49B06,49A78
61414,613C8,614D5
4974D,499A7,498DE
6134A,61363,61494
49979,49AE7,498A7
614CC,61392,613C2
49949,49A3A,49946
6124D,612C0,61405
49AA8,499CC,498C8
61546,6133C,61318
49A9E,4980D,4991C
61549,6135C,614C1
49A89,49879,49948
61720,614BC,614BB
49A3F,499A0,49962
613DF,6140B,613D3
49A0F,49B2A,49AD2
614D6,612E9,613CB
49A8E,49889,49B9D
61420,6149F,61432
49C08,49A64,49A4B
61475,613F6,6127E
49B72,49969,498F5
615B2,613B6,6156E
49CB8,49BAF,49B90
61673,6161E,615BF
49AC0,49A04,49961
6161F,613F5,613D5
49B64,49A85,49A12
613F5,6137E,61680
49A9F,49B01,49ACA
60865,6074C,606A2
49EC2,49FCF,4A07D
61B39,61B20,61AEA
4A0E9,4A234,4A1D0
61C81,61C18,61CE1
49F89,4A054,4A174
61B96,61CD2,61B97
4A28F,4A364,4A189
61DE5,61E28,61C88
4A27A,4A11C,4A15B
61C5D,61D37,61D8D
4A2F5,4A361,4A22B
61B52,61AB3,61C5E
4A1A8,4A1D4,4A164
61B3D,61C55,61A89
49F2D,4A116,4A014
61C75,61E6F,61D49
4A06E,4A143,4A177
61AEE,61B4A,619B6
49F84,4A05D,4A1B4
61AAA,61B31,61B50
4A1E0,4A1A9,4A1B2
61AC2,61999,619E5
4A0F8,4A0B4,4A1BE
61B61,61894,61B96
4A26F,4A154,4A1DE
61C77,61A0E,61B6E
4A324,49F5A,4A348
61C1C,61BFC,61B60
49F7B,4A0B5,4A1E6
61BDB,61D42,61C70
4A33B,4A2E9,4A413
61D03,61D0F,61BAB
4A339,4A321,4A2CC
61C41,61EE3,61B27
4A1E9,4A1D8,4A125
61D12,61BA9,61B68
4A206,4A2BE,4A056
61AD9,61AA5,61B00
4A015,4A141,4A30F
61C04,61A4D,61C1C
4A328,4A34D,4A1C7
61BF7,61C7A,61D59
4A1AF,4A202,4A4D1
61BE6,61CFE,61D55
4A42A,4A217,4A515
61CDA,61E1E,61D90
4A1EE,4A1AD,4A2D7
61F02,61DDC,61F0C
4A332,4A3CF,4A52C
61C63,61F1A,61E52
4A32A,4A3D3,4A36F
61F31,61D21,61E65
4A27B,4A222,4A3D9
61EA0,61C14,61BE2
4A3AB,4A2BE,4A3B6
61E17,61EA5,61E76
4A2BD,4A23D,4A2AE
61B9F,61C68,61BB9
4A313,4A410,4A269
61DCC,61E5C,61D73
4A265,4A327,4A2B2
61CF0,61C7F,61E4A
4A3E7,4A35D,4A231
61CE1,61D70,61D92
4A29F,4A3EB,4A5DF
61C9F,61C83,61C3D
4A218,4A2D4,4A332
61CB2,61E00,61C6E
4A538,4A1D4,4A1CC
61D1B,61C13,61EB6
4A2D4,4A238,4A38F
61DBE,61CE1,61DA2
4A32D,4A304,4A231
61F50,61E7B,61E99
4A249,4A295,4A2C3
61CEF,61BB3,61CCE
