{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-695A,-6897,-6A2B
-1E1C2,-1E31E,-1E236
-67F2,-681D,-67BB
-1E245,-1E243,-1E41A
-68E3,-687F,-6877
-1E2A6,-1E1ED,-1E2D4
-689F,-6960,-69DD
-1E2B0,-1E0F5,-1E130
-685D,-65D7,-6505
-1E1EB,-1E06B,-1E124
-66CD,-6467,-65CF
-1E0F5,-1E242,-1E12D
-6712,-66A6,-6633
-1E182,-1E1DB,-1E2EA
-686F,-64E8,-6638
-1E14D,-1E1DE,-1E2CE
-64EB,-67C6,-6822
-1E0E4,-1E0C1,-1E125
-71BB,-726C,-723C
-1DEE5,-1DF1B,-1DE7D
-6355,-61ED,-6358
-1DEC1,-1DF5C,-1DE43
-6441,-64C0,-63D5
-1DE83,-1DE3C,-1DD4E
-6283,-6321,-62F8
-1DBF6,-1DD37,-1E0A9
-6359,-6391,-62C8
-1DD27,-1DDF6,-1DEBD
-6364,-62AE,-62A4
-1DD0A,-1DD0D,-1DD43
-62F0,-6255,-60ED
-1DC6A,-1DCC7,-1DB46
-636E,-610F,-62EB
-1DBE1,-1DB8F,-1DCEA
-61CB,-6023,-60CB
-1DC8A,-1DCD6,-1DD93
-6208,-6178,-60BE
-1DD7A,-1DD32,-1DD15
-614E,-6320,-635C
-1DD1B,-1DC94,-1DC45
-6256,-607F,-61FF
-1DAB9,-1DC8C,-1DDB9
-62C7,-6006,-621D
-1DB84,-1DC58,-1DC2C
-6283,-6000,-60F2
-1DC22,-1DC85,-1DC20
-61D2,-5FE0,-617E
-1DC48,-1DBBC,-1DC96
-60C9,-61D3,-630C
-1DCAC,-1DAF1,-1DC19
-645B,-61EE,-6100
-1DC37,-1DEFC,-1DD42
-6467,-63A9,-631A
-1DEF5,-1DCEA,-1DD18
-6382,-6475,-61FA
-1DD40,-1DE88,-1DE7C
-63F0,-633D,-63C8
-1DC94,-1DE5E,-1DFF0
-6290,-625A,-6371
-1DDA0,-1DEED,-1DD94
-6386,-6371,-63A0
-1DC38,-1DE62,-1DD36
-639A,-632B,-6428
-1DE48,-1DE41,-1DF17
-633F,-618C,-6243
-1DE99,-1DD73,-1DC5F
-61D4,-600C,-60E2
-1DC6C,-1DCC6,-1DDC7
-62C8,-63D9,-6180
-1DCD7,-1DD16,-1DDE6
-6101,-612C,-618E
-1DD10,-1DD50,-1DD18
-6236,-610B,-60C4
-1DC86,-1DBB2,-1DB3F
-620C,-6200,-6208
-1DCCA,-1DC4E,-1DC5A
-6271,-6222,-60DB
-1DB4D,-1DA6C,-1DCB3
-6160,-5FCC,-6346
-1DD0D,-1DB46,-1DE1A
-6383,-628E,-6195
-1DB54,-1DC60,-1DC3F
-5F31,-5FE0,-60EA
-1DB32,-1DC52,-1DB11
-6167,-5FCB,-60B9
-1D9A0,-1D92F,-1DC48
-61D9,-61EA,-60B0
-1D9BF,-1DA08,-1DB44
-5EE8,-6147,-5FC4
-1D97D,-1DA3E,-1DC01
-6134,-60DB,-5FDE
-1DAC6,-1DB44,-1D9BD
-5E7E,-605F,-5FBF
-1D95D,-1D8BD,-1D7D3
-5EFA,-5F19,-5F16
-1D9E1,-1D91D,-1D91F
-5D2D,-5ED5,-5E89
-1DB7C,-1DB5D,-1D917
-5E99,-5DE6,-5D29
-1DAB5,-1DC02,-1DBEF
-6104,-632D,-6276
-1D9D7,-1DCFB,-1D994
-6010,-60D1,-609B
-1DA0B,-1DB38,-1DB3E
-6018,-6000,-5FC6
-1DBC4,-1DAA2,-1D9D4
-60F8,-61DF,-5EDD
-1D96E,-1DA75,-1D9F4
-60C5,-6078,-5F61
-1DA8A,-1DB21,-1DAB0
-6040,-5E3A,-5F67
-1D8CA,-1DB11,-1D984
-5E50,-5F52,-5DEE
-1DA07,-1D9BC,-1D8BF
-620E,-618F,-6155
-1DBF6,-1DC5C,-1DA5F
-5E86,-5F43,-5F4F
-1DB43,-1DBF6,-1DA5C
-6123,-611A,-5FBE
-1DC35,-1DB16,-1DBA0
-6033,-609C,-60CF
-1DB63,-1DB90,-1DC3B
-6162,-6142,-5F84
-1DC08,-1DAD0,-1DBF9
-6046,-613D,-5DA9
-1DC8F,-1DA6F,-1DA44
-617D,-6034,-6196
-1D9BD,-1DB6B,-1D96F
-60FF,-5F34,-5F49
-1D946,-1D93D,-1DAB8
-5EEC,-5E65,-5F86
-1DAFA,-1DB7C,-1DAC6
-612D,-5FCB,-61C4
-1DB28,-1D97E,-1DC38
-6040,-5FCF,-608E
-1DAB1,-1D985,-1DA8A
-5E13,-61C2,-5FA0
-1DA6B,-1D96B,-1DADB
-6041,-6106,-5F03
-1D954,-1D86F,-1D948
-606F,-60C1,-5F82
-1DACC,-1DA84,-1DA87
-602F,-5FA1,-5EA1
-1D976,-1D80C,-1D9A0
-5F68,-5FDC,-5EDC
-1DABB,-1D9AE,-1D828
-7457,-742D,-733F
-1DBBB,-1DDC5,-1DD96
-6363,-63F1,-61B6
-1DB2A,-1DBCD,-1DC63
-60FD,-61D3,-63E9
-1DDFD,-1DB5E,-1DBE2
-6356,-60B1,-5FFD
-1DC66,-1DB86,-1DD4B
-62FA,-61E9,-649E
-1DCB6,-1DC93,-1DD23
-6191,-6215,-630A
-1DC08,-1DC9E,-1DADA
-614A,-60E8,-6240
-1DCB7,-1D9EC,-1DC7A
-60B2,-5F56,-6088
-1DBF7,-1DA1C,-1DB2E
-5FEC,-5FB2,-5F32
-1DB5E,-1DBA4,-1DB4D
-5F98,-6157,-6143
-1DAA4,-1DAF2,-1DA92
-6278,-5E81,-615A
-1DD04,-1DB45,-1DB8B
-62D7,-6239,-6126
-1DCBB,-1DB6E,-1DA41
-62F3,-6040,-5F74
-1D95E,-1DA6D,-1DC48
-5ED7,-5F20,-5FFE
-1D9EF,-1DB16,-1D9A3
-606B,-6036,-60C2
-1DA7A,-1DB46,-1DB21
-60EF,-5F32,-6113
-1DA06,-1DCF6,-1DA68
-61CE,-638A,-6108
-1DB75,-1DD8A,-1DACA
-60D5,-6080,-60D3
-1DC14,-1DC5C,-1DCF8
-60ED,-60A0,-606E
-1DD9A,-1DCC7,-1DD19
-612E,-6223,-60FC
-1DB41,-1DB9F,-1DA96
-6071,-6046,-61F5
-1DA2A,-1DC50,-1DBE5
-620F,-6060,-6144
-1DC67,-1DBA9,-1DC59
-61E1,-600D,-5FA5
-1DA66,-1DB4E,-1DD3C
-61F5,-6358,-61BD
-1DBFC,-1DA38,-1DB68
-61DF,-607E,-6065
-1DBB7,-1DDAE,-1DD7F
-61F5,-6061,-61C2
-1DAE5,-1DB5C,-1D8B9
-6061,-6010,-6107
-1D916,-1DA87,-1DB0D
-5FDE,-614D,-5FD4
-1D885,-1D9F0,-1DA71
-5F7A,-60CD,-621D
-1DA47,-1DA0E,-1DBA7
-5FDB,-6061,-611A
-1DA56,-1D9A8,-1D96F
-6020,-5E0D,-5F49
-1D906,-1DADA,-1DBE8
-5F68,-6104,-601E
-1D92A,-1D853,-1D862
-5DE4,-5D88,-5D27
-1D9B9,-1D96C,-1D9B8
-5DE5,-5F26,-5EE1
-1D656,-1D8B4,-1D867
-605C,-5D1B,-5DD0
-1D6D1,-1D7D5,-1D76E
-5C91,-5E07,-5E42
-1D83C,-1D785,-1D853
-5E7C,-5E07,-5DD2
-1D97A,-1D7EB,-1D9A5
-5EDF,-5DB0,-5E81
-1D67B,-1D6BC,-1D7B3
-5E0E,-5C72,-5B2D
-1D665,-1D7EE,-1D72B
-5D2A,-5CA8,-5DDF
-1D8BB,-1D670,-1D8BD
-5CC3,-5C9E,-5DE9
-1D80A,-1D828,-1D94C
-5F2F,-5EF6,-5F67
-1D81C,-1D8EA,-1D817
-5FC3,-5EA3,-5E83
-1DB10,-1D864,-1D976
-5F68,-5F76,-5E09
-1D916,-1D842,-1D6F4
-5CF1,-5DCC,-5CB0
-1D6A5,-1D6D3,-1D874
-5E6F,-5B00,-5C98
-1D8DF,-1D70E,-1D71E
-5D76,-5B8F,-5C3B
-1D70F,-1D4C9,-1D5DF
-5D87,-5CC1,-5C74
-1D701,-1D7C9,-1D91E
-5D36,-5F61,-5DC1
-1DA58,-1DA97,-1D7DA
-5EAC,-5FD5,-60E0
-1DA6D,-1D947,-1D958
-5F5F,-5E3D,-5D6C
-1D971,-1D8F2,-1D8C6
-5DC6,-5E07,-5D86
-1D7B2,-1D860,-1D7FC
-5CCB,-5DD4,-5D77
-1D707,-1D8CC,-1D98E
-5DAA,-5DF0,-5F4C
-1D78F,-1D6A5,-1D6E1
-5D23,-5CE7,-5D5A
-1D7EF,-1D7EC,-1D65E
-5D20,-5DD3,-5C59
-1D80F,-1D5F7,-1D71B
-5D1D,-5BA9,-5BBC
-1D645,-1D8B2,-1D9B4
-5F6F,-5F8B,-60B3
-1D73A,-1D7AF,-1D8CF
-5D77,-5CD6,-5CB5
-1D655,-1D7D1,-1D996
-5ECA,-5C3D,-5E71
-1D884,-1D6F5,-1D9FC
-5F60,-5D30,-5D84
-1D6B7,-1D8EE,-1D908
-5E39,-5CE2,-5D40
-1D8C5,-1D74D,-1D760
-5DC9,-5C9C,-5B3D
-1D8D6,-1D6AF,-1D52D
-5DA1,-5D5D,-5E10
-1D8B5,-1D770,-1D725
-6832,-687C,-67DA
-1D388,-1D209,-1D551
-5945,-57BF,-593E
-1D27C,-1D386,-1D3DD
-58F0,-5888,-5665
-1D2C2,-1D15F,-1D31C
-5981,-586C,-58D3
-1D2E5,-1D28F,-1D2C3
-5950,-5836,-5918
-1D105,-1D3B2,-1D1C4
-58ED,-581D,-57D7
-1D16D,-1D22C,-1D1F5
-57A9,-5869,-5A52
-1D17D,-1D2CC,-1D355
-57B8,-574D,-5760
-1D2BC,-1D179,-1D2F7
-56C4,-5765,-5669
-1D1B2,-1D438,-1D370
-5959,-57E9,-5836
-1D32B,-1D483,-1D2BC
-58B4,-59B1,-57E8
-1D383,-1D2AB,-1D558
-5AC0,-5A75,-5986
-1D207,-1D24D,-1D2E6
-59FE,-5823,-57DA
-1D359,-1D2C0,-1D116
-573F,-5829,-5881
-1D0B4,-1D100,-1D1A6
-578D,-5781,-56D1
-1D15E,-1CFB2,-1D238
-56A2,-565C,-5552
-1D026,-1D00B,-1D15A
-59C6,-5998,-58F6
-1D201,-1D326,-1D2BF
-5A0D,-5979,-5A23
-1D1AE,-1D460,-1D357
-5B0A,-597C,-56F6
-1D4EB,-1D34E,-1D362
-5A53,-5B24,-5897
-1D348,-1D0B1,-1D404
-5849,-57A2,-571A
-1D19C,-1D14C,-1D25C
-56D2,-578D,-58DE
-1D2A6,-1D1E9,-1D32A
-579F,-5955,-591B
-1D0BB,-1D296,-1D29D
-57A8,-584E,-5953
-1D372,-1D39D,-1D20C
-570E,-5522,-56CA
-1D1B5,-1D1B8,-1D11E
-586F,-5894,-5830
-1D152,-1D083,-1D324
-5A36,-5970,-5837
-1D3F3,-1D377,-1D36D
-582A,-5894,-5947
-1D38F,-1D474,-1D42C
-5689,-5889,-5793
-1D07E,-1D154,-1D1D2
-599E,-568C,-57DA
-1D130,-1D10F,-1D2A7
-5737,-58E0,-593C
-1D43F,-1D07B,-1D1B4
-585C,-57AD,-5569
-1D0C6,-1D09C,-1D111
-545D,-528D,-5589
-1CEC5,-1CEC3,-1D08B
-53EB,-544C,-543D
-1CECA,-1D089,-1D0C7
-5428,-5596,-5504
-1CEFA,-1CEC0,-1CF41
-5643,-5452,-52B2
-1CEFD,-1CE93,-1CF3E
-54A6,-531F,-5436
-1CE5D,-1D02E,-1CE01
-54BA,-5450,-5447
-1CE7D,-1CE02,-1CE31
-537F,-52AD,-53EC
-1CF54,-1CEB7,-1CEDA
-543B,-552B,-52DE
-1CE03,-1CF11,-1D0DA
-5322,-5263,-5228
-1CFB6,-1CD15,-1CF29
-5598,-5490,-5457
-1CF14,-1D06A,-1CDD6
-5315,-53E9,-5465
-1CEB5,-1CE0B,-1CDC9
-547E,-54F2,-5575
-1CFBB,-1D104,-1CE19
-5495,-537C,-51A6
-1CD9F,-1CF8A,-1CF4F
-5375,-5272,-5283
-1CEE9,-1CD81,-1CCA9
-5374,-5330,-5237
-1CE30,-1CE3C,-1CE61
-5344,-53B8,-5431
-1CE9D,-1CE74,-1CD26
-565A,-549C,-5391
-1CE15,-1CFC2,-1CF21
-55DE,-561B,-5310
-1CE58,-1CC15,-1CDC7
-54C3,-54E4,-55B7
-1CDC2,-1D08F,-1CDF7
-566B,-5507,-5623
-1CF19,-1CECB,-1CD31
-5399,-51BE,-54CC
-1CD40,-1CEA5,-1CE53
-5321,-52C6,-53DC
-1CD68,-1CDCB,-1CE1B
-54A1,-5399,-5370
-1CF96,-1CF2E,-1CEDE
-52A8,-53DC,-529F
-1CBEE,-1CDB1,-1CBE5
-52EB,-5420,-511B
-1CF12,-1CDD6,-1CDCA
-5388,-545F,-53E9
-1CCB5,-1CFC6,-1CE87
-5227,-5367,-52B8
-1CE5F,-1CEFB,-1CFE7
-5528,-530E,-53F4
-1CB53,-1CC60,-1CD1E
-5461,-533D,-533E
-1CD40,-1CDA5,-1CD66
-52A4,-529A,-554C
-1CCBF,-1D043,-1CE64
-53A5,-5455,-5205
-1CDC6,-1CDB2,-1CE3B
-5388,-52E6,-5310
-1CB87,-1CD16,-1CE55
-558D,-5444,-53F8
-1CA5E,-1CA8D,-1CB7D
-5110,-525B,-4FA1
-1CABF,-1CB9A,-1C966
-504C,-4E91,-5058
-1CA58,-1CA99,-1CA9E
-5150,-4E47,-508B
-1CB82,-1CA06,-1CAE9
-4F93,-4F77,-5001
-1C9F3,-1CA24,-1CB2D
-509F,-50A1,-4FD1
-1C9BE,-1CB10,-1C9AD
-5031,-5028,-51B7
-1C9C9,-1CA92,-1CAC1
-501E,-5104,-4E85
-1C68B,-1C82E,-1C985
-4FB9,-4D86,-4E20
-1CA76,-1C952,-1C9E3
-4EDA,-4F19,-4F89
-1CB06,-1CBF7,-1C915
-500E,-4D3F,-4FA9
-1C90F,-1C9B7,-1C9EB
-4E18,-5120,-4E98
-1CB41,-1CA81,-1CAC0
-4D0D,-5089,-4FA3
-1CA5C,-1C96E,-1CAC7
-4ED5,-4E30,-4E26
-1C912,-1C9FE,-1CBB1
-4E76,-4E8E,-4FA8
-1C939,-1C8DD,-1C99B
-4D7F,-4F4E,-4EDC
-1C864,-1C80B,-1C81D
-4EA6,-4F93,-51AD
-1CAF5,-1CB48,-1C9FD
-504C,-50CF,-5119
-1C9BD,-1CC24,-1CB79
-512F,-51A4,-4F94
-1C81D,-1CA1B,-1C90A
-5002,-4EFE,-4F06
-1C9F6,-1C976,-1C88A
-4E65,-4D0E,-5091
-1C949,-1CB8F,-1C992
-4FAF,-4FF7,-4E68
-1CBCD,-1CA73,-1CAED
-4F4D,-50AC,-5340
-1CA92,-1CB40,-1CB16
-4FCE,-4EC6,-5009
-1CB21,-1CBC7,-1CAE2
-4CB6,-4F46,-4ECF
-1C9F0,-1CA84,-1C98E
-4D83,-4F8A,-4FC4
-1CA7C,-1CA05,-1CA92
-4FCC,-4EA6,-4F6D
-1C9AD,-1CA29,-1CA22
-5206,-4F41,-4EB6
-1CA75,-1C95A,-1C98A
-4EB2,-4F2B,-5027
-1C8A1,-1C90D,-1C9A8
-4EE6,-4F8E,-5008
-1CB07,-1CAAC,-1CA85
-4ECA,-4E98,-4F23
-1C92A,-1C7B9,-1C91C
-4F8C,-4F8A,-4FE2
-1CA85,-1CAF7,-1C885
-4CC6,-4C6D,-4BBD
-1C87B,-1C8B2,-1C7D4
-4C89,-4D12,-4D46
-1C536,-1C6B7,-1C86B
-4D5C,-4B82,-4BB2
-1C797,-1C6FB,-1C5B2
-4CAD,-4C6E,-4DFF
-1C76F,-1C8AF,-1C7A2
-4D2F,-4B53,-49CA
-1C524,-1C566,-1C766
-4CD3,-4BE8,-4D12
-1C6D4,-1C5B9,-1C829
-4D22,-4A7A,-4B18
-1C590,-1C57F,-1C69A
-4AB6,-4BD2,-4BB8
-1C6BA,-1C660,-1C641
-49C6,-49C6,-4A33
-1C3F3,-1C65E,-1C4FB
-4B22,-4AC1,-4CA7
-1C5D1,-1C62B,-1C5DC
-4ACC,-4C2E,-4C6C
-1C74C,-1C689,-1C6E4
-4B99,-4BFA,-4C1C
-1C72B,-1C788,-1C64D
-4C33,-4B63,-4C5F
-1C5C4,-1C842,-1C794
-4BE3,-4B6D,-4CC2
-1C59D,-1C768,-1C6F1
-4B3E,-4B7D,-4D64
-1C407,-1C475,-1C2F3
-4A6C,-4B09,-4A63
-1C4FB,-1C5E0,-1C4AD
-4EAA,-4BE6,-4DBF
-1C63E,-1C7CC,-1C742
-4D13,-4B50,-4D06
-1C77F,-1C8B6,-1C840
-4DA5,-4C64,-4BA2
-1C5D6,-1C662,-1C7FD
-4DCE,-4D3F,-4C8B
-1C685,-1C46E,-1C66D
-4D24,-4E7C,-4E66
-1C606,-1C8F5,-1C836
-4BED,-4C3F,-4D00
-1C68E,-1C767,-1C709
-4B10,-4BD3,-4A19
-1C4FD,-1C5F2,-1C793
-4D0F,-4BBB,-4CEC
-1C625,-1C4A9,-1C71A
-499F,-4A81,-4C30
-1C661,-1C66C,-1C822
-4C5C,-4B24,-4C64
-1C6DC,-1C804,-1C5C1
-4CBB,-4DC3,-4DB1
-1C56F,-1C7CC,-1C700
-4D90,-4E30,-4D1A
-1C8F2,-1C8D5,-1C7D5
-4E98,-4EA9,-4CF0
-1C72F,-1C8CF,-1C69B
-4BA1,-4F2E,-4E11
-1C641,-1C7FF,-1C73C
-4C97,-4CC5,-4CBC
-1C8BA,-1C6B2,-1C801
-4BA6,-4DCF,-4D76
-1C69D,-1C92A,-1C801
-579A,-57F9,-5603
-1C336,-1C2D0,-1C3B9
-492B,-4973,-49C0
-1C19A,-1C1DC,-1C3A7
-4763,-479E,-490B
-1C382,-1C39D,-1C411
-49B8,-49F7,-4970
-1C18D,-1C334,-1C1B6
-48C7,-4731,-4805
-1C2FA,-1C419,-1C0E8
-4A5B,-4861,-47F6
-1C28D,-1C2F8,-1C262
-477A,-478F,-48E2
-1C165,-1C21E,-1C2FE
-4851,-4796,-46EC
-1C040,-1C186,-1C166
-4787,-46DA,-471D
-1C141,-1C056,-1C3E5
-4809,-477A,-48A2
-1C158,-1C28F,-1C28F
-4862,-4911,-48C7
-1C39C,-1C373,-1C43D
-4927,-49BE,-479F
-1C18B,-1C349,-1C2D5
-48B4,-4907,-4714
-1C282,-1C272,-1C319
-4852,-4871,-47C4
-1C358,-1C21C,-1C188
-4867,-4680,-44D8
-1C196,-1C1BE,-1C165
-4609,-44EC,-4710
-1BFD8,-1C1DE,-1C22E
-48AD,-493C,-48D1
-1C472,-1C408,-1C30B
-47AE,-470D,-48BA
-1C2D2,-1C1AF,-1C3FB
-4909,-4A03,-498E
-1C279,-1C2A5,-1C2D7
-4945,-4927,-496D
-1C45B,-1C3DA,-1C2B5
-48B0,-47A9,-4763
-1C10C,-1C17C,-1C0FB
-4618,-4940,-481C
-1C338,-1C29E,-1C44D
-48FC,-47FE,-47B3
-1C1E7,-1C3C6,-1C119
-4840,-4865,-4897
-1C3F6,-1BFF5,-1C26B
-467E,-46E3,-46CD
-1C36E,-1C51E,-1C289
-4ABB,-49A0,-48C2
-1C232,-1C236,-1C0AD
-4727,-46CE,-4875
-1C396,-1C3A5,-1C425
-4A18,-497A,-4818
-1C2C9,-1C3B8,-1C13C
-46F2,-476E,-4598
-1C430,-1C3A4,-1C25F
-45D2,-4537,-46EA
-1C22F,-1C19F,-1C19E
-4723,-4580,-46D8
-1C357,-1C17A,-1C24E
-46D4,-4667,-4545
-1C13F,-1C04C,-1C13F
-4474,-4500,-458B
-1BE07,-1BF0A,-1C020
-452B,-460E,-4500
-1BCA8,-1BFC1,-1BFC8
-435D,-446B,-44A7
-1BEFF,-1BF16,-1C0CE
-473A,-43C4,-4565
-1BF1B,-1BFF8,-1BF75
-4451,-45F6,-4449
-1BF37,-1BEDD,-1BF6F
-4475,-44C8,-4632
-1C068,-1C0C1,-1BF59
-455D,-454C,-45C0
-1BF2E,-1BEB1,-1BECE
-4474,-4532,-4603
-1BF90,-1BFFB,-1C061
-43A6,-45BB,-4393
-1C23C,-1C068,-1C07A
-455F,-44FE,-45B6
-1C129,-1C06E,-1C11F
-446A,-4541,-43A7
-1BDBD,-1BDD4,-1BF2E
-4432,-41FD,-4290
-1BD1B,-1BFB6,-1BEEC
-42BC,-436D,-430A
-1BE6B,-1BE11,-1BEA0
-45D8,-431E,-44EC
-1BECD,-1BCB6,-1BE9D
-4507,-4358,-4441
-1BDC0,-1BE52,-1BFAD
-42F9,-4324,-4363
-1BEFC,-1BF13,-1BE89
-4506,-4710,-4631
-1BF7A,-1C14C,-1C07E
-44FF,-4651,-4620
-1BE82,-1BF48,-1C17E
-4234,-4401,-445E
-1BB9F,-1BECA,-1BF85
-439B,-444B,-441C
-1BE94,-1BCD9,-1BF3E
-44FE,-4281,-4398
-1BE9A,-1BF81,-1BFC0
-44C6,-4608,-4554
-1BEDD,-1BE92,-1BFB3
-459A,-446E,-44EB
-1BF11,-1BEDF,-1BE9A
-4463,-43B8,-456C
-1BEBF,-1C049,-1C00B
-41EC,-42FC,-4503
-1BFF4,-1C055,-1C0DB
-4574,-46B8,-466D
-1BF9C,-1C03D,-1C036
-450F,-4545,-45B1
-1C2B1,-1C034,-1BEB6
-45D4,-43B4,-44E0
-1BEB0,-1C0D3,-1C190
-449D,-4455,-44A5
-1BE1F,-1BFBD,-1BFD4
-4268,-44F5,-453C
-1C05A,-1BF9D,-1BF28
-43EE,-43ED,-43FF
-1BDD9,-1BF0A,-1BFC3
-42E1,-437F,-464A
-1BC3F,-1BEF8,-1BF94
-57C7,-55C0,-56D1
-1BEFF,-1C01C,-1C28B
-4790,-4557,-465E
-1C1BC,-1C098,-1C069
-4455,-44AB,-44D6
-1C21C,-1C0C3,-1BE31
-4929,-4695,-454D
-1C05A,-1C0F5,-1C08E
-4696,-45EB,-44CE
-1BF2C,-1BEA5,-1C088
-44A7,-434C,-4541
-1BEDC,-1C08F,-1C139
-432E,-460A,-45D3
-1BE1E,-1BF32,-1BDD9
-454B,-4422,-4688
-1C11F,-1BF07,-1BFF3
-448A,-458F,-4570
-1C011,-1BFBA,-1C3B7
-45E6,-45A9,-4511
-1C17F,-1BFFB,-1C0C0
-4558,-4566,-4616
-1C01F,-1C12E,-1BED7
-45A1,-464A,-48B6
-1C15B,-1C0A3,-1C132
-4657,-47C3,-457C
-1C080,-1C0E6,-1C012
-4606,-44D2,-455E
-1BE0E,-1BF7C,-1C0FE
-455A,-43D0,-43F4
-1BDCD,-1BF07,-1C00A
-46D5,-452C,-4485
-1BEFB,-1C012,-1BD12
-4793,-45D7,-4727
-1BFA6,-1C1C9,-1BF9D
-4953,-45F6,-47C1
-1BED3,-1C033,-1C232
-482A,-45D6,-48C5
-1C0E7,-1C1EB,-1C18C
-4696,-476C,-4525
-1C125,-1C045,-1C1B0
-4607,-4809,-45C0
-1C007,-1C0DB,-1C136
-47BE,-46BB,-4762
-1C15C,-1C068,-1C006
-44D7,-42C6,-465C
-1BFCD,-1BD85,-1BDBA
-44AB,-4576,-45BE
-1BFDD,-1BF08,-1C06F
-433B,-4504,-450D
-1BEC2,-1C0E6,-1C104
-4641,-453B,-44B0
-1BDCE,-1C025,-1BFAD
-4490,-4599,-450F
-1BF57,-1C01F,-1C05D
-44FD,-45DB,-4714
-1C0DF,-1C09A,-1BFA4
-4501,-441C,-42F8
-1BFFD,-1BF11,-1C1D6
-4335,-4533,-454C
-1BF49,-1BF5D,-1BEA6
-45B4,-441C,-44A7
-1C004,-1BF88,-1C107
-4427,-449D,-43F2
-1C079,-1BE87,-1BE51
-42C1,-4270,-413A
-1BBE3,-1BC66,-1BDA6
-4450,-434D,-4296
-1BCF5,-1BD27,-1BD63
-436F,-41B6,-439A
-1BCF8,-1BC6C,-1BCF1
-431B,-4392,-444B
-1BECF,-1BB4C,-1BD4C
-427D,-4338,-43C3
-1BDB3,-1BE3B,-1BD91
-443D,-4329,-4282
-1BEAA,-1BD1A,-1BCE1
-42E2,-4208,-43E6
-1BAE4,-1BC86,-1BBD9
-4327,-42BD,-4165
-1BC7B,-1BB10,-1BBB5
-424C,-41DF,-4286
-1BBC1,-1BB95,-1BD64
-4256,-42B1,-42E1
-1BB98,-1BC99,-1BE5D
-423B,-43C0,-4268
-1BCE8,-1BDB5,-1BE8D
-4396,-4282,-410B
-1BDAC,-1BAF4,-1BCCD
-406E,-41C2,-41C3
-1BC8C,-1BB2E,-1BCEC
-41D1,-3FEC,-41BD
-1BBC4,-1BDF2,-1BC21
-40E8,-4182,-411F
-1BBFC,-1BD01,-1BB0B
-407E,-4194,-4157
-1B97A,-1BA14,-1BCA1
-430F,-432E,-42FD
-1BC71,-1BF0B,-1BDCA
-4080,-410C,-4307
-1BB97,-1BDF7,-1BDAB
-4182,-4313,-4228
-1BCC9,-1BB38,-1BB1C
-4238,-40B8,-3FB2
-1BB71,-1B92F,-1BB82
-3FDE,-40A2,-4162
-1BC3D,-1BD41,-1BA4F
-3F47,-415F,-420D
-1BB6C,-1BD6D,-1BBA9
-4212,-41C7,-422B
-1BEB0,-1BCBB,-1BCD8
-4205,-418F,-3FE5
-1BC40,-1BC5A,-1BBEC
-4077,-3FEB,-40B9
-1BC85,-1BD18,-1BB9A
-43B1,-4113,-40EB
-1BC5B,-1BEFD,-1BC9A
-42F6,-438F,-41B3
-1BB39,-1BA7D,-1BC57
-4280,-4045,-41CD
-1BB00,-1BA9C,-1BA70
-3F36,-3FB5,-3FBE
-1BA8C,-1BA54,-1BB17
-40B1,-4113,-42CF
-1BAD5,-1BB0A,-1BC5B
-4137,-3F13,-4149
-1BA82,-1BAF3,-1BBAA
-3FD0,-42A2,-4239
-1BCFF,-1BB0E,-1BB64
-497E,-4A2C,-49DF
-1B78E,-1B8A8,-1B788
-3D55,-3E0E,-3EC6
-1B772,-1B76B,-1B8A1
-3E53,-3D4B,-3F5F
-1B78A,-1B678,-1B6C3
-3C94,-3DD0,-3E03
-1B6B5,-1B8AF,-1B762
-3BE3,-3C8D,-3C64
-1B5F5,-1B7E1,-1B832
-3E91,-3D34,-3D6C
-1B6E3,-1B79C,-1B996
-3E2A,-3D73,-3C6D
-1B77B,-1B7FE,-1B79A
-3D0C,-3F06,-3C87
-1B63D,-1B6D8,-1B7B8
-3AEB,-3DCB,-3C80
-1B6B2,-1B89B,-1B7A7
-3D7A,-3F8C,-3CF9
-1B603,-1B768,-1B6AA
-3E0C,-3D1F,-3D07
-1B8B5,-1B7CC,-1B7E8
-3D72,-3B33,-3C2D
-1B5E3,-1B7C4,-1B541
-39A9,-3A9A,-3AC9
-1B592,-1B71B,-1B769
-3D0E,-3C8F,-3CF4
-1B7BE,-1B6DE,-1B632
-3C77,-3B07,-3B94
-1B572,-1B68F,-1B6D0
-3ABB,-3B65,-3BE9
-1B6DC,-1B4D3,-1B61F
-3C80,-3BF1,-3D50
-1B904,-1B850,-1B6F1
-3C6F,-3E7F,-3C55
-1B75E,-1B64D,-1B76D
-3E27,-3F99,-3D29
-1B7A5,-1B7AC,-1B829
-3D1A,-3DD0,-3FFF
-1B869,-1B7F2,-1B764
-3D59,-3DA7,-3A91
-1B86C,-1B746,-1B697
-3E16,-3EA9,-3F39
-1B980,-1B709,-1B842
-3D25,-3DF6,-3DF1
-1B8F3,-1B8FD,-1B875
-3C07,-3D02,-3DB8
-1B5D3,-1B71A,-1B744
-3D8E,-3BCD,-3C71
-1B9FC,-1B8D8,-1B6D4
