{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-150C9,-1534B,-15177
27F7,28A7,2852
-15125,-152F9,-152FC
2709,27DF,281B
-153F0,-1536F,-153D1
2727,2837,2531
-152B4,-15228,-1523F
2896,26D3,2752
-15123,-15177,-15404
25C6,26DE,274B
-150AA,-150F8,-15086
28B8,29CE,288B
-15246,-15296,-153D7
27A0,27C0,2729
-1533F,-15285,-15223
27B3,2795,2819
-151C2,-1521D,-15130
2816,2943,2A67
-15296,-15084,-151D8
2A3B,2B4C,2B1A
-14F2D,-14CAA,-14EDA
2A30,2A4F,292F
-14E0F,-15005,-14ECD
2BAA,298B,2AD6
-14D25,-14FBF,-14EB9
2A5E,2C5F,28C3
-14F4F,-14DEE,-14EC5
2C9E,2C57,29DD
-14DA3,-14E28,-14E61
2BA8,2AA1,2BE1
-14E23,-14DF6,-14CBE
2BD5,2C7D,2C92
-14DF7,-14D97,-14EF2
2D28,2C99,2BAB
-14D3E,-14E79,-14E92
2B09,2D05,2CF3
-1508D,-150F8,-14ED1
2936,2A05,2AD4
-14F8B,-14FAC,-14EFF
2D62,2B39,2BAF
-14E33,-14DBF,-14F6C
2A15,2B47,29C9
-14ED0,-14E9E,-15020
2B42,2A87,2A7C
-14DE5,-14E0C,-14D73
2BAD,2C69,2BB2
-14E57,-14F28,-14E3A
2ADC,2B86,2DA0
-14E5A,-14DD6,-14F0E
2D81,2D04,2BAB
-14D4D,-14D76,-14DD1
2BF8,2BB2,2C02
-14FF8,-14F4E,-1513E
2A26,28A6,28E2
-1505F,-14FD4,-14EE9
2C01,2B58,2995
-14E9D,-15048,-151A8
28B5,2B64,291F
-1507A,-1514A,-15015
2966,292C,2936
-14ECC,-15038,-15266
2810,2886,2793
-151ED,-150E9,-15142
29D9,2C2E,2A38
-14FDF,-1501C,-1513C
2A15,2ADF,2A37
-14F6B,-14FA1,-14F72
2A71,2A2E,2A54
-15084,-15156,-15055
2AF7,2963,2B22
-15082,-15105,-14F97
2B13,2953,2AE1
-1506B,-14FD4,-14F8C
2C8D,2B71,2C85
-15081,-14E42,-1501A
2CC7,2B23,2A3A
-14DD6,-14D30,-14F57
2D4E,2CD3,2BD2
-14E17,-14E01,-14EB8
2C6D,2B35,2B60
-14EFC,-14FA5,-14F22
2B06,2AE8,2CA6
-14DDD,-14FAB,-14E88
1EB0,201F,2246
-14B7C,-14B77,-14AFD
2F22,3001,2FB8
-14B1F,-14ABB,-14B38
3155,30BC,2E32
-14C8B,-149DA,-14B4C
2EB6,3125,3132
-149CB,-14ACE,-14B53
306B,307E,3068
-1488F,-14A31,-148E2
2D98,2F7C,2DD9
-14A94,-14BF4,-14AEB
2D90,2E59,2E5F
-14AA5,-14A59,-14842
3040,2F0F,316A
-1495F,-147DC,-14856
30E0,317F,3188
-14A2A,-14D23,-14BF2
2D45,314E,2FC3
-148DD,-14988,-14A75
2F86,31F1,3149
-148CB,-1498B,-1491A
3076,324E,338F
-149CD,-1499D,-14824
2FE5,3094,2E9C
-14975,-14A1F,-149CE
30FB,2F4E,3000
-14980,-14915,-1496F
2F6C,3254,3185
-148D6,-1498C,-14912
3094,31CA,3100
-146ED,-147CB,-149DD
2F03,2FE1,303F
-14B8E,-14BB6,-14ACC
2F00,3020,2EF2
-14945,-1499C,-14B0A
3111,3134,2FD2
-149CF,-148F4,-14A94
2FFA,3075,2E7E
-1487F,-14990,-14C2D
2F1B,2F7B,2ED7
-14BCE,-149D6,-14B62
2D8C,309A,3144
-148E4,-148EF,-149F1
2F72,3060,2DD4
-14BDC,-14A9C,-147B1
2E26,2FEC,3020
-148E7,-1488F,-14907
318E,33E9,3065
