{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
22EEE8,22EEDE,22EECD
217439,2174FC,217596
22ED72,22EE0D,22EFAF
217360,21749A,217319
22EEFC,22EFA5,22EE77
21727C,2174B4,21737A
22EB9E,22EEAC,22EDCD
2173BE,2173D3,21738B
22F107,22EEC0,22EF2C
21743E,2174EB,21764D
22EC69,22EF43,22F01E
2174E0,217449,2173CA
22EDC2,22EE90,22EC43
2174B1,2172A2,21753C
22EDA7,22EDEF,22EF37
217490,2173CD,2173AE
22EF8E,22EE5C,22EE64
2173D5,217393,2174A4
22EEEA,22EE49,22EEA8
217368,21735A,2171FF
22EDB8,22ED3A,22EDAD
217456,2173FF,21729D
22EDE1,22ED54,22EE30
21721A,217213,217349
22FB64,22F9FB,22FA1B
218541,218644,21860C
22FE5A,22FE75,22FDD1
218564,218473,218439
22FF77,230013,22FFF9
2185AE,218470,21851E
22FF1D,22FF2A,22FD6A
2183AC,21857C,21845F
22FE34,22FDBD,22FE85
218325,2182F5,218424
22FE82,22FE00,22FEBE
2184D6,218498,2183AD
22FE52,22FDE6,22FFD3
21838D,2182ED,21857B
22FD24,22FD88,22FDB8
218365,2182BD,218346
22FDCB,22FC88,22FD82
21849C,218387,2182EA
230008,22FF2B,22FE2C
218410,218279,2184A9
22FDF8,22FD93,22FC62
2183A4,218218,218217
22FD91,22FE3D,22FE4D
218253,218234,2181FB
22FD25,22FD69,22FD23
218271,2183F2,218278
22FBD4,22FB09,22FC90
218285,218148,21827F
22FCB6,22FCCB,22FC99
218136,2181B6,218130
22FBD3,22FC7F,22FE97
2181E7,218026,218165
22FAF4,22FC56,22FC37
218375,218449,2184A0
22FE51,22FF77,22FE74
218498,2184DF,218406
22FDC4,22FE74,22FD40
218173,218466,218395
22FD59,22FF36,22FD7F
2181F8,218271,218437
22FD83,22FEFF,22FD07
21842B,2182DD,2183C6
22FDBA,22FDA0,22FD86
21825A,21810D,21839F
22FB95,22FCDA,22FCE4
218348,21823D,218318
22FD34,22FC15,22FDAA
2183EB,21824F,218466
22FCF6,22FDF1,22FC80
218289,21843B,2181C8
22FCA3,22FC6E,22FB85
218255,2183CE,218237
22FCCE,22FD76,22FC03
2182A9,2182DC,2180FD
22FC44,22FBDF,22FD14
218296,2180EF,218133
22FC06,22FBF6,22FCB8
218203,218145,21805E
22FC6C,22FA87,22FC9B
218186,218158,2180E1
22FD5E,22FD98,22FBAB
2180A2,218090,2181C4
22FA97,22FBD9,22FB0B
217E53,2182BD,21818A
22FB39,22FA28,22FBCB
217EEC,217FD6,218050
22F9D7,22F767,22F7F1
217D6C,217EEC,217F16
22F9F1,22F82E,22F8B7
217EE2,218025,217CE5
22F823,22F801,22FA25
217F4D,217FDE,218035
22F968,22F922,22FB03
217FAD,217D5C,217F02
22F9C4,22F903,22FAB5
21808B,218014,217E49
22F963,22FA57,22FA85
217FBA,217EB7,217F26
22F8FA,22F841,22F6FB
217DD1,217E10,217D95
22F792,22FA25,22FA83
217F7B,217E4F,217E36
22F70E,22F75D,22F747
217EFE,217C25,217CDB
22F881,22FA12,22F9E6
21800C,217EC2,217E1F
22F76B,22F7AD,22F9C3
217D0F,217CF6,217DCF
22F71B,22F9A4,22F5F8
217D8F,217E11,217D45
