{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
11DE25,11DE5C,11DC10
10622C,10611D,1063BE
11DCEF,11DE70,11DBAD
106256,1062F6,1060B8
11DED2,11DEED,11DC71
1063B6,10618B,10621C
11DC10,11DC9F,11DF04
106214,106262,10629E
11DD79,11DCD0,11DCC6
106314,1062F4,106256
11DD67,11DC76,11DD64
10633A,10622C,106308
11DAC5,11DBF0,11DEB7
105F7A,105F19,106091
11D87D,11DAB8,11D8DD
105FF2,105F8A,105EED
11DAEC,11DA50,11DAEC
1061CA,10602F,106066
11DA28,11DB7F,11DA65
10606F,106006,105FFD
11DAC5,11DA27,11DBE5
10621A,1060C6,10613E
11DC35,11DDD2,11DC36
106234,106148,10615D
11DC15,11DB3A,11DB59
106176,10608F,106298
11DA86,11DA3C,11DBD9
1061A4,1061F7,106048
11DD7B,11DCCB,11DBDE
1061D2,106042,106230
11DAA5,11DB76,11DB5B
10614D,106164,1060B3
11DA96,11DC1B,11DABF
106038,106021,105ECE
11DC1A,11DBE7,11DCA2
106084,10616E,106111
11DBDF,11DC26,11DD49
106251,106259,1061F8
11DC62,11DBA2,11DD28
10642E,106346,10604B
11DD57,11DD78,11DD92
10627D,106252,1063A8
11DE64,11DC60,11DDD4
1061A9,106338,1061F3
11DD50,11DC6B,11DC77
1062BC,106335,10630C
11DCF0,11DD43,11DDE3
106295,1062B4,1064C2
11DDB2,11DE45,11DD91
106481,1062B4,106437
11DE47,11DEC8,11DD54
10642D,106618,1064CA
11DDCF,11DEF8,11DF0A
1065D3,10655C,106327
11DD91,11DF20,11DD32
106443,10620D,106562
11DF1C,11DFD5,11DF2B
106490,106511,10639F
11DE11,11DF43,11DF60
1063E8,1064BB,106547
11DFCF,11E08C,11E030
106486,1065DC,106537
11DD8C,11E07B,11DE49
106424,1063A5,10642D
11DF70,11E025,11E0D2
1066B9,106527,106475
11DF8D,11E031,11E01F
106549,1066B1,1065C1
11E1FC,11DEF0,11E1E7
106850,106648,1065A2
11DF1A,11DF72,11E067
106605,106788,1064AC
11E029,11DEAA,11E055
10668C,106555,10662C
11E040,11E1F9,11DEE1
10666E,106633,1065C6
11D0CC,11D410,11D295
1065FD,106368,1064BE
11DEBF,11DF8F,11E093
1063AC,106517,1065BD
11E00B,11E1F2,11E077
1064C3,10643A,106705
11DF87,11DF43,11E0E8
1064F3,10646D,106645
11E0B8,11DFD4,11DF19
1064E7,10650A,106513
11E05D,11DFEE,11DCCE
106797,1064BA,106560
11E032,11E158,11E207
106804,106829,1065FD
11E09E,11E1AC,11E058
10679C,106773,1065BE
11E1AD,11E0BB,11E2E7
106778,106751,10649B
11E030,11DF63,11E11F
10685A,1067E0,1067D7
11E2D1,11E0F0,11E02B
106678,1067CC,106708
11E1A9,11E253,11E2EE
1066EF,1065FA,1066E0
11E1E2,11E258,11E1A3
106776,1067A0,106774
11E116,11E344,11E26E
106743,1067C6,1067AA
11E27E,11E266,11E299
1068C5,106851,1068AC
11E1E8,11E3AF,11E370
10686D,10696C,1067C5
11E18E,11E1B5,11E3A3
1067FA,106A11,106A48
11E42D,11E404,11E3B6
1069A3,106942,1069BA
11E4AE,11E43C,11E436
1069DD,1068A5,106961
11E2F4,11E37A,11E216
1068FD,10684A,1068F6
11E562,11E2FF,11E418
10691B,106A38,106A1D
11E4AB,11E3E8,11E326
106994,106ADB,106AB5
11E5CC,11E61B,11E626
1069A0,106AA2,1069E9
11E4C4,11E3EA,11E3D3
106A3A,106943,106947
11E3DC,11E4BB,11E43F
10696D,106A94,106AAC
11E57A,11E4BA,11E85D
106B7C,106BC3,106A0B
11E51B,11E4B7,11E507
106A80,1068DB,106C2F
11E466,11E58B,11E50F
