{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
6AD2A,6AF48,6AEEC
828FC,82957,826C5
6AE4E,6AFD5,6AFC3
82927,82AD9,8299E
6B0E3,6AEB5,6AF9A
82B07,8298E,82B86
6B14E,6B06F,6AFA5
82A73,82C3E,82C00
6B04F,6AF88,6AF2D
828DB,8294B,82A37
6B085,6B09D,6B08D
82A26,829B0,82A23
6AEA1,6ADE1,6B085
8283C,8286E,82959
6AFAE,6AE04,6AFDD
829E5,829C0,8285E
6AEA0,6ADF9,6AFF1
82A11,82A17,828E2
6AFBE,6B06C,6B184
82B44,8295B,82ACE
6AF4E,6AFC4,6AF64
82B51,82A05,8284A
6B055,6AE40,6B0DC
82813,82977,82883
6B0D5,6AFD3,6AE41
829EA,82A06,82B82
6AFB9,6AEC2,6B24E
82C2F,82BAC,82B32
6B13D,6AF4B,6B0B6
829A5,82920,82851
6AEEF,6AF4C,6AD86
82BBD,82ADE,82AEC
6AF5E,6B0ED,6B027
82AB8,82C2B,82B7F
6AEDA,6B121,6B0DC
829EC,82C6A,82CBF
6B110,6B022,6B0DE
82C57,82E05,82B75
6AFC2,6B156,6B1E5
82A78,82BDC,82CD6
6B0AF,6AFF3,6B201
82A12,82B19,82B65
6AFFD,6B17E,6B082
82B05,82AF7,82AC6
6B088,6AFC5,6B11B
82A7D,829E7,82918
6B20C,6B00E,6B09D
82A2F,82943,82908
6B132,6AF4D,6AFE1
82A27,82A4D,829B0
6AE6B,6AE81,6B07F
82B10,82BA9,82AC5
6B188,6B02A,6B0F0
82921,82BCD,82CA4
6AF74,6B18D,6B0C0
82D29,82DBC,82CAA
6B339,6B2BD,6B3CA
82CB2,82D51,82B67
6B0FB,6B36A,6AFB8
82C94,82BE3,82C15
6B2E4,6B39E,6B163
829B4,82B7F,82C9F
6B071,6AFBF,6B1FC
82B51,82B51,82C5C
6B172,6AFA7,6AF33
82C06,82D28,829DE
6B0FA,6B002,6B05D
82B64,82CCA,82C8E
6B366,6B2A3,6B140
8296F,82BF7,82C48
6B1DD,6B24A,6B010
82BC4,82C12,82C0B
6B198,6B111,6B22A
82C51,82C12,82B56
6B05A,6B049,6AF2B
81EE1,81EB1,81E94
6B8AB,6B752,6B820
83239,831BC,832B0
6B6DB,6B53D,6B775
8301D,830DC,83137
6B67F,6B6C5,6B751
83162,83136,83038
6B74B,6B606,6B86E
831EA,83366,83199
6B805,6B683,6B924
83362,8320F,83283
6B837,6B83C,6B780
832E0,832B6,833FD
6B8AF,6B7CA,6B7A3
8309D,83248,83155
6B7F4,6B7B1,6B6B6
831D4,8326E,8327E
6B757,6B7E1,6B6CD
83013,83053,83109
6B737,6B9CB,6B718
832D4,83193,830BB
6B631,6B6E6,6B569
830D1,83144,830D5
6B92C,6B6FF,6B53A
83328,8319B,83258
6B6DC,6B7EA,6B85F
83058,83361,831C1
6B483,6B71F,6B8F1
830E7,830C9,8330E
6B79F,6B89B,6B6EA
82FF2,83125,83190
6B827,6B75E,6B734
831F0,833E2,83251
6B8C5,6B783,6B957
832AC,831E0,831AA
6B9C3,6B6D7,6B6FF
8335D,83205,832C5
6B7FF,6B66F,6B9C9
83038,83199,83256
6B764,6B6CF,6B89F
830CD,833D3,8334A
6B887,6B8C4,6B730
833C8,83403,83281
6BA66,6BA14,6B883
83313,832E2,8332C
6B97E,6B7BA,6B8B8
833BF,8331F,8307B
6B7D0,6B8F1,6B783
834FB,8338D,834D3
6B913,6B974,6BA0E
833A2,83561,83634
6BA42,6B9D1,6B878
8321F,833BF,835A6
6B9D9,6B664,6B802
832FC,83319,83333
6B879,6BA10,6B958
832C8,83548,833E0
6BAAE,6B89D,6B888
833B1,83129,8352B
6B8E5,6B9CF,6BB82
83355,834A3,834ED
6B769,6B9CB,6B938
83360,834D8,83602
6B8B5,6B93B,6BA31
834EB,835D3,83669
6BA4E,6BA92,6BA94
83355,8329D,83570
6BD3B,6BA78,6B93C
8364E,83350,8353C
6B9B8,6B9E8,6B95C
8354A,832A5,83416
6B9B8,6B971,6B93E
8353D,83419,83408
6B892,6B8DC,6B9E9
8344D,8337C,832DC
6B969,6B91A,6B93F
83425,834A8,8333F
6B999,6BABD,6B942
832F4,83395,83272
6B92B,6B9B4,6B87A
83535,835A0,83586
6BAD2,6B977,6BAA4
833B9,833B8,83323
6B953,6BA22,6BAC2
83337,834A5,833E2
6BADD,6BA78,6B8DA
835FA,8352B,8338B
6B9CF,6BAF1,6BACB
833EF,835E5,83614
6BB06,6BAC6,6BACE
8336C,83503,83345
6BA4D,6B8F0,6BA70
834F2,83558,83444
6BC15,6BB56,6BA48
83503,835E5,83502
6B793,6BAA6,6B7C5
83487,83548,83414
6BA5A,6BAB5,6BB80
8352D,8354C,83586
6B93B,6B9A0,6BA96
8339F,8336C,833DC
6BA12,6B9ED,6BBB4
8339D,83382,8352A
6BA12,6BAEF,6BB3F
8354F,8354A,834E5
6B9F1,6BB2C,6B958
834C2,8365B,832DE
6BAC2,6B9E5,6BAA6
83355,8364B,835A0
6BA99,6BA70,6B99C
8351B,8351C,83480
6B94B,6B8B7,6B964
8344E,836BE,8340C
6BAAF,6B9D9,6B8F1
833ED,83523,835A4
6B888,6BC95,6B8DF
83625,8354C,833EC
6BAEF,6BBB8,6BAF0
83491,83468,836B2
6B9F1,6BC53,6BC60
83570,83497,83497
6BA0F,6BBC2,6BBE9
83491,8349F,83473
6BB65,6BB73,6B773
83377,8331E,8336F
6B9A6,6B968,6B7E1
833D2,83453,8329A
6B896,6B962,6B919
820D2,82221,8208A
6BAC3,6BA71,6B859
8343E,83133,8326F
6B88D,6B906,6BA9A
834FB,832D0,8331B
6BA7A,6B9D4,6B85D
83312,833A9,83482
6BB53,6BB30,6B6B6
83389,833BA,8314A
6B985,6B7A5,6BA2B
83475,835BC,83572
6B9AC,6B8B6,6B872
8334B,8347F,835C1
6BADF,6BA36,6BA76
833E6,83481,83386
6B9CF,6BAB2,6B9A4
8347B,83444,832B2
6B8D2,6BA9C,6BA54
83514,833C0,8347B
6BA22,6BAEB,6B979
83344,832EC,834AF
6B931,6B887,6BA40
833FB,8372A,8357B
6BA33,6BBEE,6BAA4
8340A,834CA,8348E
6B9AB,6BA2E,6B8E8
8351B,83551,834B7
6B9A7,6B9B7,6BB32
83649,835EA,83711
6BB3E,6B987,6B9D9
83424,83451,835E7
6BBBB,6BA17,6BAEB
83676,83497,8353D
6BB83,6BB33,6BB47
8367F,83583,8357E
6BA1D,6B95E,6B7FA
8345F,832DD,8353A
6B9E1,6BB38,6BAF7
8328E,834CD,835FB
6B97D,6B94A,6BAB5
835D8,8367E,83722
6B9E6,6B917,6BB99
8351B,83577,832F8
6BAE5,6B8FE,6BAEF
83508,833B1,8352D
6BA1A,6BA59,6B759
83352,8322D,836CA
6B98B,6B8A0,6B987
835B8,837B1,83580
6B8A0,6B9FF,6B9D0
834F2,83323,8335A
6BB55,6BA91,6B9F5
83609,83457,832E0
6B654,6BC14,6BA10
83581,8362D,83400
6BBC8,6BAD8,6BB3A
835CF,835F7,836B3
6BA14,6BAE6,6BBB0
83497,833D6,83672
6BDB2,6BAA9,6B9EF
8354A,8350F,834FF
6BB81,6BACD,6BB5F
834CC,83519,83617
6BB43,6BC67,6BD12
836CD,838AB,835DB
6BBE4,6BC14,6BCA5
83707,83557,837BE
6BB5C,6BDF6,6BB9C
83681,83641,83684
6BBC0,6BC02,6BBAB
833CC,834E9,8361A
6BB4F,6BC05,6BB04
8350C,83592,834E2
6BAD6,6BCA9,6BB0E
83584,8362E,836F6
6BCE3,6BBFC,6BC8F
835AA,8363F,83564
6BAED,6BD6B,6BDF5
8371E,83631,834A0
6B9B6,6BC93,6BADF
837FA,8373D,837E4
6BAAE,6BB47,6BBE7
835D2,83540,8371E
6BD37,6BDA4,6BB7E
836B8,83810,838A7
6BC11,6BC01,6BCBC
83880,836AF,837FA
6BB31,6BA9C,6B9DF
8366E,837CB,836F9
6BBA3,6BC66,6BD3C
837C2,83692,8369A
6B9F6,6BB1C,6BBE2
83891,836CC,83650
6BC48,6BCB7,6BBD0
836E3,8356F,83629
6BBE0,6BD6D,6BAEB
8378A,8372E,83719
6BDA5,6BCD9,6BCD4
836C2,8377D,83602
6BBA6,6BB3D,6BBB3
8371A,8370C,83863
6BBE5,6BD3D,6BBCB
83764,8385E,83642
6BDDC,6BC6A,6BE83
83901,837B0,83856
6BEE6,6BD61,6BD07
836DD,837C8,83815
6BD50,6BD79,6BEDC
837D3,837D1,836EF
6BC4A,6BD65,6BE09
83915,837A2,8393D
6BEFF,6BE17,6BF8D
83800,838FE,83A73
6BF4E,6BD6D,6BE4A
83C67,83902,83957
6BF56,6BF48,6BDD6
83A79,83A02,8385E
6BEED,6BD8D,6BF74
837C5,83A14,83989
6BE49,6BD6D,6BD4B
839FF,8392A,83A1E
6BF2D,6C055,6BED4
83AA9,838FB,83973
6C03D,6C00A,6BF4F
83A64,83A20,83AE6
6C177,6C077,6BF31
83A2D,838B3,83852
6C082,6BF76,6BFE3
82CB9,82F47,82FA6
6C58E,6C474,6C41E
83E6D,83CAF,83F14
6C5BE,6C4DD,6C40B
83FD3,84187,83FF3
6C604,6C650,6C386
83D9C,83F12,84041
6C5B0,6C476,6C388
83D63,83E75,8403A
6C328,6C342,6C1D2
83FB3,83F63,83F32
6C4F6,6C4C9,6C76E
83F5B,84071,840BF
6C6BA,6C69F,6C5EE
83E9D,8414E,84167
6C604,6C5D0,6C523
840F0,840F6,840B3
6C43C,6C308,6C4FB
83F3C,83E75,83E82
6C3F8,6C57F,6C582
840EC,84087,84043
6C60D,6C4F6,6C505
83F3F,84041,83EAF
6C487,6C535,6C5EC
84029,83F4E,83ECD
6C4F8,6C4CB,6C5F4
84088,83F52,83F90
6C61E,6C28A,6C5EA
83F2E,84063,840B8
6C40D,6C3C5,6C403
83E5A,83FFD,83E24
6C482,6C579,6C51B
83F53,8413B,83ECA
6C456,6C6BA,6C4C3
83F51,83E47,83EE2
6C44C,6C5B2,6C47A
83E39,83F9B,84018
6C6B2,6C5D2,6C5C7
83E83,8424C,83F55
6C628,6C538,6C5EC
83F5E,83F91,84038
6C540,6C508,6C55C
83F15,83EA2,8400F
6C631,6C705,6C73D
83FB2,83FCE,83EE1
6C6BE,6C6E7,6C5DD
84061,8420C,840C3
6C6DA,6C5D4,6C4E7
8425B,840D1,842DD
6C52A,6C593,6C6B2
83FF1,84080,83FE1
6C757,6C6C6,6C6D8
8414C,841D9,83EB5
6C5E4,6C53E,6C7C6
8406A,83EF2,83FBA
6C547,6C580,6C46B
840BC,840EC,841EC
6C404,6C559,6C681
83EF4,84167,83F90
6C6AC,6C4C7,6C510
84189,83F28,84080
6C684,6C52B,6C581
83FED,84177,8405B
6C5D0,6C74A,6C4DC
83F68,84053,84134
6C5E7,6C524,6C6C3
841DF,83F2F,83F89
6C53A,6C648,6C6FE
8413E,83E3F,84222
6C42C,6C4EF,6C591
840C8,84088,83F3E
6C55A,6C57D,6C4E1
84088,83FA7,84038
6C48F,6C5E1,6C5B9
83F96,83F32,83E5C
6C5F5,6C745,6C63E
83E69,840D2,8418E
6C668,6C65F,6C60D
84234,8419F,8435B
6C44E,6C5E2,6C4D5
8413D,84012,84146
6C6A2,6C4FC,6C631
83FD7,84282,84129
6C8F0,6C537,6C4ED
83FA6,84071,840A0
6C675,6C76C,6C739
840DB,8417F,840B6
6C6EC,6C61D,6C726
8424F,84247,84041
6C6B2,6C596,6C4F5
83F54,84130,8413D
6C5D3,6C556,6C582
840F1,8419E,84066
6C6D0,6C7A1,6C658
83E88,83FB5,8413C
6C53A,6C60B,6C474
