{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1732A4,1731A4,17300D
18ABE4,18AC9D,18AC2A
1731C0,1731D6,17326E
18ACAE,18AD46,18ADFA
173083,1730FB,1731A4
18AC98,18AC09,18AC06
1732F8,173279,173298
18AD9D,18AC31,18AD4F
17314D,173296,173219
18AC64,18AE22,18AEBD
17307C,17340B,1731A2
18AD42,18ACE2,18ACD7
173325,17338E,173287
18ADF3,18AE3F,18AE6A
17329F,17322F,173185
18AB35,18AC45,18ABCB
173333,172FC9,17332E
18AB9A,18ACE1,18ACF3
1732FC,1731B1,173110
18AAF8,18ACD3,18AB84
1731F5,173235,172FCA
18ABD3,18ACDE,18AD05
1732AA,173130,173195
18AE25,18AC42,18AD96
173180,173103,173352
18AC09,18AB1F,18ADD4
1730F3,1731DC,1732F7
18ABD0,18AD01,18AD5C
17320A,1731CA,173197
18AC38,18A9C7,18AB51
173102,173151,172F3C
18AB0E,18AB57,18AB8A
172F48,1730C3,1731B4
18AB48,18ABD2,18AD2F
172E48,1731D9,172F49
18A995,18A935,18AC6F
172ED4,173045,17315A
18AB0C,18AC2B,18ABCB
172FA8,173063,172E1D
18A98A,18A9A8,18A984
172FB4,1730B5,172F20
18ABD9,18AA48,18AAB6
173216,1731CA,172FDA
18AC76,18AA78,18AA52
172F0D,172F20,173002
18AC9C,18ABFD,18AC53
172FFC,172E42,17305D
18AAF6,18AB55,18AAED
172FFC,1730C7,1732DF
18AB26,18AAB6,18AB7E
173060,172ED0,172F7E
18AAD3,18AA01,18A90A
173031,172F1E,173086
18ABAA,18AB21,18A8FC
17310F,1730F1,172F40
18AB63,18A9BA,18AB70
17303B,172F55,172F7E
18AC3D,18AA82,18ABEB
173212,1731CD,1730C1
18AB18,18AA0F,18A970
1730BF,17303C,172EF7
18AA6A,18AAF9,18AB47
172F8E,173111,1730B3
18AA81,18AA01,18AABD
172F49,172F04,17302F
18A708,18AA5E,18AA6E
1730FE,1731F6,172F73
18AC25,18A8D5,18A9B5
172F2A,173076,172E23
18AA4E,18A9AD,18AA3C
172F53,172F27,173118
18AA96,18AAD5,18AB99
172FD8,172FCB,172F4B
18A83F,18AA29,18AAA7
172F1F,172F61,172E6D
18A975,18A9EA,18A9D2
172E75,172F03,172FFC
18AB70,18AC82,18AAD8
172E4C,172E56,172DEB
18A7E0,18A824,18A98A
172F1F,172D81,172E59
18AA31,18AA51,18A9BD
172EB8,172E8C,172DEA
18A7DA,18A955,18AAEE
172D4C,172D82,172EF1
18A9DB,18A996,18A9E0
