{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-109F78,-10A01C,-10A034
-F23F1,-F256A,-F266C
-109FBD,-109F42,-10A0CD
-F25AC,-F2678,-F2658
-10A180,-10A140,-10A1A8
-F26F7,-F252E,-F25CF
-109F47,-10A203,-109FF0
-F27E0,-F265A,-F264C
-109F3B,-10A0F9,-109F3A
-F25BB,-F25C0,-F2625
-109FE5,-10A172,-109EA2
-F22E4,-F25E6,-F2481
-10A01C,-109E2E,-109E79
-F2619,-F2694,-F2781
-109E99,-109EE3,-10A153
-F26D8,-F25E9,-F24D4
-10A0FB,-10A2B8,-10A070
-F279E,-F2618,-F2581
-109F8A,-10A0CB,-10A17C
-F2719,-F2716,-F2712
-10A1A4,-10A1EE,-10A206
-F2674,-F2652,-F265E
-10A028,-10A291,-10A282
-F25CF,-F26BD,-F25FE
-10A11B,-109E38,-109F3C
-F24D5,-F2525,-F247D
-10A163,-10A0E8,-109FFE
-F27B4,-F24B0,-F2683
-10A0DB,-10A0E4,-10A1A6
-F2531,-F26D7,-F257C
-10A029,-10A13C,-10A05B
-F24FE,-F2628,-F266D
-10A2BE,-10A13F,-10A215
-F26FE,-F272E,-F290A
-10A180,-10A0AC,-10A1D9
-F2798,-F2678,-F26BA
-10A137,-10A0DB,-10A0EF
-F2618,-F2721,-F270D
-10A20A,-10A0CB,-10A172
-F26B9,-F253C,-F271F
-10A16D,-10A196,-10A1E7
-F2857,-F2623,-F2729
-10A04C,-109F4F,-10A037
-F28B6,-F2528,-F25BC
-10A292,-10A177,-10A08E
-F2772,-F263F,-F25FD
-109DCF,-109F47,-10A010
-F25AF,-F265C,-F25C6
-109FB9,-10A2D2,-10A2EE
-F2746,-F2929,-F2758
-10A17F,-10A15D,-10A27A
-F269C,-F26C4,-F26C7
-10A228,-10A352,-109F70
-F27BC,-F26C1,-F24CB
-10A0A8,-10A1CB,-10A2EA
-F2540,-F2537,-F2408
-109FA6,-10A118,-10A0BE
-F270F,-F295B,-F26F8
-10A106,-10A23E,-10A035
-F25D7,-F27CC,-F266D
-10A15A,-109F90,-10A115
-F25DC,-F2571,-F2681
-109EE0,-10A16C,-109ECE
-F27E2,-F2770,-F262C
-10A11C,-10A0A3,-109F59
-F28D8,-F2705,-F26EF
-109FFD,-10A156,-10A12A
-F26B7,-F265D,-F289C
-10A245,-10A0D8,-10A3A2
-F2798,-F26B1,-F2764
-10A14F,-10A1FD,-10A201
-F2669,-F2605,-F2771
-10A2E0,-10A1E4,-10A1CB
-F2821,-F26A1,-F276B
-10A212,-109FE9,-10A128
-F26C8,-F2961,-F2774
-10A32E,-10A38E,-10A2D9
-F27BC,-F277A,-F27C0
-10A2F2,-10A46B,-10A208
-F2779,-F2741,-F2611
-10A0DB,-10A122,-10A2B7
-F26E2,-F273E,-F2838
-10A1AC,-10A15F,-10A4E8
-F26E5,-F292E,-F2A9D
-10A281,-10A1AF,-10A269
-F28EB,-F29ED,-F283E
-10A17B,-10A315,-10A2F9
-F2768,-F2745,-F277E
-10A25A,-10A344,-10A215
-F28A5,-F2941,-F27D3
-10A1D5,-10A1DA,-10A417
-F2960,-F28DA,-F28D6
-10A449,-10A201,-10A2D3
-F27B8,-F2736,-F2880
-10A1FB,-10A180,-10A3F2
-F37DE,-F3690,-F3762
-109AC9,-109956,-109AAF
-F2064,-F1F4F,-F21BE
-109A9E,-109983,-1097D7
-F1FAB,-F1E92,-F1F1E
-109908,-109902,-109823
-F1EF3,-F1E1A,-F1EA6
-10985E,-10980D,-10989B
-F1FC5,-F1E54,-F1E4E
-1097F5,-109AE9,-109A25
-F1E57,-F1F9C,-F1EB6
-109A19,-109AF4,-109A6E
-F1FAA,-F1F7B,-F1FD1
-109A04,-109905,-109A82
-F1F45,-F210A,-F1FC7
-109A0D,-109A4D,-1099EC
-F1F46,-F1E56,-F1DF9
-1099B9,-109A82,-109925
-F2064,-F1F27,-F21A3
-109AAF,-1099D6,-1099AD
-F209F,-F1F6C,-F1E7C
-10990C,-109AD2,-109A46
-F201E,-F2038,-F1FF6
-109AF8,-109B60,-109956
-F20FB,-F202B,-F20A7
-109AC6,-109C50,-109A47
-F2147,-F1F93,-F1CC4
-1097C9,-1097DE,-109A60
-F1FD4,-F1DB2,-F1DDD
