{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F5F23,-F5FFA,-F5CE0
-10C7F9,-10C940,-10C998
-F4E34,-F4FB6,-F4F96
-10C954,-10C866,-10C8FE
-F4F6E,-F4DB3,-F4C66
-10C8CD,-10C8DF,-10C997
-F4CE1,-F4EB4,-F4DA6
-10C7E5,-10C98C,-10C910
-F4DBC,-F4ECD,-F4DFF
-10C7C9,-10C6ED,-10C909
-F4E7A,-F4E71,-F4EE2
-10C836,-10C8C4,-10C77A
-F4E38,-F4E2F,-F4E95
-10C7A2,-10C844,-10C724
-F4E68,-F4F61,-F4EEC
-10C80D,-10C902,-10C80E
-F4E34,-F4E78,-F4E08
-10C84B,-10C929,-10C884
-F4BF4,-F4D2A,-F4F26
-10C7CB,-10C7A5,-10C95B
-F4FD6,-F4E89,-F4E91
-10C8E8,-10C85E,-10C788
-F4DCB,-F4D04,-F4E85
-10C740,-10C9C5,-10C7C6
-F4BAC,-F4CD3,-F4D68
-10C725,-10C5F8,-10C664
-F4BC3,-F4D58,-F4EA5
-10C654,-10C5EE,-10C691
-F4B24,-F4CA2,-F4D44
-10C481,-10C62F,-10C830
-F4C05,-F4E26,-F4BD2
-10C70B,-10C59A,-10C735
-F4D91,-F4AE4,-F4D3F
-10C617,-10C715,-10C3C2
-F4BC1,-F48C3,-F4923
-10C4B8,-10C315,-10C2D8
-F4AFF,-F4AD5,-F49D1
-10C6BD,-10C4C0,-10C6D9
-F4CAA,-F4A68,-F4BE6
-10C4C9,-10C580,-10C528
-F4A0C,-F4950,-F4C4C
-10C330,-10C518,-10C3CB
-F4A46,-F4A23,-F4A43
-10C360,-10C443,-10C585
-F49C9,-F4B0D,-F49B4
-10C4C4,-10C450,-10C318
-F4B77,-F490B,-F4993
-10C28B,-10C3A8,-10C362
-F4A61,-F4967,-F4BEF
-10C2A5,-10C37F,-10C3DA
-F4A2F,-F4891,-F4915
-10C380,-10C39A,-10C1B6
-F4913,-F4937,-F4A23
-10C2C8,-10C3E0,-10C377
-F4917,-F4B8E,-F490F
-10C3C3,-10C3FC,-10C27B
-F4781,-F4774,-F46D3
-10C2DC,-10C2A7,-10C262
-F48A8,-F4809,-F4905
-10C365,-10C422,-10C3F0
-F4664,-F4717,-F4770
-10C1F6,-10BF88,-10C25F
-F4628,-F47E1,-F4835
-10C254,-10C292,-10C11C
-F484B,-F4969,-F46FD
-10C640,-10C5CB,-10C48A
-F48DC,-F4ACB,-F4BF9
-10C60F,-10C5A1,-10C5D0
-F495C,-F4BC5,-F49FE
-10C3ED,-10C698,-10C581
-F4CAB,-F4B0C,-F49C5
-10C6F8,-10C680,-10C5F5
-F4934,-F4A57,-F4A24
-10C4ED,-10C4FD,-10C3D1
-F4CB0,-F4D6B,-F4AD8
-10C44F,-10C641,-10C451
-F4B10,-F48C5,-F4A83
-10C498,-10C49D,-10C30E
-F4BAB,-F4ABE,-F4C27
-10C520,-10C4BE,-10C3F0
-F491A,-F47EE,-F474B
-10C480,-10C510,-10C5B0
-F4AF0,-F49F0,-F4886
-10C52B,-10C3DB,-10C474
-F4AA6,-F4A36,-F4AC5
-10C563,-10C3E4,-10C3E1
-F4891,-F4BA4,-F4A22
-10C529,-10C44B,-10C5D8
-F4876,-F49DF,-F4885
-10C273,-10C50E,-10C4B8
-F49AE,-F488D,-F491C
-10C2EB,-10C408,-10C48E
-F4AB6,-F48CD,-F4B5B
-10C44E,-10C398,-10C4C3
-F48F0,-F49B3,-F4A06
-10C343,-10C2AA,-10C458
-F4930,-F498E,-F4A43
-10C278,-10C1A8,-10C2A1
-F48E5,-F472C,-F4805
-10C21E,-10C1FD,-10C479
-F4704,-F4746,-F47FF
-10C3B9,-10C2ED,-10C1E7
-F482A,-F48B3,-F4715
-10C32B,-10C3A7,-10C321
-F48D1,-F46C6,-F46E8
