{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2DC4F,-2DD8D,-2DE3C
-162D1,-1625A,-162D8
-2DC68,-2DD45,-2DBD6
-1613E,-16201,-16087
-2DCAF,-2DBCE,-2DE9B
-16201,-16148,-16285
-2DCFC,-2DCE4,-2DEB7
-1636B,-1641C,-163B2
-2DE85,-2E035,-2DDF8
-162AD,-162DB,-1622F
-2DD99,-2DE85,-2DDA0
-1624C,-16366,-162F7
-2DE34,-2DCF9,-2DE31
-1644F,-16379,-1615E
-2DE32,-2DDB7,-2DB2B
-16310,-16392,-16412
-2E03F,-2DD0D,-2E0B6
-162CB,-1640E,-1653B
-2DF82,-2DFE3,-2DDC4
-1644B,-163D6,-16342
-2DEF6,-2E087,-2E000
-1660D,-16527,-1643C
-2DF9A,-2DFED,-2DDDA
-163C2,-163E1,-16494
-2DDDD,-2DF37,-2DF64
-164DF,-1649F,-163F9
-2E0FB,-2E0E5,-2E25C
-167F3,-166BA,-166C4
-2E024,-2E269,-2DFED
-1667F,-1678D,-168FD
-2E19E,-2E1EA,-2E120
-167EE,-165DD,-168C2
-2E2F5,-2E1D8,-2E1B4
-167F4,-16671,-16560
-2E021,-2E09E,-2E162
-16A05,-16574,-16617
-2DEBF,-2E080,-2E0C1
-164BB,-1663E,-16771
-2E02D,-2E26E,-2E2CD
-1685E,-165BE,-1670B
-2E334,-2E3E1,-2E3EB
-16660,-1675D,-167A5
-2E105,-2E1BA,-2E1F0
-167C4,-167ED,-16749
-2E337,-2E0D8,-2E1E2
-168C3,-16696,-166E7
-2E177,-2E10F,-2E378
-16872,-1686D,-1689E
-2E20A,-2E0CD,-2E1D8
-168F3,-1680A,-166C1
-2E2AA,-2E30E,-2E3E5
-168DF,-165F3,-166BB
-2E3C9,-2E161,-2E12E
-167A2,-168D8,-16932
-2E2EB,-2E214,-2E257
-16ABE,-16A04,-1689F
-2E1EF,-2E400,-2E354
-1674E,-16772,-1683D
-2E1A4,-2DED3,-2E241
-16768,-16963,-1668C
-2E0C0,-2DFCD,-2E16F
-1684B,-16804,-166E5
-2E236,-2E28E,-2E21F
-1689A,-1683F,-169A5
-2E29C,-2E2C8,-2E2BB
-16796,-16780,-1674E
-2E215,-2E11D,-2E0D2
-169A7,-166C6,-16755
-2E331,-2E345,-2E419
-168A4,-16901,-167A0
-2E392,-2E213,-2E146
-168E7,-1681E,-16906
-2E366,-2E370,-2E3D3
-167B0,-16767,-167B2
-2E1DD,-2E21B,-2E2A8
-169FD,-16AC6,-16796
-2E17C,-2E257,-2E0B0
-169E5,-169E2,-166E4
-2E32E,-2E2E6,-2E21F
-16999,-16907,-16718
-2E1B4,-2E3D9,-2E333
-1692D,-16942,-168C6
-2E3A0,-2E225,-2E300
-169CA,-1685D,-1698A
-2E41F,-2E3E4,-2E2CB
-16B44,-168AD,-169AA
-2E424,-2E42A,-2E4A6
-16A88,-169BE,-169B7
-2E31B,-2E4AB,-2E492
-17541,-1728B,-174DF
-2DEE7,-2DFCF,-2E039
-16710,-164F7,-164DF
-2E028,-2E0FD,-2E065
-1651D,-16541,-166B8
-2DFE3,-2DF6A,-2E174
-16482,-16596,-16603
-2DFF1,-2E0A4,-2E016
-16455,-166DC,-16524
-2DF02,-2E0FF,-2E090
-165AA,-167F1,-1665F
-2DFD2,-2E033,-2E131
-165B2,-16556,-1666F
-2E1DA,-2E13F,-2E10A
-164AE,-16714,-1671A
-2E160,-2DFD1,-2E186
-16549,-164A1,-165D1
-2DFE3,-2DF8C,-2E11A
