{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-6F071,-6F0E6,-6EEA3
-57733,-5728D,-57599
-6EE59,-6F097,-6F04F
-57639,-5761A,-57591
-6F076,-6F06F,-6F064
-577B8,-57709,-57725
-6F0C4,-6F292,-6F08E
-5773B,-577A8,-57719
-6F005,-6F2B4,-6F096
-576D4,-576F9,-5770B
-6F151,-6F1AB,-6F0C6
-57682,-575B0,-57631
-6F076,-6F32B,-6F194
-575AA,-575BE,-5742C
-6F052,-6F176,-6F253
-577FB,-57841,-574A1
-6F169,-6F0E4,-6F179
-575F6,-574ED,-576B5
-6F122,-6EFC6,-6EE29
-5750C,-575B7,-5753B
-6EEA1,-6F097,-6F073
-573D5,-5742E,-5759C
-6EF61,-6F093,-6F0BA
-572C7,-57398,-573B0
-6F161,-6EE83,-6F0A8
-57490,-57450,-573E0
-6EEF9,-6F13D,-6EE4F
-5759D,-57634,-57479
-6F0DF,-6F160,-6F0EC
-576D9,-57443,-577AD
-6F271,-6F0E3,-6F034
-574CB,-575E6,-57824
-6F1DE,-6EF1E,-6F129
-5761A,-575EB,-57391
-6EDA4,-6EF72,-6F133
-574E2,-5777D,-576A5
-6EEBF,-6F0F5,-6F1B8
-574E4,-57592,-575BE
-6F2E0,-6F328,-6F1DA
-57601,-576B8,-57761
-6F017,-6F0C0,-6F109
-57746,-57709,-5754C
-6EF98,-6F00C,-6EFAB
-5760E,-574F4,-57414
-6EF1D,-6F20D,-6EFF9
-57662,-57437,-575D6
-6F06F,-6EF7C,-6EF16
-5770D,-57565,-5763B
-6F1B7,-6F268,-6F0DF
-5764C,-57672,-57672
-6F17D,-6F18C,-6F1B0
-577C6,-576DE,-5768B
-6F0C4,-6F20C,-6F214
-575E0,-576BB,-5787F
-6EEB2,-6F053,-6EF8B
-57598,-57778,-57670
-6F05C,-6F037,-6F0AC
-5765B,-57600,-57599
-6F07C,-6F0C9,-6F13F
-5769B,-57618,-57486
-6EF18,-6EE91,-6F075
-57730,-576C6,-577DA
-6EEAD,-6EE52,-6EC15
-571A4,-572BC,-5730E
-6EB9C,-6ECBF,-6EE9B
-57205,-57431,-57386
-6EBA5,-6EBD5,-6EBB9
-571B8,-57295,-5731E
-6EE4A,-6EC71,-6EC94
-572DD,-5721F,-572FA
-6EB40,-6EC90,-6EC7B
-571F3,-573D4,-57427
-6EC2B,-6EB9D,-6EDE8
-5719F,-57126,-571B0
-6EBDB,-6ED8D,-6EC91
-57332,-571EA,-5718C
-6EAE5,-6EBA4,-6EB8C
-572A1,-57055,-56FEF
-6EE8B,-6EDF7,-6EB19
-57308,-5727A,-5742D
-6ED32,-6ECA1,-6EC8C
-57298,-5734B,-5727A
-6EC79,-6ED1C,-6EA6B
-571D6,-5715B,-571AE
-6EC7D,-6EBB8,-6EDB9
-5706E,-57124,-57168
-6ED5C,-6EC3A,-6EC87
-5729E,-573D1,-5730A
-6EDB5,-6EED2,-6ECC2
-5758D,-57519,-574CC
-6ECEA,-6ECF5,-6ED6C
-572A4,-56F35,-57155
-6EC34,-6EC48,-6ED2F
-57231,-572D1,-574C3
-6EDE9,-6EE18,-6ED91
-57379,-573A8,-573AA
-6EEA0,-6EF38,-6EFE6
-57392,-5733D,-57419
-6EDF1,-6EEA4,-6EDD0
-5737C,-57447,-57321
-6EE27,-6EE7D,-6EFE8
-5731E,-57272,-572D6
-6ED8A,-6EC0D,-6ED17
-573D6,-57376,-5719E
-6EDEA,-6EED5,-6EC50
-573B3,-57372,-5719A
-6ED2D,-6EC10,-6EAF4
-572A9,-571E0,-5716E
-6ED83,-6ED47,-6ED4A
-572D7,-571D6,-56FD9
-6ED8E,-6ED45,-6ECF4
-570C7,-5722D,-57254
-6ED00,-6ED95,-6ED88
-57142,-572F0,-57246
-6ECF7,-6ED0F,-6EC9B
-57053,-571AF,-5709E
-6EC23,-6ED09,-6ECD3
-570E3,-57074,-570E0
-6EC8F,-6EC55,-6EB2D
-57126,-570F1,-57047
-6E9DB,-6EC55,-6EA65
-5701D,-56EF9,-570D4
-6EBD3,-6EC46,-6EAE1
-5720F,-56FCC,-57059
-6EAFF,-6EB99,-6EB94
-56F53,-56D36,-56EDF
-6E81E,-6E89A,-6E985
-56D70,-56D7E,-57017
-6E89D,-6E9C0,-6E8A2
-56DA2,-56E44,-56DC5
-6E8E1,-6EA0A,-6E78A
-57035,-56F24,-56F64
-6E851,-6E963,-6E8C1
-56D28,-56E95,-56E3E
-6E90C,-6E6AB,-6E8D5
-57023,-56DE3,-56C98
-6E72E,-6E853,-6E68B
-56FAE,-56E01,-56D17
-6E776,-6E97B,-6E8C3
-56EB6,-56D3A,-56DEA
-6E855,-6E6B9,-6E8AC
-56E79,-56EBA,-56E24
-6EA73,-6EA4E,-6EB12
-56F74,-56E86,-56E55
-6E958,-6E9A0,-6EB20
-56F1A,-56D85,-56F42
-6E9A8,-6E800,-6E796
-56E98,-56FD1,-56E06
-6E8DB,-6E6B9,-6E94B
-56EA6,-56D39,-56DC1
-6E9EB,-6EA05,-6E9A2
-56E18,-56E5E,-56D33
-6EA74,-6EA1F,-6E8E7
-56DF3,-56ED1,-56F5B
-6E685,-6E5DD,-6EA48
-56F1C,-56F45,-56EB8
-6E98C,-6E95C,-6E80D
-570A0,-56FEA,-56EEC
-6EA14,-6EB64,-6EA92
-57126,-56E84,-57047
-6EAF5,-6E98F,-6E972
-570F1,-56FC9,-5718A
-6EBC4,-6EA45,-6E98C
-56E4D,-56EFD,-56FDB
-6E9BA,-6EA1C,-6E9E3
-56F06,-56D9F,-56D21
-6E846,-6E82E,-6E783
-56ECE,-56EE5,-56DC6
-6EA04,-6E89B,-6E7B2
-56DA4,-56E03,-56E46
-6EAAD,-6E9AB,-6E8E1
-56FAD,-56D0C,-56D70
-6E9C5,-6E87B,-6E80F
-56D2D,-56B5A,-56CF2
-6E96B,-6EA4F,-6E857
-56CE0,-56EE5,-56FD7
-6E8B5,-6EA92,-6EA88
-56E5A,-56D87,-56D8F
-6E992,-6E941,-6EAA7
-56CFB,-56C0F,-56E14
-6E9D3,-6E958,-6E81C
-56FB3,-56DC2,-56E13
-6E8B3,-6EA19,-6E9FA
-570D5,-56D82,-56D4F
-6E825,-6E811,-6E886
-56D84,-56F11,-56DA7
-6E827,-6E7AA,-6E61F
-56F7C,-56CF7,-56E15
-6E6F8,-6E855,-6EA82
-5771D,-5777D,-576F2
-6E4FB,-6E583,-6E46A
-56A27,-56964,-569DF
-6E4E8,-6E653,-6E47A
-56948,-569D7,-568D6
-6E493,-6E551,-6E3EE
-568FF,-569DA,-569CC
-6E2EB,-6E2CC,-6E388
-56996,-569DC,-56B57
-6E4DB,-6E31F,-6E4DF
-56A21,-56936,-56AD5
-6E4FF,-6E459,-6E5BC
-56C81,-56B2F,-56C0C
-6E373,-6E302,-6E401
-56A6C,-569B7,-56AB5
-6E229,-6E573,-6E40C
-568AF,-56A22,-56910
-6E4A6,-6E4CC,-6E354
-56B1B,-56B2B,-56BB2
-6E437,-6E469,-6E5AB
-56B3C,-56A5E,-56ADE
-6E59E,-6E5D1,-6E702
-569E0,-56A48,-56961
-6E565,-6E47B,-6E645
-56909,-56B2A,-56997
-6E4E8,-6E5E1,-6E530
-56BD9,-5693D,-56889
-6E254,-6E2D3,-6E464
-56AC3,-56B01,-5697F
-6E328,-6E435,-6E6A9
-5689D,-56A03,-56947
-6E4F1,-6E3D0,-6E535
-56C89,-569BF,-56B3A
-6E47F,-6E3D7,-6E4C9
-56BDE,-56B47,-56BA0
-6E637,-6E58B,-6E6D9
-56AEE,-56AFB,-56B80
-6E5A7,-6E54A,-6E405
-5688B,-56A2C,-56B2C
-6E66F,-6E683,-6E6A0
-56B43,-56994,-56BDE
-6E724,-6E61A,-6E5B9
-5698F,-568C1,-56B47
-6E56D,-6E5B0,-6E279
-56B1C,-568EB,-5689E
-6E274,-6E1E2,-6E38B
-56A60,-5698D,-56B12
-6E2C0,-6E572,-6E5C2
-56AEF,-56A8E,-569C1
-6E4AE,-6E534,-6E5CD
-56ABF,-56BFA,-56A7C
-6E566,-6E4BF,-6E5A7
-56970,-569CA,-569AE
-6E490,-6E468,-6E52D
-56A73,-5697E,-56968
-6E4DF,-6E530,-6E477
-569FD,-56A6A,-568C9
-6E573,-6E53D,-6E41F
-56A69,-56AA2,-569B3
-6E2C2,-6E457,-6E2E5
-566A1,-56B16,-568CF
-6E379,-6E25E,-6E3C7
-56888,-567F1,-56937
