{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-61995,-61890,-61776
-79180,-792B6,-792C5
-61A70,-6181B,-618F0
-79447,-794A8,-79284
-6188E,-61B8E,-61913
-793D9,-79445,-7935D
-61A63,-61943,-61BEE
-792D1,-79411,-7944E
-61AFA,-619DC,-61A1B
-794C3,-796A3,-795C1
-61ADC,-61AD9,-61A5F
-79677,-79507,-795B2
-61BCE,-61A28,-6191A
-795CE,-795AB,-7943F
-61946,-61BA1,-61C28
-794CB,-7945F,-7964A
-6198D,-61AE7,-619F2
-793D2,-7943D,-793AA
-6195F,-61A9C,-61A82
-795B0,-79539,-7954A
-61A9E,-61BFD,-61A8F
-79480,-7926D,-793B9
-61A16,-61CBC,-61A63
-7955D,-79512,-79380
-61A6F,-61976,-61A76
-79499,-795C0,-79344
-61A4F,-61A88,-61C84
-793D4,-794A4,-79540
-60F5D,-60F05,-60EE4
-78396,-78249,-7831D
-60A8F,-609D9,-6090D
-78397,-783F7,-783FC
-60A73,-60955,-6094F
-78535,-7857D,-7859C
-6098B,-60969,-60A65
-78699,-784D4,-78530
-60A92,-60B9A,-60BAC
-78536,-786F5,-785D5
-60B78,-60B75,-60ADA
-783CD,-78411,-785F1
-60BFA,-60B91,-60AD2
-78430,-78513,-78529
-60B3E,-609BB,-6097E
-78493,-78532,-78465
-60AEA,-60AEC,-60BAC
-7854A,-785E6,-78513
-60D26,-60B09,-608F9
-78375,-78545,-78468
-60ACB,-60A6E,-60CCC
-7844D,-7849D,-78465
-60CA9,-60B5F,-60BDC
-78502,-78666,-78675
-60CC1,-60B53,-60B75
-78691,-78745,-78801
-60BEF,-60D06,-60CCB
-786E1,-78678,-78596
-60C54,-60D06,-60C71
-78674,-7882D,-78679
-60C74,-60D8E,-60B23
-78733,-7873E,-786A3
-60D46,-60B64,-60B43
-784EE,-783AC,-7849C
-60C3C,-60A95,-60975
-784EB,-7855A,-7834E
-608D8,-60918,-60931
-78229,-78540,-784BF
-60A80,-609BE,-60A39
-7840D,-782F9,-78351
-6092E,-6098C,-608DB
-7848D,-781C1,-78500
-60A18,-60973,-60983
-7849E,-78627,-7866F
-60BFE,-60ACA,-60AAB
-78631,-78642,-785FE
-609F7,-60AC6,-60B12
-784FF,-785BF,-7862C
-60921,-609DB,-6097E
-78411,-78665,-78693
-6098B,-60A67,-60BFB
-7848B,-78565,-784F0
-60AB9,-60A12,-60B4F
-78503,-7848F,-78406
-60C29,-60BAE,-60C0B
-786D0,-78558,-78718
-60C91,-60AB9,-60B96
-7858C,-784F1,-78673
-60C33,-60A25,-60D34
-78686,-7874C,-78710
-60C89,-60A98,-60D6F
-78571,-7870D,-785B4
-60C71,-60B4D,-60B4A
-786F9,-786FB,-787E5
-60CAD,-60D44,-60C68
-7887D,-78928,-789F8
-60EF4,-60D9F,-60DB3
-788B6,-787ED,-787F1
-60F48,-60F2D,-60BEB
-78811,-7894B,-78922
-60F9C,-60CD0,-60D26
-7890B,-78A03,-78913
-60F6B,-60DD9,-60D9C
-7896E,-78AF9,-788A9
-60F31,-610A2,-60E93
-788E4,-78A48,-78922
-61154,-61060,-60F71
-7898C,-78916,-78A05
-60F3B,-61034,-60E69
-78A0D,-78BD0,-78A0E
-60E5C,-60D5D,-60E71
-789E5,-78A80,-78917
-60F73,-6104D,-60F08
-7880F,-788F2,-7894B
-60EA5,-60EC2,-60F53
-78803,-78A76,-78B3C
-61081,-60FA3,-60F36
-78A1E,-78A5F,-789C5
-610AF,-60FC2,-60FBD
-78AAD,-789B9,-78941
-61082,-610AF,-61069
-789F2,-78A7C,-789C8
-610DF,-60F7C,-6106B
-78B97,-78B00,-78AD5
-610F2,-60E96,-61115
-788A9,-78A56,-78C30
-61087,-60EF6,-60F90
-7877D,-786C5,-788AA
-60FA8,-6106C,-60F27
-7870E,-7895A,-787BB
-60D6D,-60CC1,-60E26
-78794,-786A9,-786D3
-60E48,-60E9B,-60EAC
-78886,-787B8,-788F9
-60F7F,-60F90,-60C8D
-78AAD,-7897C,-78915
-60DB0,-60EF6,-6109A
-78AD6,-788A7,-787E1
-60DEB,-60DF4,-60D7D
-78968,-78B9B,-787A4
-60DEE,-60DDF,-60DB3
-78AEC,-7891E,-787AC
-60D1B,-60E8B,-60D40
-78905,-788CE,-788D9
-6101B,-60EBE,-60DD5
-789DC,-78964,-78A60
-60ED8,-60E5E,-60F99
-78A44,-789F9,-788F9
-60FDF,-60F56,-6118A
-78B97,-78AF6,-78911
-60F4D,-61180,-60F9B
-78BCF,-78B7E,-78B65
-6111B,-61091,-60F9A
-78ACB,-78998,-78A31
-6110F,-6102E,-60ED4
-78C2E,-78A3C,-789C3
-6109B,-6112F,-610C1
-789CB,-78C2A,-78ABD
-615C1,-614D1,-615D8
-78602,-784AC,-78595
-60C03,-609BD,-60A5A
-784F4,-7874C,-7857A
-60B31,-609BF,-60BE3
-7844A,-7832B,-782A5
-60970,-60B23,-60BC4
-784C8,-7852D,-787B9
-60BE6,-60BDB,-60AEC
-78451,-78677,-784E9
-60AC7,-60BC2,-60CB3
-784FE,-787E1,-7882C
-60D44,-60C9F,-60C75
-786D4,-78849,-784F9
-60C3E,-60CB1,-60C74
-7862A,-785CA,-7878B
-60B21,-60AEC,-60A36
-78686,-7867A,-78711
-60C69,-60B04,-60C6B
-786A8,-785E5,-78479
-60BDA,-60B14,-60CBD
-78709,-785CF,-7856A
-60C9C,-60C5A,-60BE9
-78799,-7851A,-785D1
-60BEA,-60D16,-60B86
-785EE,-786AC,-78825
-60CB6,-60CC1,-60AE9
-78791,-78579,-7878D
-60B9C,-60A90,-60DF3
-787C6,-7864F,-786E1
-60CC7,-60C8C,-60DF7
-7893F,-78A08,-787EB
-60DA6,-60E19,-60DA6
-786CB,-78579,-785F1
-60AF4,-608F1,-60A7A
-78392,-783DD,-7855C
-60B8B,-60C97,-60BC6
-7865C,-78577,-78632
-60B2B,-60C1E,-60AE0
-786F6,-7862B,-784A2
-6091C,-60AE0,-6096F
-78471,-78534,-786B4
-60B2C,-60B0F,-60A65
-784B6,-7868C,-784F0
-60DA3,-60C6C,-60D76
-78681,-787A1,-786CA
-60CD6,-60CAE,-60C1E
-78785,-787AF,-787AE
-60C75,-60BBE,-60D5A
-786BC,-787B4,-7872D
-60CDF,-60D28,-60CFD
-788B2,-78805,-788AD
-60DFA,-60D7B,-60CCD
-785DF,-78587,-785D0
-60D63,-60CC6,-60C35
-7861D,-78656,-7878E
-60BD3,-60D89,-60DBF
-78881,-78895,-78855
-60E17,-60E29,-60E9E
-788B1,-7881D,-787F2
-60E57,-60EB4,-60CE7
-785ED,-7877D,-7884E
-60E21,-60EC6,-60D33
-78670,-78946,-7885E
-60DF3,-60E80,-60D91
-78AF7,-78BE8,-78A03
-60EED,-61103,-6118B
-78AAF,-789C3,-78CC1
-61023,-6115B,-610AE
-7890C,-78A53,-78BED
-6115E,-6116E,-611C4
-78C35,-78BAB,-78B67
-61088,-61127,-6107B
-78A46,-78AF9,-78A91
-61199,-61253,-6113D
-78CCF,-78D18,-78CFD
-61236,-611B6,-611A2
-78C7E,-78C0F,-78D83
-61495,-61367,-61115
-78D8C,-78C54,-78F80
-61075,-61172,-61024
-78B98,-78CE2,-78B08
-6138D,-6126C,-6133F
-78C32,-78B05,-78CC7
-61150,-6126E,-6101C
-78B72,-78C82,-78B78
-6126C,-61241,-6133B
-78DF3,-78E84,-78CEC
-612B4,-60F34,-6116C
-78C22,-78C09,-78E75
-61171,-613BE,-6139D
-78CDF,-78D3A,-78E8F
-6124C,-614BD,-61147
-78CC9,-78EE9,-78D82
-61414,-613AF,-613DA
-78EAA,-78D69,-78C18
-614F1,-613A6,-612AC
-7891B,-78C83,-78BEE
-61150,-6101F,-611A5
-78BAA,-78CBC,-78C39
-61169,-61169,-610C6
-78BBE,-78AAF,-78B6B
-6102A,-61043,-611BE
-78A28,-78BB3,-78BC8
-611E1,-6117D,-60FEE
-78C49,-78B33,-78A6A
-611B2,-61337,-612ED
-789FD,-78B72,-78CA1
-61304,-612C3,-611FF
-78D6A,-78B70,-78B9E
-610E4,-614BD,-614CD
-78E13,-78FFF,-78F00
-612A1,-60EFC,-61279
-78D2B,-78C18,-78B32
-611E8,-613AD,-612E8
-78E58,-78C6F,-78D42
-611C2,-613E1,-613F9
-78B12,-78DC7,-78E29
-61520,-614EC,-613B8
-78E74,-78D31,-78CAB
-610A2,-61390,-612AA
-78D27,-78CEF,-78CD3
-6128E,-613EA,-6141C
-78E8C,-78D2A,-78DB8
-612B5,-6122F,-61294
-78E81,-78E8E,-78D2C
-612BD,-61321,-613F2
-78D95,-78EF3,-78DA8
-61F8C,-61D45,-61D59
-78784,-78B7D,-78950
-61006,-61090,-60E0B
-78A8A,-789F8,-78A67
-60F36,-61132,-61071
-78AFE,-78C3E,-78ADE
-610F7,-60ED8,-611C5
-78AEF,-78B18,-78A49
-610E4,-611D6,-6125D
-78ADE,-78C3F,-78954
-61221,-6120D,-61128
-78A4A,-78B70,-78AB4
-61058,-6105B,-60F7E
-78A1E,-78C32,-78AD2
-61049,-61002,-6112D
-78A8B,-78B15,-78C8A
-6115A,-61062,-60EA2
-789FA,-78C18,-78AF6
-610A4,-610DA,-61143
-78D13,-78BA4,-78CC4
-612A6,-61272,-61190
-78A81,-78BDC,-78D16
-6126F,-60F73,-61242
-78BB7,-78AFD,-78919
-61079,-60EE5,-611AC
-78AC2,-78C2A,-78BEC
-60F9B,-61138,-60FE7
-78BD7,-78D36,-78C3F
-611AF,-610EA,-61244
-78C2B,-788B3,-78ACE
-6114D,-612D2,-61124
-78C5D,-78C7D,-78C5C
-6120D,-60F0B,-61109
-788C7,-786D9,-7874E
-61108,-60F6F,-60DBF
-78A23,-789AB,-7891E
-6102B,-6113B,-60E41
-789A8,-78B19,-78BC3
-610B2,-6109C,-610C0
-78946,-78951,-78C1D
-61072,-60EBB,-6117F
-78D50,-78BA5,-78B48
-61157,-60FF8,-61411
-78C67,-78ADA,-78A35
-610EB,-61028,-61057
-78ACD,-78B66,-78B7B
-61156,-60FFC,-6122D
-78D19,-78B59,-78A0C
-6104C,-60FFD,-61175
-78A11,-78D22,-78B01
-61027,-6116D,-6113C
-78DED,-78E13,-78E33
-61228,-60F95,-61053
-78B2F,-78A62,-78B5C
-6134F,-610F2,-61021
-78B09,-78C21,-78BC4
-610E1,-61321,-6102F
-78C17,-78B83,-78B99
-6130C,-610C2,-6118F
-78D1E,-78C54,-78A76
-611E3,-61172,-611F8
-78B54,-78D41,-78BAA
-611D1,-611D6,-611E2
-78BC5,-78BA3,-78B7F
-612EE,-61161,-61296
-78E13,-78D4F,-78E01
-614E1,-61461,-613F4
-78EBA,-78D9B,-78E79
-6159E,-616F0,-615F7
-79086,-78F65,-7912A
-617BA,-617A9,-614DB
-791CF,-79055,-791BF
-614C6,-61690,-61574
-78FA6,-790FA,-79228
-616CF,-618DB,-6154A
-78FF6,-79140,-79128
-6170A,-6174C,-61725
-79189,-79107,-79064
-61722,-61678,-617B2
-79122,-7919C,-7915F
-61601,-615D5,-616F9
-790C3,-790AB,-78FA9
-61804,-616C8,-616A4
-79152,-79122,-7903C
-61767,-6175F,-6152B
-791F3,-79398,-79265
-618E2,-61A2B,-61753
-79257,-7934D,-79141
-61642,-61583,-6153A
-79166,-791A3,-79119
-6186A,-61809,-617ED
-79164,-7916F,-78FA6
-618D2,-61658,-617BB
-79321,-7935B,-794C1
-61813,-6187F,-61883
-792FF,-790DF,-79155
-619FB,-61707,-61913
-790B6,-78F5D,-7900A
-616CF,-61590,-61769
-7939D,-79254,-79202
-617CE,-6161F,-61523
-790ED,-78EB6,-78F6A
-61763,-6184D,-617F8
-791AA,-7937A,-7901D
-61686,-616C0,-614F8
-7917F,-7909F,-79084
-616E6,-617B3,-61662
-7913A,-79143,-79054
-618BA,-616FB,-6178C
-790CE,-7938D,-79130
-6186A,-61710,-61780
-79104,-790A7,-7919D
-61695,-61724,-6178A
-79196,-79071,-79175
-6166C,-61798,-61705
-79202,-7900D,-79127
-61701,-61651,-61858
-790C6,-79132,-792D5
-616A9,-617E3,-61604
-78FD8,-79127,-79035
-61613,-6167C,-61728
-78FE1,-7910C,-790E8
-617FC,-6188B,-61688
-791DA,-7928C,-7924B
-617C6,-61882,-616E3
-79287,-792DF,-7913E
-6175B,-61609,-61753
