{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-82C11,-82BCA,-82CE7
-6B33F,-6B307,-6B190
-82C0F,-82AEE,-82AF8
-6B1AA,-6B113,-6B070
-82B05,-82B79,-82C4B
-6B11E,-6AFEB,-6B0B3
-82CCF,-82C8F,-82B4F
-6AFF9,-6B186,-6B210
-82FDE,-8300A,-83006
-6B542,-6B532,-6B26E
-82CB6,-83018,-82E22
-6B59E,-6B331,-6B27D
-82D74,-82B9C,-82DEB
-6B24F,-6B35B,-6B42C
-82E4F,-82D41,-82CF8
-6B307,-6B2E5,-6B10A
-82E8B,-82EA0,-82E2E
-6B354,-6B30D,-6B416
-82E69,-82CDA,-82D4E
-6B21C,-6B2D5,-6B2D1
-82CFA,-82C41,-82DD6
-6B2BE,-6B2A9,-6B304
-82DD5,-82B94,-82C86
-6B185,-6B067,-6B142
-82D3B,-82B5F,-82CF4
-6B285,-6B1B5,-6B1AA
-82C07,-82BA8,-82D2C
-6B0C9,-6B3AF,-6B06F
-82B08,-82C1A,-82BC6
-6B266,-6B1BC,-6B12B
-82CB5,-82C68,-82D3B
-6B325,-6B3FF,-6B0D5
-82C09,-82BD1,-82C38
-6B2DE,-6B0BF,-6B1C1
-82E29,-82C4A,-82BF6
-6B234,-6B17E,-6B1F4
-82DB5,-82C8E,-82CF9
-6B134,-6B095,-6B1AA
-82BE0,-82BCE,-82B66
-6B10C,-6B106,-6AE87
-82A74,-82936,-829A9
-6B056,-6B0B0,-6B14F
-82B0A,-82AEE,-82AFA
-6B1CF,-6AF9C,-6AFBE
-82ABC,-82B7A,-82B84
-6AFDE,-6B08C,-6B0E5
-82A00,-829E2,-82A7C
-6ADE4,-6AEC1,-6ADE3
-82AEA,-8286E,-82A26
-6AFCB,-6ADAF,-6AF4B
-828D5,-828CE,-82746
-6AD01,-6AE54,-6AD1E
-8297A,-82A43,-8284C
-6AF6F,-6AF95,-6ADA7
-827ED,-8298E,-82959
-6ADEE,-6AECA,-6AE48
-8285A,-82A1C,-82ADE
-6B036,-6AF8C,-6AFD4
-82860,-82872,-8299C
-6AD87,-6AE50,-6AE55
-828AC,-82825,-82963
-6AFCB,-6AF38,-6B048
-8291D,-82905,-8283D
-6AC70,-6ADD3,-6AC83
-82749,-8285A,-8275F
-6AF44,-6AF30,-6AF47
-8280E,-8287A,-82941
-6AED1,-6ADE3,-6AD80
-8289C,-828AC,-8296D
-6AF4A,-6AED8,-6AE85
-82739,-829BD,-829CF
-6C19F,-6C44A,-6C280
-83528,-83610,-835C7
-6BA81,-6BBA0,-6BC3C
-8337B,-833CE,-8348C
-6BA10,-6BA4D,-6BB1F
-834BC,-8338F,-835AD
-6B8CE,-6BAC0,-6BC61
-833CE,-8349C,-834A1
-6B932,-6B983,-6B903
-83572,-8335B,-83478
-6BA01,-6B7FE,-6B873
-83342,-83352,-83358
-6B8E9,-6B89C,-6B9F2
-833DA,-83382,-831CA
-6B86A,-6B7A5,-6B79D
-830AF,-83215,-83371
-6BA2A,-6B8E1,-6B8CB
-83331,-8338F,-8350F
-6B912,-6B894,-6B989
-832AB,-83299,-832E9
-6B7B0,-6B6D9,-6B699
-832B2,-831A6,-830F1
-6B550,-6B66E,-6B939
-83203,-8311A,-8310A
-6B60A,-6B727,-6B80C
-832F8,-8320C,-83293
-6B7E9,-6B6DF,-6B912
-832B0,-8317C,-83069
-6B772,-6B617,-6B678
-83248,-82F9C,-8309A
-6B5E3,-6B71E,-6B5D6
-82FB0,-830A5,-8328D
-6B809,-6B766,-6B6E9
-83109,-8324C,-82F79
-6B635,-6B586,-6B4BA
-831DE,-83025,-83150
-6B47F,-6B4E3,-6B6DD
-8312A,-830A6,-83023
-6B4DD,-6B7CE,-6B68D
-8301D,-8319E,-82F59
-6B4CF,-6B717,-6B661
-82FB6,-82FB5,-830F9
-6B5B2,-6B3E9,-6B6A0
-82E25,-82EAC,-82F83
-6B4E2,-6B436,-6B52A
-82EA8,-82FAC,-82E4A
-6B431,-6B524,-6B4C9
-82DF8,-82EFA,-82F25
-6B2AA,-6B4B2,-6B2FC
-82E42,-82E20,-82F0D
-6B487,-6B444,-6B4A3
-82FBC,-82EC0,-82FC5
-6B412,-6B3F2,-6B58E
-82F97,-82E62,-82FA2
-6B695,-6B569,-6B4A0
-830C3,-82ECA,-82EFD
-6B422,-6B321,-6B52E
-82E9A,-82D4F,-82E70
-6B3F0,-6B327,-6B45F
-82C8D,-82F78,-82EE0
-6B2A5,-6B2D2,-6B300
-82F9D,-82ED5,-82E83
-6B28F,-6B3A5,-6B338
-82E77,-82F59,-83160
-6B618,-6B6C3,-6B3F2
-83125,-8310F,-830F7
-6B695,-6B689,-6B721
-83181,-8316E,-83317
-6B7BC,-6B4F6,-6B849
-831B2,-83319,-83226
-6B954,-6B506,-6B66B
-831A6,-83139,-8329E
-6B603,-6B88B,-6B6DB
-831E8,-83047,-83062
-6B6F1,-6B56B,-6B731
-83218,-83202,-833E0
-6B738,-6B661,-6B62B
-830E6,-830C8,-83297
-6B62A,-6B6CC,-6B5B4
-83000,-82FD6,-8307B
-6B387,-6B48A,-6B408
-83094,-82ED7,-82F88
-6B428,-6B55C,-6B7AF
-83010,-83051,-82DCE
-6B5B2,-6B419,-6B574
-83113,-82E74,-83030
-6B3ED,-6B4B3,-6B413
-82F9D,-82F70,-82E5E
-6B49B,-6B4D6,-6B48B
-83013,-82F0D,-82F7C
-6B645,-6B375,-6B6D6
-82D47,-82D72,-82F88
-6B62E,-6B569,-6B459
-82D99,-82EB4,-82FA8
-6B4EF,-6B305,-6B494
-82F50,-82F8E,-82FC6
-6B4C3,-6B597,-6B639
-82D34,-82E50,-82E10
-6B1EC,-6B1F7,-6B31F
-82C64,-82CC2,-82D20
-6B158,-6B2AE,-6B33C
-82D8A,-82E13,-82EB2
-6B29A,-6B23F,-6B292
-82D6E,-82D44,-82B67
-6B16D,-6B238,-6B244
-82D40,-82C4D,-82BB4
-6B127,-6B22E,-6B310
-82A59,-82C3B,-82984
-6B21E,-6B0E6,-6B17D
-82AA7,-82C93,-82AC1
-6B1E9,-6B2B3,-6AFDF
-82B93,-82B04,-82C0E
-6B04A,-6B031,-6AF63
-82A73,-82D33,-82C7A
-6AF9C,-6B0BF,-6B110
-82ADC,-82BD9,-82C90
-6B244,-6AF53,-6AEC5
-82C0D,-82C16,-82BD0
-6B29E,-6B09F,-6B111
-82C2B,-82D88,-82BE0
-6B0A3,-6B225,-6B074
-82B0F,-82D97,-82C95
-6B050,-6B117,-6B0B2
-82915,-82AD2,-82BA5
-6B046,-6B0EA,-6B09F
-82B7B,-82AA8,-82B2E
-6AF66,-6B021,-6AFE4
-82A02,-82952,-829BE
-6BE68,-6C143,-6BDCC
-82A82,-82B45,-8291E
-6AFF8,-6B034,-6AFC7
-82C16,-82C5B,-82B7B
-6AFC6,-6B062,-6AFDD
-82B86,-82CE9,-82AE3
-6AD4E,-6AF93,-6AE55
-8292F,-8299F,-82916
-6AF42,-6AF7A,-6AF64
-829DC,-82AE3,-82B1B
-6B193,-6B17F,-6B0B5
-82B1F,-82A05,-82965
-6B069,-6AEAC,-6AFAC
-82882,-8288F,-82B21
-6AF02,-6AFC1,-6AF11
-8281F,-82908,-829DF
-6AEAC,-6ADA3,-6AD10
-827E5,-829EB,-82A62
-6AF5F,-6AF22,-6AD86
-82B81,-8287B,-82993
-6B191,-6AF4D,-6AD88
-82784,-82A0B,-829A8
