{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-33964,-33AA5,-339D1
-1BF80,-1BF3A,-1C13C
-33C55,-3383C,-33996
-1BE83,-1BCF5,-1BFAF
-339CA,-33920,-33A0A
-1C08D,-1BE59,-1BEED
-33AF0,-3398F,-33A03
-1BF9B,-1C058,-1BED9
-339A2,-33A50,-339EF
-1BCED,-1BF07,-1C05E
-33A45,-33930,-33977
-1BE3C,-1BEBF,-1BF0B
-339B6,-338EC,-33963
-1BE6F,-1BEED,-1BD9A
-33B22,-33912,-3388F
-1BC48,-1BE18,-1BCF3
-3372D,-33592,-33794
-1BCCB,-1BF18,-1BED3
-33890,-3378C,-33764
-1BD98,-1BBA4,-1BEA8
-335FC,-3372E,-33802
-1BCEE,-1BBCD,-1BB47
-3372F,-335B4,-3359E
-1BCEF,-1BCEB,-1BBFB
-337C5,-336C7,-337E9
-1BC32,-1BC1E,-1BB92
-33649,-33789,-33876
-1BC60,-1BC26,-1BB71
-335F9,-33577,-336AC
-1BBD4,-1BD69,-1BA0B
-3353B,-33539,-335A5
-1BB93,-1B984,-1B9B0
-3344A,-335C5,-335BA
-1BB1C,-1BB08,-1BC8E
-3367C,-333B8,-335E4
-1BA59,-1BA80,-1BCB9
-335A9,-33586,-3349F
-1B956,-1BA29,-1B9F7
-335E2,-332E3,-334C7
-1B9C3,-1B877,-1BA07
-334A9,-3360B,-336A9
-1BBDE,-1BAB9,-1B973
-33414,-3329C,-33418
-1B9CF,-1B908,-1B7AF
-33441,-33474,-33411
-1B905,-1B8AA,-1BA29
-334A7,-334E6,-3352B
-1BA12,-1B876,-1B826
-3339E,-3345C,-3352A
-1BAC0,-1BC29,-1BB46
-33571,-33642,-33455
-1CD80,-1CF51,-1CD7A
-34222,-340F7,-33EB3
-1C55E,-1C646,-1C56D
-3407E,-3411F,-340DC
-1C617,-1C574,-1C4A0
-33F7F,-33FDA,-33F60
-1C402,-1C4DB,-1C488
-33F11,-33FA5,-340B7
-1C70C,-1C404,-1C5CE
-33DA3,-33FC6,-340B4
-1C5E3,-1C329,-1C618
-34036,-33EF1,-33F09
-1C3A2,-1C3F6,-1C41A
-34121,-3418D,-33EE8
-1C4DE,-1C5F5,-1C4F7
-33E20,-33F73,-33F9D
-1C5E3,-1C2FC,-1C2CB
-34048,-33DCB,-33E8A
-1C57D,-1C3EB,-1C52A
-340AE,-34186,-340D4
-1C3DE,-1C4F9,-1C31D
-33EA8,-33D76,-33E70
-1C454,-1C6D1,-1C4C4
-34003,-33E6A,-33F5F
-1C412,-1C305,-1C449
-33D4C,-33F2B,-33DD1
-1C484,-1C469,-1C2CE
-33E69,-33D3A,-33E9C
-1C27E,-1C3D8,-1C1A9
-33C97,-33D44,-33C62
-1C2DA,-1C42F,-1C462
-33D41,-33C49,-33CAD
-1C1AA,-1C22E,-1C33E
-33C56,-33D7D,-33BBB
-1C3AD,-1C306,-1C426
-33D8C,-33DB6,-33DEE
-1BFE0,-1C15D,-1C0DB
-33C60,-33846,-33D39
-1C0E4,-1C12D,-1C24A
-33BCE,-33B42,-33C7F
-1C196,-1C167,-1BD36
-33CC0,-33BF8,-33D06
-1C20C,-1C1A8,-1C16E
-33D56,-33C5F,-33B6B
-1C030,-1C1A1,-1C315
-33D50,-33BAC,-33CD6
-1C381,-1C1B2,-1C33E
-33CE3,-33CE5,-33BEB
-1C15C,-1C0A3,-1C0AA
-33C15,-33C2D,-33C2A
-1C160,-1C17F,-1C0DD
-33CC6,-33D03,-33C1B
-1C259,-1C1D3,-1C1A8
-33AC9,-33A5F,-33C8B
-1C0F6,-1C1D6,-1C0D7
-33BDD,-33D8F,-33C79
-1C198,-1C179,-1C00E
-33C27,-33C61,-33D29
-1C06D,-1BF98,-1C1BA
-33BA7,-33C8E,-33B28
-1BFD1,-1C083,-1BFBD
-33B72,-33B7E,-33CCD
-1C019,-1BF7F,-1C10F
-33B9B,-33B04,-33CBF
-1C363,-1C05D,-1C0CE
-33D58,-33E7A,-33CFD
-1C4E3,-1C3BC,-1C31F
-33CB7,-33EE6,-33ECF
-1C4D7,-1C3BC,-1C458
-33D65,-33DDF,-33D86
-1C3C1,-1C4B6,-1C366
-33E61,-33E15,-33ECB
-1C362,-1C416,-1C26E
-33E4A,-33C15,-33D94
-1C409,-1C29B,-1C2B2
-33EC8,-33CA2,-33DD0
-1C1C3,-1C226,-1C174
-33FFE,-33F0C,-33DB9
-1C3BC,-1C41D,-1C486
-33F15,-33E1C,-33DF6
-1C308,-1C149,-1C24C
-33E53,-33DA8,-33E00
-1C597,-1C463,-1C351
-33E99,-33C39,-33CDF
-1C33D,-1C32B,-1C430
-33C41,-33F06,-33DAC
-1C36F,-1C20F,-1C172
-33D93,-33D8C,-33E5D
-1C147,-1C2E8,-1C108
-33FE3,-33FA5,-33B29
-1C3D0,-1C214,-1C098
-33A7A,-33B84,-33CA3
-1C22A,-1C1C9,-1C166
-33C15,-33C97,-33D12
-1C364,-1C090,-1C101
-33BF6,-33C5D,-33D35
-1C2C1,-1C3CB,-1C1B3
-33DBD,-33C9F,-33CD5
-1C17F,-1C1E6,-1C12E
-33B41,-33AC1,-339D0
-1C0FF,-1C0AC,-1C08B
-33B9D,-33BAF,-33AB4
-1C0A2,-1C1B6,-1C0F2
-33ABF,-33BB4,-33BAE
-1C088,-1C07A,-1BE92
-33BAD,-33B1B,-339D0
-1BF52,-1C099,-1C1D5
-33AA9,-33B89,-33B91
-1BECC,-1BF09,-1BF30
-33831,-33716,-33AF6
-1BF8C,-1C005,-1BF36
-33A77,-33A60,-3388D
-1BDEC,-1BF4B,-1BEFB
-338A4,-3398F,-33A83
-1BDE1,-1BD89,-1BFFB
-33992,-3397E,-33985
-1BF39,-1BF97,-1BE66
-335B8,-338B2,-3388C
-1BE64,-1C21B,-1BE11
-33A44,-339EF,-33A73
-1BF24,-1BC8E,-1BEEC
-33A4C,-33A6C,-33AD2
-1BF70,-1BF38,-1BD3C
-338A6,-33955,-33A88
-1BD86,-1BF29,-1BEAC
-3378B,-33879,-337D8
-1BEA4,-1BD79,-1BCD5
-33806,-336A7,-3379C
-1CCEB,-1CD4B,-1CD68
-338BF,-339DA,-33773
-1C03F,-1BD6A,-1BCE1
-33729,-3385F,-3384B
-1BEAD,-1BC0E,-1BD88
-33867,-33943,-3397E
-1C187,-1BEE6,-1BFF0
-338E6,-3392E,-33B13
