{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1444DA,144358,1442D1
12C834,12C878,12C93B
14432E,1440B5,1441C9
12C9F0,12C8D8,12C859
1443A0,144315,144203
12C9F6,12C979,12C910
1441D8,144289,144389
12C9C8,12C82D,12C96C
143535,143532,143449
12C9E3,12C922,12CA7B
14432A,1444D7,14440F
12C8FC,12C906,12C989
144608,1444EC,144486
12CA2E,12CA70,12C966
1444CF,1445A1,14448A
12C92C,12C9D5,12C9DB
144417,1444A6,144536
12CA7D,12CAE7,12CB40
1445A8,1445F0,144468
12CC1C,12CA32,12CC2C
1443F0,1445A7,1444E3
12CB33,12C98E,12CA3A
1444B6,1443F0,14452A
12CB62,12CA9D,12C96C
144620,1445D0,144667
12CB5A,12CCA6,12C9CF
144493,1443F2,1445AE
12CD66,12CCA0,12CBC5
1445BE,1445BB,144799
12CAFA,12CAAF,12CB84
1443F4,1444E8,14457A
12CB55,12CAB7,12CB1E
144648,14467F,1448F4
12CAC5,12CB8C,12CD17
1445F6,144415,144645
12CCDE,12CAC1,12CA33
144729,144770,144673
12CBCA,12CE15,12CD38
144612,1445D2,1447BA
12CCBD,12CB06,12CB9D
1444E5,1447F9,14477E
12CCD7,12CEEB,12CA91
1446EF,144822,14470A
12CB8C,12CCA8,12CD9D
1446AE,144878,144997
12CD01,12CDD8,12CBC3
1446BA,1447EB,14468C
12CCAA,12CC86,12CCB7
144941,14478E,144561
12CD69,12CCD9,12CCEB
144911,1447F3,14488A
12CEB2,12CCF1,12CC9D
14489F,144822,14497D
12CCB3,12CCFA,12CC8A
144882,14492A,1447FE
12CD51,12CC36,12CE76
144A4D,1449FA,1448F6
12D082,12CE88,12CDF7
14479E,144A4C,144884
12CEC0,12CE28,12CF1A
1449F4,14479A,1446FD
12CEAE,12CF80,12CFC9
144810,14473B,14486E
12CDB9,12CF04,12CD88
1449E5,1446F2,144861
12CF0D,12CF5E,12CF18
14498B,144A95,144B72
12CE27,12CE66,12CD9C
144915,144BBD,144961
12CD47,12CF09,12CED2
1448F7,144AB9,1449BF
12CC98,12CF98,12CFFE
144B55,144ACF,1448FE
12CD19,12CC37,12CBE7
1445DA,144700,144825
12CCA8,12CC08,12CC76
1447E4,1446E2,144780
12CF29,12CBD7,12CD25
1445B9,144501,144728
12CD0F,12CBAA,12CA99
1446B6,1446FD,144610
12CBFF,12CD74,12CD20
1446FE,14460A,14440F
12CBC7,12CC00,12CB48
1446E4,144919,144645
12CCD6,12CD03,12CBEE
144551,1446CB,14473C
12CD90,12CDC8,12CDB4
14496D,14469C,144A03
12CDA1,12CD46,12CDD8
144781,144751,14479A
12CC49,12CCBA,12CE7E
14492A,14479D,144821
12CE33,12CD64,12CF49
144699,144882,1448BA
12CE2A,12CE25,12CEB0
1448F2,1447D6,14490D
12CCE2,12CCDD,12CCC8
144819,1448BE,1446F4
12CDE1,12CDB0,12CD08
144746,1448A3,144870
12CF35,12CF0B,12CEF0
1447C4,1449FF,1448F3
12CDE9,12CDD9,12CE0F
14478B,144886,1447CB
12CF3D,12CFE2,12CD93
144A05,144A26,144A51
12D08A,12CED9,12D1A4
144C9E,1449FE,144C94
12CEA2,12CE1D,12D037
1449C0,144AD9,144C36
12CF75,12CD5E,12CE91
14494F,14498F,144AB2
12D081,12D138,12D07E
144BE5,144953,144B9E
12CF5B,12D0D6,12CF68
144B24,144944,1449DF
12D027,12CFD2,12D0C5
144A46,144BAE,144B15
12D10E,12D059,12CEE0
144CE3,144D0E,144C83
12D08C,12D28B,12CF82
144C32,144CB3,144BAE
12D0B6,12D0E0,12D0FF
144B02,144A2F,144B3C
12CF20,12D0F4,12D178
144C1E,144D4A,1448EF
12D29B,12D008,12D18C
144A3E,144BC7,1449B2
12D1B6,12D26A,12D173
144C2E,144D9C,144B45
12D16B,12D173,12D27D
144C36,144BF7,144D0F
12D190,12D2A3,12D2FF
144BC1,144C5C,144DA0
12D280,12D142,12D24F
14372B,143A7D,143895
12C657,12C55B,12C689
144202,144152,144109
12C6C6,12C4FE,12C577
14405D,143F9A,1440DC
12C77D,12C686,12C881
1440CD,1442D2,144178
12C6C0,12C88E,12C3BD
144069,144012,144169
12C75A,12C609,12C5F5
1440A1,144143,14406B
12C7D3,12C758,12C6B9
1443F7,144223,144059
12C7DA,12C6F4,12C6AF
144298,144201,143F70
12C60F,12C5E7,12C727
14403C,144044,14423C
12C881,12C8DD,12C6C5
14428E,1442B6,143FD6
12C6BA,12C6CD,12C8B7
14414C,14418D,144252
12C842,12C7B4,12C705
1441F4,144265,1440B1
12C846,12C715,12C6EA
143F9B,14410F,14419F
12C6DD,12C9A8,12C82F
144190,1440DD,144234
12C776,12C8EC,12C9C8
144315,144435,144118
